neutronNum,protonNum,sumStepLengths,numInteractions,numElastic,primary,
0,0,21.5611,2,1,1,
0,0,88.3884,4,4,0,
0,0,60.8312,5,4,1,
0,0,160.615,6,6,0,
0,0,33.4709,3,3,1,
0,0,8.86749,2,2,1,
0,0,58.7431,1,0,1,
0,0,93.9939,2,2,0,
0,0,54.7883,3,3,1,
0,0,8.79896,1,0,1,
0,0,15.5921,0,0,0,
0,0,53.7718,3,3,1,
0,0,57.0785,1,0,1,
0,0,66.0176,3,3,0,
0,0,11.8607,2,2,1,
0,0,75.7852,9,9,1,
0,0,18.5652,1,1,1,
0,0,166.077,10,9,1,
0,0,33.0058,4,4,0,
0,0,13.7505,2,2,1,
0,0,133.837,8,8,1,
0,0,71.1928,5,4,1,
0,0,25.067,1,1,0,
0,0,2.90966,1,0,1,
0,0,72.3444,2,2,0,
0,0,26.9818,4,3,1,
0,0,67.9532,1,1,0,
0,0,36.575,1,0,1,
0,0,125.709,6,6,0,
0,0,35.8296,2,2,1,
0,0,104.047,6,6,1,
0,0,14.6724,2,1,1,
0,0,80.4207,3,3,0,
0,0,12.2394,3,3,1,
0,0,24.3293,4,3,1,
0,0,59.4149,3,3,0,
0,0,11.9127,1,0,1,
0,0,21.2985,1,1,0,
0,0,60.4631,3,2,1,
0,0,58.4288,1,1,0,
0,0,51.2326,8,7,1,
0,0,29.4317,1,1,0,
0,0,94.6188,5,4,1,
0,0,47.1625,2,2,0,
0,0,113.47,8,7,1,
0,0,19.2921,0,0,0,
0,0,35.7686,4,3,1,
0,0,60.3847,4,4,0,
0,0,124.258,9,9,1,
0,0,18.341,6,5,1,
0,0,59.3434,1,1,0,
0,0,152.886,7,6,1,
0,0,37.8361,0,0,0,
0,0,140.999,6,5,1,
0,0,103.349,7,7,0,
0,0,18.6285,3,3,1,
0,0,44.0631,5,4,1,
0,0,156.975,4,4,0,
0,0,13.4273,1,0,1,
0,0,87.3173,1,1,0,
0,0,39.9047,4,3,1,
0,0,102.375,3,3,0,
0,0,4.81926,1,0,1,
0,0,16.4418,0,0,0,
0,0,60.4977,10,9,1,
0,0,34.3825,0,0,0,
0,0,23.3902,1,0,1,
0,0,95.8188,1,1,0,
0,0,10.8056,1,1,1,
0,0,259.787,17,17,1,
0,0,3.58623,1,0,1,
0,0,233.152,8,8,0,
0,0,23.406,2,1,1,
0,0,128.028,7,7,0,
0,0,79.7833,7,7,1,
0,0,27.0351,3,3,1,
0,0,21.5631,2,2,1,
0,0,75.6034,5,5,1,
0,0,24.3294,3,2,1,
0,0,82.1996,4,4,0,
0,0,23.4963,2,2,1,
0,0,233.3,13,13,1,
0,0,10.9684,1,0,1,
0,0,117.347,2,2,0,
0,0,112.049,5,4,1,
0,0,101.22,2,2,0,
0,0,6.50236,1,0,1,
0,0,104.5,3,3,0,
0,0,70.075,2,2,1,
0,0,6.82061,2,2,1,
0,0,49.2097,3,2,1,
0,0,90.8185,2,2,0,
0,0,55.7426,5,5,1,
0,0,51.7015,5,4,1,
0,0,64.2287,3,3,0,
0,0,52.0008,5,5,1,
0,0,43.5866,3,2,1,
0,0,51.4663,1,1,0,
0,0,34.0645,3,2,1,
0,0,77.0696,3,3,0,
0,0,57.6397,4,4,1,
0,0,144.012,11,10,1,
0,0,61.89,2,2,0,
0,0,8.42548,1,1,1,
0,0,21.8024,2,2,1,
0,0,103.926,4,4,1,
0,0,46.2241,6,5,1,
0,0,194.819,3,3,0,
0,0,106.969,10,10,1,
0,0,91.6107,5,4,1,
0,0,14.8958,0,0,0,
0,0,160.137,15,15,1,
0,0,46.8004,3,2,1,
0,0,90.5362,1,1,0,
0,0,22.3396,3,3,1,
0,0,81.522,9,8,1,
0,0,80.1241,0,0,0,
0,0,17.3505,1,0,1,
0,0,58.6329,1,1,0,
0,0,30.8951,3,2,1,
0,0,34.9657,0,0,0,
0,0,16.6609,1,0,1,
0,0,54.027,0,0,0,
0,0,24.3381,2,1,1,
0,0,83.4336,1,1,0,
0,0,78.7423,5,4,1,
0,0,52.3523,1,1,0,
0,0,76.6637,5,4,1,
0,0,89.9768,4,4,0,
0,0,19.037,2,1,1,
0,0,96.8737,2,2,0,
0,0,0.379688,1,1,1,
0,0,75.8013,9,9,1,
0,0,220.12,13,13,1,
0,0,6.88311,1,0,1,
0,0,13.2125,2,2,0,
0,0,13.865,3,2,1,
0,0,52.1,4,4,0,
0,0,13.3369,3,2,1,
0,0,40.4427,2,2,0,
0,0,13.6719,1,0,1,
0,0,179.726,5,5,0,
0,0,128.862,7,6,1,
0,0,24.8317,1,1,0,
0,0,55.7889,2,2,1,
0,0,45.4339,5,4,1,
0,0,235.833,7,7,0,
0,0,78.3794,5,4,1,
0,0,37.5985,2,2,0,
0,0,163.285,8,7,1,
0,0,65.9366,0,0,0,
0,0,205.092,8,8,1,
0,0,26.469,4,3,1,
0,0,120.063,5,5,0,
0,0,54.7551,1,0,1,
0,0,105.074,7,7,0,
0,0,85.6378,5,5,1,
0,0,105.973,10,9,1,
0,0,10.1377,0,0,0,
0,0,21.9038,1,1,1,
0,0,92.7711,6,5,1,
0,0,32.6126,1,1,0,
0,0,70.0057,8,7,1,
0,0,21.4914,0,0,0,
0,0,9.87973,1,0,1,
0,0,51.7703,1,1,0,
0,0,121.688,4,3,1,
0,0,57.5838,1,1,0,
0,0,71.3368,4,3,1,
0,0,2.21844,0,0,0,
0,0,0.836811,1,1,1,
0,0,22.4547,1,1,1,
0,0,47.5629,3,2,1,
0,0,12.2161,0,0,0,
0,0,42.147,2,1,1,
0,0,11.9368,0,0,0,
0,0,91.0843,5,5,1,
0,0,20.1473,1,1,1,
0,0,35.8236,2,1,1,
0,0,68.4723,1,1,0,
0,0,134.468,7,7,1,
0,0,0.446356,1,0,1,
0,0,4.52192,0,0,0,
0,0,54.9412,3,2,1,
0,0,55.7298,2,2,0,
0,0,20.198,4,3,1,
0,0,23.8625,2,2,0,
0,0,52.0423,5,5,1,
0,0,0.0504386,1,1,1,
0,0,5.67492,2,2,1,
0,0,66.9767,7,6,1,
0,0,31.1522,0,0,0,
0,0,16.6249,1,1,1,
0,0,73.1699,3,2,1,
0,0,20.4868,2,2,0,
0,0,30.6583,3,2,1,
0,0,91.3162,5,5,0,
0,0,58.7902,6,6,1,
0,0,54.5006,6,5,1,
0,0,42.2523,0,0,0,
0,0,43.1538,2,1,1,
0,0,103.437,2,2,0,
0,0,61.2351,5,4,1,
0,0,69.0368,2,2,0,
0,0,55.9813,5,4,1,
0,0,43.9581,2,2,0,
0,0,13.9198,1,1,1,
0,0,40.0041,1,0,1,
0,0,95.5603,1,1,0,
0,0,27.437,2,1,1,
0,0,0.262369,0,0,0,
0,0,137.987,3,3,1,
0,0,97.8339,5,4,1,
0,0,144.643,6,6,0,
0,0,74.2692,7,6,1,
0,0,45.3498,1,1,0,
0,0,1.59952,1,1,1,
0,0,80.2552,5,4,1,
0,0,129.506,3,3,0,
0,0,13.0012,3,2,1,
0,0,128.4,7,7,0,
0,0,74.9353,5,5,1,
0,0,13.992,1,1,1,
0,0,18.8416,1,0,1,
0,0,80.2883,4,4,0,
0,0,20.4887,1,1,1,
0,0,148.493,8,8,1,
0,0,30.4422,3,3,1,
0,0,32.5204,2,1,1,
0,0,98.1038,5,5,0,
0,0,102.14,4,4,1,
0,0,12.038,1,0,1,
0,0,52.7023,2,2,0,
0,0,64.2343,4,4,1,
0,0,14.531,3,3,1,
0,0,88.3905,9,8,1,
0,0,41.9505,2,2,0,
0,0,126.738,9,8,1,
0,0,32.6689,0,0,0,
0,0,103.998,2,2,1,
0,0,6.18808,2,1,1,
0,0,11.4209,0,0,0,
0,0,31.0513,2,2,1,
0,0,14.9113,2,2,1,
0,0,41.2684,2,1,1,
0,0,83.8531,1,1,0,
0,0,14.7132,1,1,1,
0,0,44.1444,2,1,1,
0,0,68.1367,2,2,0,
0,0,16.6369,2,2,1,
0,0,9.74912,2,1,1,
0,0,30.1824,2,2,0,
0,0,1.2713,1,0,1,
0,0,53.4313,1,1,0,
0,0,16.4427,2,1,1,
0,0,35.1347,2,2,0,
0,0,8.81819,1,0,1,
0,0,57.1506,3,3,0,
0,0,22.2638,1,0,1,
0,0,152.445,3,3,0,
0,0,16.734,1,0,1,
0,0,56.9543,2,2,0,
0,0,10.4926,2,1,1,
0,0,64.9304,3,3,0,
0,0,1.34944,1,0,1,
0,0,34.2068,1,1,0,
0,0,22.7744,1,0,1,
0,0,101.762,7,7,0,
0,0,31.8893,2,1,1,
