neutronNum,protonNum,sumStepLengths,numInteractions,numElastic,primary,
0,0,21.3791,1,1,1,
0,0,143.229,13,12,1,
0,0,29.9834,1,1,0,
0,0,13.0395,1,1,1,
0,0,10.0363,2,1,1,
0,0,2.06353,0,0,0,
0,0,34.2404,3,2,1,
0,0,147.766,2,2,0,
0,0,25.1865,3,2,1,
0,0,27.9845,1,1,0,
0,0,24.0199,2,1,1,
0,0,84.2816,3,3,0,
0,0,71.7383,2,2,1,
0,0,47.648,2,1,1,
0,0,71.2905,2,2,0,
0,0,0.127288,1,0,1,
0,0,58.2191,2,2,0,
0,0,66.4828,2,2,1,
0,0,15.9666,4,3,1,
0,0,496.158,25,25,0,
0,0,29.2523,2,2,1,
0,0,34.8098,2,1,1,
0,0,5.71369,0,0,0,
0,0,14.1353,3,2,1,
0,0,22.8099,1,1,0,
0,0,56.7248,3,2,1,
0,0,121.159,2,2,0,
0,0,12.8615,1,0,1,
0,0,160.919,5,5,0,
0,0,9.37302,2,1,1,
0,0,451.742,18,18,0,
0,0,37.8542,4,4,1,
0,0,44.0642,6,5,1,
0,0,141.229,9,9,0,
0,0,29.341,3,3,1,
0,0,145.648,15,14,1,
0,0,25.3678,0,0,0,
0,0,6.40065,1,0,1,
0,0,136.465,1,1,0,
0,0,424.472,20,20,1,
0,0,3.47429,1,1,1,
0,0,6.49309,1,0,1,
0,0,38.0959,3,3,0,
0,0,33.7857,2,1,1,
0,0,3.31018,0,0,0,
0,0,13.9659,2,2,1,
0,0,134.105,9,9,1,
0,0,27.5407,2,1,1,
0,0,108.273,0,0,0,
0,0,10.2444,3,3,1,
0,0,60.683,4,3,1,
0,0,159.723,8,8,0,
0,0,85.1776,5,4,1,
0,0,91.5736,0,0,0,
0,0,94.4343,7,6,1,
0,0,174.98,2,2,0,
0,0,28.8046,3,2,1,
0,0,264.244,5,5,0,
0,0,2.71383,1,1,1,
0,0,159.736,14,14,1,
0,0,49.5602,2,1,1,
0,0,265.522,7,7,0,
0,0,43.1057,8,8,1,
0,0,9.45739,1,0,1,
0,0,187.907,4,4,0,
0,0,473.502,28,28,1,
0,0,41.6105,5,4,1,
0,0,405.526,13,13,0,
0,0,236.728,18,18,1,
0,0,6.39167,2,1,1,
0,0,30.8579,3,3,0,
0,0,6.25724,1,0,1,
0,0,22.4202,0,0,0,
0,0,30.1587,2,1,1,
0,0,226.352,12,12,0,
0,0,74.6623,4,3,1,
0,0,351.978,11,11,0,
0,0,42.2737,1,1,1,
0,0,110.82,12,11,1,
0,0,107.019,5,5,0,
0,0,65.5951,6,5,1,
0,0,45.9734,2,2,0,
0,0,79.8246,6,5,1,
0,0,170.244,3,3,0,
0,0,32.5911,4,3,1,
0,0,38.8548,2,2,0,
0,0,102.807,5,5,1,
0,0,51.0652,2,1,1,
0,0,164.18,6,6,0,
0,0,129.719,11,10,1,
0,0,316.34,14,14,0,
0,0,2.8826,1,0,1,
0,0,50.161,1,1,0,
0,0,0.793928,1,0,1,
0,0,2.88634,0,0,0,
0,0,165.861,11,10,1,
0,0,127.743,3,3,0,
0,0,12.5633,1,0,1,
0,0,208.151,5,5,0,
0,0,84.5684,8,8,1,
0,0,10.9492,1,0,1,
0,0,234.185,9,9,0,
0,0,3.83346,1,0,1,
0,0,104.021,2,2,0,
0,0,71.4167,9,9,1,
0,0,0.124072,1,1,1,
0,0,45.2177,3,2,1,
0,0,83.6166,2,2,0,
0,0,147.94,5,4,1,
0,0,113.603,3,3,0,
0,0,5.1453,2,1,1,
0,0,34.5546,2,2,0,
0,0,22.3119,2,1,1,
0,0,188.389,7,7,0,
0,0,169.28,8,8,1,
0,0,158.636,13,13,1,
0,0,22.9489,5,4,1,
0,0,71.475,2,2,0,
0,0,9.20169,2,2,1,
0,0,53.1839,2,2,1,
0,0,8.20949,1,1,1,
0,0,4.01396,1,0,1,
0,0,46.606,1,1,0,
0,0,16.5778,1,0,1,
0,0,313.83,12,12,0,
0,0,33.7952,1,0,1,
0,0,105.893,2,2,0,
0,0,36.6265,2,2,1,
0,0,76.0518,8,8,1,
0,0,64.4084,1,1,1,
0,0,296.939,11,11,1,
0,0,20.1084,3,2,1,
0,0,182.217,5,5,0,
0,0,202.582,15,15,1,
0,0,6.25389,1,0,1,
0,0,112.919,4,4,0,
0,0,13.8431,3,3,1,
0,0,92.3632,5,4,1,
0,0,343.173,13,13,0,
0,0,12.2413,1,0,1,
0,0,83.2602,3,3,0,
0,0,39.5681,2,1,1,
0,0,158.855,6,6,0,
0,0,28.8454,2,1,1,
0,0,102.127,1,1,0,
0,0,17.0372,1,0,1,
0,0,72.4192,4,4,0,
0,0,69.0641,8,7,1,
0,0,116.426,0,0,0,
0,0,70.7575,8,7,1,
0,0,195.694,6,6,0,
0,0,14.8188,1,0,1,
0,0,245.936,14,14,0,
0,0,47.8767,3,2,1,
0,0,241.427,11,11,0,
0,0,7.01561,1,0,1,
0,0,8.46912,0,0,0,
0,0,52.6502,5,4,1,
0,0,77.2776,1,1,0,
0,0,5.3824,1,0,1,
0,0,39.302,3,3,0,
0,0,31.6004,2,2,1,
0,0,75.3877,7,6,1,
0,0,64.7398,2,2,0,
0,0,24.2633,1,1,1,
0,0,55.149,1,0,1,
0,0,261.772,11,11,0,
0,0,43.643,2,1,1,
0,0,117.28,1,1,0,
0,0,46.1331,4,3,1,
0,0,3.9468,0,0,0,
0,0,13.88,3,2,1,
0,0,197.204,5,5,0,
0,0,27.0643,2,1,1,
0,0,411.592,15,15,0,
0,0,99.7133,6,5,1,
0,0,39.6367,1,1,0,
0,0,14.8563,1,1,1,
0,0,1.89772,1,0,1,
0,0,158.522,8,8,0,
0,0,3.12216,1,0,1,
0,0,23.3206,2,2,0,
0,0,74.8468,5,4,1,
0,0,26.177,0,0,0,
