energy,time,theta,phi,xpos,ypos,zpos,
9.69279,730.634,1.18517,2.28499,0.00126473,-8.72152e-05,9.4665e-05,
9.6928,732.714,1.33512,2.30179,0.000470645,-3.24555e-05,3.52278e-05,
9.69126,2781.91,2.11708,1.96496,0.0011224,-7.74005e-05,8.40119e-05,
9.6925,1101.79,2.34933,1.7018,0.00170915,-0.000117862,0.00012793,
9.69294,729.683,0.716952,0.202073,0.0017934,-0.000123672,0.000134236,
9.69131,2910.69,2.15191,3.11058,0.00194754,-0.000134302,0.000145773,
9.69191,1600.58,1.12122,2.72804,0.00123931,-8.54622e-05,9.27622e-05,
9.69115,173.859,1.21736,1.15438,0.00142855,-9.85124e-05,0.000106927,
9.69273,328.734,1.19683,1.95237,0.00286248,-0.000197395,0.000214257,
9.69129,1322.13,2.81035,0.70797,0.00140143,-9.66419e-05,0.000104897,
9.69253,3298.84,1.2204,0.815075,0.00138666,-9.56237e-05,0.000103792,
9.6917,88.0697,1.65022,0.624159,0.00260794,-0.000179842,0.000195204,
9.69132,4321.73,2.62425,2.69456,0.00198008,-0.000136546,0.000148209,
9.69101,559.268,1.46796,1.39548,0.00104633,-7.21549e-05,7.83182e-05,
9.69278,1059.47,2.20225,2.73757,0.00144517,-9.96587e-05,0.000108171,
9.69219,2910.48,2.14792,1.6091,0.000520342,-3.58826e-05,3.89477e-05,
9.69163,54.2908,0.600492,0.102801,0.00239013,-0.000164823,0.000178902,
9.69164,609.203,2.25963,2.01463,0.00117292,-8.08839e-05,8.77928e-05,
9.69105,414.913,2.6388,0.644527,0.00271232,-0.000187041,0.000203018,
9.6917,317.129,2.48388,2.22928,0.00117308,-8.08953e-05,8.78053e-05,
9.69278,2475.98,1.09842,2.8014,0.00169998,-0.00011723,0.000127244,
9.69119,680.334,1.28469,2.76841,0.00172076,-0.000118663,0.000128799,
9.69237,3987.45,1.46667,0.810779,0.000554713,-3.82528e-05,4.15203e-05,
9.69133,158.352,1.10288,0.707256,0.0023727,-0.000163621,0.000177597,
9.69282,639.787,0.961908,3.08866,9.09386e-05,-6.2711e-06,6.80677e-06,
9.69196,516.895,2.24436,1.26105,0.00195874,-0.000135074,0.000146612,
9.69206,1974.87,0.689152,1.56413,0.00309185,-0.000213213,0.000231425,
9.69234,763.324,1.53127,0.42301,0.00116414,-8.02786e-05,8.71358e-05,
9.69125,564.45,2.21286,2.98246,0.000274793,-1.89496e-05,2.05683e-05,
9.69123,336.098,2.18808,0.870965,0.000166166,-1.14587e-05,1.24375e-05,
9.69225,911.651,1.98566,1.50439,0.00228807,-0.000157785,0.000171263,
9.69158,220.333,1.36901,0.441698,0.000408809,-2.81914e-05,3.05994e-05,
9.69295,1849.68,1.2403,2.1921,0.000426801,-2.94321e-05,3.19461e-05,
9.69211,554.131,2.40177,1.13941,0.00215325,-0.000148487,0.000161171,
9.69136,916.707,0.536635,1.82968,0.00290046,-0.000200015,0.0002171,
9.69266,3429.88,2.46787,1.78788,0.002389,-0.000164745,0.000178817,
9.69165,961.162,2.51743,0.953404,0.00157896,-0.000108885,0.000118186,
9.69185,64.2905,1.09553,2.52074,0.00196166,-0.000135275,0.00014683,
9.69133,2653.93,1.64916,0.355976,2.83763e-05,-1.95682e-06,2.12397e-06,
9.691,1143.83,1.41746,0.65669,0.00142393,-9.81934e-05,0.000106581,
9.69223,1711.58,2.51744,2.55716,0.00223648,-0.000154227,0.000167401,
9.69213,694.027,2.59314,0.00747124,0.0021745,-0.000149952,0.000162761,
9.69242,174.733,1.77225,0.762286,0.000791685,-5.45943e-05,5.92577e-05,
9.69201,521.83,0.833618,1.74982,0.000162639,-1.12155e-05,1.21735e-05,
9.6914,1650.15,0.356872,1.40326,0.00140087,-9.66033e-05,0.000104855,
9.69184,111.932,1.33332,0.886647,0.00267491,-0.000184461,0.000200218,
9.69287,2157.85,2.29003,0.733607,0.00233276,-0.000160867,0.000174607,
9.69212,708.966,1.21532,0.461686,0.00252236,-0.000173941,0.000188799,
9.69261,246.015,1.24874,1.65524,0.00266324,-0.000183656,0.000199344,
9.69146,966.93,2.84391,2.29851,0.000197193,-1.35984e-05,1.47599e-05,
9.69161,983.781,2.24736,2.39564,7.57144e-06,-5.22124e-07,5.66723e-07,
9.69219,1693.75,2.37035,1.66147,0.0025648,-0.000176868,0.000191976,
9.69262,3057.77,2.25076,1.5443,6.51037e-05,-4.48953e-06,4.87302e-06,
9.69208,4376.12,0.76531,1.55382,0.00270075,-0.000186243,0.000202151,
9.69287,2074.45,1.11303,1.68951,0.00158755,-0.000109477,0.000118829,
9.69261,5109.57,0.440525,1.7519,0.00278581,-0.000192108,0.000208518,
9.69141,1351.05,2.14658,2.77039,0.000701111,-4.83484e-05,5.24782e-05,
9.69289,185.479,2.68221,2.57949,0.000458819,-3.164e-05,3.43427e-05,
9.6929,4046.27,2.42614,0.426137,0.00279646,-0.000192843,0.000209315,
9.69193,3596.86,2.11276,2.56911,0.00106879,-7.37035e-05,7.99992e-05,
9.69121,741.185,1.36961,1.25617,0.00307094,-0.000211771,0.00022986,
9.69106,587.589,1.6436,3.09294,0.0015278,-0.000105356,0.000114356,
9.69198,2253.4,1.82852,1.53065,0.00166756,-0.000114994,0.000124817,
9.69116,682.194,1.85827,2.76259,0.00195192,-0.000134604,0.000146102,
9.69272,907.843,2.69244,1.87183,0.000961482,-6.63035e-05,7.1967e-05,
9.6918,527.882,2.09842,0.793345,0.00210158,-0.000144924,0.000157303,
9.69198,384.948,1.35844,0.779803,0.000118921,-8.20072e-06,8.90121e-06,
9.69249,4604.21,2.37766,2.61697,0.00180282,-0.000124322,0.000134941,
9.69158,1973.42,1.62877,1.63965,0.00254017,-0.000175169,0.000190132,
9.69146,878.824,3.05386,2.69426,0.00208464,-0.000143756,0.000156035,
9.69231,879.707,2.02045,1.17391,4.85162e-05,-3.34566e-06,3.63144e-06,
9.69167,2012.84,1.09495,0.130504,0.00256092,-0.0001766,0.000191685,
9.69108,3845.39,2.08617,1.98276,0.00285207,-0.000196678,0.000213477,
9.69197,236.257,0.511195,1.45734,0.00278405,-0.000191987,0.000208386,
9.69283,504.422,1.63828,1.78655,0.000217105,-1.49715e-05,1.62504e-05,
9.69268,2527.65,0.15706,2.85944,0.00156906,-0.000108202,0.000117445,
9.69254,655.906,1.54967,1.66008,0.000585935,-4.04059e-05,4.38573e-05,
9.69126,3409.19,1.83387,2.74593,0.000819221,-5.64932e-05,6.13188e-05,
9.69123,2378.45,1.96161,1.94289,0.00120377,-8.30115e-05,9.01022e-05,
9.69218,1254.9,1.88211,0.457169,0.00294235,-0.000202904,0.000220236,
9.69193,4764.43,1.37522,0.398868,0.00199322,-0.000137452,0.000149193,
9.69105,1941.88,1.89506,0.479226,0.00142056,-9.79612e-05,0.000106329,
9.69168,2309.35,1.29598,2.40691,0.000122447,-8.44387e-06,9.16513e-06,
9.69233,1614.37,2.40387,2.03425,0.00284755,-0.000196366,0.00021314,
9.69295,1137.82,2.17092,0.239107,0.00277756,-0.000191539,0.0002079,
9.69277,854.457,1.25337,1.25551,0.00200288,-0.000138118,0.000149916,
9.69204,722.151,2.13978,2.69902,0.00112158,-7.73439e-05,8.39504e-05,
9.69242,6874.42,0.804875,2.21412,0.00224389,-0.000154738,0.000167955,
9.69241,1428.49,1.64668,0.218254,0.00129854,-8.95468e-05,9.71958e-05,
9.69131,1161.36,1.12564,2.81928,1.69199e-05,-1.16679e-06,1.26646e-06,
9.69185,431.821,1.30158,3.04993,0.00240265,-0.000165686,0.000179838,
9.69285,208.46,0.355789,1.75796,0.00115755,-7.98242e-05,8.66426e-05,
9.69158,557.118,2.43618,0.434306,0.00210854,-0.000145404,0.000157824,
9.69192,474.135,1.43095,0.948042,0.000688934,-4.75086e-05,5.15668e-05,
9.69206,1409.4,0.697338,2.98399,0.00127131,-8.76688e-05,9.51573e-05,
9.69196,60.3656,0.936379,0.367138,0.000300506,-2.07228e-05,2.24929e-05,
9.69276,205.537,2.10469,2.44143,0.000203464,-1.40308e-05,1.52293e-05,
9.69215,4332.59,2.22574,2.99969,0.0014698,-0.000101357,0.000110015,
9.69101,1350.52,1.60387,0.41844,0.0007203,-4.96716e-05,5.39145e-05,
9.69235,50.2114,2.13706,0.171616,0.00254999,-0.000175846,0.000190867,
9.69241,586.167,2.29913,2.89975,0.00054689,-3.77134e-05,4.09348e-05,
9.6927,118.906,1.64141,2.36935,0.00167477,-0.000115492,0.000125357,
9.69245,822.969,1.24304,0.42535,0.00148829,-0.000102632,0.000111399,
9.69191,2933.95,0.51633,2.03548,0.00121752,-8.39598e-05,9.11315e-05,
9.69105,1533.46,2.05112,3.03457,0.000940214,-6.48369e-05,7.03751e-05,
9.69275,739.365,2.71605,0.507481,0.00136125,-9.38712e-05,0.00010189,
9.6919,1709.08,0.913909,1.26141,0.00295308,-0.000203644,0.000221039,
9.691,266.566,0.209406,0.143867,0.000978169,-6.74542e-05,7.32161e-05,
9.69176,2437.18,1.53603,2.0791,0.0026427,-0.000182239,0.000197806,
9.69163,35.6652,1.68872,2.49503,0.00254209,-0.000175302,0.000190275,
9.69299,1109.84,1.69135,0.271687,0.00107856,-7.43768e-05,8.073e-05,
9.69176,624.153,1.13133,1.67281,0.00272471,-0.000187895,0.000203945,
9.69138,2990.96,2.22797,0.922523,0.0025869,-0.000178392,0.00019363,
9.69201,136.143,0.924969,2.56392,0.00257931,-0.000177868,0.000193061,
9.69246,925.647,1.19903,2.14316,0.000601607,-4.14866e-05,4.50303e-05,
9.69122,960.537,0.937629,2.73785,0.00296337,-0.000204353,0.000221809,
9.69161,221.975,1.24017,1.49333,0.00267264,-0.000184304,0.000200047,
9.69193,561.23,1.34862,1.15036,0.0010719,-7.3918e-05,8.0232e-05,
9.69245,1173.27,2.50526,0.173494,0.00105145,-7.25078e-05,7.87012e-05,
