eventID,xpos,ypos,zpos,
0,5.80853e-05,0,0,
0,0.0317795,0.0116165,0.00524518,
0,0.0586656,0.0271344,0.0106843,
0,0.085293,0.0351001,0.0170945,
0,0.110781,0.0417457,0.0154667,
0,0.133774,0.0398025,0.0175264,
0,0.153885,0.0322207,0.0245561,
0,0.167419,0.0346335,0.0382233,
0,0.173069,0.0413946,0.0564376,
0,0.172413,0.0363223,0.0750198,
0,0.166836,0.0285469,0.0897995,
0,0.166469,0.027736,0.106773,
0,0.159843,0.0319943,0.11992,
0,0.150207,0.041036,0.125516,
0,0.137351,0.0417155,0.125429,
0,0.12559,0.0368305,0.124351,
0,0.115223,0.0311241,0.122275,
0,0.108395,0.0225235,0.120845,
0,0.107345,0.0201294,0.119492,
0,0.10458,0.0122805,0.115553,
0,0.101675,0.00447549,0.113109,
0,0.10645,0.00246894,0.117027,
0,0.11284,0.00303612,0.121305,
0,0.118505,0.00504173,0.125544,
0,0.124272,0.00600041,0.128996,
0,0.12892,0.00473836,0.132749,
0,0.132824,0.00608422,0.135827,
0,0.134305,0.00835021,0.139685,
0,0.135677,0.011064,0.142799,
0,0.13802,0.0129095,0.145394,
0,0.14115,0.0133818,0.146843,
0,0.141602,0.0134217,0.147015,
0,0.144832,0.0126966,0.148273,
0,0.147567,0.0110659,0.147328,
0,0.149423,0.0114704,0.145451,
0,0.148827,0.0139198,0.144013,
0,0.147539,0.0160516,0.142577,
0,0.146579,0.0183422,0.141505,
0,0.145272,0.0203521,0.140593,
0,0.144084,0.0218955,0.139285,
0,0.143314,0.0227746,0.137412,
0,0.143513,0.0226534,0.135408,
0,0.14354,0.0215005,0.134108,
0,0.14355,0.0198352,0.133798,
0,0.143549,0.018363,0.133082,
0,0.143758,0.0170379,0.132559,
0,0.144124,0.0158548,0.132125,
0,0.144109,0.0146967,0.131572,
0,0.143636,0.0138777,0.13089,
0,0.143258,0.0135303,0.129973,
0,0.143092,0.0134073,0.129674,
0,0.143021,0.0131568,0.129472,
0,0.142949,0.0129139,0.129288,
0,0.142816,0.0126928,0.129141,
0,0.142695,0.0124847,0.128999,
0,0.142539,0.0122995,0.128898,
0,0.142445,0.0122804,0.128789,
0,0.142381,0.0120996,0.128927,
0,0.142305,0.0119243,0.128964,
0,0.142135,0.0118727,0.128931,
0,0.141988,0.0118365,0.128914,
0,0.141931,0.0117398,0.128897,
0,0.141949,0.0116237,0.12886,
0,0.141981,0.0115114,0.128876,
0,0.141998,0.0114042,0.128906,
0,0.142004,0.0112955,0.128892,
0,0.141978,0.0112105,0.128851,
0,0.141974,0.0111466,0.128784,
0,0.142012,0.0110979,0.128724,
0,0.142054,0.0110475,0.128678,
0,0.142105,0.0110182,0.128631,
0,0.142155,0.0110391,0.128591,
0,0.142177,0.0110922,0.128561,
0,0.142213,0.0111267,0.128534,
0,0.142251,0.0111568,0.128523,
0,0.142273,0.011196,0.12853,
0,0.142277,0.0112352,0.128529,
0,0.142271,0.0112672,0.128507,
0,0.142263,0.0112877,0.128484,
0,0.142244,0.0113003,0.128461,
0,0.142237,0.0113161,0.128437,
0,0.142233,0.0113372,0.12842,
0,0.14223,0.0113591,0.128406,
0,0.142231,0.0113789,0.128401,
0,0.14223,0.0113987,0.128399,
0,0.14223,0.0114159,0.128407,
0,0.142227,0.0114316,0.128416,
0,0.142225,0.0114463,0.128426,
0,0.142225,0.0114527,0.128429,
0,0.142223,0.0114599,0.128425,
0,0.142218,0.0114657,0.128422,
0,0.142215,0.0114708,0.128419,
0,0.142213,0.0114763,0.12842,
0,0.142209,0.0114805,0.128421,
0,0.142206,0.0114854,0.12842,
0,0.142205,0.0114873,0.12842,
0,0.142204,0.0114878,0.128421,
0,0.142201,0.0114858,0.128426,
0,0.142201,0.0114858,0.128426,
