eventID,energy,
1,0.915671,
5,0.885242,
6,0.495544,
9,0.879836,
10,0.900154,
12,0.981444,
13,0.557798,
19,0.841441,
24,0.864945,
25,0.900814,
27,0.924401,
28,0.627225,
29,0.698836,
31,0.3717,
33,0.675307,
34,0.857389,
35,0.687237,
36,0.880875,
37,0.953846,
38,0.455546,
39,0.666387,
41,0.938342,
42,0.49425,
43,0.479264,
44,0.55204,
46,0.990658,
48,0.967557,
49,0.872528,
50,1.00801,
52,0.974107,
53,0.894307,
55,0.968989,
56,0.889399,
60,0.916429,
61,1.02253,
62,0.221785,
63,0.919391,
64,0.497695,
65,0.752984,
68,0.928744,
72,0.903139,
73,0.968171,
74,0.945212,
76,0.280288,
77,0.808982,
78,0.959151,
81,1.00493,
82,0.928826,
83,0.909458,
86,0.973614,
87,0.15756,
88,0.731434,
91,0.909505,
95,0.886527,
96,0.974261,
98,0.745762,
99,0.398917,
100,0.881813,
105,0.83974,
108,0.78583,
113,0.980055,
123,0.902987,
124,0.700119,
127,0.911609,
129,0.93107,
130,0.598233,
131,0.742406,
132,0.720971,
133,0.875219,
134,0.733618,
137,0.88455,
139,0.909992,
141,0.975898,
145,0.0766906,
148,0.862659,
149,0.961681,
150,0.679324,
151,1.0054,
154,0.945014,
156,0.898452,
157,0.884809,
158,0.897145,
159,0.303062,
160,0.426986,
161,0.390004,
162,0.938842,
164,0.717592,
165,0.496485,
166,0.599559,
168,0.649973,
169,0.896896,
170,0.457358,
171,0.929918,
172,0.80841,
173,1.01444,
176,0.984138,
177,0.915646,
182,0.902801,
185,0.981107,
186,0.46937,
187,1.014,
190,0.801257,
192,0.722245,
194,0.806194,
195,0.74645,
197,0.490157,
201,0.421681,
203,0.49658,
205,0.921889,
207,0.0129341,
208,0.975807,
209,0.250449,
210,0.322748,
211,0.889021,
212,0.505052,
213,0.63878,
214,0.931193,
218,0.292268,
219,0.948056,
220,0.578391,
221,0.918594,
222,0.0723549,
224,0.752187,
225,0.816885,
226,0.159153,
228,0.759299,
229,0.911386,
231,0.751309,
233,0.806998,
234,0.642277,
235,0.94367,
236,0.76934,
237,0.797129,
240,0.768201,
241,0.75062,
244,0.854712,
246,0.94447,
247,0.762757,
248,0.571409,
252,0.559925,
254,0.938816,
255,0.789012,
