eventID,numPhotons,numReachedDown,numReachedUp,numPE,
0,3138,214,200,414,
1,3275,262,192,454,
2,3187,209,187,396,
3,3278,236,193,429,
4,3180,228,178,406,
5,39,2,3,5,
6,3287,230,197,427,
7,3221,219,186,405,
9,3247,228,181,409,
10,3205,246,184,430,
11,789,49,54,103,
12,3104,215,195,410,
13,3369,239,210,449,
14,3188,242,182,424,
15,3203,237,160,397,
16,3289,257,204,461,
17,3197,258,189,447,
18,3260,231,170,401,
19,3229,235,171,406,
20,3064,204,127,331,
21,3204,240,201,441,
22,3246,279,172,451,
23,3325,262,187,449,
24,3207,229,198,427,
25,3262,233,206,439,
26,3233,227,179,406,
27,3237,221,175,396,
28,3137,212,189,401,
29,3270,238,199,437,
31,3271,244,189,433,
32,3245,234,180,414,
33,3141,221,177,398,
34,3269,211,184,395,
35,3264,237,181,418,
36,3219,203,201,404,
37,3206,198,177,375,
38,3210,231,176,407,
39,3300,239,180,419,
40,3345,260,168,428,
41,3356,242,198,440,
42,3190,216,162,378,
43,3236,221,195,416,
44,3254,261,170,431,
45,3173,228,188,416,
46,3347,256,222,478,
48,3192,253,176,429,
49,3311,239,207,446,
50,3091,225,190,415,
51,3245,252,182,434,
52,3277,242,189,431,
53,3252,240,183,423,
54,3211,215,194,409,
55,3134,243,159,402,
56,3236,234,186,420,
57,3063,222,163,385,
58,3292,271,173,444,
59,3165,213,187,400,
60,3256,263,180,443,
61,3243,227,167,394,
62,3154,223,183,406,
63,3178,229,169,398,
64,3210,229,191,420,
65,3143,254,157,411,
66,3285,220,188,408,
67,3263,238,184,422,
68,3178,257,197,454,
69,3189,232,184,416,
70,3220,242,167,409,
71,3146,232,163,395,
72,3243,223,176,399,
73,3184,219,175,394,
75,3232,223,182,405,
76,3262,216,193,409,
77,3134,213,185,398,
78,3244,263,181,444,
79,3314,216,194,410,
80,3221,228,203,431,
81,3279,220,165,385,
82,3149,223,192,415,
83,3221,238,182,420,
84,3219,238,191,429,
85,3118,212,162,374,
86,3279,228,201,429,
87,3134,237,192,429,
88,3188,266,165,431,
89,3229,262,173,435,
90,3196,249,154,403,
91,3220,241,187,428,
92,3158,199,166,365,
94,3205,219,167,386,
95,3188,226,199,425,
96,3220,235,172,407,
97,3264,238,184,422,
98,3018,228,178,406,
99,3180,251,185,436,
100,3288,254,190,444,
101,157,10,7,17,
102,3144,280,182,462,
103,3282,228,178,406,
104,3141,217,194,411,
105,3176,232,169,401,
107,3272,223,189,412,
108,3121,230,181,411,
110,3221,240,195,435,
111,3126,229,185,414,
112,3219,229,202,431,
113,3108,237,166,403,
114,3224,246,169,415,
117,276,24,19,43,
118,3043,211,154,365,
119,3205,219,194,413,
120,3278,242,194,436,
121,3103,240,141,381,
122,3200,218,184,402,
123,3252,226,205,431,
125,3174,220,189,409,
126,3211,225,196,421,
127,3189,214,193,407,
128,3242,282,186,468,
129,3158,228,175,403,
130,3101,244,181,425,
131,3287,243,189,432,
132,3256,245,171,416,
133,3222,228,162,390,
134,3231,254,186,440,
135,3255,230,167,397,
136,2531,188,129,317,
137,3138,205,196,401,
138,3254,210,196,406,
139,3318,273,183,456,
140,3111,184,162,346,
141,3152,227,199,426,
142,3197,206,170,376,
143,3258,231,173,404,
144,3261,253,170,423,
145,3231,237,198,435,
147,3219,251,174,425,
148,3167,231,178,409,
149,3295,239,182,421,
150,3196,229,183,412,
151,3225,212,185,397,
152,3203,234,193,427,
153,3178,225,192,417,
154,3182,231,179,410,
155,3106,198,167,365,
156,3289,248,194,442,
157,3164,195,178,373,
158,3235,240,169,409,
159,3196,224,179,403,
160,3241,227,172,399,
161,334,24,28,52,
162,3219,244,199,443,
163,3267,236,181,417,
165,3233,222,211,433,
166,3222,236,180,416,
167,3240,224,202,426,
168,3099,241,195,436,
169,3195,256,165,421,
170,3136,190,197,387,
171,3338,223,186,409,
172,3206,224,172,396,
174,3179,246,165,411,
175,176,12,13,25,
176,3220,219,197,416,
177,3238,240,202,442,
178,3143,236,168,404,
179,3284,234,172,406,
180,3267,256,169,425,
182,3273,249,191,440,
183,3226,215,188,403,
184,3280,218,207,425,
185,3229,215,193,408,
186,3237,220,165,385,
187,3253,222,196,418,
188,3219,235,191,426,
189,3200,233,180,413,
190,3127,224,171,395,
193,3184,222,142,364,
194,3171,240,199,439,
