eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,detector,
135426,1146,60,78,0,1,0,0,0,79.4854,A7,
137387,288,9,33,0,1,0,0,0,150.682,A1,
138682,1054,60,76,0,1,0,0,0,79.9619,A7,
139421,315,11,23,0,1,0,0,0,93.385,A2,
140201,36,3,2,0,1,0,0,0,77.7328,A3,
142295,202,9,11,0,1,0,0,0,146.921,A0,
142589,1278,79,74,0,3,0,0,0,81.2221,A5,
145124,330,16,33,0,1,0,0,0,91.7115,A2,
146026,408,24,29,0,1,0,0,0,89.3954,A2,
146033,983,52,67,0,1,0,0,0,80.3226,A6,
146832,630,31,42,0,2,0,0,0,78.6457,A3,
146839,392,21,42,0,1,0,0,0,91.1695,A2,
146874,351,19,25,0,1,0,0,0,91.6978,A2,
147584,411,23,23,0,1,0,0,0,78.5302,A3,
149999,793,45,59,0,1,0,0,0,80.3161,A5,
151113,1073,52,89,0,1,0,0,0,82.1861,A7,
152214,422,22,30,0,1,0,0,0,80.2691,A3,
153190,805,48,49,0,2,0,0,0,80.0694,A5,
154822,885,54,55,0,1,0,0,0,80.7253,A6,
155067,1104,54,77,0,1,0,0,0,81.534,A7,
156653,166,8,8,0,1,0,0,0,150.518,A0,
157658,381,27,21,0,1,0,0,0,80.9193,A3,
157988,389,25,37,0,1,0,0,0,90.4295,A2,
158466,1038,65,87,0,1,0,0,0,82.4634,A6,
162064,398,24,25,0,2,0,0,0,78.4526,A3,
164942,1246,82,85,0,2,0,0,0,81.7905,A6,
167135,1062,56,75,0,1,0,0,0,79.4255,A7,
168119,274,9,26,0,1,0,0,0,154.908,A1,
169545,1084,56,71,0,2,0,0,0,81.0584,A5,
169772,556,32,44,0,1,0,0,0,79.5517,A4,
170955,980,56,74,0,1,0,0,0,82.6551,A6,
175934,466,28,40,0,1,0,0,0,77.2404,A4,
177545,465,23,35,0,1,0,0,0,79.1305,A3,
177625,574,27,38,0,1,0,0,0,79.556,A4,
179466,790,43,54,0,1,0,0,0,78.4083,A5,
179722,401,28,31,0,1,0,0,0,77.9822,A3,
180698,1776,101,102,0,3,0,0,0,81.2856,A7,
181481,171,12,10,0,1,0,0,0,152.037,A0,
184616,279,15,21,0,1,0,0,0,147.344,A1,
184695,560,38,37,0,1,0,0,0,81.136,A4,
185574,366,17,27,0,1,0,0,0,77.9681,A3,
186696,334,15,26,0,1,0,0,0,150.367,A1,
186947,668,39,51,0,1,0,0,0,78.9074,A4,
188605,401,18,28,0,1,0,0,0,79.9433,A3,
189590,602,41,53,0,1,0,0,0,78.9681,A4,
189853,530,33,43,0,1,0,0,0,77.2295,A4,
191990,374,20,26,0,1,0,0,0,79.1521,A3,
192104,450,24,27,0,1,0,0,0,77.2777,A3,
192995,324,16,27,0,1,0,0,0,93.4715,A2,
193628,145,17,7,0,1,0,0,0,151.891,A1,
194340,394,23,22,0,1,0,0,0,91.0585,A2,
194625,305,15,24,0,1,0,0,0,90.0271,A2,
195296,697,39,48,0,1,0,0,0,78.8555,A3,
195312,812,55,54,0,1,0,0,0,78.3758,A5,
196847,572,36,29,0,1,0,0,0,80.2692,A4,
197008,2099,107,139,0,3,0,0,0,83.302,A7,
197395,345,18,17,0,1,0,0,0,88.9989,A2,
197728,185,8,12,0,1,0,0,0,152.472,A0,
201417,755,52,59,0,1,0,0,0,81.5184,A5,
202157,752,52,40,0,2,0,0,0,92.0513,A2,
202329,202,12,14,0,1,0,0,0,153.698,A0,
203178,412,21,32,0,1,0,0,0,77.3822,A3,
203454,853,53,79,0,2,0,0,0,77.5968,A4,
205923,395,22,29,0,1,0,0,0,79.1935,A3,
206753,179,11,20,0,1,0,0,0,152.683,A1,
211911,573,42,38,0,1,0,0,0,80.203,A4,
212321,342,23,28,0,1,0,0,0,91.2008,A2,
214969,539,36,32,0,1,0,0,0,79.0772,A4,
215706,1029,53,67,0,2,0,0,0,81.4189,A4,
217485,1085,68,92,0,1,0,0,0,79.6384,A7,
217596,1154,77,84,0,1,0,0,0,81.6587,A7,
218337,1099,69,84,0,2,0,0,0,80.7364,A6,
218938,491,21,31,0,2,0,0,0,150.633,A0,
221603,430,28,22,0,1,0,0,0,76.4222,A3,
222487,894,54,69,0,2,0,0,0,152.424,A1,
224586,1102,65,80,0,1,0,0,0,80.686,A7,
225201,326,23,18,0,1,0,0,0,92.0633,A2,
225926,266,10,17,0,1,0,0,0,81.1868,A4,
226637,386,28,27,0,1,0,0,0,92.5104,A2,
227254,405,28,29,0,1,0,0,0,79.4331,A3,
228052,403,25,31,0,1,0,0,0,78.795,A3,
230842,140,5,11,0,2,0,0,0,149.55,A0,
232868,346,20,25,0,1,0,0,0,91.4586,A2,
235142,400,27,32,0,1,0,0,0,88.4354,A2,
235712,188,6,12,0,1,0,0,0,147.777,A0,
235973,576,44,42,0,1,0,0,0,78.3049,A4,
236928,941,40,69,0,1,0,0,0,81.4193,A6,
238385,787,42,62,0,1,0,0,0,78.935,A5,
238946,396,30,25,0,1,0,0,0,90.5313,A2,
240349,1456,72,114,0,2,0,0,0,80.0742,A7,
242012,956,58,66,0,1,0,0,0,81.2686,A6,
242863,580,33,35,0,1,0,0,0,78.897,A4,
243278,1262,77,75,0,2,0,0,0,79.848,A5,
244020,1023,55,69,0,1,0,0,0,82.5714,A6,
245157,742,41,53,0,2,0,0,0,80.8228,A5,
246295,173,11,15,0,1,0,0,0,153.397,A0,
249713,1025,59,72,0,1,0,0,0,80.7988,A7,
