eventID,energy,neutronAngle,timeOfFlight,
78517,84.734,1.5484,71.5192,
115006,83.9207,1.56425,168.258,
132815,93.1254,1.65111,73.9738,
169991,86.2564,1.58856,72.4669,
170385,77.2083,1.49714,161.814,
231603,13.0917,0.771618,71.9385,
261800,81.3176,1.53361,75.7137,
287382,50.9734,1.10126,164.154,
295327,107.221,1.92697,76.0677,
310885,83.8544,1.53673,160.83,
404349,81.4005,1.54882,165.826,
442460,9.99701,0.660855,69.8337,
473912,48.1015,1.04889,168.209,
476320,87.4675,1.56755,73.8998,
542105,77.5749,1.48457,164.57,
570910,82.1786,1.51134,164.219,
617648,81.9092,1.50287,163.534,
630812,84.4471,1.54404,75.5435,
687968,89.1253,1.59245,167.702,
690547,17.9504,0.532771,165.802,
742957,84.7266,1.60547,77.8037,
808525,37.5484,0.906742,161.205,
810865,83.1304,1.53662,166.53,
930373,52.993,1.11368,75.5179,
939722,84.8925,1.6007,72.6775,
945493,146.034,2.70182,180.947,
1031148,81.0153,1.50133,161.338,
1083227,86.7555,1.63889,168.069,
1134377,78.1419,1.47846,165.192,
1168348,74.809,1.44507,166.011,
1198417,91.7149,1.63873,169.026,
1205335,80.3993,1.52757,167.505,
1207809,81.269,1.4876,161.837,
1235343,91.5066,1.67606,168.267,
1291553,43.5559,1.60288,76.1394,
1436827,88.3345,1.61688,73.8625,
1447015,98.2161,1.7746,74.2627,
1494943,82.1218,1.51958,166.847,
1497296,81.5783,1.56412,165.287,
1498781,36.7646,0.888979,71.8892,
1498965,81.9635,1.54796,72.2416,
1519762,60.2839,1.26333,163.902,
1552902,84.7688,1.5522,71.6381,
1556959,35.5677,0.856636,72.1122,
1669909,47.4917,1.06087,162.88,
1696479,83.0205,1.56779,77.2985,
1819790,83.6238,1.54998,73.8825,
1843081,86.1678,1.60186,167.641,
1861192,83.7303,1.55654,72.1322,
1874586,84.4773,1.54055,165.165,
1876673,85.6228,1.54572,164.809,
1898280,85.5124,1.62205,164.161,
1925952,87.2914,1.61891,167.652,
1938322,79.0844,1.49141,92.1928,
1972543,83.786,1.52693,73.1408,
1987861,79.1146,1.52909,165.649,
2059269,54.4271,0.851927,74.541,
2068907,90.1645,1.64443,75.8506,
2102205,84.6477,1.54716,71.4422,
2103356,89.3452,1.61998,166.837,
2223908,79.8692,1.52999,78.5275,
2310362,91.7701,1.68019,168.57,
2315797,87.3445,1.6087,74.5491,
2330779,89.4124,1.6217,169.258,
2388536,86.8116,1.57309,76.7888,
2460635,6.71634,0.542969,71.4279,
2479530,58.0647,1.18326,74.52,
2481526,110.166,1.98623,167.79,
2599224,86.4751,1.63467,72.3529,
2669025,88.3209,1.58712,167.162,
2677754,82.4043,1.55129,163.072,
2966995,79.1555,1.47885,166.922,
2969123,53.8103,1.1179,171.395,
2972069,82.9686,1.566,167.353,
3003146,52.8977,1.6699,75.2884,
3056132,125.266,2.1542,184.553,
3096803,93.1229,1.69677,73.3329,
3155848,88.1276,1.59409,168.819,
3212950,78.8384,1.5131,72.8504,
3242057,93.2712,1.68322,167.579,
3269105,85.9027,1.60062,73.1845,
3294842,53.8211,1.1708,74.3952,
3314106,84.1781,1.53335,75.5938,
3342210,80.2585,1.49927,164.311,
3394367,97.7048,1.77996,80.4816,
3402061,78.5647,1.48623,162.235,
3424778,80.3575,1.53127,72.6986,
3436475,83.195,1.51734,168.978,
3594699,93.7375,1.65616,167.465,
3606520,82.1682,1.5521,71.5583,
3682299,49.9809,1.0624,72.5973,
3719696,2.36142,0.322158,71.3524,
3833652,83.9354,1.51852,161.813,
3893829,116.959,2.07578,171.877,
3980024,77.4555,1.45479,161.443,
4008685,82.6803,1.5537,163.115,
4022373,75.8663,1.48443,161.991,
4068322,19.1859,0.925714,73.0717,
4101574,81.4712,1.52555,74.8494,
4155238,17.7535,0.520846,70.0397,
4159495,86.245,1.60473,72.0125,
4229933,96.8024,1.70077,167.848,
4255277,83.2708,1.56367,165.909,
4256410,90.533,1.61167,72.4374,
4277336,81.3777,1.54733,71.7042,
4344009,85.5282,1.55105,73.1668,
4356387,81.287,1.5349,74.3042,
4358163,3.92744,0.417906,76.2901,
4365734,104.316,1.88039,75.254,
4411665,102.599,1.82252,164.151,
4416001,148.355,2.0494,75.5313,
4434602,83.0436,1.55344,74.1245,
4476886,109.211,1.97283,74.8952,
4492150,78.6757,1.47047,162.093,
4495292,23.8279,0.630113,77.0588,
4499956,48.7201,1.10113,160.163,
4508756,84.1152,1.59063,78.9188,
4551480,90.2594,1.61543,71.5084,
4568752,146.515,2.72432,80.0996,
4602283,87.4163,1.64527,73.5754,
4643375,72.7231,1.39396,161.878,
4649519,42.7771,0.97056,169.978,
4690132,79.1265,1.51573,79.0209,
4695836,76.7421,1.47912,72.2576,
4705746,87.6802,1.57025,169.859,
4778053,68.3705,1.37453,78.8439,
4807562,79.3866,1.49662,71.9167,
4853180,90.4378,1.63609,168.896,
4988854,77.5621,1.47433,165.729,
4995559,91.4777,1.65883,168.12,
