eventID,energy,neutronAngle,timeOfFlight,external,numElastic,
178128,12.2109,0.44859,43.6779,0,1,
178931,8.04689,0.362948,45.3974,1,1,
179077,9.33906,0.391407,43.6002,0,1,
179707,0,0,138.914,1,0,
180456,0,0,136.141,1,0,
182027,0,0,139.995,1,0,
182588,0,0,139.929,1,0,
184367,0,0,138.414,1,0,
184585,0.222219,0.0601199,46.0246,1,1,
185163,11.6742,0.438431,49.2349,0,1,
185685,0,0,136.841,1,0,
186261,10.3004,0.411373,48.3648,0,1,
188767,9.51744,0.395183,48.0475,0,1,
190139,15.205,0.501785,42.8929,0,1,
191292,13.2062,0.466886,46.2059,0,1,
191417,9.65303,0.398031,44.4967,0,1,
192056,14.224,0.484943,46.8556,0,1,
195362,13.5349,0.472786,43.2802,0,1,
196057,0,0,139.069,1,0,
196330,0,0,139.858,1,0,
198613,0,0,138.081,1,0,
198707,14.0092,0.481183,44.9232,0,1,
199374,12.0445,0.445462,44.2832,0,1,
200089,17.0264,0.532277,48.7314,1,1,
200178,0,0,142.082,1,0,
201026,295.322,1.8336,46.6213,1,2,
201717,12.3645,0.451457,45.648,0,1,
203298,211.044,1.65048,47.502,0,2,
206027,10.9336,0.424045,44.9271,0,1,
206091,0,0,138.107,1,0,
206625,0,0,140.222,1,0,
207175,0,0,136.476,1,0,
207360,81.6944,0.968289,46.635,0,2,
207873,0,0,135.846,1,0,
208296,12.2064,0.448505,45.534,0,1,
210353,14.3659,0.487411,46.7715,0,1,
211330,441.406,2.85923,51.0088,0,2,
213876,0,0,136.635,1,0,
214024,409.712,2.73499,49.5913,0,2,
216151,11.5244,0.435557,44.8312,0,1,
219882,75.2864,0.868551,44.8174,1,2,
222132,0,0,138.951,1,0,
222175,11.1639,0.428566,44.6085,0,1,
222470,9.22127,0.388894,43.5268,0,1,
223049,12.1609,0.447651,45.5838,0,1,
227589,12.5875,0.455593,45.5709,0,1,
229406,12.2439,0.449206,49.7907,0,1,
230668,5.19155,0.29087,44.4135,1,1,
231121,9.63677,0.39769,42.2417,0,1,
231185,11.7487,0.439854,49.5301,0,1,
231671,0,0,141.25,1,0,
234059,0,0,136.281,1,0,
234093,11.3715,0.432605,45.181,0,1,
236172,0,0,140.616,1,0,
236504,10.2344,0.410032,46.4731,0,1,
238691,0,0,140.725,1,0,
239361,10.1752,0.408826,44.5365,0,1,
239552,0,0,139.119,1,0,
239628,8.61141,0.375631,44.9704,0,1,
239656,0,0,137.77,1,0,
239799,348.478,2.50378,48.1254,0,3,
241095,0,0,136.496,1,0,
241771,8.26253,0.367842,45.1217,0,1,
241831,0,0,136.822,1,0,
242051,15.8222,0.512125,43.1492,0,1,
243936,0.776134,0.112453,43.7792,1,1,
245089,13.3522,0.469515,45.5757,0,1,
246689,0,0,140.509,1,0,
248039,10.4668,0.414739,49.3757,0,1,
248332,0,0,196.722,0,0,
252146,0,0,138.525,1,0,
252642,0,0,136.562,1,0,
253457,0,0,136.758,1,0,
255053,0,0,138.997,1,0,
255085,13.2417,0.467528,46.1606,0,1,
255166,22.1157,0.337915,44.5137,0,2,
255188,0,0,142.376,1,0,
256194,11.7586,0.440042,44.1361,0,1,
256493,0,0,139.549,1,0,
256577,8.3877,0.370654,44.2662,0,1,
256611,0,0,138.642,1,0,
257532,10.0183,0.405611,44.2526,0,1,
258058,12.1229,0.446938,46.3818,0,1,
258487,14.0782,0.482393,42.7136,0,1,
260373,0,0,139.482,1,0,
260831,0,0,139.212,1,0,
261163,10.1969,0.409268,43.4644,0,1,
261955,11.1016,0.427347,42.8226,0,1,
262639,16.2576,0.519373,43.8595,1,1,
263867,11.8852,0.44245,45.8708,0,1,
265042,234.644,3.02579,55.819,1,1,
265424,9.28597,0.390276,42.6911,0,1,
267270,10.4916,0.415238,48.4472,0,1,
269489,13.4487,0.371347,46.3263,0,2,
270001,52.3253,0.793073,45.3506,1,2,
271477,13.4331,0.470966,47.1209,0,1,
271952,0,0,136.724,1,0,
272554,0,0,136.268,1,0,
272566,0,0,139.333,1,0,
274892,12.8325,0.460094,42.7281,0,1,
277023,14.5496,0.490591,43.1954,0,1,
278063,0,0,139.996,1,0,
278152,16.8851,0.529506,46.1143,1,1,
279441,0,0,136.73,1,0,
283176,23.7412,0.406476,47.3992,0,2,
285726,11.0175,0.425696,42.7939,0,1,
285987,50.8111,0.953746,46.5462,1,1,
286686,13.79,0.47732,42.8713,0,1,
288610,0,0,138.268,1,0,
288824,14.5332,0.490308,51.2528,0,1,
291079,11.779,0.440431,45.7237,0,1,
293982,11.2055,0.429378,47.2947,0,1,
294853,25.2529,0.652049,48.3713,1,1,
295937,12.4781,0.453568,47.3346,0,1,
296496,0,0,163.451,0,0,
296799,13.4007,0.470386,45.7089,0,1,
298017,0,0,139.618,1,0,
299326,0,0,137.488,1,0,
300002,0,0,138.153,1,0,
300613,0,0,138.508,1,0,
301943,0,0,136.6,1,0,
302092,8.60921,0.375583,47.8679,0,1,
302231,0,0,137.227,1,0,
303013,14.6725,0.492707,47.9848,0,1,
303115,0,0,138.446,1,0,
304370,0,0,136.459,1,0,
305165,9.68346,0.398668,45.8577,0,1,
305435,12.4197,0.452484,47.7792,0,1,
306280,0,0,138.804,1,0,
307407,39.5872,0.32196,51.9104,0,2,
308388,0,0,141.606,0,0,
309317,0,0,136.38,1,0,
309876,220.033,2.61222,51.9,1,1,
310144,0,0,137.061,1,0,
310339,11.4732,0.43457,48.0072,0,1,
310937,9.54386,0.395739,46.0932,0,1,
311192,83.0114,1.24768,47.3444,1,1,
312030,0,0,137.829,1,0,
312380,10.0785,0.406847,46.5848,0,1,
312857,9.93262,0.403844,47.6476,0,1,
313572,0,0,137.164,1,0,
314199,0,0,170.785,1,0,
314572,12.9594,0.462411,45.51,0,1,
315908,0,0,136.507,1,0,
316850,0,0,138.438,1,0,
318972,0,0,138.651,1,0,
319592,11.7487,0.439854,44.0366,0,1,
319913,10.5676,0.416764,48.9199,0,1,
320080,26.9027,0.673945,46.3883,1,1,
321124,11.211,0.429485,43.6312,0,1,
322032,0,0,138.468,1,0,
322891,11.9926,0.444483,48.5658,0,1,
324793,10.5703,0.416818,44.2571,0,1,
327091,0,0,136.767,1,0,
327480,0,0,135.843,1,0,
329813,13.1838,0.466482,42.2272,0,1,
330367,10.7207,0.419823,45.32,0,1,
330560,0,0,136.615,1,0,
330881,11.0564,0.42646,44.3419,0,1,
