eventID,energy,neutronAngle,timeOfFlight,
115767,15.2909,0.43127,163.159,
142981,128.625,2.1911,80.4416,
196539,17.6296,0.463802,69.1373,
202447,17.3488,0.480596,161.9,
267565,9.78325,0.641836,69.0368,
307816,55.4942,1.15158,72.0856,
312109,19.0673,0.494383,67.4447,
340578,74.9435,2.60714,77.7893,
368648,15.2919,0.385814,69.6603,
372683,13.1984,0.350662,161.034,
450596,16.1638,0.413641,69.1145,
482085,18.0747,0.473033,165.626,
575578,15.49,0.463867,68.9372,
619762,15.612,0.432835,71.9968,
633636,16.4598,0.448404,69.2877,
732220,16.0044,0.403483,70.6907,
734718,14.4452,0.41883,70.2322,
744511,16.875,0.488892,70.4195,
748216,16.4069,0.478271,74.3272,
789008,17.3769,0.451518,66.4973,
897210,30.3965,0.78088,73.5031,
907394,148.359,2.27367,77.2003,
918471,18.1741,0.481623,67.3462,
928703,60.5344,1.2712,78.6399,
936832,17.4965,0.447424,70.3911,
955550,15.5481,0.424405,70.5148,
1008787,16.2519,0.463421,163.31,
1011287,15.3021,0.42509,164.596,
1011535,17.1621,0.441901,160.396,
1045767,17.0587,0.488208,69.2879,
1057654,17.6034,0.453839,71.6703,
1163334,18.6163,0.487351,168.906,
1198708,15.5715,0.429558,163.381,
1282087,18.1831,0.48323,162.46,
1285111,16.3886,0.479558,164.173,
1298329,9.07683,0.627088,81.1628,
1303620,52.4185,1.09171,164.989,
1311082,19.1678,0.497082,70.0001,
1347504,46.3159,1.03465,73.0861,
1347760,169.736,2.77548,79.9245,
1351865,17.2688,0.481111,70.1279,
1407146,16.2038,0.416835,166.594,
1420041,69.1193,2.35141,83.3597,
1442443,15.132,0.424746,69.1271,
1490652,16.838,0.46361,163.927,
1500727,28.3772,0.752014,75.7859,
1545551,47.7431,1.04712,166.673,
1561734,14.4639,0.430551,167.081,
1567516,18.3941,0.484301,161.778,
1578854,24.8238,0.656984,166.055,
1585412,18.0082,0.486845,70.7723,
1587545,9.52811,0.208697,70.02,
1612137,43.2172,1.02571,75.7179,
1616894,16.997,0.451628,73.3407,
1697876,35.1284,1.35003,75.1384,
1712397,15.3971,0.408517,72.5203,
1736041,20.9383,0.53734,165.377,
1837479,40.9153,0.940449,168.455,
1847888,15.1673,0.437086,163.97,
1854852,19.2924,0.511247,162.761,
1860162,16.0242,0.427028,69.7028,
1945868,16.2008,0.423811,72.1621,
1949321,17.0756,0.457174,71.7523,
1976431,14.8214,0.41468,162.941,
2051518,15.8148,0.403403,69.7056,
2060171,16.2849,0.481086,69.1984,
2089540,17.5153,0.475779,69.0493,
2175885,17.5578,0.450883,72.9563,
2192212,9.02989,0.0946503,69.6185,
2269547,15.4475,0.389167,73.559,
2287708,38.4632,0.950752,71.7479,
2291025,17.7219,0.465028,78.0695,
2346273,17.6979,0.469517,69.972,
2349169,13.5519,0.402365,164.394,
2365334,16.39,0.454794,160.803,
2367679,16.5392,0.433697,70.4433,
2385682,14.4192,0.406626,70.8832,
2406101,18.0446,0.461821,67.6153,
2408193,14.5513,0.402123,163.995,
2455074,19.6863,0.512866,71.6587,
2462441,17.7629,0.496732,76.1544,
2469387,19.2024,0.501929,69.8563,
2556301,13.1391,0.389364,163.938,
2563669,15.4693,0.454103,69.0015,
2570710,16.3584,0.417811,75.1899,
2596751,17.4659,0.470162,73.8826,
2688385,14.3329,0.400175,167.444,
2724856,15.7407,0.428598,70.5314,
2751322,15.4641,0.428925,67.6985,
2773123,24.572,0.63078,72.0068,
2777952,15.3716,0.426843,161.188,
2810089,12.119,0.307288,163.2,
2816784,34.029,0.856526,70.8581,
2830214,35.9951,0.851111,69.3198,
2897001,20.0671,0.564181,168.253,
2897554,16.7178,0.456398,162.551,
2938019,17.1303,0.473567,70.2015,
3038022,21.9985,0.594393,71.5817,
3076007,13.9919,0.398152,68.7065,
3100194,15.2159,0.435832,160.996,
