eventID,experimentalRecoilEnergy,timeOfFlight,
752,12.8552,45.6196,
3494,11.1044,45.1934,
8725,12.7678,45.0808,
14566,34.8031,45.2073,
14675,9.82432,42.4682,
18742,8.24161,47.8414,
20507,7.92294,45.9884,
22903,12.0923,46.4679,
25232,11.1403,45.0892,
34195,9.62754,44.1734,
35162,13.3813,44.6713,
38668,5.75209,46.1159,
39328,9.93314,43.9673,
39915,12.2753,44.0137,
43273,34.4978,45.3517,
45372,8.7653,44.7726,
47057,11.7224,44.2726,
49758,16.1275,44.5275,
50174,50.3723,45.7762,
52549,8.32468,44.1923,
53044,17.4704,44.6457,
57596,9.83304,47.3729,
58043,11.0894,43.5569,
58239,9.34513,43.9146,
60230,2.36364,47.7396,
63637,13.1157,43.7234,
63777,9.71827,46.742,
63854,11.069,45.393,
67446,13.1623,47.3414,
69046,11.0345,43.969,
69419,14.8538,42.7569,
71935,11.4481,46.4443,
78714,14.4821,45.0624,
80125,13.5555,43.2462,
83820,12.7642,44.2228,
85589,13.1648,48.6632,
87841,12.3068,43.0741,
88111,69.65,44.9288,
91258,14.9033,42.8347,
91281,10.058,42.5867,
91934,13.431,44.8007,
92651,4.85403,45.2065,
94390,9.16824,44.216,
101007,9.32704,44.8671,
101461,11.9015,43.1748,
103466,8.93043,45.3155,
103711,10.3799,44.0422,
111646,70.9753,45.0957,
113887,10.6727,45.7062,
114183,13.7113,43.8002,
116575,10.5604,46.2477,
117539,10.3912,46.1405,
135985,4.15615,45.4167,
136240,14.1662,45.4622,
136452,9.85362,45.4868,
137400,9.56774,48.9371,
146596,12.0119,44.323,
148288,10.5339,45.3815,
149830,9.55841,43.5257,
150900,9.28484,42.8312,
151094,10.3736,46.2517,
151201,9.53437,46.501,
151785,5.55602,48.6225,
152798,11.3292,46.0803,
153301,12.8479,48.3752,
154789,45.9543,46.0479,
159608,64.163,44.4491,
159822,73.2615,44.9442,
160656,10.9909,48.4057,
162213,4.10582,44.4086,
170550,12.1569,42.4924,
176099,12.0449,44.6972,
176272,11.1737,46.3584,
178230,2.63615,46.9137,
188408,15.7244,47.3249,
190877,4.97408,43.9623,
191655,12.5825,47.7331,
196159,9.00715,48.4467,
197587,9.33837,44.3642,
198660,13.5228,48.9693,
201907,16.8863,48.1355,
202055,8.79472,48.0839,
203618,13.3248,47.339,
204665,28.3991,45.4161,
205013,11.1677,48.8219,
208204,12.3134,47.4118,
209709,13.2958,44.5672,
212305,9.02339,48.9596,
213322,60.6763,47.4928,
219568,8.514,45.5723,
223773,12.8743,46.9054,
232028,13.1858,48.65,
232914,8.93062,43.1769,
235048,17.7358,44.2011,
235681,10.3637,45.6476,
235995,13.6823,45.5893,
236381,8.7826,47.5815,
239413,9.75395,48.9185,
239762,9.68271,47.3715,
249298,14.035,44.2846,
249420,10.9936,48.0536,
254901,10.9375,46.0369,
259405,12.8324,44.0974,
261062,9.69678,44.048,
262239,8.95619,46.8063,
262713,6.05822,44.772,
264813,13.1213,45.0368,
272753,5.55258,46.2558,
275204,10.395,42.984,
275715,11.7877,47.8215,
275965,1.44014,46.2888,
277599,13.6771,47.6003,
281727,15.1044,43.5076,
283923,14.6224,43.1688,
293537,14.9968,42.3855,
302466,12.5899,46.7597,
305989,9.78574,44.4028,
314174,9.111,44.9329,
327326,9.04551,42.8076,
332684,35.4449,47.5365,
336658,10.8984,44.1798,
337586,47.4948,44.9898,
342033,30.2862,48.398,
345554,10.5923,42.9202,
347381,12.0534,46.9311,
354037,13.5086,46.2113,
354361,12.9722,46.6938,
356318,10.2622,47.0697,
356377,10.9864,45.0209,
361863,14.731,48.2476,
362076,10.9253,43.9243,
365007,13.5779,45.7185,
366063,68.9578,45.7607,
366776,10.9128,43.8519,
368282,9.57256,44.4232,
374776,14.2787,45.4321,
379419,9.08625,43.8076,
382321,13.9645,45.8349,
382718,9.10143,48.7338,
391379,17.0978,45.5351,
391466,9.82329,45.5506,
393511,16.4487,44.7965,
394306,11.7009,46.1422,
395717,13.9391,46.1551,
401928,10.5045,45.0465,
401988,10.3954,46.5605,
403559,16.792,46.1159,
405554,9.2442,46.9009,
408570,22.9076,45.824,
414190,16.3451,46.3377,
416170,8.63049,44.0051,
416966,353.766,47.101,
416998,6.9192,44.5392,
425539,20.1106,46.6793,
425830,8.72043,45.2973,
435945,14.8698,47.2619,
437894,15.9779,45.1905,
448889,10.2053,47.4183,
451422,13.5322,45.177,
454289,10.8266,44.5627,
454476,26.0824,46.4922,
455708,9.92583,46.0767,
458834,6.01106,44.9145,
459237,11.7418,44.1715,
460277,13.5086,46.5886,
460375,12.3051,46.4739,
464279,9.98475,44.5552,
465893,13.1936,46.528,
466189,8.74072,46.5076,
467350,11.584,47.0094,
470628,13.3393,46.4142,
474342,13.7669,45.323,
475217,13.8676,47.8884,
476498,12.4988,45.2823,
477645,12.4775,44.1757,
478540,4.93648,45.1749,
480243,10.0503,47.2703,
484720,13.7255,44.1237,
494342,12.1138,44.4667,
500393,11.4147,45.5407,
504043,21.9747,42.8673,
504124,13.4071,47.8117,
505772,13.4065,43.877,
507810,10.2595,44.8143,
507980,15.192,48.3488,
509867,13.1863,45.1967,
510128,18.574,43.4307,
515157,11.5428,45.002,
518292,15.9565,43.2955,
518601,15.3283,45.7633,
524760,7.44311,44.9816,
528908,9.16085,42.2009,
531248,9.79874,48.2342,
531730,11.4031,43.4329,
532249,5.25096,46.173,
532636,60.5546,47.4213,
533949,10.3235,43.7407,
537189,14.6273,45.0361,
540892,9.72148,42.59,
541319,10.8315,44.3979,
542967,13.2955,43.0237,
544761,9.9132,43.7836,
544795,21.3758,43.852,
544852,119.287,45.2189,
546906,50.7471,45.8614,
546995,11.1741,43.3074,
547778,13.7261,44.8082,
548860,11.8485,46.5643,
559069,13.2938,45.4903,
562419,363.116,47.9636,
563692,3.04583,45.3057,
564210,10.1755,45.8264,
566291,3.03068,46.22,
568331,13.8232,45.7683,
573841,11.113,47.5762,
574956,13.6713,47.5525,
575319,10.1632,45.5946,
575915,10.655,48.8371,
576638,7.20633,45.2301,
576640,24.0844,44.7368,
578571,10.2439,45.3929,
586122,20.8905,46.9097,
587164,9.54303,44.1354,
590615,11.9834,47.227,
593311,24.584,45.0714,
597873,12.9278,47.3943,
601504,8.93146,46.3316,
611652,15.2314,45.656,
613312,17.9421,47.1784,
619880,13.3319,47.2342,
620731,8.6191,43.3923,
624528,12.2433,46.9788,
629137,53.0515,47.6637,
630844,4.14965,45.9253,
