eventID,energy,
37,0.02892,
338,0.01443,
978,0.02892,
1097,0.02892,
1195,0.01443,
1217,0.02892,
1234,0.02892,
1266,0.02892,
1460,0.02892,
1485,0.01462,
1581,0.02892,
1584,0.02892,
1792,0.02892,
1973,0.02892,
2044,0.02892,
2084,0.02892,
3013,0.02892,
3164,0.02892,
3432,0.02892,
3592,0.02892,
3756,0.02892,
4117,0.02892,
4361,0.02892,
4430,0.02892,
4601,0.02892,
4674,0.02892,
4754,0.02892,
5017,0.02892,
5019,0.02892,
5031,0.02892,
5038,0.02892,
5438,0.02892,
5570,0.02892,
5648,0.02892,
5812,0.01443,
5828,0.02892,
6383,0.02892,
6527,0.02892,
6646,0.02892,
6694,0.02892,
6765,0.02892,
7058,0.01443,
7119,0.02892,
7145,0.02892,
7251,0.02892,
7553,0.02892,
7565,0.02892,
7575,0.02892,
7595,0.02892,
7632,0.02892,
7790,0.02892,
7890,0.02892,
7892,0.01443,
8200,0.02892,
8272,0.02892,
8514,0.01443,
8748,0.02892,
8776,0.01462,
8855,0.02892,
8873,0.02892,
8987,0.02892,
9131,0.02892,
9261,0.02892,
9336,0.02892,
9487,0.02892,
9529,0.02892,
9535,0.02892,
9827,0.01462,
9833,0.02892,
10034,0.02892,
10174,0.02892,
10210,0.02892,
10261,0.02892,
10350,0.01443,
10493,0.02892,
10847,0.02892,
11031,0.02892,
11052,0.02892,
11210,0.02892,
11454,0.02892,
11487,0.02892,
11917,0.02892,
11920,0.02892,
12037,0.02892,
12089,0.02892,
12571,0.02892,
13107,0.02892,
13353,0.02892,
14137,0.02892,
14202,0.02892,
14510,0.02892,
14713,0.02892,
14745,0.02892,
14803,0.02892,
14903,0.02892,
14985,0.02892,
15194,0.02892,
15315,0.02892,
15365,0.02892,
15412,0.02892,
15774,0.02892,
15776,0.02892,
15940,0.02892,
16038,0.02892,
16112,0.02892,
16155,0.02892,
16249,0.02892,
16327,0.02892,
16456,0.02892,
16541,0.02892,
16543,0.02892,
16771,0.01462,
16786,0.02892,
16804,0.02892,
16932,0.02892,
17099,0.02892,
17242,0.02892,
17389,0.02892,
17432,0.02892,
17559,0.01443,
17696,0.01443,
17786,0.02892,
17963,0.02892,
18115,0.02892,
18200,0.02892,
18313,0.02892,
18518,0.02892,
18700,0.02892,
18706,0.02892,
18770,0.02892,
19241,0.02892,
19710,0.02892,
19826,0.02892,
19868,0.02892,
19991,0.02892,
20067,0.02892,
20088,0.02892,
20183,0.02892,
20238,0.02892,
20322,0.02892,
20887,0.02892,
20938,0.02892,
21011,0.01462,
21020,0.02892,
21146,0.02892,
21350,0.02892,
21674,0.02892,
21828,0.02892,
21898,0.02892,
22041,0.02892,
22216,0.02892,
22382,0.02892,
22429,0.02892,
22479,0.01443,
22496,0.01443,
22621,0.02892,
22642,0.02892,
22819,0.02892,
23113,0.02892,
23216,0.02892,
23301,0.02892,
23413,0.02892,
23430,0.02892,
23441,0.01462,
23727,0.02892,
23746,0.02892,
23820,0.02892,
23841,0.02892,
23988,0.02892,
24020,0.02892,
24476,0.01443,
24530,0.02892,
24549,0.02892,
24551,0.02892,
24566,0.02892,
24677,0.02892,
24722,0.02892,
24757,0.02892,
24809,0.02892,
24888,0.02892,
24927,0.02892,
25016,0.02892,
25114,0.02892,
25260,0.02892,
25364,0.02892,
25612,0.02892,
25636,0.02892,
25648,0.02892,
25656,0.02892,
25664,0.02892,
25765,0.02892,
26139,0.02892,
26316,0.02892,
26375,0.02892,
26401,0.02892,
26449,0.02892,
26491,0.02892,
26596,0.02892,
26872,0.02892,
27265,0.02892,
27409,0.02892,
27578,0.02892,
27728,0.02892,
27732,0.02892,
27803,0.01443,
27873,0.02892,
28048,0.02892,
28141,0.02892,
28149,0.02892,
28420,0.02892,
28783,0.02892,
29085,0.02892,
29441,0.02892,
29664,0.02892,
29737,0.02892,
29742,0.02892,
29744,0.02892,
30201,0.02892,
30423,0.02892,
30499,0.02892,
30737,0.02892,
30813,0.01443,
31134,0.02892,
31261,0.02892,
31313,0.02892,
31468,0.02892,
31801,0.02892,
32142,0.02892,
32672,0.02892,
32725,0.02892,
32941,0.02892,
33413,0.02892,
33472,0.02892,
33651,0.02892,
34053,0.02892,
34065,0.01462,
34107,0.01443,
34140,0.02892,
34271,0.02892,
34286,0.02892,
34341,0.02892,
34370,0.02892,
34372,0.02892,
35178,0.02892,
35414,0.02892,
35577,0.02892,
35635,0.02892,
36125,0.02892,
36126,0.02892,
36597,0.02892,
36632,0.02892,
36811,0.02892,
36833,0.02892,
36966,0.02892,
37516,0.02892,
37821,0.02892,
38001,0.02892,
38535,0.02892,
38580,0.02892,
38683,0.01462,
38706,0.02892,
38853,0.01443,
38937,0.02892,
38947,0.02892,
