nucleusKineticEnergykeV,numPhotonsCreated,nucleusEnergykeVPost,
48.9933,422,0,
49.0203,422,0,
53.089,437,0,
49.386,421,0,
53.4072,442,0,
51.5195,435,0,
47.8077,415,0,
52.937,439,0,
50.6356,430,0,
50.8415,431,0,
46.277,410,0,
50.4746,428,0,
54.7972,448,0,
51.142,431,0,
47.3861,415,0,
48.8603,424,0,
45.8253,405,0,
51.809,434,0,
45.3947,406,0,
49.6054,426,0,
53.0271,443,0,
48.4745,420,0,
47.4082,412,0,
48.2098,419,0,
48.9162,420,0,
46.202,408,0,
52.7692,441,0,
51.846,432,0,
47.8994,417,0,
47.523,412,0,
54.0353,444,0,
47.1945,413,0,
48.9104,422,0,
50.9266,428,0,
54.6382,450,0,
48.9206,422,0,
50.9631,432,0,
48.7086,416,0,
48.2808,420,0,
45.7109,406,0,
52.652,439,0,
46.2197,409,0,
48.4201,422,0,
50.5807,431,0,
54.8716,453,0,
49.1809,424,0,
47.0102,414,0,
48.188,419,0,
45.6339,406,0,
53.045,439,0,
54.5721,446,0,
50.1485,422,0,
50.1882,428,0,
46.4431,412,0,
50.0241,425,0,
47.4795,413,0,
47.3989,418,0,
53.6484,441,0,
52.4012,439,0,
47.298,418,0,
50.6762,428,0,
50.0169,427,0,
53.8083,441,0,
45.3873,403,0,
45.4467,403,0,
45.271,404,0,
49.6319,426,0,
47.5485,415,0,
54.3835,450,0,
45.9455,402,0,
47.0116,413,0,
46.7229,413,0,
47.2733,413,0,
47.8204,414,0,
45.1232,404,0,
51.3851,433,0,
52.8226,439,0,
46.3936,415,0,
48.8723,419,0,
49.9977,425,0,
50.8366,427,0,
45.4708,401,0,
51.0086,431,0,
46.2014,412,0,
47.8897,416,0,
50.7527,429,0,
50.2327,431,0,
52.2368,432,0,
53.126,434,0,
46.8527,409,0,
54.0556,445,0,
50.4712,432,0,
51.9693,434,0,
48.134,415,0,
50.1288,424,0,
54.8669,450,0,
45.5603,408,0,
51.975,434,0,
54.4106,445,0,
48.8995,419,0,
50.262,426,0,
50.4252,429,0,
49.2996,422,0,
53.1909,441,0,
53.0691,439,0,
52.7298,442,0,
49.8372,425,0,
46.536,414,0,
54.1347,441,0,
45.8405,407,0,
51.416,433,0,
53.611,444,0,
52.303,435,0,
45.3101,404,0,
53.9376,441,0,
46.672,412,0,
48.3775,417,0,
51.8965,434,0,
45.996,406,0,
54.0811,445,0,
52.0742,435,0,
53.0966,439,0,
54.4692,443,0,
45.9204,408,0,
52.1601,433,0,
53.2985,441,0,
45.7966,406,0,
45.8471,408,0,
51.598,437,0,
47.0519,414,0,
53.3285,443,0,
47.0891,415,0,
45.2552,406,0,
48.0307,417,0,
46.81,414,0,
47.1413,413,0,
49.2835,423,0,
45.2916,402,0,
53.8152,444,0,
48.1678,418,0,
54.4316,447,0,
50.4533,428,0,
46.0339,408,0,
48.6074,420,0,
46.9329,411,0,
48.0716,419,0,
50.2151,425,0,
48.3443,419,0,
52.0537,437,0,
46.003,410,0,
46.8507,413,0,
47.3706,414,0,
47.1768,416,0,
51.7881,430,0,
48.3417,416,0,
50.6209,425,0,
46.6022,412,0,
51.3363,434,0,
45.9077,407,0,
50.1546,428,0,
49.366,423,0,
50.4149,427,0,
45.6679,404,0,
45.5953,406,0,
48.1704,419,0,
52.2076,436,0,
52.9386,439,0,
54.991,451,0,
48.7296,420,0,
54.6773,445,0,
47.1102,417,0,
52.8556,441,0,
45.4252,403,0,
46.0882,408,0,
47.9487,417,0,
51.6703,433,0,
49.005,425,0,
54.1369,441,0,
50.3402,427,0,
52.6207,440,0,
