eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,
13717,185,13,15,42.3865,1,0,0,
19871,190,7,16,52.0107,1,0,0,
20234,202,14,18,12.105,1,0,0,
22453,193,9,11,5.83913,1,0,0,
23704,194,13,5,5.55802,1,0,0,
28442,147,7,4,12.1734,1,0,0,
28945,533,13,26,2.47945,1,0,1,
33554,187,20,8,62.6769,1,0,0,
34318,194,14,11,0.0434248,1,0,0,
34740,205,12,17,6.44477,1,0,0,
39932,155,11,13,30.3281,1,0,0,
40219,169,8,14,52.9992,1,0,0,
40654,144,6,11,25.5367,1,0,0,
43518,178,11,13,1.8065,1,0,0,
44677,199,7,9,68.1855,1,0,0,
49039,212,13,13,40.1398,1,0,0,
52602,185,17,13,31.5827,1,0,0,
56083,192,10,10,19.0278,1,0,0,
57150,168,11,10,0.0979983,1,0,0,
65630,190,10,11,10.6319,1,0,0,
66145,164,6,8,15.0993,1,0,0,
67250,482,34,27,6.75073,2,0,0,
70789,152,12,12,6.58089,1,0,0,
75013,204,10,13,36.2816,1,0,0,
81153,153,10,7,2.48956,1,0,0,
85880,194,9,11,43.9802,1,0,0,
86401,179,9,3,23.2772,1,0,0,
86969,162,13,8,19.8602,1,0,0,
87910,162,12,10,5.04343,1,0,0,
89156,172,11,17,11.0812,1,0,0,
92739,203,12,11,24.248,1,0,0,
92987,171,7,12,32.3654,1,0,0,
95548,497,35,13,12.5188,2,0,1,
95632,198,6,15,18.5833,1,0,0,
96127,201,21,14,8.75007,1,0,0,
99061,209,11,12,7.65784,1,0,0,
101512,187,6,11,8.43517,1,0,0,
101796,184,11,14,3.99443,1,0,0,
102432,177,9,16,0.945438,1,0,0,
103163,177,13,12,35.5467,1,0,0,
105740,176,10,8,18.2553,1,0,0,
106409,200,6,7,15.329,1,0,0,
109483,178,6,9,5.10655,1,0,0,
116039,177,10,10,17.06,1,0,0,
117334,160,9,14,25.7362,1,0,0,
120997,185,9,19,35.1848,1,0,0,
124284,210,9,12,43.9013,1,0,0,
124905,332,8,11,18.3618,2,0,1,
126394,173,8,9,29.5508,1,0,0,
126455,152,10,8,13.1676,1,0,0,
126486,180,10,7,18.5529,1,0,1,
133650,164,12,6,14.932,1,0,0,
134617,177,10,9,17.6925,1,0,0,
138691,315,17,26,2.68547,2,0,0,
141325,207,13,14,51.5002,1,0,0,
142395,176,16,15,10.2821,1,0,0,
147140,180,12,11,15.0969,1,0,0,
148583,351,5,5,28.8045,1,0,1,
151411,144,10,5,7.48381,1,0,0,
157185,196,15,9,56.3243,1,0,0,
164204,170,11,13,37.8595,1,0,0,
173034,180,7,7,54.5533,1,0,0,
173442,205,13,15,50.2759,1,0,0,
173948,171,9,11,15.5457,1,0,0,
175946,187,13,12,9.55761,1,0,0,
176719,528,27,32,13.6685,2,0,0,
176786,179,11,10,60.5294,1,0,0,
183005,177,7,7,3.29993,1,0,0,
184050,372,13,3,14.9654,1,0,1,
184322,191,16,11,44.4127,1,0,0,
189242,183,10,17,12.2315,1,0,0,
189485,181,10,7,3.10862,1,0,0,
192387,194,9,11,47.9093,1,0,0,
197632,176,11,9,8.61724,1,0,0,
197818,173,12,11,34.8625,1,0,0,
198548,313,2,3,9.57038,1,0,1,
205202,163,10,5,13.3523,1,0,0,
208157,161,6,5,35.5097,1,0,0,
209284,216,11,9,4.16139,1,0,0,
209586,202,13,9,32.8197,1,0,0,
210946,159,9,11,32.2563,1,0,0,
211190,184,7,9,4.49588,1,0,0,
211423,209,21,11,8.95032,1,0,0,
212879,159,12,9,1.03114,2,0,0,
213034,792,42,45,12.7892,2,0,0,
216341,177,10,15,9.13116,1,0,0,
221059,175,11,13,2.77399,1,0,0,
222981,169,9,9,13.1052,1,0,0,
226931,154,9,9,29.7724,1,0,0,
228386,166,12,8,11.0136,1,0,0,
231183,183,12,13,0.629157,1,0,0,
233444,176,16,9,33.3634,1,0,0,
235922,378,21,20,11.1027,2,0,0,
236661,197,14,11,19.6792,2,0,0,
237099,215,10,9,3.57082,1,0,0,
238506,437,17,11,5.78454,1,0,1,
239377,190,13,11,6.75763,1,0,0,
241578,181,9,14,11.3827,1,0,0,
243054,177,12,10,22.9709,1,0,0,
245160,191,18,12,25.9824,1,0,0,
245993,753,43,62,18.8244,2,0,0,
246888,338,3,4,40.0965,1,0,1,
250704,170,12,9,0.0765495,1,0,0,
251187,195,8,13,30.1595,1,0,0,
253440,577,7,10,0.537457,1,0,1,
253640,189,12,9,16.4227,1,0,0,
256491,195,15,10,30.5204,1,0,0,
258532,153,6,13,53.6393,1,0,0,
259942,202,16,12,18.9254,1,0,0,
261989,1761,59,46,16.8145,1,0,1,
266849,470,6,8,47.9071,1,0,1,
270272,191,11,12,18.0597,1,0,0,
274127,187,10,8,62.0821,1,0,0,
274790,344,27,19,24.3356,2,0,0,
279224,172,7,15,13.767,1,0,0,
280598,196,4,3,27.8648,1,0,1,
