eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,
13088,338,14,33,23.8709,1,0,0,32.0934,48.0118,
18792,279,15,23,24.8015,1,0,0,23.5263,45.3211,
19582,392,17,31,23.2173,2,0,0,29.6768,44.8437,
23409,328,22,20,38.1954,1,0,0,30.7176,42.9828,
26920,396,11,14,8.44106,1,0,1,12.0909,44.483,
34703,301,7,18,42.4299,1,0,0,26.9412,46.8057,
37284,306,9,25,37.0069,1,0,0,27.5737,45.4179,
38654,303,19,25,27.4306,1,0,0,26.505,45.2966,
66106,349,14,32,12.2792,1,0,0,34.6308,47.4211,
66192,357,11,35,1.5949,1,0,0,35.2346,46.8386,
71776,291,24,9,26.1314,1,0,0,24.614,44.9502,
72096,347,8,34,20.3533,1,0,0,34.2995,45.5787,
75855,308,12,32,20.823,1,0,0,27.4258,44.1762,
80658,316,7,31,5.08636,1,0,0,28.5552,47.9399,
80907,328,17,11,16.7301,1,0,1,19.5824,45.1088,
81264,429,12,15,45.3914,1,0,1,18.238,45.9112,
87376,298,27,15,51.7883,1,0,0,25.9987,44.9583,
93569,333,7,27,32.696,1,0,0,31.8101,43.3112,
97361,302,19,18,2.50773,1,0,0,26.1419,46.6796,
98100,326,34,7,3.39166,1,0,0,30.6798,46.9771,
98434,293,12,30,14.4202,1,0,0,25.2643,45.1261,
104792,310,6,35,12.8171,1,0,0,28.2273,43.7853,
105694,286,32,5,22.8491,1,0,0,24.1048,46.5214,
117053,884,52,64,34.2338,2,0,0,107.596,46.1902,
118890,305,17,29,27.818,1,0,0,26.9886,47.1834,
121427,330,10,18,3.09047,1,0,0,31.1479,44.0862,
123072,288,10,22,34.0821,1,0,0,24.542,44.7579,
124262,339,23,10,24.6551,1,0,0,32.9883,45.2682,
125464,316,15,26,0.857127,1,0,0,29.3947,43.8484,
126876,360,2,2,30.5495,1,0,1,4.10892,47.6649,
127093,975,21,41,9.94331,1,0,1,46.5852,47.2734,
136235,314,29,20,76.1703,1,0,0,29.1502,47.935,
138843,328,33,18,6.33904,1,0,0,30.9532,44.0487,
145543,252,10,18,0.9234,1,0,1,19.4348,48.7597,
147146,374,17,24,25.2176,1,0,1,35.8698,45.502,
149829,309,22,10,17.7096,1,0,0,27.8522,43.6008,
155741,499,13,27,18.2182,1,0,1,29.3672,47.6122,
161624,322,32,22,18.0863,1,0,0,30.0478,46.8056,
162476,356,6,24,32.8033,1,0,0,35.8858,42.9379,
167862,421,39,11,13.0737,2,0,0,33.2652,44.0985,
168366,293,14,22,12.3174,1,0,0,25.2103,45.2073,
176361,299,8,31,84.7548,1,0,0,26.4293,45.7539,
177622,294,7,30,30.3655,1,0,0,25.3099,43.7243,
187238,291,14,17,21.2051,1,0,0,24.7887,44.7855,
190982,1667,43,49,51.8756,1,0,1,166.119,48.7277,
191838,284,37,5,25.1173,1,0,0,23.9027,43.8711,
203428,335,14,31,17.1173,1,0,0,32.0619,46.4429,
230191,475,10,27,6.62428,1,0,1,31.676,43.717,
240870,471,21,30,10.9528,2,0,0,36.0356,43.3906,
253016,301,35,4,29.2696,1,0,0,26.209,43.6565,
260233,321,31,5,26.2764,1,0,0,29.9731,47.4053,
261115,325,19,25,17.364,1,0,0,29.9687,43.9601,
265690,297,17,29,8.0185,1,0,0,26.5056,48.0462,
272205,267,4,30,19.7027,1,0,0,21.4882,47.3344,
278433,353,21,15,69.3031,1,0,0,35.1402,44.3837,
291555,335,31,11,38.2969,1,0,0,32.2737,46.5123,
293340,346,22,16,20.9337,1,0,0,34.0067,46.4316,
294836,304,11,21,82.6898,1,0,0,26.8378,46.7989,
296005,289,6,25,30.5914,1,0,0,25.2304,48.5693,
296176,331,3,6,29.5932,1,0,1,2.86095,44.4906,
298771,337,36,11,25.8648,1,0,0,32.1057,44.8733,
308315,276,21,15,2.88843,2,0,0,21.8568,43.6761,
311162,287,5,24,19.2092,1,0,0,24.2153,46.6301,
312135,334,11,27,32.1105,1,0,0,32.0838,48.9957,
315952,331,36,14,31.8775,1,0,0,31.3126,45.9105,
317187,312,14,13,13.3128,1,0,0,28.3779,45.7798,
318488,293,35,10,40.8413,1,0,0,25.2515,48.5118,
319562,300,22,15,7.20453,1,0,0,26.4024,44.6388,
320568,346,12,41,0.815927,1,0,0,34.2094,44.964,
324948,317,26,11,17.4584,2,0,0,26.2018,44.1902,
335034,331,20,20,5.26242,1,0,0,31.3115,44.7482,
359106,682,17,34,0.641519,1,0,1,18.0195,47.6956,
360509,311,8,17,41.7714,1,0,0,28.3617,45.0548,
362287,542,45,23,20.4762,2,0,0,56.3835,45.0223,
364856,321,14,16,4.98357,1,0,0,29.6913,45.1942,
370702,334,23,13,7.55488,1,0,0,31.6262,43.5536,
370732,287,20,14,16.6473,1,0,0,24.2322,44.876,
376749,354,30,14,29.3192,1,0,0,35.1875,45.8334,
382358,505,20,23,50.2702,1,0,1,34.7256,47.5443,
398240,277,6,24,13.6086,1,0,0,22.6517,44.6697,
403453,337,14,22,17.2065,1,0,0,31.9198,47.1805,
406858,290,18,11,16.5508,1,0,0,24.7797,46.7186,
410188,326,13,26,7.83398,1,0,0,30.2225,43.7516,
412215,344,19,9,3.78011,1,0,0,33.6709,48.1127,
418146,277,26,14,22.0469,1,0,0,23.3046,44.8315,
422528,349,9,28,20.3188,1,0,0,34.357,45.2671,
431498,307,22,9,0.762475,1,0,0,27.5088,47.3882,
433467,337,18,15,10.9364,1,0,0,32.6652,48.0391,
434951,269,19,9,5.3338,1,0,0,22.0419,45.7397,
437708,312,19,23,21.3401,1,0,0,28.4041,44.0168,
448779,300,15,19,96.0769,1,0,0,26.2109,46.7608,
452908,472,32,14,18.3262,1,0,1,44.8272,43.3414,
464956,486,15,23,43.2713,1,0,1,26.3438,43.6288,
467380,1169,35,22,18.6272,1,0,1,61.4251,48.9051,
468832,535,30,15,3.94377,2,0,1,25.0045,44.9931,
477458,296,15,22,34.2378,1,0,0,25.346,45.1569,
477638,1026,56,21,31.5705,1,0,1,73.4384,46.4196,
481103,394,12,19,18.8552,1,0,1,19.0918,48.0254,
481576,322,17,23,66.6596,1,0,0,29.9283,45.061,
485659,296,20,16,18.9905,1,0,0,25.9575,44.52,
489576,346,20,18,1.2212,1,0,0,33.7687,45.6493,
507272,313,31,11,10.0273,1,0,0,28.2836,47.7419,
507601,318,13,27,51.0875,1,0,0,29.0032,44.9782,
