eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,
1357,460,30,27,1.46652,1,0,0,58.4003,44.949,
3634,469,14,28,6.61646,1,0,1,51.6206,44.6616,
5285,616,39,9,37.2984,1,0,1,50.4987,44.083,
11106,475,12,49,34.2143,1,0,0,61.3686,48.6832,
12898,493,35,33,32.5399,1,0,0,65.8111,44.3999,
18295,487,18,42,13.4079,1,0,0,66.0151,46.4824,
27495,499,25,31,15.5528,1,0,0,67.0892,48.5236,
32701,484,20,33,4.26593,1,0,0,63.1682,45.9709,
36432,454,23,29,60.0054,1,0,0,57.3814,46.1869,
40033,482,8,16,24.6223,1,0,1,12.402,46.3565,
52056,1006,93,37,25.383,2,0,0,162.586,48.19,
52343,488,24,33,0.829921,1,0,0,64.6735,47.7305,
62868,489,33,29,18.8496,1,0,0,66.4734,45.7299,
63009,498,13,47,20.5183,1,0,0,66.5976,45.2994,
76493,444,30,38,9.80502,1,0,0,53.3872,43.4823,
91579,447,18,31,21.1422,1,0,0,54.5703,44.5317,
105272,471,19,27,7.0375,1,0,0,61.5403,45.907,
111151,452,32,25,55.0193,1,0,0,56.0643,45.8223,
133135,469,29,32,24.2976,1,0,0,60.689,43.6959,
133971,469,13,50,14.6888,1,0,0,59.6276,45.0572,
139889,488,36,18,48.5809,1,0,0,64.6708,44.2636,
152394,474,15,31,10.5623,1,0,0,61.1838,46.2214,
154306,452,28,19,32.4655,1,0,0,55.6372,45.348,
159652,496,40,18,18.9496,2,0,0,41.9669,46.41,
178220,500,20,38,4.94019,1,0,1,65.8462,46.1182,
206897,494,4,7,34.5308,1,0,1,5.65059,43.5798,
234035,480,23,37,57.8856,1,0,0,62.171,46.4838,
237507,798,13,27,27.8542,1,0,1,36.8469,48.5442,
252558,685,16,24,0.358931,1,0,1,35.2683,47.2727,
257630,887,7,19,47.4182,1,0,1,20.5754,47.3251,
258158,443,24,27,19.2677,1,0,0,54.442,46.276,
274784,460,36,23,16.422,1,0,0,58.1507,46.9491,
276944,754,20,28,2.40236,1,0,1,26.3892,46.6785,
282129,499,36,25,1.00874,1,0,0,67.6436,47.7853,
283220,463,40,24,25.1651,1,0,0,58.8933,45.0721,
287401,444,19,27,23.5572,1,0,0,54.0367,42.917,
291442,437,53,12,50.0905,1,0,0,51.3921,46.5116,
311088,1511,107,81,40.3644,3,0,0,236.911,48.6291,
312111,483,26,20,23.2828,1,0,0,62.8452,46.9214,
321549,306,15,34,18.4279,1,0,0,27.5244,45.9488,
344330,716,25,71,19.89,3,0,0,55.5521,43.6588,
346070,454,49,18,52.8815,1,0,0,56.3414,44.2622,
346283,471,37,21,2.75047,1,0,0,59.884,47.2161,
