eventID,eDep,
0,0,
1,644.068,
2,964.874,
3,1887.38,
4,885.526,
5,1302.19,
6,835.467,
7,703.546,
8,1436.93,
9,0,
10,1299.93,
11,1307.24,
12,81.8327,
13,1018.31,
14,688.497,
15,1347.55,
16,1312.47,
17,0,
18,1594.85,
19,1199.55,
20,0,
21,1274.29,
22,212.781,
23,0,
24,1788.4,
25,756.838,
26,1657.96,
27,0,
28,794.048,
29,1087.53,
30,0,
31,1768.41,
32,1557.28,
33,611.197,
34,0,
35,101.978,
36,1241.13,
37,431.264,
38,618.43,
39,283.116,
40,1922.77,
41,1345.38,
42,0,
43,0,
44,1536.74,
45,970.04,
46,0,
47,0,
48,0,
49,1721.59,
50,1652.24,
51,689.006,
52,1634.98,
53,383.676,
54,1910.09,
55,1078.23,
56,0,
57,1700.76,
58,1234.93,
59,1320.89,
60,1605.65,
61,714.413,
62,728.465,
63,852.057,
64,1717.06,
65,0,
66,1622.91,
67,927.869,
68,678.334,
69,1010.94,
70,1294.7,
71,1608.1,
72,0,
73,783.72,
74,1838.39,
75,672.81,
76,63.0513,
77,148.647,
78,68.5657,
79,965.013,
80,0,
81,1905.95,
82,1165.78,
83,847.71,
84,1444.05,
85,0,
86,210.904,
87,991.269,
88,1966.74,
89,1056.92,
90,1573.68,
91,893.691,
92,365.169,
93,722.426,
94,1291.8,
95,1927.13,
96,464.077,
97,1954.65,
98,0,
99,719.744,
100,0,
101,0,
102,1349.76,
103,1166.07,
104,1901.5,
105,0,
106,1500.58,
107,759.637,
108,1765.04,
109,1019.45,
110,925.474,
111,634.261,
112,0,
113,795.069,
114,1460.24,
115,0,
116,749.088,
117,408.589,
118,0,
119,400.42,
120,772.451,
121,0,
122,0,
123,1578.18,
124,1937.82,
125,0,
126,0,
127,840.316,
128,553.314,
129,1889.8,
130,645.956,
131,906.601,
132,1493.75,
133,1952.6,
134,869.644,
135,968.042,
136,828.299,
137,746.6,
138,1689.91,
139,801.739,
140,613.924,
141,231.031,
142,1076.56,
143,0,
144,1612.98,
145,519.14,
146,0,
147,813.084,
148,729.752,
149,1304.47,
150,1638.19,
151,1502.37,
152,1306.87,
153,1028.31,
154,841.188,
155,1906.41,
156,0,
157,769.962,
158,1234.15,
159,1944.15,
160,70.3194,
161,402.042,
162,0,
163,1550.38,
164,836.746,
165,960.951,
166,0,
167,1493.05,
168,733.181,
169,708.517,
170,0,
171,927.812,
172,1080.82,
173,1606.7,
174,0,
175,0,
176,0,
177,1895.32,
178,0,
179,1290.56,
180,423.2,
181,1449.47,
182,1281.64,
183,1799.36,
184,1590.28,
185,1040.88,
186,0,
187,1041.84,
188,1457.58,
189,583.943,
190,594.5,
191,1634.44,
192,1583.82,
193,686.082,
194,0,
195,1208.11,
196,1321.32,
197,912.804,
198,1338.58,
199,1757.34,
200,1696.6,
201,1847.58,
202,0,
203,786.812,
204,892.36,
205,24.4238,
206,0,
207,0,
208,0,
209,631.579,
210,266.935,
211,1855.76,
212,759.232,
213,0,
214,0,
215,1231.26,
216,942.559,
217,1435.79,
218,734.203,
219,1113.53,
220,807.705,
221,1181.63,
222,537.161,
223,1133.39,
224,703.038,
225,1298.84,
226,1412.58,
227,1730.4,
228,0,
229,89.1904,
230,1110.56,
231,926.299,
232,771.555,
233,706.409,
234,0,
235,23.8744,
236,736.271,
237,0,
238,584.405,
239,726.919,
240,1301.7,
241,1385.45,
242,1694.91,
243,181.579,
244,1492.35,
245,581.109,
246,1159.97,
247,1755.58,
248,1638.38,
249,1289.73,
250,1123.06,
251,50.4613,
252,0,
253,0,
254,1652.12,
255,1271.89,
256,0,
257,764.9,
258,681.358,
259,1067.93,
260,504.947,
261,1295.62,
262,923.318,
263,98.2378,
264,1714.06,
265,1156.97,
266,1047.89,
267,1684.76,
268,0,
269,1110.53,
270,0,
271,1666.38,
272,1009.87,
273,968.51,
274,936.4,
275,0,
276,1038.98,
277,512.099,
278,1301.52,
279,1437.84,
280,0,
281,1494.91,
282,845.428,
283,1385.73,
284,1601.37,
285,1009.99,
286,1756.46,
287,774.577,
288,926.503,
289,1199.23,
290,1400.57,
291,0,
292,541.035,
293,1238.07,
294,560.422,
295,1472.68,
296,0,
297,800.792,
298,1835.62,
299,459.048,
300,1821.17,
301,164.374,
302,1140.08,
303,507.182,
304,510.979,
305,1813.7,
306,1401.77,
307,693.08,
308,0,
309,952.665,
310,489.292,
311,1073.48,
312,0,
313,0,
314,1696.6,
315,1480.57,
316,427.461,
317,696.164,
318,1120.6,
319,1654.35,
320,1272.3,
321,0,
322,743.924,
323,927.041,
324,1443.4,
325,245.626,
326,841.886,
327,1010.88,
328,0,
329,890.032,
330,1220.81,
331,1139.19,
332,573.307,
333,0,
334,780.367,
335,1611.84,
336,739.074,
337,1455.96,
338,0,
339,1824.45,
340,1882.61,
341,1017.26,
342,1509.19,
343,1472.01,
344,1284.96,
345,1910.45,
346,707.236,
347,0,
348,920.735,
349,0,
350,0,
351,1570.06,
352,1431.1,
353,837.163,
354,1696.96,
355,0,
356,1992.91,
357,826.055,
358,286.784,
359,0,
360,1193.94,
361,1501.52,
362,808.973,
363,0,
364,0,
365,0,
366,1468.82,
367,1332.39,
368,1993.42,
369,552.145,
370,864.957,
371,342.352,
372,1533.59,
373,254.739,
374,628.71,
375,1092.15,
376,1316.52,
377,1503.51,
378,769.347,
379,1706.64,
380,0,
381,1481.92,
382,981.07,
383,1275.79,
384,0,
385,1977.8,
386,770.28,
387,1025.44,
388,1127.08,
389,778.532,
390,1428.71,
391,1460.61,
392,0,
393,1013.43,
394,1347.84,
395,126.93,
396,895.398,
397,764.37,
398,905.464,
399,1562.37,
400,760.487,
401,1262,
402,1543.15,
403,1253.85,
404,1770.45,
405,0,
406,0,
407,1614.88,
408,1480.15,
409,871.254,
410,909.402,
411,890.047,
412,1636.84,
413,497.354,
414,990.201,
415,1690.57,
416,0,
417,1266.7,
418,1205.13,
419,780.302,
420,1082.15,
421,1046.1,
422,441.111,
423,0,
424,0,
425,1782.6,
426,1854.54,
427,1763.23,
428,900.379,
429,1650.64,
430,1861.69,
431,1685.13,
432,947.101,
433,0,
434,721.118,
435,725.949,
436,1384.2,
437,1107.2,
438,287.874,
439,1836.73,
440,0,
441,1283.01,
442,822.968,
443,1574.4,
444,0,
445,1411.8,
446,1875.23,
447,1357.23,
448,1045.99,
449,1881.83,
450,604.507,
451,550.894,
452,1066.21,
453,556.576,
454,53.3645,
455,1700.6,
456,592.748,
457,803.711,
458,712.525,
459,391.339,
460,0,
461,1.16457,
462,1523.66,
463,1247.33,
464,934.258,
465,1420.94,
466,741.971,
467,0,
468,726.89,
469,0,
470,0,
471,0,
472,1923.5,
473,0,
474,1051.33,
475,0,
476,1170.97,
477,1271.47,
478,857.394,
479,1081.26,
480,93.1053,
481,1500.23,
482,1028.41,
483,857.772,
484,1016.68,
485,1301.35,
486,1084.58,
487,1914.36,
488,1187.79,
489,1147.62,
490,1613.79,
491,568.645,
492,720.69,
493,0,
494,1594.98,
495,1953.14,
496,687.762,
497,1203.95,
498,943.799,
499,1933.17,
500,188.037,
501,623.131,
502,1438.91,
503,0,
504,1748.28,
505,746.515,
506,0,
507,1405.63,
508,1345.27,
509,1190.02,
510,1233.68,
511,0,
512,0,
513,1102.5,
514,0,
515,936.907,
516,1477.62,
517,967.417,
518,1502.14,
519,1543.35,
520,1900.16,
521,1292.02,
522,0,
523,1054.85,
524,638.427,
525,1458.55,
526,1443.08,
527,0,
528,0,
529,1154.02,
530,966.978,
531,1315.36,
532,646.084,
533,1974.56,
534,558.466,
535,629.412,
536,1126.88,
537,882.981,
538,721.065,
539,902.69,
540,342.585,
541,911.803,
542,1309.06,
543,0,
544,1667.56,
545,1531.33,
546,0,
547,1387.07,
548,1694.24,
549,0,
550,390.469,
551,959.062,
552,1126.18,
553,1904.75,
554,1414.04,
555,1907.03,
556,0,
557,652.254,
558,194.23,
559,0,
560,1478.39,
561,792.292,
562,833.887,
563,1019.58,
564,979.6,
565,1471.76,
566,0,
567,1450.7,
568,1045.99,
569,1837.82,
570,1454.51,
571,1836.37,
572,1386.81,
573,1503.06,
574,0,
575,1103.28,
576,0,
577,849.167,
578,415.607,
579,870.192,
580,541.777,
581,748.96,
582,1150.87,
583,0,
584,397.39,
585,1406.24,
586,520.837,
587,863.012,
588,1000.49,
589,0,
590,1641.74,
591,955.175,
592,0,
593,1047.6,
594,0,
595,1898.05,
596,1207.06,
597,857.069,
598,0,
599,756.156,
600,1462.8,
601,1002.1,
602,1083.23,
603,1061.1,
604,1356.04,
605,0,
606,1045.4,
607,1851.15,
608,466.964,
609,1062.76,
610,1215.67,
611,345.184,
612,595.138,
613,630.595,
614,0,
615,565.934,
616,1239.91,
617,1265.84,
618,1406.14,
619,823.339,
620,0,
621,714.818,
622,367.997,
623,1521.13,
624,0,
625,1875.13,
626,533.385,
