eventID,eDep,
2,105.056,
5,110.291,
7,95.6811,
8,104.688,
9,104.041,
10,96.181,
11,62.766,
12,68.0512,
13,84.9263,
18,60.9871,
19,108.939,
23,107.306,
24,99.0127,
26,90.6286,
27,105.489,
28,85.1634,
29,59.5663,
31,72.4362,
32,60.8436,
34,99.4062,
36,101.1,
37,109.619,
38,91.9609,
39,107.938,
40,93.8731,
42,110.152,
43,72.2353,
44,110.094,
45,86.7896,
47,105.636,
49,110.181,
50,76.0156,
51,107.265,
52,110.274,
53,87.5177,
54,109.887,
56,58.6443,
57,109.928,
58,81.0149,
59,99.1762,
61,108.497,
62,102.252,
64,97.9236,
65,90.2481,
66,109.966,
67,90.8775,
68,98.7178,
69,107.006,
70,103.857,
71,110.092,
73,101.165,
74,86.6562,
75,109.599,
76,54.345,
79,67.8213,
80,95.684,
81,101.701,
82,109.819,
83,89.7461,
85,110.277,
87,110.266,
88,108.805,
90,87.2339,
91,108.392,
93,110.291,
94,71.2539,
95,61.5907,
96,84.275,
98,108.134,
100,110.249,
103,109.148,
104,83.5623,
105,91.2357,
107,110.116,
108,99.9723,
109,102.535,
111,68.525,
112,81.6163,
113,107.027,
114,86.3576,
115,108.776,
117,95.8945,
119,93.3461,
121,67.6524,
122,109.588,
123,109.84,
124,109.933,
125,109.878,
126,104.261,
127,80.5395,
128,107.317,
129,70.3132,
130,109.806,
132,103.93,
133,59.7327,
134,110.251,
135,109.691,
137,110.245,
139,75.8018,
140,104.276,
141,101.725,
142,96.5037,
143,96.345,
144,72.862,
145,110.286,
146,107.97,
147,104.073,
148,79.2382,
149,89.0538,
150,109.781,
153,99.4526,
156,61.3673,
157,68.8374,
158,110.134,
159,110.04,
160,61.4753,
161,67.2434,
162,106.226,
163,102.269,
164,83.7554,
165,108.744,
167,85.397,
168,110.263,
169,84.7617,
172,53.9865,
175,107.402,
176,109.984,
177,104.981,
178,71.9066,
180,107.019,
181,93.3834,
182,90.8216,
183,108.755,
184,72.6829,
185,107.377,
186,96.8054,
188,105.118,
189,98.4163,
190,100.703,
191,100.912,
192,97.7062,
194,107.021,
195,96.8125,
197,109.795,
198,85.2171,
199,91.9562,
200,67.9174,
202,107.635,
203,56.906,
204,80.4214,
205,68.1191,
206,100.732,
207,106.728,
208,103.037,
211,68.1517,
212,102.514,
213,85.5211,
214,110.089,
216,90.5303,
217,107.365,
221,76.6973,
222,66.2086,
223,109.764,
224,104.269,
225,53.6927,
226,110.241,
229,106.674,
230,72.3668,
231,103.764,
232,50.1297,
233,97.2111,
234,106.653,
235,89.4275,
236,93.5008,
237,83.6003,
239,98.9894,
240,110.294,
241,86.2865,
243,110.289,
244,109.547,
245,110.18,
247,106.025,
248,110.233,
249,78.2863,
250,83.5577,
251,65.6677,
253,68.7777,
254,92.2213,
255,73.4459,
256,99.7165,
257,110.294,
259,77.2111,
260,87.3368,
261,110.121,
264,108.198,
266,110.287,
267,97.2959,
269,108.096,
270,79.6183,
271,106.804,
272,106.75,
275,89.2662,
276,78.4771,
277,103.283,
279,110.289,
280,91.8332,
281,101.287,
283,104.21,
284,109.968,
285,78.6491,
286,92.7179,
291,110.294,
294,99.4612,
298,87.5052,
302,66.5163,
304,110.293,
305,110.288,
307,76.6189,
308,100.493,
310,106.399,
311,79.5919,
312,110.225,
313,93.1562,
314,84.5388,
315,107.318,
316,59.807,
318,98.8706,
321,97.5462,
