eventID,energy,recoilAngle,neutronAngle,
2449,2.46292,1.26266,0.591733,
2450,2.4988,1.51624,0.104524,
2453,2.29237,0.77029,1.55702,
2455,2.22147,0.589421,1.92143,
2457,2.12243,0.254349,2.61062,
2458,2.43187,1.1471,0.815361,
2459,2.33556,0.877978,1.34277,
2460,2.46319,1.26382,0.589493,
2461,2.20863,0.554434,1.99258,
2462,2.4528,1.22155,0.671138,
2463,2.30957,0.812988,1.47183,
2464,2.44726,1.20068,0.711499,
2466,2.30183,0.793762,1.51015,
2467,2.49188,1.42839,0.272947,
2468,2.44623,1.19691,0.718794,
2469,2.46419,1.26814,0.581162,
2471,2.29681,0.781318,1.53499,
2473,2.19719,0.522183,2.05836,
2474,2.31908,0.836659,1.42474,
2475,2.46568,1.27467,0.568557,
2476,2.10334,0.126648,2.87679,
2478,2.35777,0.934756,1.2306,
2479,2.42808,1.13471,0.839419,
2480,2.25665,0.680918,1.73636,
2481,2.44322,1.18606,0.739806,
2482,2.46301,1.26303,0.591023,
2484,2.48886,1.40379,0.320175,
2486,2.4884,1.4003,0.326873,
2487,2.4522,1.21923,0.675627,
2488,2.27973,0.738866,1.61991,
2489,2.44712,1.20017,0.712491,
2490,2.40497,1.06382,0.977478,
2492,2.49864,1.51271,0.111289,
2493,2.44701,1.19978,0.713255,
2496,2.43441,1.15559,0.798891,
2497,2.17766,0.464064,2.17732,
2498,2.36277,0.947779,1.20495,
2499,2.46489,1.2712,0.575266,
2500,2.49746,1.49125,0.152405,
2501,2.40696,1.06966,0.966081,
2504,2.35459,0.926525,1.24683,
2505,2.46651,1.27842,0.56133,
2506,2.35995,0.940422,1.21944,
2507,2.41624,1.09746,0.911891,
2508,2.39555,1.03673,1.0304,
2509,2.42765,1.13332,0.842137,
2511,2.11297,0.200966,2.72173,
2512,2.46743,1.28255,0.553366,
2513,2.49371,1.44552,0.240097,
2514,2.41384,1.09017,0.926094,
2515,2.21082,0.56047,1.98029,
2516,2.39909,1.0468,1.01071,
2518,2.4904,1.41586,0.296997,
2521,2.44319,1.18596,0.740012,
2522,2.25196,0.668986,1.76041,
2523,2.19491,0.515622,2.07176,
2525,2.46862,1.28802,0.542825,
2526,2.25225,0.669731,1.75891,
2527,2.49274,1.43623,0.257912,
2528,2.35325,0.923061,1.25366,
2529,2.45984,1.24968,0.616791,
2530,2.4509,1.21428,0.685193,
2531,2.3839,1.00429,1.09391,
2532,2.48072,1.35031,0.422908,
2533,2.4747,1.31755,0.485942,
2535,2.25215,0.669483,1.75941,
2536,2.37279,0.974272,1.15284,
2537,2.42853,1.13616,0.836611,
2538,2.45568,1.23282,0.64936,
2540,2.34788,0.909272,1.28089,
2541,2.44811,1.20381,0.705441,
2542,2.38629,1.01086,1.08105,
2543,2.20049,0.531611,2.03911,
2545,2.44516,1.19301,0.726349,
2547,2.24723,0.656909,1.78478,
2548,2.34015,0.889597,1.31978,
2549,2.19607,0.518958,2.06495,
2550,2.44801,1.20344,0.70616,
2551,2.46483,1.27092,0.575801,
2552,2.46374,1.2662,0.5849,
2553,2.35074,0.916602,1.26641,
2556,2.36187,0.945426,1.20958,
2557,2.36279,0.947835,1.20484,
2558,2.25304,0.671747,1.75484,
2559,2.3672,0.959442,1.18199,
2561,2.23466,0.624357,1.85059,
2562,2.49651,1.47757,0.178634,
2563,2.10138,0.105423,2.92113,
2564,2.45394,1.22598,0.662577,
2565,2.19227,0.507931,2.08748,
2566,2.48492,1.37612,0.373315,
2567,2.34311,0.897094,1.30495,
2568,2.26962,0.7136,1.67061,
2569,2.49367,1.44515,0.240809,
2570,2.39335,1.03052,1.04255,
2573,2.45721,1.23893,0.637541,
2574,2.45913,1.24672,0.622504,
2575,2.20914,0.555824,1.98975,
2576,2.36952,0.965556,1.16997,
2577,2.48995,1.41226,0.303911,
2578,2.23861,0.634659,1.82974,
2580,2.46866,1.28823,0.542423,
2581,2.21106,0.561129,1.97895,
