x,y
0.009858437,3.667037513
0.010143596,3.269812288
0.010738899,2.915615769
0.011369138,2.526327366
0.011697996,2.252667511
0.012036365,1.95189491
0.01274275,1.691280991
0.013490591,1.424055682
0.013490591,1.424055682
0.01428232,1.233918021
0.014695442,1.100256077
0.015120514,0.981072822
0.016470935,0.850081531
0.017437574,0.715767186
0.018460943,0.620199084
0.020109699,0.569097558
0.021289888,0.507451091
0.023191299,0.465639477
0.023862117,0.41519992
0.023862117,0.41519992
0.025993256,0.392067638
0.027518736,0.359763084
0.029976449,0.330120276
0.032653662,0.294360592
0.036598854,0.270106646
0.041020703,0.247851112
0.043428107,0.230712189
0.048675061,0.214758424
0.053022256,0.197063326
0.057757702,0.186084219
0.064735948,0.175716797
0.0725573,0.165926981
0.081323623,0.161238548
0.093785613,0.152255368
0.102161656,0.152255368
0.114504757,0.143772673
0.128339142,0.143772673
0.13980118,0.139710233
0.165887721,0.131926472
0.185930161,0.124576374
0.208394114,0.124576374
0.240328322,0.117635775
0.269364623,0.111081863
0.30190907,0.107943133
0.338385515,0.104893092
0.379269019,0.09904912
0.437388009,0.093530737
0.490232926,0.088319803
0.53401589,0.088319803
0.581709133,0.083399189
0.633661885,0.07875272
0.710220476,0.074365122
0.842745795,0.070221973
0.944565759,0.068237781
1.05868754,0.062615305
1.153239488,0.059126781
1.329961317,0.055832615
1.533763908,0.052721979
1.670745179,0.049784647
1.872603455,0.047010965
2.098850109,0.044391815
2.352431726,0.041918587
2.562528656,0.03846469
2.955209235,0.036321684
3.312255569,0.033328946
3.712439995,0.03147207
4.160974425,0.029718648
4.798600016,0.026499429
5.694006475,0.02502305
5.694006475,0.02502305
6.381952396,0.023628926
7.359919514,0.021682012
8.487749812,0.021069365
9.788408248,0.019895515
