energy;cx;cx_err
285960 eV ; 1.7082 b ; 0.010379 b
287220 eV ; 1.6515 b ; 0.083223 b
287260 eV ; 1.9261 b ; 0.083412 b
287310 eV ; 2.0944 b ; 0.083791 b
287350 eV ; 2.3519 b ; 0.083744 b
287390 eV ; 2.6452 b ; 0.085782 b
287430 eV ; 3.0330 b ; 0.086351 b
287480 eV ; 2.9464 b ; 0.084976 b
287520 eV ; 2.7772 b ; 0.084218 b
287560 eV ; 2.2954 b ; 0.082512 b
287600 eV ; 2.0196 b ; 0.081517 b
287640 eV ; 1.7359 b ; 0.080900 b
287690 eV ; 1.7422 b ; 0.079763 b
287730 eV ; 1.8116 b ; 0.080379 b
287770 eV ; 1.7253 b ; 0.080569 b
287810 eV ; 1.7110 b ; 0.080995 b
287940 eV ; 1.6594 b ; 0.036777 b
288350 eV ; 1.6551 b ; 0.023175 b
290070 eV ; 1.6249 b ; 0.010095 b
292760 eV ; 1.5451 b ; 0.0097630 b
295530 eV ; 1.5061 b ; 0.0093839 b
297130 eV ; 1.4865 b ; 0.024360 b
297420 eV ; 1.8200 b ; 0.044834 b
297560 eV ; 2.6432 b ; 0.045687 b
297650 eV ; 3.6947 b ; 0.081422 b
297690 eV ; 4.6931 b ; 0.087583 b
297740 eV ; 6.1706 b ; 0.095592 b
297780 eV ; 7.8327 b ; 0.11014 b
297820 eV ; 9.5664 b ; 0.12806 b
297870 eV ; 10.807 b ; 0.14607 b
297910 eV ; 11.036 b ; 0.14924 b
297960 eV ; 9.6308 b ; 0.13133 b
298000 eV ; 7.9240 b ; 0.11336 b
298050 eV ; 6.6665 b ; 0.10137 b
298090 eV ; 5.4274 b ; 0.092227 b
298140 eV ; 4.6379 b ; 0.086256 b
298180 eV ; 4.0800 b ; 0.082322 b
298260 eV ; 3.3010 b ; 0.050000 b
298370 eV ; 2.6922 b ; 0.047725 b
298650 eV ; 2.1446 b ; 0.023460 b
299100 eV ; 1.8124 b ; 0.023033 b
299900 eV ; 1.6888 b ; 0.014360 b
301010 eV ; 1.6002 b ; 0.014408 b
301700 eV ; 1.5905 b ; 0.031754 b
301930 eV ; 1.7724 b ; 0.032796 b
302080 eV ; 2.0628 b ; 0.061517 b
302150 eV ; 2.8323 b ; 0.062749 b
302190 eV ; 3.3671 b ; 0.11109 b
302210 eV ; 3.8659 b ; 0.11341 b
302240 eV ; 4.3514 b ; 0.11517 b
302260 eV ; 4.6734 b ; 0.11976 b
302280 eV ; 5.0291 b ; 0.12062 b
302310 eV ; 5.6784 b ; 0.12659 b
302330 eV ; 5.3411 b ; 0.12545 b
302350 eV ; 5.0576 b ; 0.12360 b
302370 eV ; 4.7899 b ; 0.12109 b
302400 eV ; 4.4240 b ; 0.11749 b
302420 eV ; 3.6388 b ; 0.11341 b
302440 eV ; 3.1011 b ; 0.11100 b
302480 eV ; 2.5487 b ; 0.076730 b
302520 eV ; 2.2725 b ; 0.074502 b
302570 eV ; 2.1502 b ; 0.074076 b
302610 eV ; 2.1550 b ; 0.074218 b
302660 eV ; 2.0321 b ; 0.074929 b
302710 eV ; 2.2495 b ; 0.074787 b
302750 eV ; 2.2361 b ; 0.074123 b
302800 eV ; 2.0934 b ; 0.073033 b
302840 eV ; 1.8444 b ; 0.071991 b
302890 eV ; 1.6375 b ; 0.071232 b
302940 eV ; 1.7327 b ; 0.071754 b
303010 eV ; 1.5941 b ; 0.046635 b
303130 eV ; 1.6314 b ; 0.047014 b
303300 eV ; 1.5274 b ; 0.032227 b
305050 eV ; 1.4887 b ; 0.0086730 b
308320 eV ; 1.4356 b ; 0.0083886 b
311610 eV ; 1.4144 b ; 0.0082938 b
313420 eV ; 1.4605 b ; 0.030237 b
313650 eV ; 1.5472 b ; 0.030616 b
313850 eV ; 1.7783 b ; 0.040427 b
313940 eV ; 2.2096 b ; 0.072180 b
313990 eV ; 2.7537 b ; 0.073697 b
314040 eV ; 3.3892 b ; 0.078389 b
314090 eV ; 4.5261 b ; 0.084028 b
314140 eV ; 5.6598 b ; 0.090047 b
314190 eV ; 6.2513 b ; 0.094455 b
314240 eV ; 5.6572 b ; 0.089668 b
314280 eV ; 4.1604 b ; 0.081232 b
314330 eV ; 3.3525 b ; 0.076919 b
314380 eV ; 2.5185 b ; 0.074360 b
314430 eV ; 2.0863 b ; 0.073981 b
314480 eV ; 1.7347 b ; 0.075735 b
314530 eV ; 1.7217 b ; 0.077346 b
314640 eV ; 1.5366 b ; 0.041280 b
314840 eV ; 1.4528 b ; 0.031848 b
315210 eV ; 1.4035 b ; 0.021943 b
317040 eV ; 1.3636 b ; 0.0089100 b
320440 eV ; 1.3303 b ; 0.0093365 b
322250 eV ; 1.3488 b ; 0.031801 b
322500 eV ; 1.2482 b ; 0.033555 b
322750 eV ; 1.4089 b ; 0.033270 b
322900 eV ; 1.6347 b ; 0.075024 b
322950 eV ; 1.8234 b ; 0.076256 b
323000 eV ; 2.2297 b ; 0.077820 b
323050 eV ; 2.6664 b ; 0.079052 b
323110 eV ; 2.9789 b ; 0.080000 b
323160 eV ; 2.9614 b ; 0.080095 b
323210 eV ; 2.3358 b ; 0.076919 b
323260 eV ; 1.7852 b ; 0.074976 b
323320 eV ; 1.5217 b ; 0.059621 b
323400 eV ; 1.3154 b ; 0.058483 b
323480 eV ; 1.3922 b ; 0.051754 b
323790 eV ; 1.3145 b ; 0.022749 b
325940 eV ; 1.2935 b ; 0.0082464 b
329830 eV ; 1.2584 b ; 0.0081991 b
333760 eV ; 1.1983 b ; 0.0078673 b
337770 eV ; 1.1512 b ; 0.0075829 b
340070 eV ; 1.1279 b ; 0.020379 b
340600 eV ; 1.2853 b ; 0.022275 b
340980 eV ; 1.8658 b ; 0.037156 b
341170 eV ; 2.9085 b ; 0.037962 b
341300 eV ; 4.2236 b ; 0.074882 b
341350 eV ; 5.2539 b ; 0.079431 b
341410 eV ; 6.4677 b ; 0.086540 b
341460 eV ; 7.9319 b ; 0.096114 b
341520 eV ; 9.5832 b ; 0.11218 b
341570 eV ; 11.143 b ; 0.13227 b
341630 eV ; 12.521 b ; 0.15687 b
341680 eV ; 13.167 b ; 0.16720 b
341740 eV ; 12.022 b ; 0.14692 b
341790 eV ; 10.265 b ; 0.12365 b
341850 eV ; 9.0082 b ; 0.10782 b
341900 eV ; 7.6403 b ; 0.096777 b
341950 eV ; 6.5111 b ; 0.087820 b
342010 eV ; 5.7537 b ; 0.083081 b
342060 eV ; 4.8925 b ; 0.078483 b
342120 eV ; 4.3775 b ; 0.075450 b
342170 eV ; 4.0236 b ; 0.072844 b
342230 eV ; 3.5608 b ; 0.070332 b
342390 eV ; 2.8944 b ; 0.030569 b
342670 eV ; 2.3026 b ; 0.029668 b
342950 eV ; 1.9689 b ; 0.028815 b
343350 eV ; 1.7510 b ; 0.020569 b
343680 eV ; 1.7184 b ; 0.054929 b
343760 eV ; 1.8432 b ; 0.054455 b
343840 eV ; 1.9434 b ; 0.053886 b
343930 eV ; 1.8794 b ; 0.052607 b
344010 eV ; 1.6550 b ; 0.052370 b
344090 eV ; 1.5659 b ; 0.052559 b
344270 eV ; 1.5425 b ; 0.029147 b
344990 eV ; 1.4403 b ; 0.014360 b
346870 eV ; 1.3633 b ; 0.0091469 b
349640 eV ; 1.2961 b ; 0.0093839 b
352320 eV ; 1.2472 b ; 0.0087678 b
355090 eV ; 1.2004 b ; 0.0087204 b
357950 eV ; 1.1666 b ; 0.0090521 b
359460 eV ; 1.1736 b ; 0.027725 b
359660 eV ; 1.3759 b ; 0.051137 b
359750 eV ; 1.6353 b ; 0.050806 b
359840 eV ; 2.2135 b ; 0.051706 b
359920 eV ; 2.4088 b ; 0.052417 b
360010 eV ; 2.1013 b ; 0.052133 b
360100 eV ; 1.5801 b ; 0.052085 b
360190 eV ; 1.2438 b ; 0.052180 b
360280 eV ; 1.1889 b ; 0.052417 b
360370 eV ; 1.1573 b ; 0.052701 b
360640 eV ; 1.1952 b ; 0.023412 b
361450 eV ; 1.1354 b ; 0.014408 b
362660 eV ; 1.1147 b ; 0.015545 b
363410 eV ; 1.1083 b ; 0.030995 b
363700 eV ; 1.3589 b ; 0.031611 b
363890 eV ; 1.8108 b ; 0.072180 b
363950 eV ; 2.3445 b ; 0.071469 b
364010 eV ; 3.0401 b ; 0.072085 b
364070 eV ; 3.6776 b ; 0.075261 b
364130 eV ; 4.7450 b ; 0.081469 b
364190 eV ; 5.6635 b ; 0.088910 b
364250 eV ; 5.5959 b ; 0.088815 b
364310 eV ; 4.5745 b ; 0.084360 b
364370 eV ; 3.3674 b ; 0.077441 b
364430 eV ; 2.3559 b ; 0.073460 b
364490 eV ; 1.8499 b ; 0.070664 b
364550 eV ; 1.5788 b ; 0.068957 b
364610 eV ; 1.5206 b ; 0.068578 b
364790 eV ; 1.1858 b ; 0.030284 b
366080 eV ; 1.0764 b ; 0.011327 b
368410 eV ; 0.99934 b ; 0.011090 b
369680 eV ; 0.94069 b ; 0.028768 b
369990 eV ; 1.0355 b ; 0.029526 b
370180 eV ; 1.2735 b ; 0.065640 b
370240 eV ; 1.7000 b ; 0.065261 b
370300 eV ; 2.0699 b ; 0.065545 b
370370 eV ; 2.4359 b ; 0.067441 b
370430 eV ; 2.7246 b ; 0.068341 b
370490 eV ; 2.6799 b ; 0.067583 b
370550 eV ; 2.0992 b ; 0.065213 b
370610 eV ; 1.5926 b ; 0.063649 b
370720 eV ; 1.0629 b ; 0.039573 b
370880 eV ; 1.0376 b ; 0.038815 b
371260 eV ; 1.0842 b ; 0.019716 b
371700 eV ; 1.4762 b ; 0.031848 b
371950 eV ; 2.2377 b ; 0.032322 b
372100 eV ; 3.2801 b ; 0.068104 b
372170 eV ; 3.9145 b ; 0.070758 b
372230 eV ; 4.7177 b ; 0.075355 b
372290 eV ; 5.4110 b ; 0.078483 b
372350 eV ; 6.2657 b ; 0.081564 b
372420 eV ; 6.7104 b ; 0.085403 b
372480 eV ; 7.4166 b ; 0.090427 b
372540 eV ; 7.1687 b ; 0.090379 b
372600 eV ; 6.9079 b ; 0.090142 b
372670 eV ; 6.3656 b ; 0.086635 b
372730 eV ; 5.7485 b ; 0.083697 b
372790 eV ; 5.1360 b ; 0.079621 b
372850 eV ; 4.5664 b ; 0.076398 b
372960 eV ; 3.8879 b ; 0.046256 b
373120 eV ; 3.0775 b ; 0.042844 b
373320 eV ; 2.4517 b ; 0.031469 b
373580 eV ; 1.9549 b ; 0.030569 b
373830 eV ; 1.7168 b ; 0.030095 b
374080 eV ; 1.5439 b ; 0.030474 b
374330 eV ; 1.8480 b ; 0.030711 b
374470 eV ; 2.8358 b ; 0.092227 b
374500 eV ; 3.2002 b ; 0.094645 b
374530 eV ; 3.6296 b ; 0.096446 b
374560 eV ; 4.1177 b ; 0.10109 b
374600 eV ; 4.2747 b ; 0.10332 b
374630 eV ; 4.6336 b ; 0.10498 b
374660 eV ; 4.4054 b ; 0.10469 b
374690 eV ; 4.1742 b ; 0.10213 b
374720 eV ; 3.8810 b ; 0.099526 b
374750 eV ; 3.3656 b ; 0.097773 b
374790 eV ; 2.8915 b ; 0.094313 b
374820 eV ; 2.7187 b ; 0.092038 b
374850 eV ; 2.4993 b ; 0.090095 b
374880 eV ; 2.2831 b ; 0.088483 b
374910 eV ; 2.0794 b ; 0.087678 b
375010 eV ; 1.8906 b ; 0.038199 b
375160 eV ; 1.6717 b ; 0.038389 b
375480 eV ; 1.4952 b ; 0.022370 b
377070 eV ; 1.2747 b ; 0.0094787 b
379820 eV ; 1.0961 b ; 0.0097156 b
382540 eV ; 1.0001 b ; 0.0096682 b
385260 eV ; 0.85791 b ; 0.0099052 b
386880 eV ; 0.70322 b ; 0.030047 b
387120 eV ; 0.81491 b ; 0.041422 b
387240 eV ; 1.1631 b ; 0.066682 b
387300 eV ; 1.6631 b ; 0.068863 b
387370 eV ; 1.9737 b ; 0.069479 b
387440 eV ; 1.7238 b ; 0.069858 b
387500 eV ; 1.4501 b ; 0.067962 b
387570 eV ; 1.2000 b ; 0.066872 b
387640 eV ; 1.0028 b ; 0.065782 b
387700 eV ; 0.92679 b ; 0.065735 b
387800 eV ; 0.88421 b ; 0.046446 b
388040 eV ; 0.71074 b ; 0.028389 b
388730 eV ; 0.58988 b ; 0.015735 b
389820 eV ; 0.50040 b ; 0.015735 b
390470 eV ; 0.58553 b ; 0.030332 b
390740 eV ; 1.0509 b ; 0.031469 b
391000 eV ; 2.1266 b ; 0.032986 b
391190 eV ; 3.1038 b ; 0.057820 b
391290 eV ; 3.9730 b ; 0.060474 b
391390 eV ; 4.8952 b ; 0.063081 b
391490 eV ; 5.5744 b ; 0.067204 b
391590 eV ; 6.4271 b ; 0.073081 b
391700 eV ; 6.8484 b ; 0.076209 b
391800 eV ; 7.1412 b ; 0.077204 b
391900 eV ; 6.9562 b ; 0.075545 b
392000 eV ; 6.7386 b ; 0.075024 b
392100 eV ; 6.1446 b ; 0.071517 b
392320 eV ; 5.3346 b ; 0.035687 b
392660 eV ; 4.3160 b ; 0.033507 b
392990 eV ; 3.5182 b ; 0.032417 b
393330 eV ; 3.0242 b ; 0.031232 b
393670 eV ; 2.6609 b ; 0.030900 b
394010 eV ; 2.4695 b ; 0.030000 b
394350 eV ; 2.2574 b ; 0.029147 b
394690 eV ; 2.1739 b ; 0.029052 b
395030 eV ; 2.0035 b ; 0.029431 b
395380 eV ; 1.9588 b ; 0.027915 b
395710 eV ; 1.8576 b ; 0.028483 b
396110 eV ; 1.7607 b ; 0.024882 b
396400 eV ; 1.8155 b ; 0.045877 b
396540 eV ; 1.8806 b ; 0.046635 b
396680 eV ; 2.0120 b ; 0.046825 b
396810 eV ; 1.9519 b ; 0.046161 b
396950 eV ; 1.7212 b ; 0.044929 b
397090 eV ; 1.6511 b ; 0.043554 b
397500 eV ; 1.6221 b ; 0.019716 b
399050 eV ; 1.4700 b ; 0.010569 b
401460 eV ; 1.3436 b ; 0.010379 b
402890 eV ; 1.3237 b ; 0.031232 b
403250 eV ; 1.7407 b ; 0.030711 b
403450 eV ; 2.7405 b ; 0.066114 b
403520 eV ; 3.7236 b ; 0.067725 b
403590 eV ; 4.6645 b ; 0.072749 b
403660 eV ; 6.1444 b ; 0.080000 b
403720 eV ; 7.5101 b ; 0.12573 b
403750 eV ; 8.1156 b ; 0.13204 b
403790 eV ; 8.7715 b ; 0.13991 b
403820 eV ; 8.9064 b ; 0.14166 b
403860 eV ; 8.7521 b ; 0.13820 b
403890 eV ; 8.5451 b ; 0.13621 b
403930 eV ; 7.7114 b ; 0.12550 b
403960 eV ; 7.2233 b ; 0.12076 b
404000 eV ; 6.6167 b ; 0.11450 b
404030 eV ; 5.7585 b ; 0.10853 b
404090 eV ; 5.0091 b ; 0.072133 b
404160 eV ; 4.0774 b ; 0.068057 b
404230 eV ; 3.5477 b ; 0.065308 b
404300 eV ; 3.0689 b ; 0.063555 b
404370 eV ; 2.8021 b ; 0.062512 b
404440 eV ; 2.4588 b ; 0.061232 b
404650 eV ; 2.1210 b ; 0.026967 b
405010 eV ; 1.8537 b ; 0.027346 b
406040 eV ; 1.5481 b ; 0.012607 b
407860 eV ; 1.3948 b ; 0.012607 b
408930 eV ; 1.1877 b ; 0.027630 b
409160 eV ; 1.2065 b ; 0.049147 b
409270 eV ; 1.3787 b ; 0.050047 b
409380 eV ; 1.9238 b ; 0.051848 b
409490 eV ; 2.2061 b ; 0.052512 b
409600 eV ; 2.0092 b ; 0.051327 b
409700 eV ; 1.6990 b ; 0.050806 b
409850 eV ; 1.5969 b ; 0.039716 b
410030 eV ; 1.4293 b ; 0.039621 b
410300 eV ; 1.4330 b ; 0.028152 b
411700 eV ; 1.3806 b ; 0.010806 b
414190 eV ; 1.3219 b ; 0.010569 b
416650 eV ; 1.2507 b ; 0.011185 b
418240 eV ; 1.2488 b ; 0.026872 b
418690 eV ; 1.3572 b ; 0.030190 b
418920 eV ; 1.6646 b ; 0.069668 b
418990 eV ; 2.2497 b ; 0.069953 b
419070 eV ; 2.5172 b ; 0.070379 b
419140 eV ; 2.8984 b ; 0.070237 b
419210 eV ; 2.7120 b ; 0.068957 b
419290 eV ; 2.3693 b ; 0.067156 b
419360 eV ; 1.8074 b ; 0.065877 b
419440 eV ; 1.4828 b ; 0.065213 b
419660 eV ; 1.2322 b ; 0.028957 b
421400 eV ; 1.2511 b ; 0.0095261 b
424480 eV ; 1.2400 b ; 0.0097630 b
426140 eV ; 1.2485 b ; 0.039005 b
426330 eV ; 1.3422 b ; 0.039953 b
426520 eV ; 1.4543 b ; 0.040616 b
426660 eV ; 1.8930 b ; 0.065024 b
426730 eV ; 2.2585 b ; 0.066445 b
426810 eV ; 2.8789 b ; 0.068673 b
426890 eV ; 3.5271 b ; 0.071090 b
426960 eV ; 3.9070 b ; 0.071469 b
427040 eV ; 3.4301 b ; 0.068436 b
427120 eV ; 2.6027 b ; 0.065924 b
427190 eV ; 1.8294 b ; 0.063839 b
427270 eV ; 1.4388 b ; 0.062938 b
427350 eV ; 1.2327 b ; 0.062275 b
427480 eV ; 1.2914 b ; 0.038768 b
427770 eV ; 1.1884 b ; 0.027820 b
429320 eV ; 1.1853 b ; 0.010474 b
432010 eV ; 1.1608 b ; 0.010664 b
433590 eV ; 1.1542 b ; 0.028152 b
433890 eV ; 1.3853 b ; 0.040758 b
434050 eV ; 1.8427 b ; 0.052796 b
434160 eV ; 1.9813 b ; 0.052275 b
434280 eV ; 1.5838 b ; 0.052417 b
434400 eV ; 1.3454 b ; 0.052891 b
434520 eV ; 1.1238 b ; 0.054218 b
434680 eV ; 1.0702 b ; 0.041943 b
434970 eV ; 1.1765 b ; 0.027773 b
435270 eV ; 1.2448 b ; 0.038294 b
435420 eV ; 1.4923 b ; 0.050190 b
435540 eV ; 1.7542 b ; 0.050758 b
435660 eV ; 1.5500 b ; 0.050379 b
435780 eV ; 1.3476 b ; 0.049336 b
435900 eV ; 1.1498 b ; 0.048815 b
436150 eV ; 1.1640 b ; 0.026682 b
437740 eV ; 1.1331 b ; 0.010000 b
440750 eV ; 1.0901 b ; 0.010379 b
443680 eV ; 1.0351 b ; 0.010142 b
445360 eV ; 0.86222 b ; 0.026825 b
445600 eV ; 0.95905 b ; 0.059621 b
445690 eV ; 1.2302 b ; 0.060284 b
445770 eV ; 1.6412 b ; 0.062085 b
445850 eV ; 1.9969 b ; 0.063649 b
445930 eV ; 2.2360 b ; 0.064455 b
446010 eV ; 2.0482 b ; 0.064265 b
446100 eV ; 1.8174 b ; 0.064360 b
446180 eV ; 1.3955 b ; 0.063744 b
446260 eV ; 1.3457 b ; 0.063033 b
446340 eV ; 1.4530 b ; 0.062180 b
446460 eV ; 1.2415 b ; 0.043554 b
446850 eV ; 1.1731 b ; 0.022370 b
448700 eV ; 1.0978 b ; 0.010190 b
451710 eV ; 1.0445 b ; 0.0097156 b
454760 eV ; 0.99305 b ; 0.0094787 b
456500 eV ; 1.1241 b ; 0.025118 b
456800 eV ; 1.4918 b ; 0.041611 b
456970 eV ; 2.1581 b ; 0.043318 b
457140 eV ; 3.4513 b ; 0.045403 b
457270 eV ; 4.7867 b ; 0.070000 b
457360 eV ; 6.2670 b ; 0.077488 b
457440 eV ; 7.8314 b ; 0.088057 b
457530 eV ; 9.0063 b ; 0.10085 b
457610 eV ; 9.3808 b ; 0.10536 b
457700 eV ; 8.4168 b ; 0.099573 b
457780 eV ; 7.1545 b ; 0.091659 b
457870 eV ; 5.7314 b ; 0.083033 b
457950 eV ; 4.7664 b ; 0.077678 b
458100 eV ; 3.4329 b ; 0.044313 b
458310 eV ; 2.5388 b ; 0.040379 b
458530 eV ; 2.1189 b ; 0.037678 b
458950 eV ; 1.6936 b ; 0.021185 b
459710 eV ; 1.3833 b ; 0.018436 b
461000 eV ; 1.1921 b ; 0.012512 b
462700 eV ; 1.0910 b ; 0.012322 b
463790 eV ; 1.0385 b ; 0.025166 b
464080 eV ; 1.1967 b ; 0.048246 b
464210 eV ; 1.4527 b ; 0.049431 b
464340 eV ; 1.9723 b ; 0.049953 b
464470 eV ; 2.2991 b ; 0.049668 b
464600 eV ; 1.8857 b ; 0.048199 b
464730 eV ; 1.4038 b ; 0.046351 b
464860 eV ; 1.1241 b ; 0.045592 b
464990 eV ; 0.99392 b ; 0.045213 b
465380 eV ; 1.0486 b ; 0.020142 b
466580 eV ; 0.97419 b ; 0.012133 b
468330 eV ; 0.93099 b ; 0.011991 b
469650 eV ; 1.1723 b ; 0.018152 b
470200 eV ; 1.6587 b ; 0.042938 b
470370 eV ; 1.9982 b ; 0.044123 b
470550 eV ; 2.5734 b ; 0.045545 b
470730 eV ; 3.3761 b ; 0.047441 b
470910 eV ; 4.4551 b ; 0.051469 b
471040 eV ; 5.8692 b ; 0.081896 b
471130 eV ; 6.8910 b ; 0.089336 b
471220 eV ; 7.8557 b ; 0.097156 b
471310 eV ; 8.8807 b ; 0.10844 b
471390 eV ; 9.9181 b ; 0.11754 b
471480 eV ; 11.072 b ; 0.13161 b
471570 eV ; 11.385 b ; 0.13763 b
471660 eV ; 11.488 b ; 0.13905 b
471750 eV ; 11.402 b ; 0.13678 b
471840 eV ; 10.922 b ; 0.12938 b
471930 eV ; 10.199 b ; 0.12019 b
472020 eV ; 9.2936 b ; 0.10981 b
472110 eV ; 8.3280 b ; 0.10062 b
472200 eV ; 7.3695 b ; 0.092654 b
472290 eV ; 6.7466 b ; 0.086066 b
472420 eV ; 5.9392 b ; 0.057014 b
472600 eV ; 5.1218 b ; 0.053555 b
472780 eV ; 4.3931 b ; 0.050142 b
472950 eV ; 3.8834 b ; 0.048436 b
473130 eV ; 3.4774 b ; 0.046967 b
473310 eV ; 3.2484 b ; 0.045782 b
473850 eV ; 2.6355 b ; 0.019858 b
474750 eV ; 2.0937 b ; 0.019147 b
475650 eV ; 1.8165 b ; 0.018720 b
477250 eV ; 1.6197 b ; 0.011469 b
479940 eV ; 1.4153 b ; 0.0096682 b
484150 eV ; 1.2981 b ; 0.0074408 b
489220 eV ; 1.2140 b ; 0.0075829 b
494590 eV ; 1.1777 b ; 0.0072512 b
499820 eV ; 1.1287 b ; 0.0072512 b
505460 eV ; 1.1099 b ; 0.0072986 b
510800 eV ; 1.0650 b ; 0.0072512 b
514870 eV ; 0.95857 b ; 0.010806 b
516300 eV ; 0.84879 b ; 0.023128 b
516680 eV ; 0.74117 b ; 0.032417 b
516860 eV ; 0.88231 b ; 0.051564 b
516960 eV ; 1.2180 b ; 0.051943 b
517060 eV ; 1.6866 b ; 0.052938 b
517160 eV ; 2.1627 b ; 0.054408 b
517270 eV ; 2.4335 b ; 0.055782 b
517370 eV ; 2.3847 b ; 0.055498 b
517470 eV ; 2.1179 b ; 0.054597 b
517600 eV ; 1.7754 b ; 0.043839 b
517750 eV ; 1.6541 b ; 0.043365 b
517910 eV ; 1.8926 b ; 0.043554 b
518060 eV ; 2.2485 b ; 0.043934 b
518210 eV ; 2.1048 b ; 0.043270 b
518370 eV ; 1.6321 b ; 0.042133 b
518520 eV ; 1.3280 b ; 0.042038 b
518670 eV ; 1.2325 b ; 0.042275 b
518910 eV ; 1.2133 b ; 0.029810 b
519570 eV ; 1.0872 b ; 0.016398 b
521960 eV ; 1.0895 b ; 0.0084360 b
525750 eV ; 1.0375 b ; 0.0086256 b
529620 eV ; 1.0690 b ; 0.0085782 b
532110 eV ; 1.2739 b ; 0.016588 b
532760 eV ; 1.5526 b ; 0.032701 b
533030 eV ; 2.0367 b ; 0.034265 b
533210 eV ; 2.6988 b ; 0.058294 b
533320 eV ; 3.4131 b ; 0.061137 b
533430 eV ; 4.3960 b ; 0.065450 b
533540 eV ; 5.7234 b ; 0.072038 b
533620 eV ; 7.0022 b ; 0.11294 b
533670 eV ; 7.9376 b ; 0.12114 b
533720 eV ; 8.7033 b ; 0.12787 b
533780 eV ; 9.1788 b ; 0.13351 b
533830 eV ; 9.0329 b ; 0.13095 b
533880 eV ; 8.7197 b ; 0.12540 b
533940 eV ; 8.0459 b ; 0.11801 b
533990 eV ; 7.3095 b ; 0.10962 b
534040 eV ; 6.4952 b ; 0.10085 b
534100 eV ; 5.5297 b ; 0.094076 b
534150 eV ; 4.8272 b ; 0.088578 b
534210 eV ; 4.2027 b ; 0.084360 b
534290 eV ; 3.5624 b ; 0.056777 b
534390 eV ; 2.7485 b ; 0.054123 b
534500 eV ; 2.1582 b ; 0.052417 b
534690 eV ; 1.6820 b ; 0.032417 b
534960 eV ; 1.3714 b ; 0.031991 b
535360 eV ; 1.1338 b ; 0.022180 b
536980 eV ; 1.0111 b ; 0.010474 b
538470 eV ; 1.0215 b ; 0.036066 b
538740 eV ; 1.1312 b ; 0.035403 b
539010 eV ; 0.93879 b ; 0.034502 b
539430 eV ; 0.95064 b ; 0.023555 b
541810 eV ; 0.92050 b ; 0.0081991 b
546000 eV ; 0.85498 b ; 0.0082938 b
550190 eV ; 0.78318 b ; 0.0079147 b
552500 eV ; 0.67089 b ; 0.028863 b
552840 eV ; 0.72962 b ; 0.028294 b
553180 eV ; 0.87100 b ; 0.028578 b
553520 eV ; 1.3667 b ; 0.028436 b
553740 eV ; 2.2085 b ; 0.050569 b
553860 eV ; 3.2924 b ; 0.053318 b
553970 eV ; 4.4184 b ; 0.057725 b
554080 eV ; 4.9696 b ; 0.060332 b
554200 eV ; 4.6063 b ; 0.058815 b
554310 eV ; 3.6821 b ; 0.055166 b
554420 eV ; 2.7584 b ; 0.052701 b
554540 eV ; 2.1153 b ; 0.051374 b
554650 eV ; 1.8512 b ; 0.050521 b
554760 eV ; 1.5104 b ; 0.049526 b
554880 eV ; 1.4299 b ; 0.048531 b
555100 eV ; 1.2548 b ; 0.027536 b
555840 eV ; 0.99614 b ; 0.015403 b
557500 eV ; 0.87890 b ; 0.010995 b
559870 eV ; 0.79343 b ; 0.010900 b
561090 eV ; 0.74495 b ; 0.045118 b
561260 eV ; 0.89698 b ; 0.046398 b
561440 eV ; 1.1500 b ; 0.045972 b
561610 eV ; 1.4303 b ; 0.044455 b
561780 eV ; 1.2014 b ; 0.042844 b
561960 eV ; 0.87652 b ; 0.042275 b
562130 eV ; 0.75509 b ; 0.042180 b
562810 eV ; 0.68479 b ; 0.015782 b
564540 eV ; 0.64888 b ; 0.011043 b
566600 eV ; 0.69946 b ; 0.012559 b
567850 eV ; 0.94840 b ; 0.019194 b
568610 eV ; 1.3206 b ; 0.019858 b
569380 eV ; 2.2730 b ; 0.021232 b
569910 eV ; 3.6770 b ; 0.036256 b
570210 eV ; 4.9057 b ; 0.038246 b
570500 eV ; 6.4264 b ; 0.042701 b
570800 eV ; 8.0787 b ; 0.050521 b
571100 eV ; 9.4201 b ; 0.056682 b
571390 eV ; 9.7617 b ; 0.058626 b
571690 eV ; 9.2624 b ; 0.056114 b
571990 eV ; 8.3345 b ; 0.050900 b
572280 eV ; 7.2478 b ; 0.046019 b
572580 eV ; 6.3098 b ; 0.042559 b
573140 eV ; 4.7680 b ; 0.023318 b
573990 eV ; 3.4906 b ; 0.020900 b
574810 eV ; 2.7359 b ; 0.020047 b
575660 eV ; 2.3206 b ; 0.020142 b
576170 eV ; 2.2247 b ; 0.043554 b
576350 eV ; 2.3704 b ; 0.044360 b
576530 eV ; 2.4020 b ; 0.045213 b
576710 eV ; 2.0951 b ; 0.045735 b
576890 eV ; 1.9849 b ; 0.046256 b
577220 eV ; 1.7809 b ; 0.029336 b
578310 eV ; 1.6077 b ; 0.014692 b
579940 eV ; 1.3980 b ; 0.014265 b
580880 eV ; 1.3207 b ; 0.031469 b
581190 eV ; 1.4121 b ; 0.030806 b
581490 eV ; 1.3738 b ; 0.030948 b
581800 eV ; 1.2168 b ; 0.030332 b
582100 eV ; 1.2226 b ; 0.030095 b
583780 eV ; 1.0668 b ; 0.0095261 b
