x,y
9.415777973,6.210169419
9.606624292,5.80158685
9.801338833,5.298316906
10.1008355,4.949727393
10.40948381,4.624072456
10.72756339,4.22294829
11.05536243,3.945109967
11.27944112,3.602883724
11.74131597,3.365840998
11.97929811,3.073864569
12.46983097,2.744249826
12.98045035,2.56369877
13.44436532,2.262975244
13.92486039,2.043359718
14.49506087,1.824247433
14.93798225,1.704225635
15.2407569,1.556389265
15.86484122,1.421377249
16.34961857,1.298077113
16.84920913,1.212673375
17.53915696,1.058352992
18.25735703,0.988721303
19.00496624,0.902952749
19.78318883,0.843545231
20.1841699,0.753090711
21.01067897,0.736198747
21.6526962,0.687762391
22.76661561,0.657255138
22.31433136,0.61401268
23.2280671,0.600240262
24.17921883,0.548171252
25.16931869,0.512105695
26.73100275,0.457191894
27.82559402,0.427112097
29.25707714,0.381312277
30.76220268,0.356224789
32.02186506,0.348234601
32.67090916,0.33278787
33.66922466,0.325323376
34.6980454,0.303919538
36.48308065,0.290438501
37.97700372,0.277555446
39.13745602,0.265243848
41.15087603,0.265243848
42.83593776,0.25929438
45.03962555,0.247792792
47.3566817,0.242234754
49.29586113,0.231489885
51.31444681,0.221221629
53.41569031,0.216259587
56.16365174,0.211408845
59.05298159,0.202031328
61.47110556,0.202031328
63.34946031,0.202031328
65.94351813,0.193069773
68.6437984,0.197499728
71.45465079,0.188739182
74.38060303,0.188739182
77.42636827,0.184505727
81.40955508,0.18036723
84.74314453,0.17632156
88.21323907,0.17632156
91.82542836,0.17632156
95.58553095,0.172366634
99.49960365,0.168500419
104.6183444,0.164720924
110.000418,0.164720924
115.6593715,0.157414355
124.0743239,0.153883522
130.4573071,0.153883522
138.551809,0.150431886
145.6795841,0.147057671
151.6449271,0.147057671
161.0540601,0.143759141
167.648963,0.140534597
174.5139166,0.140534597
185.3420047,0.140534597
194.8768938,0.134300867
204.9023036,0.134300867
215.443469,0.134300867
224.2655302,0.128343649
235.8028336,0.128343649
245.4585778,0.128343649
258.086154,0.122650677
271.3633539,0.1198996
285.3235971,0.11721023
300.0020228,0.114581183
309.1690977,0.114581183
321.8290715,0.112011106
345.2441764,0.109498676
366.6655877,0.109498676
381.6799498,0.1070426
401.3154122,0.1070426
417.7486284,0.102294484
434.8547583,0.097756982
452.6613564,0.102294484
480.7476958,0.097756982
510.5767119,0.09342075
542.256533,0.09342075
581.7091329,0.091325305
611.6350639,0.087274365
643.1005294,0.087274365
676.1847307,0.083403114
710.9709432,0.081532367
747.5467268,0.081532367
786.0041455,0.079703581
834.7734492,0.077915815
860.2813796,0.074459683
886.5687483,0.074459683
932.1781322,0.072789538
980.1338833,0.069560794
1030.55671,0.069560794
1062.047133,0.064984216
1116.683973,0.064984216
1185.971012,0.063526608
1259.557113,0.060708742
1337.709021,0.059347033
1378.585008,0.059347033
1464.122255,0.056714562
1539.443784,0.055442444
1618.640217,0.054198859
1684.920913,0.052983169
1736.406553,0.051794747
