eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,229,1543,71.608,2,1,0,
1,218,1544,85.1784,1,1,0,
2,3,24,190.094,2,0,0,
3,315,1770,825.927,42,1,0,
4,328,1725,723.355,21,1,0,
5,252,1533,616.289,23,1,0,
6,330,1681,829.272,32,1,0,
7,160,1120,637.418,19,1,0,
8,9,109,510.186,7,0,0,
9,342,2117,274.407,10,1,0,
10,4,27,173.299,2,0,0,
11,12,112,655.714,7,0,0,
12,218,1569,93.8828,3,1,0,
13,43,240,1359.42,14,0,0,
14,257,1714,963.926,42,1,0,
15,249,1554,109.097,3,1,0,
16,251,1518,105.113,4,1,0,
17,6,27,233.491,1,0,0,
18,277,1645,848.011,12,1,0,
19,255,1522,62.3499,1,1,0,
20,218,1513,135.853,3,1,0,
21,8,53,244.206,5,0,0,
22,37,216,0,0,1,0,
23,21,136,524.08,12,1,0,
24,254,1637,384.54,11,1,0,
25,292,1800,754.691,34,1,0,
26,275,1713,781.467,41,1,0,
27,3,23,137.813,2,0,0,
28,39,278,1474.77,18,0,0,
29,11,84,596.299,3,0,0,
30,6,26,177.407,1,0,0,
31,327,1736,855.723,53,1,0,
32,17,90,440.073,5,1,0,
33,4,51,248.229,4,0,0,
34,236,1501,3.12627,1,1,0,
35,5,40,189.115,2,0,0,
36,258,1601,442.065,13,1,0,
37,271,1639,628.101,13,1,0,
38,223,1544,21.3319,1,1,0,
39,43,258,1253.34,19,0,0,
40,85,356,939.697,68,1,0,
41,24,161,1025.97,10,0,0,
42,278,1718,708.29,26,1,0,
43,253,1589,205.947,5,1,0,
44,41,271,1380.33,21,0,0,
45,278,1663,837.717,17,1,0,
46,231,1502,22.8738,1,1,0,
47,284,1720,898.337,51,1,0,
48,1,26,209.677,1,0,0,
49,232,1554,426.4,4,1,0,
50,302,1800,821.076,38,1,0,
51,3,27,218.631,2,0,0,
52,317,1719,802.219,32,1,0,
53,4,31,228.268,1,0,0,
54,224,1660,571.693,21,1,0,
55,28,168,853.685,14,0,0,
56,292,1695,655.106,19,1,0,
57,221,1469,0,0,1,0,
58,49,265,924.711,45,1,0,
59,234,1543,319.827,6,1,0,
60,4,29,141.718,1,0,0,
