eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,1047,6151,62.8719,1,1,0,
1,432,2701,320.267,11,1,0,
2,1967,12822,1135.38,39,3,0,
3,2085,12377,914.761,19,3,0,
4,410,2538,1820.82,76,2,0,
5,1479,9796,83.2324,3,2,0,
6,188,1281,712.917,25,1,0,
7,74,485,337.505,10,1,0,
8,458,2384,2269.6,86,2,0,
9,380,2226,2916.6,120,1,0,
10,433,2536,957.085,21,2,0,
11,298,1585,2381.11,99,1,0,
12,65,476,327.807,4,1,0,
13,1393,8691,62.0062,1,2,0,
14,364,2404,1251.47,23,1,0,
15,366,2537,402.728,10,2,0,
16,167,1058,1010.87,15,1,0,
17,414,2776,0,0,2,0,
18,123,764,0,0,1,0,
19,403,2675,0,0,1,0,
20,324,2054,195.168,3,1,0,
21,1982,12372,168.762,7,2,0,
22,8,45,21.879,1,1,0,
23,1935,11118,1824.1,32,2,0,
24,227,1468,0,0,1,0,
25,439,2685,383.283,37,1,0,
26,239,1464,1956.67,61,1,0,
27,3663,20237,502.487,25,2,1,
28,1809,11866,183.794,6,2,0,
29,18,68,0,0,1,0,
30,1242,7782,48.776,2,1,0,
31,429,2846,1051.67,77,1,0,
32,1947,11983,316.26,9,2,0,
33,219,1047,2656.06,86,1,0,
34,423,2260,1336.47,42,2,0,
35,510,2924,947.98,42,1,0,
36,250,1783,413.452,8,2,0,
37,678,4418,0,0,1,0,
38,2273,12938,293.116,18,4,0,
39,291,1621,1941.84,62,1,0,
40,119,903,2499.79,54,1,0,
41,228,1113,1413,23,1,0,
42,375,2484,1717.59,71,1,0,
43,1984,11613,1280.16,35,2,0,
44,377,2060,1644.98,54,2,0,
45,1373,9487,34.6197,2,2,0,
46,398,2686,601.553,24,1,0,
47,1574,10148,2174.55,50,2,0,
48,474,2921,946.723,34,2,0,
49,262,1298,1832.36,52,1,0,
50,2105,12878,506.865,12,3,0,
51,267,1675,24.8738,1,2,0,
52,53,379,632.747,12,1,0,
53,684,4245,0,0,1,0,
54,1559,9659,632.09,6,3,0,
55,113,758,0,0,1,0,
56,112,657,861.275,21,1,0,
57,89,546,1081,15,1,0,
58,2107,13336,1184.92,65,2,0,
59,349,1884,1261.23,42,2,0,
60,281,1834,307.224,7,1,0,
61,323,2036,955.02,15,2,0,
62,1992,12913,189.573,11,3,0,
63,350,2133,192.088,6,1,0,
64,1265,8569,103.098,1,2,0,
65,1162,7917,35.455,1,2,0,
66,2351,11603,1232.7,34,2,0,
67,183,1249,1553.84,60,1,0,
68,69,498,334.101,8,2,0,
69,92,703,213.445,7,1,0,
70,1790,11581,205.612,5,3,0,
71,55,376,296.311,14,1,0,
72,343,2203,1555.28,70,1,0,
73,1387,9016,709.513,9,2,0,
74,2681,11190,1627.06,68,2,1,
75,1315,8544,33.5837,1,2,0,
76,592,3047,1351.43,52,1,0,
77,178,963,2916.29,82,1,0,
78,601,3929,234.829,25,1,0,
79,515,3192,579.396,33,1,0,
80,43,258,283.606,9,1,0,
81,338,2324,219.754,2,2,0,
82,195,1056,2708.08,64,1,0,
83,1733,11198,73.9458,2,3,0,
84,1605,9888,822.185,16,3,0,
85,289,1923,460.233,8,2,0,
86,267,1861,1950.84,80,1,0,
87,326,1984,2148.05,72,1,0,
88,1387,8802,0,0,1,0,
89,511,3165,493.397,26,1,0,
90,2124,13114,976.517,48,2,0,
91,410,2511,1951.83,77,2,0,
92,1894,10984,389.02,8,2,0,
93,73,455,863.752,16,1,0,
94,1277,8368,490.654,8,3,0,
95,135,722,2226.53,62,1,0,
96,105,828,338.025,6,1,0,
97,117,669,938.325,56,1,0,
