eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
825,368,2499,414.222,13,1,0,
826,35,288,313.865,7,1,0,
827,1862,12297,453.629,26,2,0,
828,110,750,1786.44,30,1,0,
829,1915,12287,622.298,33,2,0,
830,303,2062,0,0,1,0,
831,2026,12949,254.629,5,2,0,
832,649,3584,268.684,36,1,0,
833,1225,8340,4.33026,1,2,0,
834,283,1777,823.851,13,2,0,
835,451,2853,237.644,10,2,0,
836,2155,12874,407.495,20,4,0,
837,2207,12938,650.732,31,3,0,
838,598,3376,433.932,32,1,0,
839,203,1433,4.54618,1,2,0,
840,2089,12604,114.694,3,2,0,
841,446,2437,1336.38,44,1,0,
842,389,2171,1918.99,97,1,0,
843,364,2355,566.512,17,1,0,
844,1833,11657,332.945,10,2,0,
845,610,3968,578.234,48,2,0,
846,87,532,71.3599,2,1,0,
847,69,501,895.913,14,1,0,
848,1725,10549,2212.67,35,2,0,
849,841,5671,376.658,2,2,0,
850,274,1707,938.436,37,1,0,
851,2229,12304,961.025,28,2,0,
852,449,2439,1629.97,57,1,0,
853,43,286,546.744,7,1,0,
854,35,181,226.901,11,1,0,
855,1774,11207,2104.66,75,2,0,
856,2312,13426,120.877,8,2,0,
857,1347,8987,267.053,7,3,0,
858,870,5561,515.121,6,2,0,
859,1973,11870,1512.67,27,2,0,
860,1972,12000,766.972,8,2,0,
861,171,911,1906.22,49,1,0,
862,1327,8765,511.089,4,1,0,
863,113,861,131.708,11,1,0,
864,1891,11844,582.341,9,3,0,
865,180,1271,656.115,37,1,0,
866,55,409,653.087,12,1,0,
867,1291,8608,441.305,11,2,0,
868,1415,8295,427.918,2,1,0,
869,2233,12688,320.563,11,3,0,
870,92,612,481.321,26,1,0,
871,427,2516,1672.2,48,2,0,
872,259,1711,1279.01,37,2,0,
873,187,1075,1285.29,24,1,0,
874,480,3109,15.711,2,2,0,
875,2522,13618,370.3,26,3,0,
876,1802,10285,1137.19,9,2,0,
877,1854,11639,1201.38,22,3,0,
878,365,2238,579.026,21,2,0,
879,1157,7459,284.981,6,2,0,
880,1408,8919,522.58,9,2,0,
881,65,411,855.695,13,1,0,
882,2223,12776,902.213,33,3,0,
883,193,1182,729.366,27,1,0,
884,362,2095,1440.43,69,2,0,
885,393,2305,1018.56,41,1,0,
886,303,2106,119.782,5,1,0,
887,1355,9102,236.361,4,2,0,
888,69,390,849.698,20,1,0,
889,1655,10433,1271.31,38,2,0,
890,389,2472,361.191,10,1,0,
891,89,643,325.97,4,2,0,
892,391,2216,1695.56,54,2,0,
893,2016,12981,784.55,36,2,0,
894,310,1934,1194.62,59,2,0,
895,1389,9255,0,0,2,0,
896,1537,10459,2004.3,38,2,0,
897,2159,13555,284.562,18,3,0,
898,2205,12678,1252.46,49,3,0,
899,1422,9262,640.183,10,3,0,
900,62,390,890.148,16,1,0,
901,271,1837,178.455,7,1,0,
902,343,1958,1469.47,63,2,0,
903,879,5660,0,0,1,0,
