eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,211,1541,78.726,6,1,0,
1,201,1283,0,0,1,0,
2,64,385,1722.74,33,0,0,
3,43,204,57.0021,1,1,0,
4,252,1673,940.633,15,1,0,
5,18,102,642.154,6,0,0,
6,213,1330,353.074,3,1,0,
7,244,1548,220.005,10,1,0,
8,15,126,742.691,5,0,0,
9,13,111,642.677,5,0,0,
10,242,1634,502.183,19,1,0,
11,234,1452,317.473,6,1,0,
12,4,33,205.871,3,0,0,
13,1,29,0,0,1,0,
14,140,1009,37.009,3,1,0,
15,253,1650,524.588,16,1,0,
16,272,1755,717.869,29,1,0,
17,237,1652,685.792,24,1,0,
18,4,25,125.461,2,0,0,
19,12,56,313.91,3,0,0,
20,17,90,581.261,6,0,0,
21,229,1618,374.909,9,1,0,
22,115,580,2334.66,58,0,0,
23,281,1750,808.116,24,1,0,
24,5,36,138.922,2,0,0,
25,256,1538,227.984,4,1,0,
26,6,30,200.883,1,0,0,
27,8,62,358.981,5,0,0,
28,94,698,211.806,1,1,0,
29,78,456,2113.47,38,0,0,
30,2,24,233.82,1,0,0,
31,5,30,239.493,2,0,0,
32,253,1688,703.915,19,1,0,
33,290,1724,947.584,43,1,0,
34,7,31,260.193,2,0,0,
35,16,79,418.96,6,0,0,
36,8,74,321.354,7,0,0,
37,6,28,0,0,1,0,
38,11,43,229.287,1,0,0,
39,294,1557,184.627,7,1,0,
40,7,48,279.318,3,0,0,
41,6,24,191.445,1,0,0,
42,245,1525,113.632,2,1,0,
43,220,1578,252.978,3,1,0,
44,7,37,220.511,2,0,0,
45,281,1696,788.576,25,1,0,
46,11,45,297.248,4,0,0,
47,338,2205,180.52,19,1,0,
48,54,259,814.943,33,1,0,
49,282,1832,945.883,54,1,0,
50,5,32,130.389,1,1,0,
51,88,686,18.2736,1,1,0,
52,10,36,274.465,3,0,0,
53,224,1530,209.632,8,1,0,
54,3,33,219.566,2,0,0,
55,263,1637,316.62,6,1,0,
56,280,1741,800.019,29,1,0,
57,247,1533,32.2939,1,1,0,
58,282,1718,772.187,22,1,0,
59,2,12,0,0,1,0,
60,10,52,230.413,4,0,0,
61,12,46,306.326,2,0,0,
62,243,1566,437.513,6,1,0,
63,3,35,223.31,1,0,0,
64,299,1784,777.106,30,1,0,
65,263,1654,928.207,9,1,0,
66,222,1503,135.361,3,1,0,
67,48,243,1368.92,14,0,0,
68,3,22,173.852,1,0,0,
69,210,1372,120.824,3,1,0,
70,220,1511,18.8649,1,1,0,
71,270,1645,660.597,16,1,0,
72,246,1559,430.921,10,1,0,
73,266,1528,212.375,7,1,0,
74,237,1658,762.289,15,1,0,
75,286,1680,950.936,42,1,0,
76,99,561,2291.57,51,0,0,
77,271,1528,239.679,10,1,0,
78,247,1531,234.323,7,1,0,
79,232,1531,79.5407,2,1,0,
80,278,1686,784.177,26,1,0,
81,288,1759,938.604,39,1,0,
82,3,32,239.048,1,0,0,
83,261,1605,389.215,8,1,0,
84,266,1718,791.424,29,1,0,
85,286,1792,929.773,59,1,0,
86,293,1554,441.745,10,1,0,
87,3,24,240,1,0,0,
88,212,1348,180.406,5,1,0,
89,237,1631,132.444,3,1,0,
90,8,29,238.787,1,0,0,
91,234,1497,0,0,1,0,
92,80,483,2075.32,40,0,0,
93,1578,8311,666.619,25,1,1,
94,275,1641,760.015,28,1,0,
95,33,196,1027.14,13,0,0,
96,231,1524,173.409,5,1,0,
97,57,314,1556.58,22,0,0,
98,235,1548,96.1098,1,1,0,
99,243,1538,405.444,10,1,0,
100,268,1653,768.322,10,1,0,
101,236,1516,228.314,3,1,0,
102,9,40,227.197,1,0,0,
103,3,23,36.4749,3,1,0,
104,4,51,256.449,4,0,0,
105,187,1271,32.3669,2,1,0,
106,297,1558,112.552,3,1,0,
107,262,1577,534.472,19,1,0,
108,5,32,135.933,2,0,0,
109,288,1840,915.419,61,1,0,
110,191,1305,208.773,3,1,0,
111,241,1617,255.334,5,1,0,
112,278,1702,855.209,34,1,0,
113,21,126,515.07,11,0,0,
114,255,1635,167.429,10,1,0,
115,294,1607,760.208,14,1,0,
116,255,1519,135.771,4,1,0,
117,21,163,475.122,20,1,0,
118,232,1499,220.191,7,1,0,
119,22,97,534.51,5,0,0,
120,238,1682,903.248,27,1,0,
121,237,1618,505.843,11,1,0,
122,377,2302,131.094,14,1,0,
123,297,1774,847.458,40,1,0,
124,278,1768,887.403,49,1,0,
125,218,1591,338.163,2,1,0,
126,243,1596,520.454,6,1,0,
127,58,344,1638.34,23,0,0,
128,10,66,263.745,4,0,0,
129,296,1712,846.471,50,1,0,
130,2,15,198.277,1,0,0,
131,240,1531,167.585,3,1,0,
132,14,84,380.939,3,1,0,
133,9,58,381.602,3,0,0,
134,272,1590,308.598,12,1,0,
135,260,1587,390.855,3,1,0,
136,282,1582,323.301,9,1,0,
137,251,1533,57.8792,4,1,0,
138,10,51,100.649,2,1,0,
139,250,1772,884.39,45,1,0,
140,260,1515,329.058,7,1,0,
141,229,1530,168.041,6,1,0,
142,20,132,841.169,9,0,0,
143,272,1700,558.243,25,1,0,
144,257,1588,220.406,7,1,0,
145,86,554,2439.61,77,0,0,
146,243,1677,483.206,13,1,0,
147,158,1069,0,0,1,0,
148,7,31,50.8871,2,1,0,
149,249,1514,404.333,7,1,0,
150,293,1688,789.394,33,1,0,
151,37,232,707.986,21,1,0,
152,8,59,323.986,2,0,0,
153,266,1642,820.303,19,1,0,
154,14,97,625.925,5,0,0,
155,11,61,300.619,4,0,0,
156,244,1591,381.302,5,1,0,
157,266,1679,518.853,22,1,0,
158,217,1331,634.091,12,1,0,
159,256,1685,611.313,17,1,0,
160,37,232,1219.09,11,0,0,
161,3,28,173.146,2,0,0,
162,281,1783,874.182,48,1,0,
163,219,1489,141.279,6,1,0,
