eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,979,6082,2657.52,74,3,0,
1,1567,9808,2069.98,50,3,0,
2,3864,22106,1691.91,52,3,1,
3,4692,25521,1937.98,11,1,0,
4,2747,16910,899.586,39,3,0,
5,1366,8622,2946.65,95,2,0,
6,900,5702,2118.3,75,2,0,
7,1163,6402,3923.51,104,2,0,
8,1345,7932,623.473,22,2,0,
9,1835,9969,3271.51,115,3,0,
10,1366,8605,165.798,29,3,0,
11,1670,9677,2573.77,93,2,0,
12,925,5830,1256.01,34,3,0,
13,19,127,1873.99,3,0,0,
14,2597,14982,1481.87,62,5,0,
15,1029,6702,664.981,8,1,0,
16,946,6156,1493.85,61,4,0,
17,2792,17739,1887.7,45,4,0,
18,1049,6884,2516.37,47,3,0,
19,1800,11087,782.646,39,2,0,
20,2536,17370,29.2623,2,1,0,
21,3126,18861,933.084,48,4,0,
22,1330,8846,697.284,13,4,0,
23,1187,7763,1874.81,46,2,0,
24,2043,10274,2533.25,94,3,0,
25,1687,9173,2809.61,81,4,0,
26,968,6208,1198.61,14,3,0,
27,1103,6993,2699.53,65,4,0,
28,757,5066,479.937,12,2,0,
29,2070,13002,1088.78,34,4,1,
30,728,4493,3168.38,35,4,0,
31,819,5329,465.338,8,2,0,
32,1272,7935,1499.98,49,3,0,
33,2714,16390,622.206,13,2,0,
34,2830,16748,1702.49,37,4,0,
35,2482,15280,2304.47,28,5,0,
36,2815,17582,1437.33,26,4,0,
37,722,4409,1223.79,35,2,0,
38,1488,9311,156.072,2,2,0,
39,3075,17832,1966.79,82,5,0,
40,1605,8992,3690.28,112,3,0,
41,1087,6647,815.172,5,1,0,
42,1033,6702,3363.45,47,2,0,
43,1483,8856,1269.53,45,1,0,
44,21,145,260.3,5,1,0,
45,823,4967,1081.24,49,3,0,
46,1227,8323,584.198,20,3,0,
47,797,5270,1719.47,42,1,0,
48,1441,8854,1243.57,44,2,0,
49,1304,7936,4194.31,128,3,0,
50,1703,10434,2319.53,78,4,0,
51,1592,9190,2147.15,70,3,0,
52,1341,9026,1844.85,42,2,0,
53,1588,10001,2986.57,127,3,0,
54,2575,15847,1572.54,92,5,0,
55,1476,8874,2702.11,83,3,0,
56,1466,8278,2319.36,55,3,0,
57,2388,15321,118.778,7,1,0,
58,2303,15098,1376.72,36,1,0,
59,597,4038,3370.4,67,2,0,
60,1693,10380,1162.45,31,2,0,
61,1641,10754,849.982,36,3,0,
62,1389,9084,460.528,54,2,0,
63,3484,18333,1769.49,47,4,0,
64,446,2923,1040.54,59,2,0,
65,1856,11766,373.026,13,4,0,
66,1210,7404,1909.38,16,4,0,
67,1737,9957,2211.2,35,4,0,
68,1214,7622,2752.29,95,3,0,
69,1644,9626,1143.74,51,4,0,
70,1186,7651,1183.18,31,3,0,
71,2366,13836,1580.81,47,3,0,
72,1059,6683,395.674,12,4,0,
73,1136,7434,3047.31,54,4,0,
74,1689,9457,1062.14,15,3,0,
75,1314,8457,2.4845,2,3,0,
76,2682,13915,2626.11,85,2,1,
77,1923,10882,1870.68,68,2,0,
78,1096,6809,2824.16,81,2,0,
79,19,152,1594.37,4,0,0,
80,1506,7981,1677.77,87,3,0,
81,2502,16632,32.6482,2,1,0,
82,1444,8691,1078.17,27,4,0,
83,1867,11313,1263.45,35,2,0,
84,1442,8843,1895.31,30,4,0,
85,1268,8987,363.379,44,3,0,
86,2329,14017,4818.94,64,3,0,
87,1443,8784,322.673,8,3,0,
88,383,2534,2088.13,60,3,0,
89,4227,27184,252.313,18,4,0,
90,2647,16754,1083.67,43,2,0,
91,3217,17272,2671.67,103,3,0,
92,2547,16212,371.327,26,1,0,
93,1638,9219,3089.77,86,2,0,
94,1505,8199,4490.06,109,5,0,
95,1878,11871,793.79,56,6,0,
96,1547,10096,2257.22,71,2,0,
97,2819,15379,1539.05,31,4,0,
98,982,6472,71.0493,9,2,0,
99,1309,8090,1343.08,29,3,0,
100,1046,6141,2621.7,52,2,0,
101,3112,17864,2212.1,98,3,0,
102,1125,6098,2732.73,60,4,0,
103,1646,9800,1197.28,39,2,0,
104,536,3620,2188.49,74,2,0,
105,2990,14351,2474.02,74,4,1,
106,2992,18029,1068.31,24,3,0,
107,2496,16423,399.237,14,4,0,
108,3225,17831,897.861,36,4,0,
109,3288,17640,1515.82,50,3,0,
110,2690,16652,1625.89,42,3,0,
111,1728,10502,2784.24,89,2,0,
112,3781,21672,4885.28,44,5,0,
113,1865,9562,2859.6,93,3,0,
114,2908,18160,360.555,10,3,0,
115,1649,9116,2003.48,48,1,0,
