eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,644,4251,265.339,23,1,0,
1,1698,9605,2147.61,14,4,0,
2,1336,8302,1736.02,37,2,0,
3,1758,9351,2074.96,64,3,0,
4,1686,10310,1240.59,35,3,0,
5,2034,11699,1563.63,47,2,0,
6,2079,10993,1336.54,19,2,1,
7,1669,9885,2817.71,136,2,0,
8,2561,14876,2814.73,63,5,0,
9,903,5581,773.785,21,3,0,
10,1238,6833,1657.66,29,2,0,
11,2498,15754,1226.92,36,4,1,
12,1312,8484,593.533,19,3,0,
13,499,3194,768.911,13,2,0,
14,1778,10454,1837.05,75,4,0,
15,1695,9756,722.169,27,2,0,
16,1539,8998,2664.26,45,4,0,
17,2339,15570,1570.75,50,3,0,
18,1760,9366,3839.03,112,3,0,
19,2624,14758,874.643,32,4,0,
20,2280,15114,356.91,6,3,0,
21,1915,11218,1260.81,62,5,0,
22,834,5271,1346.78,21,2,0,
23,3019,16897,2208.88,74,3,1,
24,800,5172,1149.16,23,3,0,
25,1194,7905,742.371,29,1,0,
26,2263,15107,743.727,14,2,0,
27,2668,16871,1276.9,47,3,0,
28,1783,9019,4690.51,123,2,0,
29,1109,7758,99.039,6,2,0,
30,1607,8554,3303.34,73,3,0,
31,1350,7752,4967.83,124,3,0,
32,958,6385,258.175,4,2,0,
33,891,5645,1323.95,23,3,0,
34,2030,13493,441.286,4,1,0,
35,2489,13872,1726.64,34,1,0,
36,1797,9938,1500.07,63,4,0,
37,3124,18927,969.26,40,4,0,
38,566,3702,193.109,20,3,0,
39,2568,15559,505.533,7,1,0,
40,2646,17008,1728.63,44,3,0,
41,2512,14976,2663.64,51,5,0,
42,2187,13664,4596.79,94,3,0,
43,1346,7966,4666.63,100,2,0,
44,1357,8263,1588.04,33,3,0,
45,1551,10088,1612.79,47,3,0,
46,1109,7129,1750.48,25,3,0,
47,2495,15824,237.081,8,2,0,
48,2716,15000,1272.41,27,4,1,
49,1480,8957,3898.63,109,4,0,
50,341,2187,498.353,10,1,0,
51,1309,8003,1390.47,39,4,0,
52,1346,8472,2401.92,58,3,0,
53,1781,9468,3113.97,88,2,0,
54,1863,11306,39.8506,2,1,0,
55,2817,15957,3377.05,95,3,0,
56,1651,10181,2287.85,63,3,0,
57,1160,6924,2905,40,3,0,
58,1411,8190,881.447,17,2,0,
59,1651,10050,1215.33,62,5,0,
60,1687,9962,2560,69,4,0,
61,1162,7542,1406.58,49,3,0,
62,3766,24269,283.722,4,3,0,
63,1320,8303,1234.76,30,3,0,
64,2436,15515,2428.98,86,4,0,
65,1917,10904,2190.81,81,3,0,
66,426,2711,1257.99,16,2,0,
67,1957,12952,1296.12,35,2,0,
68,1145,7436,287.15,6,2,0,
69,1379,8201,3585.86,117,4,0,
70,3278,18143,1575.99,74,5,0,
71,1469,9368,1313.63,31,2,0,
72,1113,7127,91.0765,4,2,0,
73,2702,14764,207.894,14,5,0,
74,2885,17714,2065.17,92,3,0,
75,1360,7885,1048.32,35,2,0,
76,1646,9313,4115.34,131,2,0,
77,1639,9511,3490.58,132,3,0,
78,1125,7396,447.295,4,3,0,
79,996,6100,764.559,38,3,0,
80,1493,9517,1081.49,18,2,0,
81,1842,10327,2849.1,147,4,0,
82,1593,8474,4738.46,179,3,0,
83,785,5090,850.478,14,2,0,
84,1715,9958,2105.55,67,3,0,
85,4656,26973,54.2898,2,1,0,
86,1841,10422,2843.21,89,5,0,
87,3012,17034,2076.37,35,3,0,
88,3481,18741,1554.65,105,3,0,
89,1232,7316,2081.66,78,3,0,
90,2028,10855,1314.46,61,4,0,
91,4168,24173,2131.93,61,6,0,
92,1644,9864,1825.34,53,3,0,
