eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,2085,13599,82.3604,1,1,0,
1,2038,12889,224.084,7,2,0,
2,2262,12003,758.139,26,3,0,
3,136,825,2040.47,42,1,0,
4,1580,9990,1346.05,35,3,0,
5,1767,11242,374.636,6,3,0,
6,1061,6931,0,0,1,0,
7,76,476,123.808,3,1,0,
8,1386,8880,0,0,2,0,
9,1632,10341,616.22,23,2,1,
10,381,2044,1448.13,35,2,0,
11,1151,7092,472.193,13,3,0,
12,468,2383,1608.41,81,2,0,
13,1110,7189,1238.36,18,3,0,
14,1497,10054,525.531,14,2,0,
15,1188,7850,0,0,2,0,
16,40,317,319.521,5,1,0,
17,62,411,346.197,5,1,0,
18,32,196,0,0,1,0,
19,20,100,171.978,2,1,0,
20,215,1234,1789.45,42,1,0,
21,1534,10025,13.0094,3,2,0,
22,2202,12552,979.61,21,3,0,
23,251,1555,0,0,1,0,
24,2104,13027,513.096,42,2,0,
25,359,1840,1622.7,30,2,0,
26,172,1009,1814.16,46,1,0,
27,2191,12071,505.079,6,2,0,
28,1670,10941,251.937,6,3,0,
29,320,2073,155.065,3,1,0,
30,2190,12546,389.468,20,3,0,
31,2027,11996,828.422,47,4,0,
32,118,723,793.433,12,1,0,
33,224,1516,1299.17,31,1,0,
34,2129,12367,425.002,7,3,0,
35,79,572,1522.81,23,1,0,
36,268,1806,443.854,19,2,0,
37,2256,13914,31.4083,9,2,0,
38,153,1027,63.6664,1,1,0,
39,489,3043,150.718,8,2,0,
40,235,1290,3386.36,107,1,0,
41,1808,10599,207.472,4,4,0,
42,219,1385,2432.29,58,1,0,
43,944,5976,0,0,1,0,
44,1964,12500,152.34,5,3,0,
45,1988,11992,478.228,9,2,0,
46,2235,13572,122.168,22,2,0,
47,1996,12781,133.955,11,2,0,
48,354,2184,1473.71,56,2,0,
49,424,2456,1361.68,34,1,0,
50,1480,8661,0,0,1,0,
51,1499,9798,1788.34,37,3,0,
52,672,4004,930.394,29,1,0,
53,1649,10980,467.045,9,2,0,
54,599,3613,189.177,17,1,0,
55,1236,7897,1553.38,44,2,0,
56,2080,11966,478.662,14,3,0,
57,2079,13131,290.55,10,2,0,
58,945,6267,43.2336,1,3,0,
59,1253,8211,0,0,1,0,
60,2666,15529,238.928,12,3,1,
61,1432,9356,191.24,3,2,0,
62,418,2806,3.75885,1,1,0,
63,1815,11148,294.284,8,2,0,
64,1098,7009,18.5704,1,1,0,
65,285,1851,1395.53,34,1,0,
66,604,3921,0,0,1,0,
67,1383,8535,270.417,2,3,0,
68,184,1137,634.126,15,1,0,
69,259,1900,709.946,21,2,0,
70,904,5996,143.27,1,2,0,
71,487,2787,667.136,15,2,0,
72,164,1071,295.962,8,1,0,
73,1705,10637,695.434,3,3,0,
74,18,162,80.0837,2,2,0,
75,322,2083,911.103,20,2,0,
76,1604,10693,455.309,6,2,0,
77,67,422,1072.44,40,2,0,
78,339,2154,1659.78,66,2,0,
79,1826,11448,611.355,9,3,0,
80,2103,12799,318.262,8,2,0,
81,2017,12432,0,0,2,0,
82,2196,12804,137.55,6,2,0,
83,504,3112,758.739,32,2,0,
84,374,2273,1284.2,36,1,0,
85,1190,8094,507.636,17,2,0,
86,255,1659,62.8264,7,1,0,
87,120,718,1387.94,34,1,0,
88,77,440,1111.09,13,1,0,
89,442,2479,1972.77,97,2,0,
90,2103,12787,65.7374,1,1,0,
91,2139,12487,992.332,32,3,0,
92,297,1739,1772.06,78,1,0,
93,1086,6879,0,0,1,0,
94,2200,12829,632.629,23,3,0,
95,2154,12138,815.057,48,3,0,
96,194,1156,2797.08,56,1,0,
97,288,1708,326.067,8,2,0,
98,250,1544,782.365,22,2,0,
99,518,3117,343.027,30,1,0,
100,1798,10714,383.703,6,2,0,
101,1096,7796,0,0,1,0,
102,1278,8225,511.312,53,2,0,
103,2043,12133,948.072,33,2,0,
104,1462,9602,164.388,3,3,0,
105,85,588,656.76,8,1,0,
106,104,660,886.201,25,1,0,
107,1894,12251,1478.29,33,2,0,
108,362,2340,903.734,23,1,0,
109,428,2811,177.668,11,1,0,
110,385,2338,1729.14,74,2,0,
111,304,1789,986.957,30,1,0,
112,221,1359,988.856,36,1,0,
113,1899,12286,193.571,1,2,0,
114,269,1822,633.532,25,2,0,
115,225,1346,1304.69,19,1,0,
116,709,3313,295.314,31,3,0,
117,2201,12324,30.5558,1,1,0,
118,989,6028,38.4012,3,3,0,
119,1730,11199,1406.31,26,3,0,
120,380,2313,1340.06,77,2,0,
121,1734,11517,409.598,15,3,0,
122,1426,9134,460.608,9,2,0,
123,1798,11776,190.675,4,2,0,
124,212,1611,112.258,4,1,0,
125,1199,7629,1288.38,24,2,0,
126,110,661,1668.2,33,1,0,
127,256,1636,9.88559,2,2,0,
128,1890,11983,2681.76,76,1,0,
129,487,3208,356.218,43,1,0,
130,1950,12325,900.516,41,4,0,
131,95,592,778.714,12,1,0,
132,418,2732,199.595,6,2,0,
133,189,1055,2713.73,74,1,0,
134,319,1922,840.869,27,2,0,
135,98,560,1457.69,37,1,0,
136,1342,8675,1373.75,50,2,0,
137,481,2942,1103.3,68,2,0,
138,194,1065,1320.25,55,2,0,
139,301,1679,2496.27,89,1,0,
140,1916,12683,47.2693,2,2,0,
141,277,1766,470.897,23,1,0,
142,168,1053,2318.97,49,1,0,
143,386,2294,1193.32,58,2,0,
144,661,3469,291.326,18,3,0,
145,1053,6534,0,0,2,0,
146,192,1103,3008.84,112,1,0,
147,61,402,116.26,3,1,0,
148,2262,13327,1217.37,61,2,0,
149,1685,10164,1979.66,43,4,0,
150,529,3286,712.606,57,1,0,
151,2017,12229,129.998,4,2,0,
152,818,5214,0,0,1,0,
153,2502,12402,1395.15,25,5,0,
154,1754,10989,2086.27,37,2,0,
