eventID,numPE,numPhotons,eDep,numElasticSensitive,numInelastic,nCapture,
0,2139,13065,3.47462,1,2,0,
1,916,5592,0,0,1,0,
2,104,618,951.434,24,1,0,
3,1989,12560,884.28,21,2,0,
4,2186,13105,183.34,6,2,0,
5,1996,13044,206.672,14,2,0,
6,526,3390,949.415,73,1,0,
7,1994,11515,1595.38,33,3,0,
8,3239,17628,16.7503,1,1,1,
9,41,226,253.42,5,1,0,
10,110,750,1.51272,1,1,0,
11,60,491,2071.53,31,1,0,
12,99,563,993.101,11,1,0,
13,257,1788,694.424,21,2,0,
14,3701,23168,554.315,47,2,1,
15,1867,11656,1451.57,45,2,0,
16,332,2009,466.145,16,1,0,
17,172,1043,5.7147,1,1,0,
18,247,1599,0,0,1,0,
19,384,2227,822.802,22,2,0,
20,196,1254,2309.13,65,1,0,
21,563,3195,483.511,37,1,0,
22,2366,13732,283.311,18,2,0,
23,278,1740,264.671,6,2,0,
24,2268,13657,184.125,19,2,0,
25,154,992,9.49172,1,1,0,
26,1438,9701,460.756,3,1,0,
27,369,2255,1025.58,22,2,0,
28,2108,13292,46.1713,2,2,0,
29,1713,10667,818.798,13,2,0,
30,1999,11610,1859.21,43,2,0,
31,11,64,0,0,1,0,
32,2294,13178,431.788,50,2,0,
33,342,2017,848.447,31,2,0,
34,107,672,70.4101,2,1,0,
35,532,3364,588.163,42,1,0,
36,593,3356,252.232,27,1,0,
37,343,2311,1218.92,50,2,0,
38,1944,12100,920.935,19,2,0,
39,104,695,687.148,18,1,0,
40,331,2096,435.719,29,1,0,
41,313,1902,79.9012,2,1,0,
42,2180,12665,880.55,35,2,0,
43,108,664,1332,20,1,0,
44,397,2441,486.881,14,2,0,
45,1183,7759,852.604,12,2,0,
46,118,752,2673.74,85,1,0,
47,226,1470,101.902,4,1,0,
48,403,2623,1344.02,62,2,0,
49,1897,11311,1157.17,42,3,0,
50,1033,6803,15.4885,2,2,0,
51,1627,10708,401.763,9,2,0,
52,460,2703,180.583,11,1,0,
53,1807,11539,407.045,33,3,0,
54,243,1612,1244.22,12,1,0,
55,226,1406,1046.39,20,1,0,
56,1719,11075,342.476,6,3,0,
57,589,3353,730.238,50,1,0,
58,2497,12776,469.084,27,2,0,
59,1635,8596,1158.92,36,2,1,
60,321,2026,282.148,4,2,0,
61,1544,8585,477.552,12,2,1,
62,1942,12134,2294.75,57,2,0,
63,1229,7742,1558.31,51,2,0,
64,1682,10995,36.7216,2,3,0,
65,1329,8724,0,0,2,0,
66,2046,12302,1422.59,45,3,0,
67,428,2391,991.709,57,1,0,
68,222,1197,1102.4,45,1,0,
69,425,2611,1384.96,71,2,0,
70,190,1277,280.868,4,1,0,
71,133,832,53.1526,1,1,0,
72,149,919,594.042,12,1,0,
73,1858,12343,1235.83,46,1,0,
74,275,1833,544.004,8,2,0,
75,2388,13793,112.878,14,2,0,
76,216,1519,935.98,14,1,0,
77,1941,11757,566.761,8,3,0,
78,10,108,0.850501,1,1,0,
79,402,2805,0,0,1,0,
80,288,1804,974.595,46,1,0,
81,519,3147,248.83,19,3,0,
82,1396,9067,977.998,5,1,0,
83,700,4639,91.281,1,1,0,
84,1410,9088,867.66,9,1,0,
85,193,1299,135.175,3,1,0,
86,330,1978,446.732,24,2,0,
87,243,1534,487.982,16,1,0,
88,216,1160,1766.49,57,1,0,
89,303,1882,2028.1,66,1,0,
90,143,866,2304.62,53,1,0,
91,1367,8697,168.232,1,2,0,
92,472,2681,1418.42,71,2,0,
93,1074,6616,92.7535,3,2,0,
94,1734,11169,492.246,26,3,0,
95,463,2467,2048.17,97,2,0,
96,57,361,709.443,14,1,0,
97,1514,9374,26.596,1,1,0,
98,1341,9093,0,0,1,0,
99,1666,10731,71.0823,2,2,0,
100,68,387,102.293,2,1,0,
101,1228,8196,0,0,1,0,
102,506,3291,129.082,18,2,0,
103,175,1153,822.512,12,1,0,
104,86,585,239.844,2,1,0,
105,2159,12373,898.412,39,4,0,
106,265,1810,572.684,14,2,0,
107,412,2286,271.751,10,1,0,
108,428,2661,312.186,33,2,0,
109,2457,13243,41.7315,1,1,0,
110,2563,13748,98.7969,2,1,0,
111,316,2097,392.73,38,1,0,
112,64,367,17.4112,1,1,0,
113,80,522,165.94,7,1,0,
114,781,5149,0,0,1,0,
115,304,1880,1352.29,34,2,0,
116,1600,9771,570.787,14,3,0,
117,119,673,2004.51,55,1,0,
118,204,1291,1977.66,31,1,0,
119,199,1160,1882.72,67,1,0,
120,401,2152,1911.07,60,1,0,
121,401,2608,501.894,36,1,0,
122,159,925,27.4846,2,1,0,
123,459,2639,753.647,23,2,0,
124,426,2687,444.913,13,2,0,
125,1303,8592,15.4473,2,1,0,
126,426,3043,52.4005,5,2,0,
127,2149,12479,1123.71,42,3,0,
128,2169,13522,401.243,37,2,0,
129,297,1961,46.2484,4,2,0,
130,1459,9341,693.361,9,2,0,
131,2207,13175,425.134,24,3,0,
132,1555,9948,641.427,15,2,0,
133,1163,7186,209.469,1,1,0,
134,2142,12906,557.117,17,3,0,
135,402,2540,804.713,46,1,0,
136,363,2395,1167.99,36,2,0,
137,535,3162,817.294,28,2,0,
138,1374,8472,287.193,9,2,0,
139,246,1626,1431.66,34,1,0,
140,588,3347,534.206,30,1,0,
141,1688,10828,63.8654,4,2,0,
142,364,2105,1217.85,25,2,0,
143,2293,13076,806.976,28,3,0,
144,351,2303,654.337,11,2,0,
145,449,2682,1471.06,62,2,0,
146,426,2232,1053.55,36,1,0,
147,1485,9369,437.291,7,2,0,
148,182,1271,60.1795,2,1,0,
149,1134,7733,129.08,3,2,0,
150,371,2316,84.8482,2,1,0,
151,380,2272,2085.41,100,1,0,
152,1283,8042,0,0,1,0,
153,78,548,941.273,11,1,0,
154,2019,13019,438.913,14,3,0,
155,146,968,466.404,12,1,0,
156,2222,13077,771.222,54,2,0,
157,107,669,2277.81,64,1,0,
158,491,2689,1596.17,86,2,0,
159,1808,11332,626.388,10,2,0,
160,2099,12521,225.727,3,3,0,
161,451,2787,262.064,8,1,0,
162,416,2493,1669.81,71,2,0,
163,463,2733,1471.43,44,1,0,
164,2038,12408,59.7097,2,2,0,
165,424,2699,605.581,29,2,0,
166,388,2131,2134.4,78,1,0,
167,1587,10049,2272.87,78,3,0,
168,1275,8322,113.22,2,2,0,
169,368,2297,1058.52,26,1,0,
170,80,499,1927.47,27,1,0,
171,2275,13164,534.012,49,3,0,
172,1419,9379,0,0,2,0,
173,1463,8727,0,0,1,0,
174,819,5325,24.0398,1,2,0,
175,63,409,601.943,19,1,0,
176,185,1155,289.417,8,1,0,
177,1916,11840,1177.25,20,2,0,
178,370,2281,610.631,23,1,0,
179,420,2467,2167.09,97,1,0,
180,541,2991,890.126,62,2,0,
181,1884,11402,1117.23,23,2,0,
182,167,1068,296.08,24,1,0,
183,194,1178,1598.35,39,1,0,
184,454,2345,1542.97,62,1,0,
185,1902,12213,834.837,34,3,0,
186,288,1572,791.715,29,1,0,
187,240,1687,1238.89,18,1,0,
188,1997,11985,108.311,2,2,0,
189,1206,7852,144.044,14,2,0,
190,1210,8053,0,0,1,0,
191,298,1833,996.601,25,1,0,
192,1215,7994,1230.22,23,2,0,
193,204,1444,243.74,10,1,0,
194,2158,12551,711.352,27,2,0,
195,349,2049,1498.48,60,2,0,
196,1774,10565,2236.87,45,2,0,
197,82,521,1105.42,17,1,0,
198,29,176,0,0,1,0,
199,2336,13043,209.354,9,3,0,
200,398,2244,771.099,20,2,0,
201,1894,12028,249.427,1,2,0,
202,506,3376,609.368,34,1,0,
203,918,5984,0,0,1,0,
204,280,1827,2.81534,1,1,0,
205,975,6519,215.049,9,3,0,
206,96,568,795.046,13,1,0,
207,2052,12135,1802.95,45,2,0,
208,183,1260,0,0,1,0,
209,630,3901,0,0,2,0,
210,1648,10732,157.272,4,2,0,
211,1765,11126,829.675,12,3,0,
212,1597,10793,231.704,4,3,0,
213,1403,9308,918.976,28,3,0,
214,2182,13632,175.961,17,3,0,
215,1651,10486,0,0,2,0,
216,97,606,1173,30,1,0,
217,2256,13313,14.0436,2,2,0,
218,66,390,23.0387,1,1,0,
219,305,1819,526,20,2,0,
220,1069,6948,80.5771,3,2,0,
221,340,2030,1204.2,48,2,0,
222,1592,10275,0,0,2,0,
223,1566,9601,49.4482,2,2,0,
224,1479,10092,304.786,3,2,0,
225,476,2666,1239.2,64,1,0,
226,72,551,127.948,6,1,0,
227,157,1170,0,0,1,0,
228,417,2805,551.046,19,1,0,
229,1991,11079,1003.87,36,3,0,
230,398,2628,563.805,21,2,0,
231,1479,8569,1734.21,53,2,1,
232,472,2880,158.472,5,2,0,
233,411,2318,882.061,55,2,0,
234,2107,12809,87.2984,4,3,0,
235,403,2570,1406.08,61,1,0,
236,1910,11957,431.656,23,3,0,
237,89,601,365.645,6,1,0,
238,2162,12391,937.207,23,2,0,
239,573,2947,1663.21,73,1,0,
240,188,982,3319.58,98,1,0,
241,302,1850,2012.77,75,1,0,
242,452,2472,971.954,41,1,0,
243,1574,10579,12.4639,1,2,0,
244,333,1887,399.372,15,2,0,
245,2308,13686,19.1089,3,3,0,
246,325,1787,495.121,12,1,0,
247,2366,12978,447.406,18,4,0,
