eventID,numPhotons,numUp,numDown,coincidenceTime,numElasticSensitive,scatteredInelastically,scatteredNotSensitive,nucleusRecoilEnergy,timeOfFlight,detector,
747438,2320,19,22,0,1,0,0,0,61.4531,A6,
747962,822,10,11,0,1,0,0,0,58.2981,A3,
749839,782,12,11,0,1,0,0,0,61.5516,A4,
749974,2493,19,28,0,1,0,0,0,65.2521,A7,
752084,2170,12,8,0,1,0,0,0,62.7023,A3,
753690,2704,10,20,0,1,0,0,0,62.56,A4,
756359,1187,11,10,0,1,0,0,0,65.1485,A3,
759026,852,8,12,0,1,0,0,0,73.7151,A2,
759513,916,9,14,0,1,0,0,0,63.1108,A4,
762513,2526,23,17,0,1,0,0,0,66.5171,A7,
765759,1905,17,12,0,1,0,0,0,64.7452,A3,
768329,1913,13,16,0,2,0,0,0,67.268,A3,
772240,1080,8,10,0,1,0,0,0,62.005,A3,
774108,1711,35,42,0,3,0,0,0,65.2527,A7,
778626,2227,28,33,0,1,0,0,0,66.2217,A7,
779186,1145,6,13,0,1,0,0,0,137.519,A0,
785747,3326,4,9,0,1,0,0,0,137.517,A1,
789640,1203,25,29,0,1,0,0,0,62.0686,A7,
789688,1103,3,6,0,1,0,0,0,57.3898,A3,
790774,2142,3,5,0,1,0,0,0,129.14,A1,
791400,2244,7,14,0,1,0,0,0,67.7949,A2,
793040,1762,8,2,0,1,0,0,0,133.369,A0,
793720,1899,23,32,0,3,0,0,0,148.699,A1,
797388,1894,6,6,0,1,0,0,0,131.894,A0,
798540,1454,21,24,0,1,0,0,0,64.3891,A6,
799325,954,11,13,0,1,0,0,0,60.3078,A3,
799620,2887,18,29,0,1,0,0,0,63.4057,A7,
802575,1847,16,17,0,1,0,0,0,67.4117,A5,
803307,1225,23,17,0,1,0,0,0,65.4279,A6,
804890,2270,6,7,0,1,0,0,0,143.305,A1,
805858,851,6,11,0,1,0,0,0,63.0499,A3,
809066,2035,9,13,0,1,0,0,0,141.9,A1,
810760,3558,2,3,0,1,0,0,0,121.055,A0,
811714,1076,25,21,0,1,0,0,0,65.1782,A5,
812669,2501,29,24,0,1,0,0,0,65.9629,A7,
812877,2646,5,12,0,1,0,0,0,64.5335,A3,
819890,1867,7,16,0,1,0,0,0,57.8634,A3,
821390,2521,14,8,0,1,0,0,0,62.4291,A3,
821673,1584,3,7,0,1,0,0,0,133.543,A0,
825025,1394,10,8,0,1,0,0,0,75.9684,A2,
827167,3166,2,12,0,1,0,0,0,137.846,A1,
835335,1161,15,19,0,2,0,0,0,62.3361,A3,
836924,2381,13,13,0,1,0,0,0,63.9565,A4,
837630,1823,9,9,0,1,0,0,0,56.3972,A3,
838067,1663,6,9,0,1,0,0,0,60.1697,A3,
840032,1189,18,35,0,1,0,0,0,64.1721,A7,
842978,860,1,3,0,1,0,0,0,110.5,A0,
844637,1201,15,16,0,1,0,0,0,58.2271,A4,
850971,967,19,14,0,1,0,0,0,69.7502,A6,
856148,1177,6,6,0,1,0,0,0,62.8614,A3,
857612,2669,15,8,0,1,0,0,0,62.4418,A4,
858275,2666,16,18,0,1,0,0,0,61.8215,A4,
866116,1196,14,8,0,1,0,0,0,64.7899,A4,
866960,1777,6,12,0,1,0,0,0,74.5896,A2,
872917,1076,10,12,0,1,0,0,0,62.4963,A3,
873268,1502,14,34,0,1,0,0,0,65.656,A7,
873676,1344,27,38,0,2,0,0,0,68.8514,A7,
876169,1036,31,31,0,2,0,0,0,69.0768,A7,
878315,910,8,11,0,1,0,0,0,64.8733,A3,
881463,1579,26,25,0,2,0,0,0,64.3379,A7,
883694,1136,5,6,0,1,0,0,0,54.9685,A3,
885594,2111,21,26,0,1,0,0,0,69.6325,A7,
888701,2893,18,26,0,1,0,0,0,65.134,A6,
890102,2028,13,29,0,2,0,0,0,67.3391,A6,
892790,963,24,27,0,2,0,0,0,65.4209,A4,
900671,1813,9,14,0,1,0,0,0,62.3516,A3,
904908,2446,4,2,0,1,0,0,0,129.93,A0,
909507,1778,15,19,0,1,0,0,0,64.9634,A5,
910055,1019,2,7,0,1,0,0,0,116.514,A0,
911491,1575,13,13,0,1,0,0,0,64.0845,A3,
913089,1979,7,10,0,1,0,0,0,58.8256,A3,
913249,1292,22,28,0,1,0,0,0,67.2863,A7,
913553,1906,13,15,0,1,0,0,0,66.7958,A3,
915320,1214,22,33,0,2,0,0,0,70.7045,A7,
915548,2343,10,18,0,1,0,0,0,60.5544,A4,
917620,1256,3,2,0,1,0,0,0,113.544,A0,
920009,2843,18,25,0,1,0,0,0,66.4193,A5,
920894,905,8,13,0,1,0,0,0,75.441,A2,
921042,2171,6,10,0,1,0,0,0,71.5299,A2,
925121,2823,18,15,0,1,0,0,0,59.3622,A4,
934576,1827,12,15,0,2,0,0,0,63.1905,A4,
934988,2588,11,9,0,1,0,0,0,72.5425,A2,
936759,1836,34,39,0,2,0,0,0,63.3386,A4,
950059,1898,19,25,0,1,0,0,0,64.5675,A6,
952345,2142,10,10,0,1,0,0,0,75.2957,A2,
956945,955,10,7,0,1,0,0,0,60.3008,A3,
959836,2038,16,25,0,1,0,0,0,64.3751,A6,
960349,1221,3,6,0,1,0,0,0,31.8184,A3,
964164,2343,5,4,0,1,0,0,0,131.264,A0,
964369,2984,17,33,0,2,0,0,0,66.196,A6,
967648,1722,17,25,0,1,0,0,0,68.5575,A6,
968729,1405,16,25,0,1,0,0,0,65.161,A6,
969004,953,16,26,0,1,0,0,0,64.7907,A6,
970817,1021,9,16,0,1,0,0,0,61.3744,A4,
971950,1717,5,17,0,1,0,0,0,59.7947,A3,
972456,1982,11,10,0,1,0,0,0,71.3188,A2,
977185,1020,13,8,0,1,0,0,0,65.9695,A3,
979352,2337,19,27,0,2,0,0,0,58.2602,A5,
981254,2152,13,16,0,1,0,0,0,62.3752,A5,
986244,1730,9,8,0,1,0,0,0,73.3374,A2,
995959,2198,2,6,0,1,0,0,0,129.712,A0,
