numPE,counts
2.5173611111111107, 2.8627491983828577
3.5069444444444438, 6.4802732468980935
4.513888888888889, 39.00627352572147
5.503472222222221, 46.73923044751152
6.493055555555556, 88.60016729401923
7.51736111111111, 103.66074167015196
8.506944444444446, 105.57186672243134
9.496527777777775, 111.99993029415864
10.503472222222221, 96.34525303220408
11.510416666666668, 91.93273386309772
12.5, 95.75101073469956
13.524305555555557, 70.46026767043081
14.496527777777779, 40.552000557646736
15.503472222222225, 47.18088665830196
16.51041666666667, 35.842395092708756
17.500000000000004, 35.143733444862676
18.50694444444445, 26.01352293322182
19.51388888888889, 14.173149309912162
20.503472222222225, 16.285027185278125
21.51041666666667, 12.474766485431473
22.517361111111114, 13.783702774292465
23.506944444444446, 10.073748780147781
24.513888888888893, 10.680050188205769
25.520833333333336, 5.364143315209844
26.51041666666667, 6.7733863097727465
27.517361111111118, 8.18269901017706
28.52430555555556, 10.29464659138435
29.513888888888893, 4.0752823086574494
30.52083333333334, 8.194758120730484
31.527777777777782, 2.1762163669315555
32.5, 13.422277986895295
33.50694444444444, 9.310888052418761
34.53125, 3.0916631813745994
35.50347222222222, 9.218527812630668
36.510416666666664, 0.8913285933361124
37.517361111111114, 5.713439286212179
38.50694444444445, 2.0034852920674666
