num_photons,counts
2.0487348799158482, 77.34704610530008
4.0881201425816585, 113.915736574534
6.251387833810547, 124.85478875708527
8.052357856600239, 133.76731140068955
10.299772103079523, 154.4673639922866
12.30175889674516, 146.69783205750016
14.268684625723132, 134.8612166189447
18.318237597148368, 124.60936130427163
16.2040553964822, 119.36422602699703
20.21504119675101, 104.63857885817802
22.25559516157307, 101.34283877753757
24.036697247706428, 67.95068076900601
26.150879448372585, 73.19581604628063
28.02314030269386, 50.37807514754863
30.021620989890728, 42.20183486238534
32.111260445275526, 44.60001168702158
34.09221060012857, 34.39022964997372
36.255478291357456, 45.329281832525
37.91269794892772, 37.56676211067608
40.24192134634489, 27.756676211067628
