num_ph,counts
2.1848145968216564, 70.37080635668038
4.300176574455559, 104.40729841082988
7.531489111241903, 115.53148911124188
9.345497351383163, 123.35020600353145
11.640965273690405, 143.0559152442613
13.304296645085344, 137.76574455562093
14.87345497351383, 124.28251912889934
16.82989994114185, 114.49323131253676
19.589170100058865, 114.54973513831663
21.106533254855798, 96.56032960565037
23.12889935256033, 92.50618010594464
24.83107710417893, 60.59564449676279
26.61683343143026, 65.95644496762799
28.096527369040615, 44.68981753972923
30.08593290170689, 37.768098881695096
32.514420247204235, 39.04649793996467
34.4802825191289, 30.076515597410207
36.33195997645675, 41.17245438493228
38.302530900529725, 32.612124779281885
40.26839317245439, 23.642142436727426
