num_ph,counts
2.3543260741612677, 85.11830488522659
4.866391995291345, 123.66804002354323
7.091230135373749, 137.22895821071216
9.245438493231312, 144.64508534432017
11.923484402589757, 167.63507945850498
13.549146556798117, 159.0676868746321
15.123013537374927, 145.99411418481458
17.008828722778105, 130.06003531489108
19.49852854620365, 136.66391995291343
21.309005297233668, 114.17539729252499
23.354914655679814, 112.16951147733958
24.641553855208954, 74.10712183637432
26.464979399646857, 82.74514420247203
28.251912889935262, 58.20835785756324
30.227192466156566, 50.05768098881691
32.693349028840494, 54.61330194231897
34.262507357268994, 41.13007651559738
36.46380223660978, 52.64273101824597
38.779281930547384, 44.08946439081811
40.38140082401413, 33.47380812242491
