photons,counts
2.150411967510074, 89.14158826623036
5.832992461871086, 116.32092561210777
7.971717407818613, 124.4130193420207
10.057850756734638, 126.40448781628002
12.228130660901066, 138.15695669958512
14.25816630631683, 133.64109156781396
15.985508093262428, 134.0127388535032
18.398878045929997, 133.96365336294048
19.95091450943727, 113.9998831297844
21.945889090165373, 105.41693449424416
23.909308712674573, 93.17361070531177
25.86571612224624, 80.11687021562557
27.783556360661485, 62.586337871793404
29.757494302576987, 51.56313913399171
31.78051773505522, 46.23385730146671
33.45526792496932, 40.504879331502394
35.41518144100976, 27.854847192193063
37.1074621632677, 24.159410974113257
39.48226494477883, 19.636533629404568
