numPhotons,numUp,numDown,eDep,
11515,0,0,0,
737,2,1,0,
23740,176,171,33.8432,
22716,0,0,0,
30813,0,0,0,
21262,1339,1248,430.587,
31865,1895,1933,662,
11694,671,687,247.151,
1983,106,135,42.4926,
25391,431,343,105.027,
1,0,0,0.124463,
27173,3,12,0,
28906,1113,1124,0,
16863,0,0,0,
0,0,0,0,
18769,1102,1153,391.948,
0,0,0,0,
31680,475,556,0,
4211,0,0,0,
0,0,0,0,
6494,413,378,137.479,
15759,87,74,29.0967,
24628,0,0,0,
3257,69,69,25.5631,
0,0,0,0,
15276,0,0,0,
0,0,0,0,
14369,851,815,291.888,
0,0,0,0,
9775,0,0,0,
20265,0,0,0,
14634,924,826,303.363,
23865,12,22,0,
21131,1074,1424,442.885,
19703,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
21976,0,0,0,
7626,0,0,0,
22196,0,0,0,
0,0,0,0,
11020,894,278,194.922,
0,0,0,0,
0,0,0,0,
21646,1151,1020,347.774,
24759,1393,1393,450.496,
26141,1325,1334,433.049,
7955,0,0,0,
23902,1302,1271,421.566,
19472,0,0,0,
18613,0,0,0,
9427,0,0,0,
22894,1407,1440,473.369,
0,0,0,0,
32240,0,0,0,
17715,67,56,25.5922,
0,0,0,0,
19604,5,10,0,
4890,316,295,102.209,
0,0,0,0,
31347,2224,1596,662,
21599,463,450,168.02,
19866,0,0,0,
13935,788,826,272.974,
23738,1446,1384,478.289,
32331,2157,1771,662,
14580,0,0,0,
32555,2254,1808,662,
16549,1031,992,343.298,
26885,1569,1292,473.667,
3424,223,191,74.7712,
22755,1369,1363,463.523,
21525,1296,1282,444.724,
12456,77,85,0,
0,0,0,0,
13681,2,11,0,
12285,672,674,228.762,
15441,358,348,130.2,
47,3,1,1.46539,
20108,1355,1140,411.829,
26566,1472,1453,501.218,
0,0,0,0,
0,0,0,0,
27707,39,62,0,
32595,0,0,0,
608,0,0,0,
23683,821,1399,362.06,
0,0,0,0,
17681,806,745,271.007,
0,0,0,0,
9642,127,123,0,
19308,293,277,97.1838,
21148,1281,1287,432.303,
0,0,0,0,
19099,0,0,0,
23285,1398,1383,477.242,
0,0,0,0,
12858,730,696,404.161,
13643,976,715,283.034,
16886,179,204,92.0461,
22889,1325,1397,467.918,
0,0,0,0,
21919,213,195,68.1842,
4875,297,320,101.748,
0,0,0,0,
0,0,0,0,
9636,0,0,0,
26808,1151,1135,394.343,
4520,270,300,93.8375,
0,0,0,0,
3355,201,175,71.0558,
0,0,0,0,
9568,600,573,199.198,
16677,714,705,251.25,
0,0,0,0,
15937,0,0,0,
24236,460,529,69.7662,
32372,0,0,0,
17524,1023,1059,367.291,
20944,1169,1372,436.414,
27690,1363,1358,436.131,
16123,733,707,175.726,
0,0,0,0,
0,0,0,0,
23448,1253,1547,489.817,
0,0,0,0,
8552,518,497,177.221,
0,0,0,0,
19570,1185,1127,400.772,
4093,264,269,92.4127,
0,0,0,0,
21057,1062,951,339.847,
0,0,0,0,
0,0,0,0,
0,0,0,0,
22395,1354,1357,457.089,
1792,114,82,47.8684,
3430,0,0,0,
0,0,0,0,
17511,862,899,287.335,
23096,0,0,0,
26357,0,0,0,
3013,0,0,0,
992,10,20,0,
18583,1118,1139,378.625,
24347,801,1265,352.977,
2,0,0,0.149026,
0,0,0,0,
0,0,0,0,
23564,0,0,0,
0,0,0,0,
23356,1086,1018,352.892,
26547,370,371,128.581,
1677,95,109,36.5437,
0,0,0,0,
31472,1440,1452,478.235,
0,0,0,0,
19976,1210,1212,413.86,
9681,592,570,193.133,
0,0,0,0,
19585,1199,1129,402.493,
11049,696,652,229.049,
0,0,0,0,
0,0,0,0,
366,27,32,8.65856,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1623,0,0,0,
2934,174,166,72.1429,
19591,0,0,0,
23084,5,4,0,
19782,0,0,0,
31310,1768,1266,502.984,
0,0,0,0,
17964,1157,1076,363.514,
0,0,0,0,
19377,1179,1191,393.59,
31755,1180,988,374.826,
25751,1348,1377,452.601,
0,0,0,0,
7484,428,415,155.714,
0,0,0,0,
0,0,0,0,
0,0,0,0,
11153,5,2,0,
0,0,0,0,
31270,419,437,122.71,
6016,0,0,0,
0,0,0,0,
8346,504,527,173.128,
19000,0,0,0,
31322,44,69,0,
2411,0,0,0,
20454,1188,1280,423.813,
31014,2035,1777,662,
22421,0,0,0,
0,0,0,0,
9813,600,610,202.879,
26269,1319,1278,400.991,
23221,0,0,0,
17497,16,22,0,
0,0,0,0,
8015,490,484,178.258,
0,0,0,0,
9761,0,0,0,
14194,765,1008,310.18,
0,0,0,0,
23435,1440,1376,494.429,
9153,0,0,0,
23027,0,0,0,
23632,18,5,0,
13891,0,0,0,
7668,475,485,159.824,
23241,864,1963,477.625,
31155,387,469,150.31,
0,0,0,0,
1063,70,44,23.8436,
11026,683,668,232.655,
0,0,0,0,
21391,0,0,0,
22683,0,0,0,
0,0,0,0,
0,0,0,0,
23221,1398,1414,469.692,
11860,292,436,146.791,
15171,962,950,306.243,
13200,802,801,278.435,
17570,1058,1082,359.376,
31079,832,1001,135.338,
31566,291,206,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
6114,1,0,0,
23137,639,490,196.443,
32040,6,2,0,
19320,983,1155,378.803,
0,0,0,0,
16957,1034,1038,343.232,
0,0,0,0,
3744,237,208,81.599,
12725,11,13,0,
0,0,0,0,
21538,1291,1319,448.399,
7486,8,14,0,
0,0,0,0,
32170,0,0,0,
8825,533,527,185.507,
31460,1592,2272,662,
6343,0,0,0,
16148,197,163,0,
19158,0,0,0,
31893,1490,1556,501.737,
14805,887,914,302.862,
19040,0,0,0,
4165,263,269,86.7191,
16128,896,906,306.354,
28036,1755,1592,555.722,
0,0,0,0,
9249,0,0,0,
26758,15,34,0,
21600,55,69,24.3961,
5799,0,0,0,
10233,595,600,222.091,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
26362,861,817,270.714,
22898,1396,1387,478.004,
0,0,0,0,
23300,0,0,0,
0,0,0,0,
17749,1042,1097,360.659,
25556,1696,989,441.394,
0,0,0,0,
497,26,34,11.6817,
0,0,0,0,
0,0,0,0,
31422,808,771,271.354,
14999,539,230,138.17,
0,0,0,0,
23300,908,930,286.463,
5384,333,319,112.806,
32364,366,126,94.0352,
13932,835,825,285.956,
0,0,0,0,
17831,0,0,0,
22102,0,0,0,
3391,200,217,78.9037,
24254,357,223,95.8764,
25529,249,359,60.4052,
11679,693,699,239.036,
0,0,0,0,
0,0,0,0,
26457,15,11,0,
19673,0,2,0,
25937,834,923,287.734,
21381,0,0,0,
0,0,0,0,
21417,560,909,250.37,
31318,1220,1187,384.846,
0,0,0,0,
21776,0,0,0,
19073,1158,1173,391.369,
24322,0,0,0,
19823,1191,1209,399.368,
20393,1225,1219,413.217,
22765,515,467,160.988,
26666,1306,1324,439.061,
221,12,9,7.01143,
0,0,0,0,
25962,11,20,0,
17471,0,0,0,
0,0,0,0,
23132,0,0,0,
0,0,0,0,
14077,468,400,147.988,
19744,0,0,0,
21573,1204,1381,467.662,
27019,1738,1527,534.434,
0,0,0,0,
11473,400,371,126.477,
31354,1415,1429,420.235,
26204,1596,1542,527.097,
26414,1452,1435,487.386,
27613,1221,1223,398.193,
31518,370,282,0,
13314,0,0,0,
1020,0,0,0,
0,0,0,0,
18778,1752,665,386.187,
24060,1341,1338,448.88,
0,0,0,0,
0,0,0,0,
20758,1304,1277,419.385,
0,0,0,0,
28113,2,4,0,
8701,0,0,0,
22428,0,0,0,
24901,100,47,0,
26042,1,2,0,
8723,495,494,179.147,
1436,0,0,0,
26427,1,4,0,
7030,415,430,148.24,
21975,1214,1031,377.358,
24812,1302,1257,424.04,
16388,932,947,315.456,
22937,0,0,0,
10512,623,654,217.415,
0,0,0,0,
25716,1562,1539,518.349,
15785,0,0,0,
19851,1066,1035,350.901,
0,0,0,0,
28379,135,389,88.1075,
23383,1190,1143,387.594,
21285,13,10,0,
0,0,0,0,
614,33,42,17.5301,
2802,192,175,61.215,
8494,166,163,68.2776,
0,0,0,0,
26052,20,19,7.59897,
23145,0,0,0,
18791,480,443,163.47,
10458,2,0,0,
0,0,0,0,
0,0,0,0,
22641,0,0,0,
0,0,0,0,
24433,0,0,0,
7976,477,477,184.782,
23106,0,0,0,
0,0,0,0,
20461,1282,1295,422.816,
4845,296,290,106.86,
17736,177,146,57.4945,
22802,0,0,0,
22250,1157,1080,366.494,
4618,0,0,0,
0,0,0,0,
14023,805,883,286.401,
30517,1320,1372,495.277,
17464,1121,802,0,
9856,0,0,0,
0,0,0,0,
6898,433,402,147.076,
30323,1610,1565,543.032,
17735,1080,1120,354.993,
0,0,0,0,
15711,0,0,0,
0,0,0,0,
24553,1364,1380,459.305,
24552,1591,1280,507.348,
23863,1455,1412,492.493,
17643,0,0,0,
31868,1002,1011,330.548,
17496,1026,1134,374.841,
7068,7,11,0,
21912,133,80,0,
22137,0,0,0,
15446,0,0,0,
23374,0,0,0,
0,0,0,0,
0,0,0,0,
16383,981,983,335.668,
11627,712,674,244.652,
31950,12,13,0,
9259,562,567,203.723,
11507,654,670,244.541,
8925,521,509,185.52,
12087,491,536,174.434,
0,0,0,0,
23102,0,0,0,
5863,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
31752,595,669,205.265,
13898,797,886,299.299,
0,0,0,0,
23729,0,0,0,
13652,318,332,112.452,
22641,1369,1329,459.274,
26258,0,0,0,
24051,920,862,294.859,
24660,1178,1330,415.837,
31602,1782,1086,428.218,
0,0,0,0,
31135,140,85,0,
0,0,0,0,
23275,1421,1390,470.47,
19990,1198,1167,403.527,
6064,377,331,133.259,
25238,1491,1465,492.121,
31253,0,0,0,
649,39,49,15.3815,
27726,57,37,0,
191,20,9,5.04848,
24431,1405,1355,464.106,
18209,1075,1097,368.444,
0,0,0,0,
18691,0,2,0,
19057,0,0,0,
15352,362,365,127.683,
0,0,0,0,
0,0,0,0,
17866,0,0,0,
0,0,0,0,
17574,0,0,0,
11323,695,710,237.068,
667,0,0,0,
0,0,0,0,
4194,0,0,0,
0,0,0,0,
19908,1063,961,350.18,
0,0,0,0,
31394,270,587,126.368,
8896,0,0,0,
21192,0,0,0,
6121,0,0,0,
0,0,0,0,
13766,863,872,284.028,
32099,805,925,304.477,
18918,0,0,0,
0,0,0,0,
8685,507,504,177.894,
18973,1196,1186,385.226,
31995,1478,1540,452.743,
2122,117,143,55.5516,
12816,760,792,264.416,
15736,0,0,0,
31629,1139,1986,518.247,
2528,126,147,55.892,
0,0,0,0,
0,0,0,0,
31630,463,217,119.946,
9567,598,568,202.071,
0,0,0,0,
15560,0,0,0,
3069,211,144,65.1186,
5059,0,0,0,
20328,1207,1230,409.822,
0,0,0,0,
18485,207,211,74.7862,
9159,518,528,187.539,
25394,227,76,58.898,
0,0,0,0,
20140,0,0,0,
20196,808,865,284.611,
20681,250,321,0,
21349,904,892,294.868,
30952,683,755,240.076,
31776,322,466,131.511,
19978,1191,1213,405.082,
31300,1400,1505,495.802,
15356,552,556,190.99,
0,0,0,0,
2703,0,0,0,
23495,0,0,0,
19287,64,84,0,
20288,0,0,0,
4042,0,0,0,
13968,0,0,0,
0,0,0,0,
27933,478,1521,318.122,
28072,1181,1277,407.379,
23626,0,0,0,
24562,861,1044,326.865,
31986,1484,1426,495.441,
0,0,0,0,
9594,0,0,0,
15303,885,898,310.296,
0,0,0,0,
30591,723,478,106.055,
0,0,0,0,
17046,959,1078,343.103,
0,0,0,0,
31720,1375,1465,469.886,
16240,0,0,0,
26690,6,9,3.96837,
0,0,0,0,
0,0,0,0,
14178,0,0,0,
0,0,0,0,
21060,36,47,15.1206,
17295,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
31118,0,0,0,
32022,1502,1401,474.313,
17819,1059,1078,365.374,
0,0,0,0,
22268,1305,1353,448.616,
0,0,0,0,
23431,0,0,0,
0,0,0,0,
941,0,0,0,
9216,576,546,197.916,
4261,0,0,0,
0,0,0,0,
15445,469,679,197.978,
0,0,0,0,
23013,1369,1350,470.405,
21884,0,0,0,
0,0,0,0,
19979,3,1,0,
18656,0,0,0,
0,0,0,0,
14872,0,0,0,
20497,0,0,0,
22447,1360,1269,451.398,
0,0,0,0,
11066,450,432,143.251,
24420,0,0,0,
23215,0,0,0,
0,0,0,0,
25699,1723,1310,490.394,
31840,1168,1108,282.733,
31537,1957,1748,662,
10450,657,656,214.778,
0,0,0,0,
19080,859,1177,347.798,
0,0,0,0,
24674,18,25,0,
0,0,0,0,
2866,0,0,0,
21467,713,1205,321.004,
0,0,0,0,
21205,0,0,0,
18713,1077,1146,376.754,
23494,1466,1443,475.16,
24397,0,0,0,
0,0,0,0,
21880,0,0,0,
0,0,0,0,
0,0,0,0,
13089,776,819,277.987,
20269,16,4,0,
0,0,0,0,
2975,50,51,21.5912,
31445,1636,1431,490.966,
0,0,0,0,
31588,1,4,0,
0,0,0,0,
25613,1549,1495,519.191,
14598,0,0,0,
23818,0,0,0,
31749,1590,1347,439.831,
23156,1348,1393,472.962,
0,0,0,0,
22144,1320,1367,451.915,
31837,926,1967,487.109,
21907,1279,1365,441.386,
0,0,0,0,
22154,1371,1373,448.988,
15140,0,0,0,
21653,0,0,0,
0,0,0,0,
8519,528,496,178.985,
16188,930,961,329.899,
22251,1355,1385,448.983,
0,0,0,0,
18403,0,0,0,
0,0,0,0,
0,0,0,0,
22367,1315,1341,441.776,
20748,0,0,0,
11632,16,22,0,
22690,21,14,0,
8122,595,217,132.33,
20483,0,0,0,
18597,0,0,0,
20257,1180,1233,422.171,
15209,139,105,45.9773,
0,0,0,0,
11597,729,693,235.356,
23681,0,0,0,
18020,1079,1068,364.057,
28180,1708,1599,552.268,
32237,1149,1050,352.024,
18812,1108,1115,366.71,
13528,0,0,0,
23247,449,446,0,
0,0,0,0,
31330,1684,1614,515.973,
26764,1408,1406,461.289,
0,0,0,0,
0,0,0,0,
27511,1640,1627,553.713,
32179,1913,1989,662,
6429,415,375,134.325,
18274,1120,1117,370.963,
0,0,0,0,
16513,553,1033,264.667,
0,0,0,0,
6679,389,395,142.908,
0,0,0,0,
0,0,0,0,
11538,0,0,0,
0,0,0,0,
31702,39,29,0,
10637,631,610,223.963,
118,9,6,3.56095,
0,0,0,0,
22935,1365,1384,463.888,
0,0,0,0,
19309,1119,1187,389.558,
22294,79,137,0,
28586,1081,1063,368.411,
21541,0,0,0,
10065,0,0,0,
20924,0,0,0,
1407,88,87,34.2332,
22627,769,763,262.869,
0,0,0,0,
24431,18,45,0,
23460,1385,1375,475.768,
20654,10,20,0,
22333,1438,1088,404.289,
32397,1534,1462,481.246,
8121,0,0,0,
6906,436,439,144.439,
2962,208,194,62.6194,
18633,0,0,0,
5517,318,348,116.252,
10510,0,0,0,
10593,0,0,0,
20619,1090,1419,429.209,
23571,1694,1121,503.188,
0,0,0,0,
0,0,0,0,
26297,855,863,275.924,
0,0,0,0,
26869,308,524,142.644,
949,0,0,0,
0,0,0,0,
0,0,0,0,
7746,459,467,160.78,
24839,0,0,0,
16438,485,888,233.249,
2138,112,120,48.4967,
18097,0,0,0,
21202,0,0,0,
22688,1129,1175,398.733,
16599,1020,1039,334.882,
26653,1378,1335,0,
16782,1025,986,344.246,
1399,59,87,31.3877,
32095,1135,1036,330.114,
20751,1169,1330,437.99,
0,0,0,0,
0,0,0,0,
1032,0,0,0,
0,0,0,0,
31966,197,142,62.2094,
826,51,48,19.8143,
7239,418,405,158.826,
20846,1325,1226,422.803,
0,0,0,0,
16187,0,0,0,
16393,93,108,0,
31547,2188,1672,662,
15663,0,0,0,
1318,0,0,0,
24835,1010,1125,346.96,
24068,27,41,0,
0,0,0,0,
0,0,0,0,
4087,2,2,0,
0,0,0,0,
22270,0,0,0,
21203,0,0,0,
0,0,0,0,
11576,0,0,0,
12574,0,0,0,
8992,538,538,187.397,
8561,0,0,0,
1008,52,63,23.318,
14507,832,936,302.234,
0,0,0,0,
0,0,0,0,
24713,0,0,0,
23913,0,0,0,
0,0,0,0,
10870,686,680,228.107,
0,0,0,0,
1444,0,0,0,
7406,455,453,175.221,
20583,0,0,0,
2091,0,0,0,
0,0,0,0,
16036,5,2,0,
5770,333,342,124.93,
3050,186,179,66.7867,
22952,47,76,0,
11614,725,772,237.22,
31896,1952,1849,662,
20147,719,700,200.939,
30855,32,52,0,
2781,0,0,0,
0,0,0,0,
0,0,0,0,
31970,110,64,0,
23078,0,0,0,
21292,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
13921,881,826,295.774,
1608,0,0,0,
0,0,0,0,
1685,0,0,0,
9153,27,19,0,
4849,0,0,0,
21968,743,804,249.056,
808,20,13,0,
0,0,0,0,
21308,0,0,0,
15066,805,1103,314.523,
13777,0,0,0,
0,0,0,0,
0,0,0,0,
18673,1187,1121,376.908,
31718,47,28,0,
23091,0,0,0,
31309,533,454,157.637,
0,0,0,0,
31585,1396,1922,547.5,
5352,323,305,110.91,
25076,1298,1364,457.345,
0,0,0,0,
24365,1204,1230,415.859,
0,0,0,0,
3658,0,0,0,
0,0,0,0,
16116,0,0,0,
11330,629,604,209.211,
31044,1915,1864,662,
0,0,0,0,
16136,0,0,0,
17727,0,0,0,
22756,0,0,0,
7110,447,431,149.395,
23840,1042,642,276.923,
0,0,0,0,
31311,1319,1318,441.764,
32020,11,5,0,
21721,535,498,148.299,
21167,61,52,0,
985,68,56,22.3203,
0,0,0,0,
0,0,0,0,
9652,624,558,201.573,
68,7,5,2.65725,
31557,7,10,0,
22205,0,0,0,
18848,0,0,0,
19666,0,0,0,
19411,0,0,0,
0,0,0,0,
24743,1279,1262,422.993,
17268,0,0,0,
18902,872,1351,385.956,
0,0,0,0,
10168,511,689,210.248,
0,0,0,0,
20098,1272,1134,419.112,
10129,0,0,0,
30036,1376,1193,459.918,
30737,755,1421,368.29,
21743,682,395,193.239,
19103,0,0,0,
23509,0,0,0,
25074,6,6,0,
31879,86,77,13.1673,
14402,0,0,0,
30415,1651,1477,519.098,
19150,1134,1110,396.148,
0,0,0,0,
20938,0,0,0,
0,0,0,0,
31120,1091,1196,359.121,
0,0,0,0,
22483,0,0,0,
21553,1148,1119,364.972,
23405,0,0,0,
26665,113,118,45.4415,
17774,792,1360,361.465,
0,0,0,0,
22452,1007,1010,341.14,
0,0,0,0,
0,0,0,0,
3415,190,201,79.7556,
8623,537,550,180.105,
0,0,0,0,
5900,0,0,0,
0,0,0,0,
13629,822,801,281.415,
5790,352,328,0,
31526,1438,1240,411.09,
0,0,0,0,
0,0,0,0,
7741,0,0,0,
3969,226,235,84.7759,
12355,510,387,0,
20024,0,0,0,
32131,1354,1310,442.493,
23477,1410,1442,469.728,
0,0,0,0,
201,9,14,5.192,
6127,354,395,139.874,
31928,1460,1426,460.429,
3432,210,215,83.462,
4053,0,0,0,
12339,3,5,0,
0,0,0,0,
17102,861,927,313.877,
21905,663,745,234.123,
27769,1336,1357,448.234,
12910,0,0,0,
25323,1041,1145,347.147,
22650,53,37,0,
23820,1392,1427,477.418,
8237,566,509,172.284,
23214,0,0,0,
21505,0,0,0,
19118,1096,1187,387.947,
27756,90,78,0,
17381,34,18,0,
20620,13,7,0,
10734,640,673,218.756,
0,0,0,0,
0,0,0,0,
15184,0,0,0,
0,0,0,0,
18719,1067,1059,351.418,
21087,0,0,0,
0,0,0,0,
22506,1433,1308,455.591,
17262,55,69,27.9907,
31950,1597,1238,466.679,
0,0,0,0,
0,0,0,0,
0,0,0,0,
26440,1193,1242,408.25,
11076,0,0,0,
22883,1324,1289,444.37,
31806,75,37,0,
0,0,0,0,
24527,1457,1509,505.634,
10686,633,650,218.458,
0,0,0,0,
24426,0,0,0,
0,0,0,0,
18613,1086,1166,384.994,
12222,988,522,556.886,
32496,1859,2099,662,
0,0,0,0,
0,0,0,0,
0,0,0,0,
31633,1447,2368,662,
22027,0,0,0,
23860,1319,1350,419.77,
0,0,0,0,
23854,0,0,0,
23977,1477,1466,490.302,
10900,648,687,245.614,
20497,1284,1186,413.032,
3582,0,0,0,
16414,1108,891,336.714,
0,0,0,0,
0,0,0,0,
3295,202,193,69.3528,
8376,0,0,0,
1079,69,73,29.6222,
0,0,0,0,
0,0,0,0,
10489,0,0,0,
4200,248,247,93.0319,
22979,0,0,0,
31424,1196,1289,420.917,
0,0,0,0,
6686,373,424,147.588,
24525,5,17,0,
24980,860,840,285.555,
19287,141,112,0,
24384,910,986,275.271,
1850,0,0,0,
22466,0,0,0,
0,0,0,0,
12232,777,765,247.388,
15868,1009,916,336.763,
0,0,0,0,
0,0,0,0,
4592,283,247,96.4998,
15050,0,0,0,
20069,0,0,0,
22923,1294,1421,461.042,
0,0,0,0,
31309,10,9,0,
11196,705,697,227.984,
20914,0,0,0,
9717,0,0,0,
15313,871,910,320.684,
22376,3,2,0,
0,0,0,0,
0,0,0,0,
8244,350,196,100.166,
0,0,0,0,
13681,465,532,183.685,
0,0,0,0,
24059,0,0,0,
824,48,70,19.428,
13708,0,0,0,
0,0,0,0,
24252,1444,1502,499.959,
18914,0,0,0,
12906,822,754,264.199,
15024,6,14,0,
24841,1489,1352,458.513,
28237,1461,1437,476.645,
12870,0,0,0,
21236,0,0,0,
0,0,0,0,
0,0,0,0,
1855,103,96,41.6573,
21362,1304,1247,447.09,
27594,9,13,0,
0,0,0,0,
805,48,47,17.824,
0,0,0,0,
7071,110,86,0,
16779,1073,587,264.931,
26284,1183,1200,361.648,
22413,0,0,0,
13942,0,0,0,
2556,188,158,55.6463,
0,0,0,0,
0,0,0,0,
