numPhotons,numUp,numDown,eDep,
8271,0,0,0,
2111,0,0,0,
0,0,0,0,
10332,0,0,0,
9480,565,616,209.282,
15967,914,1045,334.608,
0,0,0,0,
0,0,0,0,
14640,0,0,0,
0,0,0,0,
4564,285,274,96.6729,
15527,256,292,2.76755,
0,0,0,0,
12032,687,682,248.107,
18553,0,0,0,
10302,0,0,0,
0,0,0,0,
10874,0,0,0,
23984,752,446,185.604,
14981,0,0,0,
5133,329,166,86.9947,
6252,382,379,131.246,
25066,904,1004,248.208,
14267,311,421,83.947,
19444,1253,959,369.411,
17418,0,0,0,
16864,1020,1045,343.139,
0,0,0,0,
8737,0,0,0,
24226,1560,1360,511,
0,0,0,0,
9270,557,578,192.17,
0,0,0,0,
18294,0,0,0,
0,0,0,0,
16816,0,0,0,
18823,0,0,0,
0,0,0,0,
461,0,0,0,
3429,0,0,0,
0,0,0,0,
0,0,0,0,
18702,702,703,228.706,
16122,971,939,344.032,
24389,1639,1245,511,
11532,606,815,236.643,
12582,0,0,0,
5992,0,0,0,
16886,939,934,302.606,
23911,54,19,14.3978,
19361,192,208,56.2612,
0,0,0,0,
0,0,0,0,
13692,340,286,104.067,
0,0,0,0,
12150,723,779,250.511,
16416,959,1015,331.672,
18005,603,559,195.107,
23404,881,921,295.295,
16610,0,0,0,
18963,1072,1071,361.083,
23285,841,650,230.751,
3708,0,0,0,
19153,152,143,54.9362,
6969,103,109,39.7135,
0,0,0,0,
0,0,0,0,
16584,0,0,0,
0,0,0,0,
8264,495,476,174.573,
0,0,0,0,
21175,907,922,303.459,
0,0,0,0,
19277,0,0,0,
1125,60,61,25.7208,
0,0,0,0,
16784,274,555,136.041,
15541,833,852,296.071,
0,0,0,0,
13308,817,822,287.517,
15934,504,509,153.592,
12881,0,1,0,
0,0,0,0,
16454,0,0,0,
10881,667,648,207.142,
461,0,0,0,
10417,0,0,0,
3311,221,197,72.2715,
2093,0,0,0,
437,29,26,10.8356,
17298,63,117,43.9265,
12989,754,778,268.603,
23723,478,633,165.5,
24160,1578,1358,511,
0,0,0,0,
11825,555,549,179.2,
360,0,0,0,
15239,0,0,0,
23636,284,355,0,
6606,391,401,136.547,
0,0,0,0,
18545,936,949,301.922,
10779,0,0,0,
16056,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
14935,806,848,278.067,
4381,0,0,0,
16531,1022,966,347.648,
0,0,0,0,
9808,572,577,199.243,
9628,424,457,109.81,
14117,793,740,265.286,
8144,0,0,0,
23429,982,980,343.774,
9830,0,0,0,
24478,1290,1694,511,
11537,0,0,0,
23684,131,118,19.0791,
25011,12,57,0,
0,0,0,0,
