numPhotons,numUp,numDown,eDep,
5432,12,12,0,
1210,87,77,34.0775,
1441,0,0,0,
5007,275,353,116.842,
0,0,0,0,
5727,3,9,0,
5734,0,0,0,
16,0,1,1.96533,
1172,0,0,0,
1542,0,0,0,
5568,0,0,0,
5783,146,139,0,
5754,336,363,122,
5056,24,10,0,
5652,335,355,122,
0,0,0,0,
1528,0,0,0,
1277,83,77,30.4197,
5698,177,155,46.4533,
1314,0,0,0,
0,0,0,0,
945,0,0,0,
3861,0,0,0,
1560,0,0,0,
5630,78,49,0,
5854,337,402,122,
1071,0,0,0,
486,0,0,0,
5485,346,345,0,
0,0,0,0,
5729,0,0,0,
5700,375,328,122,
1328,0,0,0,
0,0,0,0,
1813,0,0,0,
5394,259,385,122,
5815,0,0,0,
5897,0,0,0,
189,0,0,0,
5607,335,332,122,
787,0,0,0,
5509,13,8,0,
1203,75,71,31.0464,
5484,0,0,0,
5521,295,371,122,
4724,244,116,75.3891,
5424,8,25,0,
1362,0,0,0,
5171,81,64,29.4535,
1351,78,59,25.569,
5787,386,290,122,
5566,286,390,122,
5673,0,0,0,
2381,0,0,0,
782,0,0,0,
5714,0,0,0,
5409,9,22,0,
1307,0,0,0,
63,0,0,0,
0,0,0,0,
5163,22,26,9.99052,
1104,5,4,0,
5514,0,0,0,
1760,0,0,0,
0,0,0,0,
5556,334,324,122,
5697,0,0,0,
2180,0,0,0,
0,0,0,0,
5378,155,148,48.0235,
5288,408,240,122,
5688,0,0,0,
5625,0,0,0,
4140,302,193,88.7149,
0,0,0,0,
5260,0,0,0,
5491,6,4,3.2505,
4927,52,59,26.6162,
1404,56,102,28.1753,
5713,0,0,0,
339,0,0,0.12074,
431,26,22,10.9455,
5398,39,35,11.0268,
0,0,0,0,
5549,337,143,82.3899,
1522,0,0,0,
5617,137,167,17.2639,
256,31,9,5.1747,
5808,458,221,117.167,
1374,0,0,0,
5405,219,231,67.8148,
1673,1,4,0,
926,0,0,0,
5659,148,226,31.1523,
5599,56,64,0,
4980,387,229,122,
5760,0,0,0,
1757,0,0,0,
2284,125,130,47.2151,
1951,23,25,8.50078,
1388,0,0,0,
5717,8,6,0,
0,0,0,0,
5741,99,81,0,
5474,81,83,34.1923,
0,0,0,0,
5413,258,410,122,
5635,62,55,19.3672,
5789,0,0,0,
5817,0,0,0,
5529,64,100,17.1079,
5658,0,0,0,
3677,0,0,0,
0,0,0,0,
0,0,0,0,
1354,0,0,0,
5648,0,0,0,
5444,279,349,122,
225,0,0,0,
5774,0,0,0,
5572,0,0,0,
5355,0,0,0,
0,0,0,0,
5482,271,378,122,
0,0,0,0,
293,25,14,7.27351,
0,0,0,0,
5475,339,295,122,
1994,39,54,23.1892,
2001,36,81,18.7691,
1270,78,60,31.0792,
5654,0,0,0,
5223,88,90,28.9942,
0,0,0,0,
5722,384,333,122,
2572,0,0,0,
941,0,0,0,
5304,16,24,0,
0,0,0,0,
5728,348,350,122,
1497,0,0,0,
5202,0,0,0,
1509,0,0,0,
5571,459,200,122,
5590,143,136,48.4363,
1814,119,98,41.3089,
5736,0,0,0,
1674,0,0,0,
5531,327,327,122,
0,0,0,0,
0,0,0,0,
5747,0,0,0,
1562,0,0,0,
0,0,0,0,
1473,67,84,33.5435,
1538,0,0,0,
5696,0,0,0,
5677,20,33,0,
5735,28,24,0,
50,1,4,2.02028,
5707,20,13,6.11958,
2020,184,88,48.4806,
0,0,0,0,
12,0,0,0,
5707,346,363,122,
5212,116,114,45.928,
0,0,0,0,
5623,108,109,42.7261,
0,0,0,0,
5477,2,2,0,
4752,0,0,0,
5652,29,39,15.9447,
5903,343,347,122,
1457,88,85,33.1005,
5815,292,397,122,
0,0,0,0,
0,0,0,0,
0,0,0,0,
5557,0,0,0,
537,29,37,12.3036,
5805,347,350,122,
5867,0,0,0,
48,0,0,0,
5842,0,0,0,
5710,323,379,122,
5826,370,377,122,
2139,119,108,54.4756,
0,0,0,0,
147,0,0,0,
5627,391,291,122,
1368,0,0,0,
5785,246,458,122,
5835,0,0,0,
5437,125,171,51.7899,
5857,0,0,0,
5499,9,10,0,
1316,0,0,0,
5570,0,0,0,
1623,0,0,0,
4853,0,0,0,
5581,17,12,0,
5773,252,427,119.217,
1613,0,0,0,
5225,394,287,122,
5567,359,324,122,
863,1,2,0,
0,0,0,0,
602,1,0,0,
5438,313,310,122,
5720,342,317,122,
741,0,0,0,
0,0,0,0,
1343,0,0,0,
1689,0,0,0,
0,0,0,0,
5500,342,300,118.9,
5750,0,0,0,
5845,0,0,0,
5420,256,399,122,
5274,16,7,4.29971,
808,45,54,18.6708,
5360,65,86,32.7837,
5403,0,0,0,
5761,279,390,122,
5797,0,0,0,
5542,1,5,0,
1041,1,0,0,
5587,0,0,0,
1837,55,44,20.9868,
5113,34,31,10.7325,
5383,0,1,0,
1875,113,98,44.6884,
4966,157,469,109.508,
5636,366,366,122,
1658,86,80,33.2994,
5376,0,0,0,
5592,0,0,0,
2000,0,0,0,
1299,0,0,0,
5494,8,13,2.55184,
1246,0,0,0,
5637,324,337,122,
1147,0,0,0,
1843,0,0,0,
5387,0,0,0,
4990,0,0,0,
191,5,11,5.09566,
720,0,0,0,
5702,0,0,0,
5169,0,0,0,
5231,0,0,0,
305,0,0,0,
5262,297,305,122,
5757,109,111,15.4267,
5820,311,322,122,
4996,197,157,57.1732,
5856,0,0,0,
1481,0,0,0,
5572,364,156,84.725,
5671,125,453,97.3738,
5716,321,352,122,
5687,0,0,0,
5694,0,0,0,
5187,257,353,122,
498,0,0,0,
5337,330,319,122,
5764,0,0,0,
5155,117,77,10.1328,
1485,0,0,0,
5733,360,355,122,
4731,96,67,8.69896,
1161,0,0,0,
5487,253,391,122,
5771,0,0,0,
5584,0,0,0,
5472,106,147,7.9617,
0,0,0,0,
5469,334,302,122,
5180,100,95,32.2791,
1411,0,0,0,
750,41,50,17.7989,
5854,0,0,0,
5586,105,138,34.8269,
0,0,0,0,
5636,326,336,122,
1454,0,0,0,
0,0,0,0,
5790,337,334,122,
5631,420,154,99.8215,
1400,0,0,0,
5773,356,322,122,
1496,0,0,0,
4729,79,50,23.2206,
5120,131,412,96.7677,
348,27,25,8.72322,
1013,0,0,0,
0,0,0,0,
1835,0,0,0,
5775,0,0,0,
5560,0,0,0,
5814,336,358,122,
5361,0,0,0,
5641,0,0,0,
5600,344,380,122,
1356,0,0,0,
5482,96,168,46.9498,
5396,0,0,0,
5628,59,102,22.5758,
5407,0,0,0,
4594,15,11,0,
1363,0,0,0,
0,0,0,0,
5761,0,0,0,
5369,290,303,122,
5480,0,0,0,
4933,92,94,29.3263,
1280,77,90,30.7843,
1510,0,0,0,
5118,343,185,101.582,
5338,111,113,29.4297,
5621,0,0,0,
5783,0,0,0,
1116,55,71,26.6441,
5744,334,377,122,
4613,112,92,40.6763,
5570,134,117,6.02336,
1262,0,0,0,
5566,93,96,29.9677,
270,0,0,0,
5283,65,61,17.523,
5787,0,0,0,
1611,103,84,34.7083,
1372,0,0,0,
5679,299,316,122,
5543,343,308,122,
5854,346,394,122,
940,63,71,21.3129,
5618,318,362,122,
5753,0,0,0,
5799,377,344,122,
5635,28,56,7.37903,
898,61,51,24.0457,
5566,35,45,16.8757,
5330,0,0,0,
5546,244,220,79.9329,
4922,321,304,122,
3596,91,97,22.8429,
204,10,12,5.65414,
5099,228,245,97.3189,
5820,357,361,122,
1165,68,72,27.0215,
5644,397,298,122,
5558,22,47,0,
1537,0,0,0,
5157,0,0,0,
5811,0,0,0,
1592,0,0,0,
1504,0,0,0,
0,0,0,0,
972,45,67,21.6444,
5260,0,0,0,
0,0,0,0,
0,0,0,0,
5572,0,0,0,
5489,17,16,0,
5782,0,0,0,
5344,0,0,0,
1210,1,3,0,
5314,279,377,122,
0,0,0,0,
5722,0,0,0,
5860,0,0,0,
5356,109,76,24.7135,
5604,566,192,122,
5770,0,0,0,
2102,144,137,58.7977,
1413,22,20,7.78973,
4900,24,46,0,
530,6,2,2.21022,
2102,0,0,0,
5580,60,111,0,
2100,0,0,0,
5343,0,0,0,
5888,334,311,122,
5529,0,0,0,
4853,64,30,15.8418,
2252,0,0,0,
998,47,57,22.3635,
1160,0,0,0,
5277,8,0,0,
5547,80,53,29.1522,
0,0,0,0,
5485,443,246,122,
1197,55,88,25.2453,
5725,278,426,122,
5819,9,5,0,
1518,0,0,0,
5651,0,0,0,
1247,0,0,0,
5270,0,0,0,
5326,0,0,0,
5500,10,8,0,
5460,0,0,0,
5579,0,0,0,
1777,57,130,35.6619,
1716,69,79,27.2411,
5350,0,0,0,
5573,0,0,0,
5384,0,0,0,
0,0,0,0,
5504,17,14,6.38966,
1539,0,0,0,
5810,330,362,122,
5680,336,343,122,
5634,23,30,0,
0,0,0,0,
5540,355,320,122,
5301,375,286,122,
5533,163,137,11.5027,
5885,0,0,0,
0,0,0,0,
5490,0,0,0,
0,0,0,0,
5312,74,82,31.9768,
476,36,26,12.2378,
5456,24,32,0,
5392,0,0,0,
1618,0,0,0,
871,0,0,0,
5466,485,199,122,
5326,9,20,0,
1077,0,0,0,
1654,107,100,40.8977,
5638,67,78,19.9261,
5338,334,311,122,
333,0,0,0,
2253,103,101,38.123,
980,0,0,0,
0,0,0,0,
5456,36,34,11.7693,
42,0,0,0,
5610,93,105,41.3821,
5273,313,296,122,
5754,416,264,122,
5356,350,294,122,
5316,0,0,0,
5065,122,139,46.9898,
1175,0,0,0,
5854,0,0,0,
1750,25,50,13.8137,
261,1,0,0,
5330,298,200,98.7845,
5733,0,0,0,
0,0,0,0,
1661,0,0,0,
1191,0,0,0,
1456,84,79,25.9544,
1590,0,0,0,
0,0,0,0,
1562,0,0,0,
4919,110,88,38.0415,
5450,4,1,0,
5195,102,93,36.2142,
5558,326,347,122,
1608,0,0,0,
534,0,0,0,
2556,0,0,0,
5359,108,135,31.1578,
5645,5,7,2.64096,
1930,0,0,0,
1488,0,0,0,
5622,0,0,0,
0,0,0,0,
5236,279,345,122,
1516,105,98,36.8448,
1718,0,0,0,
5428,0,0,0,
0,0,0,0,
1899,0,0,0,
5711,0,0,0,
1784,0,1,0,
5334,86,66,20.486,
1887,122,118,40.4624,
468,0,0,0,
5779,0,0,0,
850,49,29,15.8687,
5176,215,513,122,
1390,0,0,0,
5599,41,53,0,
1319,32,27,13.767,
4058,0,0,0,
4884,393,239,109.937,
5511,0,0,0,
5089,14,21,0,
1821,128,108,40.53,
948,47,67,22.0838,
268,14,11,4.30755,
385,26,26,9.37317,
5377,310,371,122,
5633,351,308,122,
5430,18,10,1.22603,
1471,87,88,37.117,
5735,0,0,0,
5435,32,33,9.11565,
1718,0,0,0,
5541,351,310,122,
1168,63,41,18.8293,
896,0,0,0,
0,0,0,0,
5419,0,0,0,
5521,0,0,0,
5650,337,318,122,
1005,0,0,0,
5826,0,0,0,
