eventID,energy,neutronAngle,timeOfFlight,
99166,50.0015,1.06774,70.7631,
99650,47.4688,1.07394,163.667,
118358,52.0416,1.10194,71.249,
129898,48.6006,1.04995,167.572,
163891,47.8308,1.07191,73.6607,
180667,41.431,0.955864,166.658,
191436,75.0879,1.47344,73.0515,
210352,47.3755,1.03348,166.41,
223690,48.6132,1.0747,167.17,
256833,46.7857,1.06974,72.6676,
321660,44.6858,1.02119,162.974,
329195,49.2462,1.0853,79.9828,
400684,78.2144,1.49044,75.92,
407846,55.8948,1.14245,163.64,
415577,47.1069,1.05752,71.4801,
483095,44.8924,1.02395,70.6492,
491147,53.7641,1.14893,165.315,
529627,46.4709,1.0464,165.967,
532253,45.6144,1.03804,162.323,
555681,45.6517,1.05223,71.7495,
579888,36.9529,0.905915,70.8908,
641597,20.3946,0.543986,71.2347,
720418,47.3572,1.07456,68.8241,
727228,46.0861,1.05659,78.9197,
736722,87.6283,1.62024,167.568,
772268,47.7632,1.02335,71.5173,
808922,47.9814,1.08112,72.3631,
812497,49.3292,1.05906,163.976,
859391,69.4709,1.3958,74.2544,
917020,40.569,0.975358,77.746,
962835,60.2349,1.26146,79.2487,
975306,20.7504,0.544845,161.757,
1006003,24.1359,0.61792,165.016,
1113785,46.5276,1.05647,162.084,
1121059,41.6265,0.98977,162.971,
1153781,45.2535,1.04463,74.038,
1181772,77.63,1.4449,169.727,
1198348,97.7523,1.7504,80.6249,
1248989,79.4369,2.35239,81.5502,
1261726,48.4576,1.04019,162.016,
1284383,54.7143,1.12426,163.828,
1329070,48.2945,1.09497,164.512,
1345953,45.3906,0.987921,70.4016,
1351824,42.6473,1.00719,163.352,
1432229,46.1777,1.01098,72.8819,
1447901,46.6183,1.05609,69.7311,
1500658,48.7253,1.05019,71.9143,
1607187,44.9092,1.00271,71.8337,
1612474,42.628,1.00715,162.434,
1657296,54.0012,1.25237,173.098,
1669495,77.648,1.477,171.766,
1689127,41.8838,0.986298,168.105,
1734699,41.3528,0.941173,162.974,
1753230,42.7443,1.0042,165.539,
1763246,49.0054,1.05006,70.6631,
1780064,50.5094,1.08345,72.0131,
1797464,50.6398,1.07082,70.4986,
1823670,42.7282,1.01035,72.8337,
1842675,49.3375,1.06223,166.193,
1845021,46.9761,1.06039,73.7598,
1899410,12.6143,0.742919,72.9132,
1923711,43.61,1.00405,162.622,
1965552,45.7697,1.05466,76.9013,
2011307,42.4693,1.00595,70.5051,
2038411,45.8584,1.00814,73.9828,
2100291,42.8073,0.997639,164.49,
2102502,46.471,1.01974,73.7158,
2209132,59.1628,1.19526,72.3478,
2279010,51.0236,1.06974,73.8267,
2304434,54.612,1.13962,79.1507,
2311360,49.8798,1.05745,71.8783,
2324513,33.6604,0.794816,68.6093,
2373503,48.7782,1.03517,70.95,
2375330,48.4698,1.08689,163.656,
2377544,94.3373,1.74301,82.6919,
2403170,50.0249,1.10943,70.7204,
2434794,63.1408,1.25238,164.274,
2477274,41.1886,0.936871,77.7506,
2526589,41.3445,0.958864,168.48,
2652978,47.6348,1.0236,74.7802,
2681032,43.0609,1.00323,72.7798,
2683208,45.5195,1.03393,73.9707,
2740068,44.0757,0.97849,71.2428,
2756968,48.9249,1.07749,72.3277,
2763766,46.1735,1.04657,72.0877,
2777854,50.1105,1.07866,164.709,
2905260,1.62507,0.263262,69.2193,
2964316,48.3839,1.05815,164.725,
