eventID,energy,neutronAngle,timeOfFlight,external,numElastic,
4629,35.0267,0.775514,43.6079,1,1,
4924,47.1538,0.908163,51.1238,1,1,
13235,0,0,166.271,0,0,
14057,409.684,2.7843,56.0142,0,2,
15612,0.819282,0.116765,45.0381,1,1,
17247,128.368,1.63889,45.6998,1,1,
30420,0,0,138.696,1,0,
33279,65.0313,1.08452,45.4645,0,1,
36530,390.24,0.0878138,48.691,0,3,
38968,57.1424,1.00898,49.7542,0,1,
43922,60.4144,1.04068,47.2731,0,1,
51123,0,0,138.284,1,0,
51433,0,0,138.29,1,0,
51516,54.8409,0.773929,51.4152,1,2,
54315,0,0,135.563,1,0,
58207,0,0,138.311,1,0,
63140,49.1406,0.928772,50.7944,1,1,
66867,0,0,135.606,1,0,
68556,53.585,0.973834,44.9557,1,1,
74337,60.6748,1.04318,46.5008,0,1,
78753,0,0,138.711,1,0,
81785,56.3808,1.00152,48.5325,0,1,
83917,68.9316,1.12083,48.6069,0,1,
87739,0,0,143.301,1,0,
88194,0,0,151.045,1,0,
99006,56.6202,1.00387,45.7742,0,1,
99619,59.2983,1.02993,45.206,0,1,
102359,66.9974,1.1029,44.4342,0,1,
105717,55.4858,0.992709,47.7069,0,1,
110963,0,0,136.426,1,0,
113695,0,0,135.789,1,0,
113811,61.1009,1.04727,46.3506,0,1,
115318,0,0,143.621,1,0,
118645,69.034,1.07997,44.6282,0,2,
120354,61.6974,1.05296,48.3678,0,1,
125855,59.4955,1.03184,45.8272,0,1,
128443,55.1998,0.989883,46.5189,0,1,
128760,0,0,138.922,1,0,
135761,0,0,137.897,1,0,
136297,29.3325,0.705171,48.3667,1,1,
137098,0,0,140.058,1,0,
137877,59.0036,1.02709,44.7093,0,1,
139238,8.2528,0.367622,50.809,1,1,
140891,0,0,141.142,1,0,
155237,0,0,137.524,1,0,
158398,0,0,139.539,1,0,
163859,0,0,136.672,1,0,
168043,61.5385,1.05145,44.4038,0,1,
173834,0,0,136.664,1,0,
174795,58.4058,1.02129,46.1875,0,1,
179821,63.4972,1.07006,45.5942,0,1,
186311,0,0,141.831,1,0,
195102,25.1684,0.449031,45.8238,0,3,
199328,14.3714,0.487507,46.4029,1,1,
204267,48.2791,0.919874,44.1159,1,1,
204450,0,0,139.172,1,0,
218769,201.633,2.34675,55.9659,1,1,
224087,0,0,141.743,1,0,
226038,0,0,135.894,1,0,
227138,0,0,138.1,1,0,
233432,0,0,139.293,1,0,
234367,67.4569,1.10717,51.2634,0,1,
243203,0,0,134.339,0,0,
244894,209.299,2.70954,50.0191,1,1,
244912,0,0,140.266,1,0,
249056,0,0,138.002,1,0,
249078,0,0,139.486,1,0,
252668,0,0,138.009,1,0,
259558,73.5344,0.448437,46.1633,0,2,
260445,59.1906,1.02889,49.2681,0,1,
261833,234.284,2.87412,54.0181,1,2,
270767,232.184,2.90155,64.0248,1,1,
274408,0,0,183.408,1,0,
275233,67.2692,1.10542,46.0408,0,1,
275639,0,0,137.287,1,0,
275674,61.7137,1.05312,46.7609,0,1,
276462,210.179,1.39637,50.7286,1,3,
276891,0,0,221.891,1,0,
277997,41.7102,0.851103,47.5128,1,1,
283941,65.4621,1.08856,45.4287,1,1,
284142,0,0,136.291,1,0,
295640,0,0,136.799,1,0,
302112,59.4388,1.03129,46.1248,0,1,
303790,58.2447,1.01973,46.0825,0,1,
309102,36.8334,0.797547,45.6756,1,1,
320453,56.7902,1.00554,47.2859,0,1,
320455,49.2052,0.929437,45.3984,1,1,
321352,0,0,142.194,1,0,
329655,61.3923,1.05005,48.4576,0,1,
334657,0,0,138.835,1,0,
336994,145.055,1.55508,45.4861,0,2,
338461,58.1479,1.01879,47.5263,0,1,
350786,77.2985,1.1969,49.3191,1,1,
354086,62.6768,1.06229,47.7293,0,1,
357656,62.2195,1.05794,44.8086,0,1,
361146,2.95428,0.219036,45.136,1,1,
363286,31.4374,0.389095,44.5029,1,2,
368772,57.6191,1.01364,45.209,0,1,
373931,66.8614,1.10163,43.8757,0,1,
376248,40.5209,0.728118,44.4348,0,2,
377754,0,0,139.283,1,0,
381051,59.4096,1.03101,46.8841,0,1,
383549,0,0,140.096,1,0,
383924,0,0,136.912,1,0,
387494,355.899,2.57324,48.7814,0,2,
388573,59.2798,0.890046,44.784,0,2,
390658,205.193,0.473088,47.8852,1,3,
393887,82.2901,0.679164,44.71,0,2,
404752,197.809,2.30063,76.8107,1,1,
405434,60.9498,1.04582,44.2204,0,1,
405435,55.5792,0.993631,47.9589,0,1,
418339,0,0,136.068,1,0,
419061,56.6235,1.0039,44.4078,0,1,
420596,62.0988,1.05679,46.7578,0,1,
423000,0,0,137.205,1,0,
429196,63.0862,1.06617,47.4294,0,1,
434255,58.6195,1.03264,46.9572,1,1,
436546,60.02,1.03689,46.2179,0,1,
438992,0,0,137.081,1,0,
442275,64.0069,1.07487,44.318,0,1,
444226,0,0,135.672,1,0,
444598,0,0,140.967,1,0,
444696,57.8868,1.01625,45.7631,0,1,
447010,0,0,137.619,1,0,
447294,0,0,135.277,1,0,
450167,57.6555,0.586084,42.3901,1,2,
455846,0,0,137.443,1,0,
459207,0,0,139.664,1,0,
469624,0,0,138.446,1,0,
471504,0,0,142.112,1,0,
473821,17.3353,0.536715,49.2226,1,1,
474336,62.3456,1.05914,44.6076,0,1,
476615,60.9173,1.04551,50.0546,0,1,
477293,67.0782,1.10365,49.138,0,1,
478885,54.0453,0.978425,52.0163,1,1,
482737,87.3536,0.832996,44.3517,0,2,
484494,61.3804,1.04994,44.3175,0,1,
484996,0,0,141.53,1,0,
505261,34.4613,0.767706,52.8924,1,1,
506963,0,0,141.419,1,0,
507194,0,0,138.511,1,0,
515067,55.8147,0.995954,45.2674,0,1,
519752,0,0,136.782,1,0,
519793,0,0,139.368,1,0,
525277,61.9903,1.05576,46.1428,0,1,
527780,131.392,0.404468,46.0112,1,3,
532733,53.7077,0.975059,47.025,0,1,
534943,54.9586,0.838669,47.1444,0,2,
536104,184.272,0.795733,46.2993,0,2,
541970,198.43,2.30799,49.921,1,1,
543382,0,0,197.602,1,0,
545625,87.7052,1.05991,44.4999,0,2,
549724,54.4108,0.982062,46.9608,0,1,
549980,65.1978,0.907258,46.8388,0,2,
550609,0,0,157.42,1,0,
558365,46.688,0.903286,45.0419,1,1,
566502,0,0,135.992,1,0,
567660,59.6737,1.03356,44.3368,0,1,
569138,47.7963,0.914862,48.8825,1,1,
572251,93.9519,1.23218,44.1386,1,2,
577385,0,0,137.316,1,0,
579549,48.663,0.16171,45.263,0,3,
580348,59.2196,1.02917,44.9202,0,1,
581509,41.8305,0.740162,44.8012,0,2,
582820,466.847,2.37936,48.9679,0,3,
583966,58.016,1.0175,45.8431,0,1,
589994,0,0,137.178,1,0,
596819,72.4588,1.15317,45.6062,1,1,
599533,0,0,142.014,1,0,
613651,0,0,140.706,0,0,
620290,20.5876,0.586463,45.7589,1,1,
620610,66.8187,1.10123,46.3232,0,1,
625231,33.5335,0.75767,44.0398,1,1,
633230,67.1431,1.10425,44.2796,1,1,
637691,29.1608,0.703001,46.1055,1,1,
637887,64.0922,1.07568,47.0419,1,1,
640487,55.7482,0.995298,46.128,0,1,
640992,57.7334,0.630227,47.1831,1,2,
657278,55.6032,0.993868,46.3873,0,1,
660909,63.5296,1.07037,45.1185,0,1,
662245,61.0101,1.0464,49.6134,1,1,
664365,0,0,137.359,1,0,
666197,0,0,139.693,1,0,
667872,0,0,139.088,1,0,
669063,0,0,136.587,1,0,
