eventID,numReachedDown,numReachedUp,numPE,
331,0,0,0,
332,0,0,0,
333,898,1824,2722,
334,1540,1673,3213,
335,5671,2224,7895,
336,0,0,0,
337,2001,2019,4020,
338,0,0,0,
339,166,486,652,
340,0,0,0,
341,0,0,0,
342,0,0,0,
343,0,0,0,
344,0,0,0,
345,0,0,0,
346,0,0,0,
347,0,0,0,
348,5168,3489,8657,
349,0,0,0,
350,0,0,0,
351,0,0,0,
352,0,0,0,
353,0,0,0,
354,662,311,973,
355,0,0,0,
356,0,0,0,
357,0,0,0,
358,1205,2031,3236,
359,683,424,1107,
360,0,0,0,
361,0,0,0,
362,17,28,45,
363,0,0,0,
364,0,0,0,
365,0,0,0,
366,0,0,0,
367,3531,1961,5492,
368,0,0,0,
369,0,0,0,
370,1124,1307,2431,
371,1106,1186,2292,
372,1475,704,2179,
373,0,0,0,
374,0,0,0,
375,0,0,0,
376,0,0,0,
377,0,0,0,
378,0,0,0,
379,1149,1201,2350,
380,0,0,0,
381,0,0,0,
382,2497,1218,3715,
383,2383,1471,3854,
384,0,0,0,
385,0,0,0,
386,0,0,0,
387,0,0,0,
388,1622,1327,2949,
389,0,0,0,
390,0,0,0,
391,0,0,0,
392,0,0,0,
393,0,0,0,
394,0,0,0,
395,0,0,0,
396,0,0,0,
397,0,0,0,
398,6280,3689,9969,
399,1251,3006,4257,
400,0,0,0,
401,537,1163,1700,
402,370,257,627,
403,6776,3530,10306,
404,327,724,1051,
405,416,135,551,
406,0,0,0,
407,0,0,0,
408,0,0,0,
409,0,0,0,
410,6086,2391,8477,
411,1975,1428,3403,
412,5617,1780,7397,
413,161,106,267,
414,0,0,0,
415,0,0,0,
416,0,0,0,
417,1541,1384,2925,
418,0,0,0,
419,0,0,0,
420,1329,703,2032,
421,0,0,0,
422,0,0,0,
423,0,0,0,
424,1302,3814,5116,
425,0,0,0,
426,0,0,0,
427,0,0,0,
428,0,0,0,
429,0,0,0,
430,0,0,0,
431,0,0,0,
432,0,0,0,
433,0,0,0,
434,0,0,0,
435,0,0,0,
436,218,176,394,
437,0,0,0,
438,0,0,0,
439,0,0,0,
440,2472,6458,8930,
441,0,0,0,
442,0,0,0,
443,0,0,0,
444,367,825,1192,
445,3463,1832,5295,
446,0,0,0,
447,0,0,0,
448,0,0,0,
449,2686,1692,4378,
450,2120,3152,5272,
451,0,0,0,
452,0,0,0,
453,972,2144,3116,
454,0,0,0,
455,0,0,0,
456,0,0,0,
457,0,0,0,
458,0,0,0,
459,7401,3470,10871,
460,1730,2658,4388,
461,0,0,0,
462,0,0,0,
463,0,0,0,
464,0,0,0,
465,0,0,0,
466,0,0,0,
467,0,0,0,
468,1381,2218,3599,
469,283,87,370,
470,0,0,0,
471,1802,2541,4343,
472,1398,2361,3759,
473,0,0,0,
474,351,760,1111,
475,1039,1568,2607,
476,0,0,0,
477,0,0,0,
478,0,0,0,
479,2302,1999,4301,
480,0,0,0,
481,367,114,481,
482,1232,1853,3085,
483,0,0,0,
484,0,0,0,
485,0,0,0,
486,0,0,0,
487,0,0,0,
488,0,0,0,
489,0,0,0,
490,0,0,0,
491,3948,4881,8829,
492,0,0,0,
493,0,0,0,
494,0,0,0,
495,0,0,0,
496,121,80,201,
497,0,0,0,
498,0,0,0,
499,3814,4821,8635,
500,0,0,0,
501,1031,547,1578,
502,0,0,0,
503,6655,3425,10080,
504,0,0,0,
505,29,23,52,
506,0,0,0,
507,977,1054,2031,
508,0,0,0,
509,0,0,0,
510,0,0,0,
511,0,0,0,
512,0,0,0,
513,290,193,483,
514,0,0,0,
515,4820,4141,8961,
516,0,0,0,
517,0,0,0,
518,0,0,0,
519,0,0,0,
520,0,0,0,
521,0,0,0,
522,1517,403,1920,
523,0,0,0,
524,4800,6289,11089,
525,0,0,0,
526,0,0,0,
527,0,0,0,
528,0,0,0,
529,0,0,0,
530,0,0,0,
531,0,0,0,
532,0,0,0,
533,0,0,0,
534,0,0,0,
535,0,0,0,
536,2614,3330,5944,
537,3197,2373,5570,
538,0,0,0,
539,662,2232,2894,
540,0,0,0,
541,0,0,0,
542,279,329,608,
543,0,0,0,
544,0,0,0,
545,0,0,0,
546,0,0,0,
547,43,88,131,
548,0,0,0,
549,0,0,0,
550,0,0,0,
551,1049,564,1613,
552,1115,1867,2982,
553,1497,2006,3503,
554,0,0,0,
555,0,0,0,
556,0,0,0,
557,3825,7191,11016,
558,1117,876,1993,
559,0,0,0,
560,1362,1260,2622,
561,0,0,0,
562,0,0,0,
563,0,0,0,
564,0,0,0,
565,0,0,0,
566,0,0,0,
567,5272,3225,8497,
568,1502,1351,2853,
569,1943,1463,3406,
570,1025,1331,2356,
571,4452,5017,9469,
572,0,0,0,
573,0,0,0,
574,2136,671,2807,
575,0,0,0,
576,0,0,0,
577,3000,1883,4883,
578,0,0,0,
579,0,0,0,
580,509,226,735,
581,0,0,0,
582,0,0,0,
583,104,135,239,
584,0,0,0,
585,0,0,0,
586,512,942,1454,
587,0,0,0,
588,0,0,0,
589,0,0,0,
590,4232,6931,11163,
591,0,0,0,
592,840,1248,2088,
593,0,0,0,
594,0,0,0,
595,0,0,0,
596,0,0,0,
597,757,1577,2334,
598,0,0,0,
599,0,0,0,
600,0,0,0,
601,0,0,0,
602,0,0,0,
603,6451,2141,8592,
604,0,0,0,
605,1781,2974,4755,
606,0,0,0,
607,0,0,0,
608,0,0,0,
609,0,0,0,
610,0,0,0,
611,0,0,0,
612,0,0,0,
613,0,0,0,
614,0,0,0,
615,0,0,0,
616,0,0,0,
617,0,0,0,
618,0,0,0,
619,6063,2025,8088,
620,0,0,0,
621,0,0,0,
622,0,0,0,
623,0,0,0,
624,0,0,0,
625,0,0,0,
626,0,0,0,
627,0,0,0,
628,0,0,0,
629,0,0,0,
630,1629,2840,4469,
631,0,0,0,
632,0,0,0,
633,0,0,0,
634,0,0,0,
635,0,0,0,
636,0,0,0,
637,1002,3433,4435,
638,8809,4306,13115,
639,433,531,964,
640,4695,5989,10684,
641,0,0,0,
642,2527,4304,6831,
643,0,0,0,
644,0,0,0,
645,0,0,0,
646,1564,2819,4383,
647,0,0,0,
648,0,0,0,
649,0,0,0,
650,0,0,0,
651,1485,3284,4769,
652,0,0,0,
653,0,0,0,
654,0,0,0,
655,0,0,0,
656,0,0,0,
657,3316,4169,7485,
658,560,468,1028,
659,0,0,0,
660,1539,1112,2651,
661,0,0,0,
662,1884,6024,7908,
663,1187,1553,2740,
664,0,0,0,
665,0,0,0,
666,0,0,0,
667,0,0,0,
668,1211,2027,3238,
669,0,0,0,
670,0,0,0,
671,0,0,0,
672,0,0,0,
673,0,0,0,
674,1050,2098,3148,
675,0,0,0,
676,0,0,0,
