eventID,ArRecoil,gammas,inelasticRecoilTransfer,
17325,1.99816,2.92094,0.320173,
17326,1.15044,3.92283,0.226725,
17327,1.95409,2.91781,0.41768,
17328,0.543675,4.61676,0.0778569,
17329,1.29259,3.58947,0.36534,
17330,1.07385,3.98311,0.189153,
17331,0.73458,3.97733,0.548944,
17332,1.73972,3.51123,0.0487081,
17333,0.113766,4.97061,0.156496,
17334,0.875089,4.33004,0.0678488,
17335,0.362037,4.66876,0.266442,
17336,1.3092,3.58584,0.403634,
17337,1.95618,3.20546,0.0775952,
17338,1.95596,2.91749,0.365124,
17339,0.262856,4.63988,0.397258,
17340,0.836938,4.22471,0.238342,
17341,1.12721,3.98704,0.124884,
17342,1.00498,3.98486,0.271873,
17343,2.30524,2.89548,0.090128,
17344,1.72638,3.19933,0.320464,
17345,1.11096,3.9231,0.205332,
17346,1.51321,3.58089,0.144311,
17347,0.669529,4.42065,0.157371,
17348,1.00073,3.98022,0.265576,
17349,2.15592,2.91544,0.168671,
17350,0.707676,4.48119,0.0546596,
17351,0.569829,4.45633,0.235969,
17352,1.39898,3.67768,0.163791,
17353,1.85063,3.21229,0.209711,
17354,2.48603,2.52955,0.252284,
17355,1.90818,3.20793,0.122113,
17356,1.34655,3.57436,0.31801,
17357,0.889421,4.22305,0.133096,
17358,0.2545,4.78232,0.201633,
17359,2.70883,2.52124,0.0315367,
17360,0.539971,4.38382,0.320515,
17361,1.08238,4.07571,0.0810613,
17362,1.06659,3.98749,0.184382,
17363,0.879854,3.98201,0.413247,
17364,3.77461,1.46083,0.029428,
17365,0.550647,4.5749,0.113712,
17366,0.488047,4.38348,0.427367,
17367,1.52145,3.67746,0.0369502,
17368,1.28224,3.68608,0.27141,
17369,2.09514,2.91798,0.255681,
17370,1.05083,4.0864,0.162724,
17371,0.135996,4.47583,0.0828737,
17372,0.0565453,5.10699,0.136553,
17373,1.0914,3.92626,0.223173,
17374,0.545896,4.49669,0.205087,
17375,1.04481,3.98483,0.214663,
17376,0.40725,4.76189,0.0959641,
17377,1.50178,3.50217,0.295954,
17378,1.99824,3.20793,0.0312945,
17379,0.454593,4.37438,0.411656,
17380,1.50367,3.57766,0.156819,
17381,1.45236,3.50917,0.280631,
17382,1.47897,3.57838,0.190255,
17383,0.261416,4.66637,0.318827,
17384,1.42521,3.58012,0.235767,
17385,0.430277,4.76701,0.102614,
17386,0.973147,4.0852,0.218273,
17387,0.634435,4.36811,0.23719,
17388,2.00524,2.92093,0.311778,
17389,0.415255,4.67125,0.15791,
17390,1.50655,3.67702,0.066831,
17391,1.85107,3.20793,0.239107,
17392,0.423377,4.70651,0.161506,
17393,1.02533,4.18199,0.0926708,
17394,0.0493289,4.97399,0.263877,
17395,1.22377,3.93708,0.138996,
17396,0.534021,4.37826,0.387593,
17397,2.41905,2.52097,0.301297,
17398,1.37993,3.57823,0.296468,
17399,0.708365,3.97742,0.563129,
17400,0.467054,4.56036,0.21808,
17401,0.9742,3.98805,0.337137,
17402,0.670026,4.47798,0.117625,
17403,1.5457,3.51744,0.177321,
17404,1.86241,3.19979,0.237679,
17405,1.28231,3.91701,0.0452736,
17406,1.32275,3.57419,0.34769,
17407,0.339749,4.67282,0.287351,
17408,1.43483,3.58691,0.277127,
17409,0.972763,4.0886,0.236123,
17410,1.40115,3.67679,0.164574,
17411,0.865796,4.32707,0.0460678,
17412,0.99331,4.17198,0.0738251,
17413,1.93576,3.20341,0.10714,
17414,1.00922,4.08018,0.157386,
17415,0.534072,4.67103,0.0945728,
17416,1.45789,3.67441,0.104996,
17417,1.83484,2.91448,0.495685,
17418,0.737673,4.4097,0.117074,
17419,0.640134,4.38007,0.216328,
17420,0.417865,4.66677,0.173513,
17421,1.12079,4.0752,0.0921075,
17422,0.594786,4.43231,0.2182,
17423,2.19682,2.90018,0.202988,
17424,0.499074,4.3852,0.415584,
17425,1.00147,4.18428,0.0750545,
17426,2.4422,2.52336,0.326635,
17427,2.1686,2.89036,0.180101,
17428,1.12555,3.98517,0.0832318,
17429,1.13806,3.98638,0.123091,
17430,1.02084,3.98917,0.228567,
17431,0.606765,4.50952,0.130069,
17432,0.522376,4.38026,0.396846,
17433,1.22729,3.91758,0.154953,
17434,1.49523,3.68299,0.0668591,
17435,1.17753,3.94638,0.151352,
17436,0.805923,4.35494,0.0781362,
17437,1.09495,3.98483,0.165573,
17438,1.04141,3.97994,0.219631,
17439,0.0327838,1.46083,0.320203,
17440,1.11492,3.92377,0.230327,
17441,1.07162,3.98211,0.191442,
17442,1.04546,3.98441,0.208608,
