eventID,energy,
0,0.0481481,
1,0.0338472,
3,0.04348,
4,0.0819349,
5,0.04335,
6,0.08683,
7,0.05772,
8,0.0482187,
10,0.0771985,
11,0.0193579,
13,0.0867,
14,0.07253,
15,0.0482779,
18,0.0771978,
20,0.0724,
21,0.0724,
23,0.08721,
24,0.05778,
26,0.0724,
30,0.0482176,
33,0.0626486,
34,0.08702,
35,0.062518,
36,0.0625183,
37,0.04367,
38,0.0672578,
39,0.0581,
41,0.04367,
42,0.07259,
43,0.0532075,
44,0.08689,
49,0.0630271,
50,0.05791,
53,0.04348,
54,0.0770674,
56,0.0482177,
59,0.0482173,
60,0.07234,
63,0.0389079,
64,0.0436425,
65,0.07221,
66,0.0724,
67,0.0625178,
68,0.033849,
70,0.0724,
71,0.04348,
72,0.0339778,
74,0.02886,
75,0.04329,
76,0.0290252,
78,0.0625171,
79,0.0484083,
80,0.02905,
81,0.0385852,
82,0.02905,
83,0.04335,
84,0.00966681,
85,0.0339771,
86,0.0581,
87,0.067445,
88,0.08689,
90,0.0628985,
91,0.0724,
93,0.0482173,
94,0.0581,
95,0.105869,
96,0.038715,
98,0.0627078,
99,0.0581,
100,0.08664,
102,0.053075,
103,0.02905,
104,0.0482176,
106,0.0385872,
108,0.05791,
110,0.08708,
113,0.019168,
114,0.08689,
115,0.0630277,
117,0.0387143,
118,0.05791,
121,0.07259,
122,0.0581,
123,0.0628975,
124,0.0724,
125,0.10113,
126,0.08689,
127,0.10113,
129,0.0632187,
131,0.077198,
132,0.0240967,
135,0.0335978,
136,0.04354,
138,0.05797,
139,0.0675042,
141,0.0769483,
143,0.0817452,
144,0.07259,
145,0.00947496,
148,0.07234,
149,0.0818742,
150,0.05791,
151,0.0724,
152,0.0577531,
155,0.0625177,
156,0.0627082,
157,0.0914385,
158,0.0581,
161,0.08702,
163,0.0628984,
164,0.07253,
165,0.048217,
166,0.0625172,
167,0.07221,
168,0.04367,
169,0.02905,
172,0.0724,
174,0.0240972,
175,0.0387173,
177,0.0338488,
179,0.02886,
182,0.04367,
183,0.0337882,
184,0.04335,
186,0.0674471,
187,0.0915674,
189,0.04348,
190,0.0482189,
191,0.10145,
194,0.077198,
195,0.04335,
196,0.048407,
197,0.08721,
198,0.0337883,
199,0.02886,
202,0.0769478,
203,0.0484083,
204,0.0581,
205,0.07234,
206,0.0581,
207,0.0625173,
208,0.02886,
209,0.062708,
210,0.10151,
211,0.05772,
212,0.0770075,
213,0.0482174,
214,0.0724,
215,0.0627079,
216,0.0482172,
218,0.02905,
220,0.0627087,
221,0.0724,
222,0.0724,
224,0.0916282,
226,0.0581,
227,0.05791,
228,0.04348,
229,0.05778,
231,0.0724,
232,0.05791,
234,0.02886,
235,0.0627075,
236,0.0385274,
237,0.0385862,
238,0.0581,
240,0.10126,
241,0.07259,
242,0.10126,
245,0.07221,
246,0.05816,
248,0.0672565,
249,0.0480287,
250,0.0628987,
251,0.04348,
253,0.05778,
254,0.0627079,
256,0.0482788,
257,0.0969356,
258,0.08702,
259,0.0627081,
260,0.0482787,
263,0.0484689,
264,0.0581,
265,0.04367,
266,0.05772,
269,0.0530165,
270,0.0341679,
272,0.0484084,
274,0.105927,
276,0.0581,
277,0.07259,
279,0.0627073,
280,0.05791,
282,0.0290225,
285,0.02905,
286,0.0581,
287,0.0581,
288,0.0387165,
291,0.05791,
293,0.0480283,
294,0.04354,
297,0.0724,
298,0.05791,
300,0.0581,
301,0.0581,
303,0.0387161,
304,0.0530166,
308,0.04348,
309,0.08689,
311,0.07259,
313,0.077517,
314,0.04348,
316,0.0387159,
317,0.0482186,
320,0.08664,
321,0.08683,
322,0.11575,
324,0.0627081,
325,0.0628982,
331,0.05791,
334,0.0482179,
336,0.05778,
337,0.05791,
340,0.0627076,
341,0.02886,
343,0.04329,
344,0.04329,
345,0.106119,
346,0.0773279,
347,0.0581,
348,0.04329,
351,0.0724,
352,0.0724,
353,0.05784,
355,0.0581,
357,0.02886,
358,0.0817473,
359,0.0673161,
360,0.13043,
361,0.0628383,
362,0.062767,
364,0.0482171,
365,0.05797,
368,0.0484077,
369,0.05791,
370,0.019358,
372,0.0724,
375,0.05778,
376,0.077138,
377,0.052827,
379,0.05778,
380,0.08702,
382,0.07221,
383,0.05791,
384,0.0625183,
385,0.0240971,
387,0.0531467,
388,0.0771377,
393,0.0338477,
394,0.0627079,
395,0.0625775,
396,0.00966616,
398,0.0242856,
400,0.0627074,
402,0.05791,
404,0.0721137,
406,0.0482186,
407,0.04354,
408,0.062709,
410,0.0867,
411,0.0480279,
412,0.0724,
416,0.10107,
418,0.08683,
419,0.0193589,
420,0.04354,
421,0.04348,
422,0.0387172,
423,0.07272,
424,0.07272,
425,0.0482189,
427,0.0387147,
428,0.02886,
429,0.02905,
430,0.04348,
431,0.04348,
434,0.0480286,
435,0.0771988,
438,0.05791,
439,0.077328,
441,0.07221,
443,0.0581,
444,0.01462,
445,0.04354,
446,0.08702,
448,0.0193585,
451,0.05778,
452,0.038585,
453,0.05772,
454,0.0820661,
456,0.05791,
457,0.08689,
458,0.0820645,
459,0.0484076,
460,0.0482179,
461,0.0482777,
462,0.05791,
463,0.0484078,
464,0.0627075,
465,0.0482773,
466,0.05791,
468,0.04348,
469,0.0336584,
471,0.0679568,
473,0.0627085,
474,0.05829,
478,0.05778,
480,0.07253,
481,0.04329,
482,0.062708,
484,0.10151,
485,0.0484078,
486,0.0335986,
487,0.0625179,
488,0.02905,
489,0.0387161,
491,0.04354,
493,0.02886,
494,0.0482185,
495,0.10126,
496,0.0484076,
497,0.00947471,
498,0.0773284,
499,0.0482173,
500,0.02886,
501,0.04367,
502,0.11613,
503,0.05797,
504,0.05829,
506,0.07221,
507,0.10164,
508,0.0482171,
509,0.091438,
511,0.116,
513,0.0581,
515,0.0191685,
516,0.08664,
517,0.08689,
518,0.0335971,
519,0.0288942,
520,0.0480271,
521,0.0434527,
522,0.0385259,
523,0.07221,
525,0.08683,
526,0.10145,
527,0.0581,
528,0.07221,
530,0.0482177,
533,0.04367,
534,0.07221,
535,0.10113,
536,0.10164,
538,0.0581,
539,0.0817475,
541,0.0627071,
543,0.0531459,
544,0.0195474,
546,0.08683,
547,0.0628986,
551,0.0581,
554,0.08734,
556,0.05772,
558,0.0581,
559,0.0484075,
560,0.0916286,
561,0.0626476,
564,0.04335,
565,0.02905,
567,0.07234,
568,0.07253,
569,0.0581,
570,0.0724,
571,0.0485984,
572,0.0627086,
573,0.0337877,
574,0.048277,
575,0.0581,
576,0.0771373,
577,0.05829,
578,0.05791,
579,0.0771374,
580,0.0627071,
583,0.0771379,
584,0.0581,
586,0.0581,
588,0.07259,
589,0.05772,
590,0.0482177,
596,0.04348,
597,0.0581,
598,0.02905,
603,0.0630275,
604,0.0724,
606,0.05791,
607,0.0625174,
610,0.0193576,
612,0.0191672,
614,0.08689,
615,0.02886,
617,0.0485975,
619,0.0724,
621,0.0480886,
622,0.0627073,
623,0.0482172,
624,0.07234,
625,0.0385247,
626,0.0724,
627,0.096746,
628,0.0436441,
630,0.08721,
631,0.0484072,
633,0.07221,
634,0.02886,
635,0.0385256,
636,0.0336576,
637,0.0482783,
638,0.0724,
639,0.0624581,
641,0.02905,
643,0.05791,
645,0.07259,
646,0.05778,
647,0.0627077,
648,0.0724,
649,0.0724,
651,0.106248,
652,0.02905,
654,0.0482171,
656,0.038586,
658,0.0771376,
659,0.0771984,
662,0.05784,
664,0.04348,
669,0.0191671,
670,0.0676362,
671,0.07291,
672,0.0674463,
674,0.07234,
676,0.0724,
677,0.0771975,
678,0.0819366,
679,0.0385863,
680,0.0919479,
681,0.0482781,
682,0.07234,
683,0.05778,
686,0.0724,
687,0.08683,
688,0.0914381,
689,0.0724,
691,0.02905,
692,0.0724,
693,0.08702,
694,0.07221,
696,0.0724,
699,0.0484086,
701,0.02905,
702,0.04354,
703,0.0724,
705,0.0820675,
706,0.0435134,
708,0.01443,
709,0.0724,
710,0.0627078,
711,0.0530157,
713,0.05791,
714,0.10132,
715,0.05829,
718,0.05791,
719,0.04329,
720,0.0916277,
721,0.0627081,
724,0.08664,
725,0.0771379,
729,0.0482774,
730,0.0240949,
733,0.0769488,
734,0.07221,
738,0.091569,
739,0.0480286,
742,0.0627088,
743,0.07227,
745,0.08683,
746,0.0773284,
747,0.05791,
749,0.04367,
750,0.05791,
751,0.0625173,
752,0.05791,
753,0.0480876,
756,0.07259,
758,0.08689,
759,0.0481483,
760,0.05791,
761,0.02886,
764,0.0337875,
766,0.07272,
768,0.0581,
769,0.110857,
772,0.10145,
773,0.0628383,
774,0.04335,
775,0.0193573,
776,0.07234,
778,0.0338477,
780,0.07221,
782,0.0628379,
783,0.0431334,
784,0.04335,
785,0.07227,
786,0.05791,
789,0.0771374,
792,0.05791,
793,0.05829,
794,0.01462,
795,0.0774582,
797,0.05791,
799,0.0581,
800,0.0627072,
801,0.05791,
802,0.077138,
805,0.05791,
807,0.05791,
808,0.11594,
810,0.07221,
811,0.02905,
812,0.0674452,
813,0.0724,
814,0.02905,
815,0.048409,
816,0.091949,
817,0.05791,
819,0.0430743,
821,0.0627689,
822,0.08683,
824,0.0627085,
826,0.07253,
829,0.0383352,
830,0.0773281,
831,0.0628974,
832,0.0482189,
834,0.05778,
835,0.0482779,
836,0.05791,
837,0.0581,
839,0.07234,
840,0.0724,
841,0.0581,
842,0.0383963,
845,0.04335,
846,0.0482182,
847,0.05791,
848,0.01443,
849,0.05791,
851,0.116,
852,0.0480883,
853,0.07234,
854,0.0773278,
855,0.0625184,
857,0.05778,
858,0.0192286,
859,0.0625178,
860,0.0532065,
862,0.0240951,
863,0.0387155,
870,0.0482182,
871,0.043454,
872,0.0532071,
875,0.08689,
876,0.0193572,
877,0.02886,
879,0.0530175,
880,0.08683,
881,0.0724,
882,0.0484074,
885,0.04335,
886,0.0724,
887,0.0383355,
888,0.0724,
889,0.0480282,
890,0.13024,
891,0.0385252,
893,0.08702,
895,0.05797,
896,0.0193582,
897,0.0482181,
899,0.04348,
900,0.05791,
902,0.02886,
904,0.0292139,
905,0.0963674,
906,0.08702,
907,0.05791,
910,0.07221,
911,0.0724,
912,0.0771379,
913,0.11581,
914,0.0337878,
915,0.0962362,
918,0.07221,
919,0.0627075,
920,0.0581,
921,0.00473875,
922,0.0675074,
923,0.11594,
