eventID,energy,neutronAngle,timeOfFlight,external,numElastic,
3096,72.1478,0.694425,43.2301,0,2,
5066,0,0,135.78,1,0,
8833,0,0,143.753,1,0,
10585,0,0,139.007,1,0,
11697,41.6702,0.849541,46.2032,1,1,
12136,0,0,138.032,1,0,
12238,25.8228,0.65968,45.5679,0,1,
15258,94.8369,0.786913,43.8876,1,2,
17952,0,0,136.34,1,0,
22847,28.487,0.682735,44.9452,0,2,
23253,47.2055,0.189069,48.5665,0,2,
26274,25.821,0.659656,51.0117,0,1,
28084,0,0,136.653,1,0,
29380,0,0,136.211,1,0,
32161,0,0,137.88,1,0,
35203,1.94553,0.177609,50.2342,1,1,
39709,29.1322,0.70264,48.4236,0,1,
43743,27.2947,0.492153,43.0558,1,2,
44871,168.14,2.16357,50.5039,1,1,
45720,38.9805,0.819717,45.6894,1,1,
46357,29.8531,0.711716,47.7797,1,1,
47384,98.5112,1.38223,47.4914,1,1,
50958,31.9044,0.737052,46.8214,0,1,
52847,30.982,0.725747,44.9051,0,1,
53875,65.2678,0.414095,43.3671,0,2,
54221,0,0,148.73,1,0,
56252,18.9762,0.318251,45.071,0,2,
56523,33.7801,0.759634,46.8339,0,1,
60465,0,0,137.092,1,0,
60785,26.877,0.673608,44.0762,0,1,
62223,0,0,137.394,1,0,
62782,0,0,141.624,1,0,
66155,0,0,136.765,1,0,
66667,0,0,138.025,1,0,
68183,0,0,140.146,1,0,
69774,0,0,137.403,1,0,
72793,0,0,136.208,1,0,
74614,6.79729,0.333248,46.1578,1,1,
75313,35.2549,0.0927753,45.2328,0,2,
75549,0,0,136.823,1,0,
77931,0,0,136.758,1,0,
78223,21.2627,0.34187,44.2413,0,2,
78380,39.7531,0.828363,44.8665,1,1,
79610,0,0,140.646,1,0,
79755,0,0,136.854,1,0,
83023,0,0,136.5,1,0,
83740,0,0,136.011,1,0,
84597,27.0615,0.676022,51.343,0,1,
88058,25.2081,0.651445,43.4521,0,1,
89760,0,0,137.576,1,0,
90767,28.6807,0.696906,48.3678,0,1,
95396,0,0,139.559,1,0,
97812,25.8562,0.660126,50.327,0,1,
107504,0,0,142.401,1,0,
108499,24.5829,0.628757,43.4657,0,2,
110183,31.0624,0.726738,43.3428,0,1,
110505,261.819,2.04156,51.2528,0,2,
111564,0,0,140.94,1,0,
114269,31.972,0.737875,45.3459,0,1,
119447,0,0,142.34,1,0,
122228,29.8665,0.711884,43.1342,0,1,
124870,0,0,136.821,1,0,
126427,0,0,139.338,1,0,
126920,0,0,139.281,1,0,
130907,27.4349,0.680884,45.7341,0,1,
133560,0,0,136.957,1,0,
135938,0,0,137.351,1,0,
137201,0,0,140.439,1,0,
137709,0,0,140.825,1,0,
137849,25.9534,0.661419,46.4586,0,1,
139871,27.0755,0.676205,43.9417,0,1,
140822,30.1517,0.715448,45.8857,0,1,
143557,0,0,136.809,1,0,
147487,0,0,140.524,1,0,
148317,17.1971,0.532221,44.0152,1,2,
152450,22.7481,0.618731,45.7598,1,1,
153304,100.734,1.19248,47.1303,0,2,
156287,0,0,140.375,1,0,
156517,0,0,137.102,1,0,
156876,51.6957,0.954844,46.3448,1,1,
160583,1.46933,0.154871,44.5477,1,1,
165562,0,0,139.369,1,0,
167872,28.5784,0.695601,46.5967,0,1,
172159,30.9967,0.665899,45.7595,0,2,
173644,34.5559,0.63046,47.9908,1,2,
176100,24.37,0.640074,44.773,0,1,
178279,30.8507,0.724126,47.1228,0,1,
182446,14.4902,0.489565,43.4486,1,1,
185745,25.9514,0.661393,52.4549,0,1,
186668,31.2578,0.729142,45.5819,0,1,
187131,180.52,2.31479,76.6155,1,1,
187952,0,0,145.531,1,0,
188303,29.7559,0.710497,50.1449,0,1,
192882,0,0,139.775,1,0,
194197,232.5,0.282275,54.6438,1,2,
194362,0,0,135.708,1,0,
195009,23.2768,0.624984,46.1318,0,1,
197938,27.2611,0.678624,44.0516,0,1,
199285,0,0,137.541,1,0,
206742,23.9208,0.63391,50.1826,0,1,
207709,32.4917,0.744181,43.3501,0,1,
211940,29.9706,0.713187,44.8273,0,1,
212514,0,0,136.718,1,0,
213541,31.4404,0.731382,45.4513,0,1,
214710,0,0,138,1,0,
216992,27.6597,0.683797,47.7884,0,1,
217894,0,0,136.641,1,0,
217975,25.2513,0.652027,50.615,0,1,
218061,0,0,139.205,1,0,
218807,25.9307,0.661117,45.8926,0,1,
218996,0,0,138.283,1,0,
219694,33.92,0.761296,43.8989,0,1,
219779,0,0,139.016,1,0,
221189,0,0,138.312,1,0,
226181,0,0,139.752,1,0,
230881,0,0,139.452,1,0,
231085,0,0,138.631,1,0,
233390,24.4085,0.297123,46.5838,0,2,
233464,0,0,140.513,1,0,
236974,0,0,138.208,1,0,
237520,188.272,2.19331,56.6001,1,1,
237824,26.7052,0.671355,43.5813,0,1,
238565,0,0,135.453,1,0,
244024,97.0973,0.481803,53.6835,1,2,
244079,0,0,137.232,1,0,
244152,0,0,139.592,1,0,
246150,0,0,139.962,1,0,
246614,11.923,0.443166,45.3917,1,1,
248155,16.9533,0.483671,44.8601,0,2,
251982,22.3134,0.542832,48.0132,1,2,
255175,0,0,140.361,1,0,
257493,0,0,136.241,1,0,
258362,47.8915,0.646028,47.9581,0,2,
260719,18.3564,0.235254,44.5384,0,2,
267301,33.5615,0.0646992,46.2707,0,2,
268632,0,0,138.276,1,0,
269933,23.0675,0.622058,43.9906,1,1,
270244,0,0,137.485,1,0,
276726,17.2009,0.488625,53.8731,1,2,
277586,0,0,138.824,1,0,
281418,25.3943,0.653949,48.8314,0,1,
282580,30.0698,0.714427,44.3068,0,1,
285523,26.2025,0.664724,45.5487,0,1,
287954,275.065,1.43599,47.6426,0,2,
288445,32.5122,0.744428,44.463,0,1,
295061,0,0,140.137,1,0,
300655,0,0,137.636,1,0,
300838,0,0,137.363,1,0,
301860,0,0,136.898,1,0,
303815,0,0,137.534,1,0,
304493,0,0,145.052,1,0,
307768,25.0859,0.649798,48.8798,0,1,
309125,0,0,139.961,1,0,
310873,16.7116,0.480516,45.5029,1,2,
313603,43.5493,0.741299,45.8015,0,2,
316580,26.7056,0.67136,47.1755,0,1,
318512,30.5266,0.720112,44.2446,0,1,
320102,0,0,137.523,1,0,
320252,25.863,0.58739,45.0353,1,2,
331705,24.269,0.638693,48.5975,0,1,
332513,0,0,137.92,1,0,
333452,27.0733,0.676176,43.7345,0,1,
340004,25.1482,0.650638,45.6901,0,1,
340228,32.7196,0.746932,46.3334,0,1,
344053,12.4631,0.45329,74.3447,0,1,
344103,25.9593,0.661497,45.1624,0,1,
344660,0,0,136.864,1,0,
348890,24.9285,0.64767,45.7032,0,1,
350386,0,0,141.251,1,0,
352583,0,0,142.205,1,0,
352975,0,0,142.926,1,0,
355095,26.0475,0.662669,45.104,0,1,
363690,34.9156,0.702366,48.0518,0,2,
367072,29.4501,0.706653,47.1514,0,1,
367880,0,0,137.26,1,0,
368867,17.3006,0.536162,60.5978,1,1,
369256,0,0,141.196,1,0,
370438,0,0,136.987,1,0,
371757,0,0,138.031,1,0,
373850,22.1987,0.264006,42.2328,0,2,
374934,68.0019,1.11468,51.3202,1,1,
377445,0,0,138.528,1,0,
378984,0,0,137.838,1,0,
378993,0,0,135.247,0,0,
379298,28.4215,0.693597,46.7775,0,1,
381770,0,0,137.557,1,0,
383429,13.1665,0.466169,47.6253,1,1,
384402,29.3364,0.70522,44.2925,0,1,
385938,23.6379,0.633538,46.2215,1,1,
389415,0,0,138.602,1,0,
390336,223.182,2.67057,53.6199,1,1,
392863,25.7377,0.658545,46.0173,0,1,
393857,33.1507,0.752115,43.3313,0,1,
396976,0,0,137.936,1,0,
398433,28.2516,0.691421,43.9277,0,1,
398921,0,0,138.682,1,0,
