eventID,energy,neutronAngle,timeOfFlight,
54999,27.5691,0.721895,70.7444,
78973,23.1936,0.64499,162.618,
175267,28.7959,0.718446,70.9414,
179958,39.1883,0.894249,70.5604,
216526,22.6891,0.609792,165.058,
239399,24.0455,0.649994,68.9394,
256580,26.3155,0.71215,70.8624,
259711,23.9965,0.669679,69.5811,
272263,79.0756,1.48038,71.8281,
272857,30.5651,0.740884,162.524,
276499,25.4099,0.663796,73.8545,
289520,16.6762,0.443262,165.292,
295298,32.9448,1.31848,78.0248,
297567,23.0996,0.638481,72.3564,
307095,27.8933,0.699264,166.556,
348054,23.1348,0.645341,167.055,
392845,67.5413,1.38567,74.4284,
397064,25.1465,0.693483,72.8075,
401557,40.8534,0.983028,72.4465,
407014,26.252,0.704348,165.486,
438414,29.4094,0.732428,68.2881,
446696,28.3323,0.706058,163.432,
512414,29.1048,0.718263,167.423,
531058,27.8481,0.736368,69.379,
562930,58.4968,1.86458,72.8644,
617145,27.8277,0.750813,162.534,
648187,28.9383,0.723089,162.256,
707187,127.235,2.26518,82.5735,
707197,26.3841,0.665915,162.744,
747698,26.8344,0.677723,71.8286,
748554,28.3898,0.698779,74.9859,
795697,29.8449,0.731783,73.3721,
798128,27.3968,0.685761,72.6654,
854905,29.1908,0.716589,73.2055,
868882,38.0395,0.874856,69.4584,
877442,27.1077,0.704313,74.9053,
893064,25.5879,0.661399,165.05,
901244,54.4723,1.1548,76.201,
964182,25.953,0.694246,69.5486,
982399,70.7393,1.38044,167.979,
989759,65.0392,1.27791,165.464,
1026614,127.803,2.17995,171.426,
1038269,78.931,1.47822,78.4092,
1049955,29.027,0.772366,162.57,
1084640,27.0053,0.734282,78.7159,
1101971,30.6464,0.761068,162.445,
1214002,28.5371,0.716876,71.1777,
1251173,28.9665,0.738673,166.46,
1255709,26.7248,0.711166,70.8269,
1266663,27.6398,0.692045,162.808,
1275069,25.0353,0.64141,163.575,
1276275,26.1148,0.659965,164.154,
1307407,28.695,0.738966,69.6733,
1339652,32.2925,0.767876,166.604,
1345082,22.7693,0.646174,71.6606,
1442868,30.5704,0.777952,165.582,
1448025,25.2612,0.663283,72.8032,
1457072,103.301,1.92759,80.7707,
1485209,28.566,0.734709,68.0294,
1566120,26.2476,0.679271,162.599,
1574504,44.4997,1,73.6377,
1642092,77.7312,1.46409,74.1706,
1683643,33.6429,0.828207,71.3671,
1687096,28.2208,0.715108,162.225,
1767360,26.5526,0.70431,69.2689,
1802549,25.0375,0.681714,69.6787,
1809163,30.6409,0.764622,164.72,
1836385,30.1821,0.762749,70.736,
1840649,28.3584,0.701951,162.819,
1850153,46.5326,1.03022,166.691,
1906917,151.938,2.8544,91.1251,
1929633,17.8345,0.495242,164.131,
1930837,24.706,0.672139,71.3495,
1936193,30.8753,0.74791,161.797,
1977380,29.0554,0.716995,68.6639,
1988448,23.7677,0.668214,167.464,
