eventID,ExtScatter,CryoScatter,innerLayerScatter,outerCellScatterAngle,CryoScatterAngle,outerCellEDep,CryoEDep,innerLayerEDep,numElasticSensitive,numInelasticSensitive,
121,1,1,0,1.77597,0.319517,0,0,0,1,0,
122,3,0,0,1.0898,0,0,0,0,0,0,
123,4,0,1,0.412494,0,0,0,0,2,0,
124,1,0,0,1.04233,0,0,0,0,1,0,
125,3,0,0,0.148519,0,0,0,0,0,0,
126,0,0,1,0,0,0,0,0,0,0,
127,4,0,0,1.56137,0,0,0,0,0,0,
128,0,0,0,0,0,0,0,0,0,0,
129,2,0,0,2.58096e-08,0,0,0,0,0,0,
130,0,1,0,0,0.0870659,0,0,0,0,0,
131,3,0,0,0.980957,0,0,0,0,0,0,
132,1,1,0,0.817224,1.49012e-08,0,0,0,1,0,
133,1,0,0,0,0,0,0,0,0,0,
134,2,1,0,0.971161,0.742092,0,0,0,0,0,
135,2,0,0,0.239343,0,0,0,0,0,0,
136,1,0,0,0.202788,0,0,0,0,0,0,
137,0,1,0,0,1.23903,0,0,0,0,0,
138,1,1,0,0.709025,0.353802,0,0,0,0,0,
139,2,0,1,1.85468,0,0,0,0,1,0,
140,3,0,0,1.39357,0,0,0,0,0,0,
141,2,0,0,0.490607,0,0,0,0,0,0,
142,1,0,0,2.87576,0,0,0,0,0,0,
143,2,0,0,0.103115,0,0,0,0,0,0,
144,1,2,0,0.843836,1.05059,0,0,0,2,0,
145,1,0,0,0,0,0,0,0,0,0,
146,1,0,0,0,0,0,0,0,0,0,
147,0,0,0,0,0,0,0,0,0,0,
148,2,0,0,0.672746,0,0,0,0,0,0,
149,8,0,0,2.20549,0,0,0,0,1,0,
150,1,0,0,2.29333,0,0,0,0,0,0,
151,3,0,0,0.749184,0,0,0,0,0,0,
152,1,0,0,0,0,0,0,0,0,0,
153,3,1,0,0.882112,nan,0,0,0,0,0,
154,0,0,0,0,0,0,0,0,1,0,
155,1,0,0,0.229499,0,0,0,0,0,0,
156,0,2,0,0,0.387718,0,0,0,0,0,
157,0,0,0,0,0,0,0,0,0,0,
158,3,0,0,2.78584,0,0,0,0,0,1,
159,0,1,0,0,2.42169,0,0,0,0,0,
160,4,1,0,0.553271,1.05801,0,0,0,0,0,
161,2,0,0,1.49012e-08,0,0,0,0,0,0,
162,1,0,0,0.280324,0,0,0,0,0,1,
163,2,0,0,0.264226,0,0,0,0,0,1,
164,2,0,0,nan,0,0,0,0,5,0,
165,1,0,0,0,0,0,0,0,0,0,
166,0,1,0,0,0,0,0,0,0,0,
167,1,0,0,0.958009,0,0,0,0,0,1,
168,1,0,0,0.775399,0,0,0,0,1,0,
169,1,0,0,0.415982,0,0,0,0,0,0,
170,7,0,0,2.49321,0,0,0,0,0,0,
171,2,0,0,0.583802,0,0,0,0,0,0,
172,2,0,0,2.44566,0,0,0,0,0,0,
