pe,counts
14.739827681549798, 149.78290729410082
24.542713926398974, 145.34758022797382
34.6905938386343, 218.8651242440999
45.14493658466971, 205.26944825986902
54.94675252858596, 196.24895199700245
64.72930305570915, 104.69541019283201
85.30369788972334, 45.40287910950883
95.12156834763374, 105.15992079773014
104.91731925292993, 70.15679908667585
114.71770812893558, 55.02274389482386
154.91143259779872, 44.9383685046098
164.71645944451384, 49.67337983196103
174.84971191066555, 60.52694482598531
195.1122924062149, 65.42178775932325
204.91767601990765, 71.68518881892055
214.73304910897448, 120.74350238141733
224.5312973831142, 96.4391087960878
234.6584848106459, 81.310048341923
244.80600795590365, 153.29920262580254
254.6113915695963, 159.5626036854003
265.0974865766425, 281.9936138710973
274.9096487629105, 317.29641984337627
285.0450418309282, 337.3203232308788
294.87753973492215, 459.7413439412021
305.0379064913751, 586.7525285859508
314.87789650189984, 741.2697336734482
324.72609215291027, 930.9399026026117
334.5685795322785, 1096.1558358158336
345.08749710126835, 1359.1987013681978
355.2810431866427, 1628.3501311118607
365.4499723505593, 1792.042669330523
375.5693109045827, 1743.2890347669381
385.0147166378281, 1607.4071959899352
394.7697961076723, 1398.167644802793
405.12281703205554, 950.5092848605891
414.5311189996254, 655.6749139299625
424.5876665655827, 337.924686491014
434.35487611266706, 180.65038620024893
444.4674360941151, 102.8573467239828
454.5864178811611, 52.57532242815137
464.715389143581, 45.0882106352185
474.5207727572737, 51.35161169481671
484.65616582529117, 71.375515082319
514.7237731675556, 81.0053693430084
14.725200235466218, 87.1189282719995
24.85060382810967, 64.34791915660276
34.998483740344994, 137.86546317272837
45.129238837653176, 138.0203000410279
54.92962771365883, 122.88624484917636
65.03897679230809, 31.337697782692885
85.29299488039388, -0.4488128578825581
95.10729766852779, 44.02433150787488
104.90126473893574, 1.379261135588422
114.7059348186732, 4.585882730693129
155.23002550883893, 9.790399400630122
164.7057564351843, 3.8216878645696397
174.83686829947015, 5.504914465115235
194.77157994256058, 5.809593464026875
204.90447564173465, 15.134768725804634
214.71949196382386, 62.66469255605489
224.51738347098595, 36.8319092384786
234.64350059758468, 17.117679587574912
244.79316434470834, 98.27717226493291
254.9228491410835, 93.8468399364931
264.757844413921, 226.96658877254094
274.8960916177598, 259.21761001801383
285.02863054995635, 267.01439554754484
295.1889973064093, 394.02558019229446
304.6950534258549, 517.9699958971767
314.85970138603966, 663.3218573288823
324.7064699691397, 846.8784673290609
334.87504236607856, 1009.0426158154764
345.0668046165647, 1270.5520968979076
355.2592804010061, 1535.1183574448314
365.099983945486, 1692.6923419968211
375.2214631013753, 1653.1090458267145
384.9925970852138, 1512.6470325906596
395.0759021744948, 1309.5260350701901
404.77710983071415, 869.4996343138441
414.8415062701797, 585.3739809843157
424.57375265345445, 278.31748693340546
434.6663336841542, 114.93462245134151
444.4506680461657, 31.02302930840301
454.9032269573129, 9.785404662939527
464.7075402700726, 11.46363652579862
474.8368682994702, 5.504914465112279
484.96976399864434, 14.830089726890037
514.3855580727447, 32.09190317343723
