numPE,counts
14.705882352941146, 117.64705882352973
25.49019607843134, 103.92156862745105
35.29411764705878, 172.54901960784332
45.098039215686256, 172.54901960784332
54.90196078431369, 158.82352941176487
64.70588235294116, 67.32026143790881
85.29411764705881, 10.130718954248778
95.09803921568624, 71.89542483660125
104.9019607843137, 39.869281045751904
114.70588235294116, 21.568627450980784
154.90196078431373, 10.130718954248778
164.70588235294116, 21.568627450980784
175, 28.43137254901967
194.60784313725486, 33.006535947712564
204.9019607843137, 39.869281045751904
214.70588235294116, 90.1960784313726
224.50980392156862, 62.74509803921592
234.31372549019608, 44.44444444444457
245.0980392156863, 122.22222222222217
254.9019607843137, 122.22222222222217
264.70588235294116, 245.75163398692848
274.5098039215686, 286.9281045751636
284.80392156862746, 298.3660130718954
294.60784313725486, 421.8954248366015
304.9019607843137, 547.7124183006538
314.70588235294116, 698.6928104575163
324.50980392156856, 883.9869281045751
334.8039215686274, 1046.40522875817
344.6078431372549, 1304.9019607843138
354.90196078431376, 1574.8366013071898
364.7058823529412, 1734.967320261438
374.5098039215687, 1691.5032679738565
384.80392156862746, 1554.248366013072
395.0980392156863, 1343.7908496732027
404.90196078431376, 900.0000000000002
414.7058823529412, 611.7647058823532
424.5098039215686, 300.65359477124207
434.3137254901961, 140.52287581699352
444.6078431372549, 58.1699346405228
454.9019607843137, 16.993464052287663
464.7058823529412, 12.41830065359477
474.5098039215686, 16.993464052287663
484.8039215686274, 37.58169934640546
514.7058823529412, 49.019607843137464
