process,distance,
compt,10.7304,
conv,28.9453,
conv,43.1826,
conv,42.696,
conv,18.7264,
conv,25.6441,
conv,41.2727,
conv,33.708,
conv,57.3101,
compt,18.9078,
conv,12.875,
compt,15.0284,
compt,20.2829,
conv,18.6095,
compt,27.1213,
conv,35.1527,
conv,93.4973,
conv,40.483,
conv,30.5446,
compt,24.1836,
conv,38.1701,
conv,22.9593,
compt,15.0715,
conv,57.1571,
conv,58.7823,
conv,20.3106,
conv,41.0612,
conv,38.43,
compt,47.8899,
conv,38.0414,
conv,38.4402,
conv,13.753,
compt,14.2299,
conv,15.5927,
conv,14.0129,
conv,14.5175,
conv,109.628,
conv,21.7297,
conv,68.7231,
conv,41.8912,
compt,45.8301,
conv,19.7243,
conv,14.0738,
conv,97.7491,
conv,23.6319,
conv,25.0935,
conv,15.978,
conv,61.0083,
conv,15.819,
conv,38.9766,
conv,29.6311,
compt,84.937,
conv,18.6741,
conv,25.5629,
conv,30.0146,
compt,32.632,
conv,22.9985,
conv,11.6421,
conv,14.3064,
compt,45.713,
conv,18.4725,
conv,97.3933,
conv,90.5065,
conv,51.3164,
conv,15.2718,
conv,18.5475,
conv,10.123,
conv,23.6499,
conv,44.7961,
conv,12.0256,
conv,62.8194,
conv,30.741,
conv,23.4919,
conv,36.0817,
compt,50.9422,
conv,24.6817,
conv,31.3396,
conv,38.3715,
conv,10.8984,
conv,19.1726,
conv,43.5404,
conv,41.2753,
conv,28.5868,
compt,18.1894,
compt,21.5929,
compt,14.4844,
conv,25.6407,
conv,12.4703,
conv,28.2778,
conv,41.6724,
compt,10.4511,
conv,16.4737,
conv,30.0782,
conv,24.3323,
conv,10.9883,
conv,26.2712,
conv,15.3365,
conv,26.193,
conv,32.1424,
conv,19.1143,
conv,31.1693,
conv,49.3765,
conv,20.7799,
conv,15.2987,
compt,22.9193,
conv,53.9078,
conv,23.1023,
conv,20.6493,
conv,26.9541,
conv,24.6099,
conv,68.578,
conv,11.2774,
compt,10.9619,
conv,15.6932,
conv,38.366,
conv,81.5972,
compt,75.5477,
conv,27.4069,
conv,82.3687,
compt,36.3039,
conv,26.0035,
conv,63.0492,
conv,65.1613,
conv,17.0679,
conv,58.5087,
conv,30.1698,
conv,29.2609,
conv,47.2408,
conv,32.3538,
conv,42.1799,
compt,48.7696,
conv,15.6753,
conv,31.6142,
compt,28.5677,
conv,38.5959,
conv,11.696,
conv,24.8899,
compt,20.5858,
conv,14.968,
conv,15.8572,
conv,26.3169,
conv,19.3111,
compt,53.9915,
conv,14.2443,
conv,13.5833,
conv,12.368,
conv,16.4456,
conv,18.4104,
compt,10.9012,
conv,23.9154,
conv,12.4373,
conv,33.9665,
conv,31.8761,
conv,45.6001,
compt,45.2855,
conv,13.7148,
conv,17.5251,
compt,15.1554,
conv,21.3372,
conv,15.7113,
conv,98.3391,
conv,29.7419,
compt,21.1577,
conv,32.3617,
compt,10.256,
conv,25.3482,
conv,100.206,
conv,19.509,
conv,40.1757,
conv,45.2621,
conv,45.2781,
conv,33.906,
compt,15.4066,
conv,39.7791,
conv,33.5326,
conv,26.1477,
conv,12.4796,
conv,13.5927,
conv,19.0947,
conv,13.9171,
conv,30.0318,
conv,19.8461,
conv,76.3387,
conv,43.8111,
conv,41.0343,
conv,39.0688,
conv,34.7142,
conv,68.6402,
conv,37.765,
conv,81.3531,
compt,25.2711,
conv,60.7405,
conv,27.4985,
conv,13.3499,
conv,27.7743,
conv,13.9933,
compt,14.4032,
conv,39.7282,
conv,32.5081,
compt,18.8254,
conv,42.0144,
conv,56.4308,
conv,54.3525,
compt,37.2728,
conv,73.6061,
compt,16.317,
conv,16.2503,
compt,14.7602,
conv,47.4377,
compt,45.8595,
conv,25.1248,
conv,22.9802,
conv,15.2683,
conv,10.8401,
conv,23.6787,
conv,19.2311,
conv,36.9692,
conv,66.2314,
conv,25.1884,
conv,29.399,
compt,12.5975,
conv,20.3715,
conv,16.9938,
compt,17.6659,
conv,11.9302,
conv,14.294,
compt,70.8082,
conv,29.8147,
conv,20.0469,
compt,11.1703,
compt,38.0467,
conv,66.4455,
conv,16.1247,
conv,10.0335,
conv,40.4569,
conv,13.6276,
compt,27.5704,
compt,18.625,
conv,15.8763,
conv,35.5434,
conv,108.639,
conv,14.389,
conv,33.1824,
conv,43.9847,
conv,27.2714,
conv,10.7653,
conv,74.6699,
conv,22.6772,
conv,17.5948,
conv,13.8445,
conv,21.94,
conv,24.6593,
conv,68.4386,
conv,79.3538,
conv,56.604,
conv,13.4265,
compt,21.1178,
conv,38.8592,
conv,26.2799,
compt,63.2742,
conv,27.0362,
conv,42.2269,
