process,distance,
compt,11.2882,
conv,18.4809,
conv,10.7534,
conv,27.0491,
conv,16.1364,
conv,13.9456,
conv,16.0643,
conv,75.1424,
conv,86.0363,
conv,13.1077,
conv,27.9183,
conv,18.6592,
conv,11.3028,
conv,16.5109,
conv,57.2316,
conv,54.4979,
conv,55.9329,
conv,12.0621,
conv,18.4322,
conv,11.341,
conv,62.4111,
compt,28.6363,
conv,41.2998,
conv,20.857,
conv,25.758,
compt,48.8066,
compt,24.3646,
conv,15.5006,
conv,11.2152,
conv,14.7702,
conv,29.1257,
conv,28.1401,
conv,20.9622,
conv,16.0661,
conv,20.3216,
conv,16.2873,
conv,36.2265,
conv,31.4585,
conv,29.9321,
conv,20.04,
conv,19.7692,
conv,45.6352,
conv,20.5174,
compt,51.727,
conv,21.7117,
conv,18.7112,
conv,11.3703,
conv,60.9954,
conv,11.64,
conv,56.298,
conv,24.1856,
conv,17.4195,
conv,85.7778,
conv,22.276,
conv,18.4356,
conv,24.1408,
conv,17.9263,
conv,29.037,
conv,15.0868,
conv,33.9641,
conv,35.3074,
conv,13.0834,
conv,10.8644,
compt,33.6007,
conv,15.2683,
conv,19.509,
conv,20.879,
conv,50.8935,
conv,17.3388,
compt,10.7641,
conv,46.335,
conv,22.4875,
conv,26.7987,
conv,19.2529,
conv,22.8827,
conv,22.3589,
conv,21.4408,
conv,34.1071,
conv,23.8267,
conv,21.8872,
conv,22.5808,
conv,32.5111,
conv,33.1434,
conv,14.9467,
conv,67.3227,
conv,32.0373,
conv,16.6249,
conv,10.2083,
conv,26.6994,
conv,35.7351,
conv,30.8193,
conv,38.7493,
conv,93.3947,
conv,11.6999,
conv,15.8332,
conv,11.8428,
conv,49.9958,
conv,15.7616,
conv,66.6824,
conv,26.5178,
conv,44.6391,
conv,10.4567,
conv,15.3982,
conv,77.3048,
conv,12.0231,
conv,24.4177,
conv,48.4573,
conv,30.5249,
conv,69.9088,
conv,12.7234,
conv,23.081,
conv,43.2557,
conv,17.9387,
conv,71.9548,
conv,49.9778,
conv,21.7515,
conv,14.9513,
conv,12.0209,
compt,22.5822,
conv,23.692,
conv,20.2665,
conv,12.5422,
conv,93.3649,
conv,24.6637,
conv,41.4536,
conv,48.5388,
conv,13.0948,
conv,32.0149,
conv,17.211,
conv,40.2363,
conv,38.7663,
conv,15.7999,
conv,56.0582,
conv,32.6531,
conv,47.3398,
compt,14.5224,
conv,14.3263,
conv,25.1446,
conv,78.908,
conv,40.0834,
conv,53.6421,
conv,19.7217,
conv,28.0666,
conv,35.0064,
conv,28.6986,
conv,24.3778,
conv,13.2954,
conv,27.2485,
conv,63.6652,
conv,22.0835,
conv,29.9234,
conv,30.3818,
conv,10.49,
conv,51.2428,
conv,10.7516,
conv,22.0466,
conv,12.5222,
conv,19.7176,
conv,12.9238,
conv,35.6738,
conv,38.5677,
conv,16.0947,
compt,15.7348,
conv,14.2204,
conv,14.9011,
conv,10.3281,
conv,10.1255,
conv,38.5048,
compt,45.9022,
conv,73.611,
conv,34.563,
conv,50.4721,
conv,10.5638,
conv,17.5232,
conv,27.6081,
conv,49.738,
conv,54.0079,
conv,35.2743,
conv,35.2926,
conv,35.4892,
compt,20.4069,
conv,24.0227,
conv,22.1677,
conv,45.114,
conv,19.7207,
conv,26.1623,
conv,41.8727,
conv,28.6224,
conv,72.6817,
conv,48.9978,
conv,22.9931,
conv,54.7418,
conv,24.8583,
conv,31.3592,
conv,35.721,
conv,45.2872,
conv,49.1031,
conv,70.1261,
conv,20.0231,
conv,16.5347,
conv,20.0056,
conv,35.7355,
compt,20.685,
conv,51.3941,
conv,47.7333,
conv,73.3317,
conv,100.311,
conv,45.2623,
conv,40.1789,
conv,15.9322,
conv,14.4657,
conv,60.3299,
conv,11.3166,
conv,15.729,
conv,28.4205,
conv,29.4984,
conv,21.2129,
conv,43.2367,
conv,15.251,
conv,12.9491,
conv,30.0104,
conv,31.784,
conv,84.3247,
conv,74.1075,
conv,23.6061,
conv,12.7355,
compt,28.7643,
conv,31.7442,
conv,52.5657,
conv,31.3143,
conv,13.0588,
conv,18.9337,
conv,36.0202,
conv,15.5153,
conv,64.2972,
conv,38.5013,
conv,15.2694,
conv,10.4089,
conv,13.2999,
compt,50.9801,
conv,13.2448,
conv,44.5501,
conv,17.8887,
conv,22.6547,
conv,37.8234,
conv,27.1792,
compt,11.8955,
conv,11.8144,
conv,45.2397,
conv,27.1705,
conv,15.0756,
conv,58.888,
conv,39.1961,
conv,23.1405,
conv,62.2423,
conv,34.1854,
conv,38.2143,
conv,10.5457,
conv,33.2573,
conv,35.274,
conv,10.7447,
conv,24.8377,
conv,27.8555,
conv,71.6296,
conv,11.6705,
conv,47.9356,
conv,11.1563,
conv,68.8971,
conv,59.1935,
conv,29.3682,
conv,22.9224,
conv,31.7742,
conv,12.6214,
conv,22.814,
compt,16.3652,
conv,18.0901,
conv,39.3089,
conv,55.388,
conv,13.2263,
conv,23.3629,
compt,66.7008,
conv,27.9268,
conv,37.7733,
conv,14.4646,
conv,67.6115,
conv,11.3987,
conv,10.4123,
conv,28.7279,
conv,24.8989,
conv,18.7821,
conv,46.8214,
conv,33.3064,
conv,55.4507,
conv,49.6997,
conv,25.7507,
conv,18.7415,
conv,32.6068,
conv,40.9107,
conv,35.6044,
conv,87.941,
conv,27.3125,
conv,48.055,
conv,32.879,
conv,16.3293,
conv,20.3117,
conv,94.8734,
conv,29.9903,
conv,28.7229,
compt,24.2088,
conv,23.8485,
conv,18.5766,
conv,21.2183,
conv,73.069,
conv,75.4526,
conv,13.2269,
conv,19.2395,
conv,92.1729,
conv,21.9355,
compt,34.5693,
conv,26.9047,
conv,12.4403,
conv,10.4403,
conv,13.257,
conv,28.2031,
conv,72.1067,
conv,60.2216,
conv,12.5573,
compt,26.3314,
conv,31.7358,
conv,16.5042,
compt,50.3429,
conv,57.4732,
conv,23.3944,
conv,29.5583,
conv,80.4837,
conv,43.421,
conv,41.6849,
conv,34.7438,
conv,65.4874,
conv,27.3227,
conv,17.7683,
conv,38.8368,
conv,17.9813,
conv,39.1634,
conv,53.9419,
conv,17.2929,
compt,11.5339,
compt,46.3773,
conv,25.4252,
conv,14.6229,
conv,89.694,
conv,16.1796,
conv,15.6624,
conv,27.908,
conv,38.7028,
conv,53.6488,
conv,41.6336,
conv,38.4908,
conv,18.8497,
conv,21.1572,
conv,12.5813,
conv,20.3865,
conv,58.0801,
conv,31.9415,
conv,12.505,
conv,36.0237,
compt,49.9906,
conv,36.3782,
conv,17.6648,
conv,63.9731,
conv,11.7312,
conv,24.2651,
conv,15.102,
conv,18.6668,
conv,70.4156,
conv,10.3893,
conv,21.0203,
conv,21.5593,
conv,30.7386,
conv,11.2081,
conv,22.7046,
conv,27.8746,
conv,36.0531,
conv,39.8839,
conv,22.1716,
conv,30.1348,
conv,43.5399,
conv,42.1686,
conv,102.852,
conv,59.3557,
conv,42.7538,
conv,18.6477,
conv,13.66,
conv,27.9206,
conv,56.8574,
conv,46.3037,
conv,17.3729,
conv,19.2754,
conv,10.5788,
conv,44.577,
conv,21.4121,
conv,12.2238,
conv,27.3511,
conv,60.9451,
conv,51.1254,
conv,18.866,
conv,16.3935,
conv,39.0547,
conv,43.4143,
conv,13.772,
conv,22.1955,
conv,30.8531,
conv,29.6047,
conv,22.1952,
conv,107.934,
conv,30.7342,
conv,13.427,
conv,11.3749,
conv,23.3151,
compt,85.1448,
conv,17.254,
compt,55.955,
conv,18.263,
conv,10.6226,
conv,20.181,
conv,11.4109,
conv,18.6609,
conv,13.0387,
conv,20.7621,
conv,34.5291,
conv,13.7773,
conv,16.8124,
conv,13.3839,
conv,22.0597,
conv,21.8514,
conv,17.8428,
conv,12.8279,
conv,23.3121,
conv,12.2277,
conv,44.3228,
conv,71.0556,
conv,100.223,
conv,61.7232,
conv,53.2367,
conv,10.0926,
compt,10.0844,
compt,16.7448,
compt,19.8346,
conv,37.5352,
conv,23.7559,
conv,37.4895,
conv,15.6608,
conv,16.253,
conv,22.409,
conv,15.6421,
conv,34.3527,
conv,14.5587,
conv,46.6784,
conv,14.4199,
conv,15.3484,
conv,54.1326,
conv,18.0881,
conv,13.8455,
compt,24.4385,
conv,34.0269,
compt,44.606,
compt,37.8726,
conv,39.3979,
compt,19.9548,
conv,18.1401,
conv,14.1239,
conv,13.2012,
conv,11.7498,
conv,23.2527,
conv,33.078,
conv,26.933,
conv,41.4409,
conv,70.3986,
conv,80.0492,
conv,43.1366,
conv,88.5769,
conv,51.8317,
conv,22.8882,
conv,26.3964,
conv,23.5321,
conv,20.0204,
conv,29.2756,
conv,22.2568,
compt,46.6242,
conv,24.6643,
conv,52.4833,
conv,15.7217,
conv,27.0088,
conv,65.4451,
conv,16.8956,
conv,11.2032,
compt,14.1753,
conv,29.5534,
conv,15.4734,
conv,19.4033,
conv,28.2597,
conv,52.2018,
conv,23.8201,
conv,18.5326,
conv,36.5798,
conv,16.2691,
conv,39.4072,
conv,48.6858,
conv,12.7137,
conv,10.1345,
conv,13.2355,
conv,12.1505,
conv,11.8755,
compt,23.4738,
conv,11.8231,
conv,14.2441,
conv,13.5625,
conv,17.8034,
conv,11.1911,
conv,30.4523,
conv,56.1721,
compt,44.2761,
conv,11.0459,
conv,10.6519,
compt,16.0156,
conv,18.4754,
conv,25.1828,
conv,43.7047,
conv,33.1772,
conv,28.7973,
conv,25.0749,
conv,30.8289,
conv,13.463,
conv,17.2101,
conv,46.7725,
conv,28.6272,
conv,28.5935,
compt,15.6364,
conv,31.8176,
conv,52.4823,
conv,53.7402,
conv,31.6779,
conv,87.2044,
conv,26.9069,
conv,15.4885,
conv,84.6727,
conv,77.3658,
conv,14.7532,
compt,21.5122,
conv,30.4609,
conv,87.4213,
conv,18.0801,
conv,11.013,
conv,57.9639,
conv,27.7776,
conv,55.3553,
conv,22.0074,
conv,15.1095,
conv,20.7939,
conv,44.2106,
conv,55.135,
conv,52.7177,
conv,14.4123,
conv,90.923,
conv,26.7077,
conv,47.0051,
conv,20.9558,
conv,84.3845,
conv,68.085,
conv,16.5135,
conv,49.7163,
conv,44.4146,
conv,27.1917,
conv,15.7164,
conv,12.1286,
conv,22.6714,
conv,20.866,
conv,39.3883,
compt,35.4228,
conv,18.8258,
conv,30.9059,
conv,81.781,
conv,44.5349,
conv,16.3847,
conv,13.9581,
conv,67.4639,
conv,20.1728,
compt,43.1086,
conv,14.6925,
conv,22.6073,
conv,14.5846,
compt,12.6423,
conv,18.292,
conv,98.0919,
conv,23.6053,
conv,10.2392,
conv,21.6951,
compt,16.569,
conv,13.7341,
conv,22.3478,
conv,38.0175,
compt,19.7081,
conv,33.5871,
conv,62.7477,
conv,40.0242,
conv,12.2432,
conv,25.7692,
conv,12.3333,
conv,35.6437,
conv,44.0528,
conv,41.2647,
conv,19.4088,
conv,25.7817,
conv,14.4994,
compt,52.0136,
conv,22.7151,
conv,20.408,
conv,30.6973,
conv,23.8833,
conv,29.6267,
conv,28.2585,
conv,12.1853,
conv,11.8162,
conv,39.847,
compt,16.2316,
conv,31.6117,
conv,34.4437,
conv,11.6802,
conv,51.4998,
conv,36.7164,
conv,18.9241,
conv,13.8926,
conv,23.2039,
conv,94.0212,
conv,30.3409,
conv,59.5058,
conv,18.2954,
conv,47.1326,
conv,105.667,
conv,54.4849,
conv,55.3936,
conv,40.7036,
conv,13.251,
conv,27.9371,
conv,43.0096,
conv,17.2315,
conv,59.819,
conv,23.4702,
compt,27.9121,
conv,43.5402,
conv,75.5432,
conv,11.0794,
conv,39.2323,
conv,18.045,
conv,51.6262,
conv,50.1109,
conv,105.976,
conv,12.2855,
conv,32.0481,
conv,109.584,
conv,49.0597,
conv,44.0023,
conv,25.1772,
conv,12.6022,
conv,12.6855,
conv,20.4188,
conv,44.3385,
conv,67.5786,
compt,58.6336,
conv,74.4981,
conv,21.8657,
conv,40.5386,
conv,21.4594,
conv,12.601,
conv,27.1368,
conv,54.9867,
conv,105.314,
conv,31.9158,
conv,19.0564,
conv,29.5186,
conv,69.2689,
conv,25.5539,
compt,26.0386,
conv,59.1523,
conv,23.1034,
conv,45.7113,
conv,44.3437,
conv,23.3687,
conv,75.4118,
conv,43.9572,
conv,14.048,
conv,13.23,
conv,22.4733,
compt,18.8842,
conv,58.2676,
conv,15.9812,
conv,56.6984,
conv,62.8155,
conv,21.3415,
conv,25.7993,
conv,10.1534,
conv,44.0862,
conv,11.4152,
compt,29.3305,
conv,45.8073,
conv,14.5927,
conv,15.4708,
conv,26.7697,
conv,34.7874,
conv,77.4975,
conv,25.4271,
conv,28.5719,
conv,37.4527,
conv,25.9166,
conv,17.5246,
conv,34.9481,
conv,22.0181,
conv,36.9838,
conv,56.8407,
conv,25.7219,
conv,37.0095,
conv,13.0181,
conv,39.4483,
conv,13.2961,
conv,30.2021,
conv,14.4107,
conv,21.7777,
conv,37.8629,
conv,46.5121,
conv,12.1205,
conv,12.0498,
conv,17.1372,
conv,45.2042,
conv,34.1354,
conv,18.19,
conv,25.5758,
conv,32.28,
conv,11.82,
conv,34.9084,
conv,21.4406,
conv,53.5535,
conv,16.9063,
conv,18.6195,
conv,37.1141,
conv,25.4297,
compt,13.7099,
conv,16.0159,
conv,35.2956,
conv,41.6106,
conv,33.777,
conv,23.7731,
conv,33.218,
compt,18.8572,
conv,25.6059,
conv,29.5831,
conv,29.0885,
conv,58.8285,
conv,13.7427,
conv,14.2027,
compt,15.8677,
conv,29.7984,
conv,24.4259,
compt,13.3431,
conv,46.4205,
conv,29.4967,
conv,14.8599,
conv,12.3523,
conv,26.8097,
conv,22.4155,
conv,97.0878,
conv,22.4165,
compt,14.235,
conv,44.147,
conv,40.3469,
conv,74.5429,
conv,10.9975,
conv,17.7707,
conv,32.8699,
conv,25.0651,
conv,15.7109,
conv,11.3801,
conv,70.933,
conv,37.5554,
conv,46.7042,
conv,44.6376,
conv,44.2553,
conv,20.7353,
conv,42.2383,
conv,35.2644,
compt,27.5057,
conv,10.4299,
conv,10.2825,
conv,18.3588,
conv,65.6808,
conv,46.1839,
conv,57.5831,
conv,14.5678,
compt,79.6498,
conv,20.896,
conv,11.5383,
conv,71.2576,
conv,35.0427,
conv,15.5017,
conv,84.6245,
conv,29.9317,
conv,22.0042,
conv,12.5091,
conv,35.7176,
conv,24.4807,
conv,10.3337,
conv,12.2258,
conv,10.5816,
conv,11.3706,
conv,18.7415,
conv,20.5749,
conv,14.781,
conv,25.1065,
compt,25.9057,
conv,23.9691,
compt,52.7408,
conv,18.0464,
conv,10.7472,
conv,26.7861,
conv,56.3829,
conv,29.4527,
conv,74.9749,
conv,35.371,
conv,48.9888,
conv,18.127,
conv,17.4742,
conv,14.342,
conv,14.2283,
conv,14.7531,
compt,29.9809,
conv,30.9978,
conv,68.2854,
conv,28.9617,
conv,96.0621,
conv,26.0388,
conv,25.3644,
conv,14.6469,
conv,33.7078,
conv,20.4134,
conv,10.7423,
conv,68.4274,
conv,11.9869,
conv,29.2015,
conv,11.6378,
conv,10.0559,
conv,27.8029,
conv,25.6968,
conv,38.2943,
conv,40.3117,
conv,64.3459,
conv,25.0038,
conv,67.1238,
compt,34.2967,
conv,33.0749,
conv,16.8448,
conv,59.0886,
conv,26.0189,
conv,21.9151,
conv,17.2464,
conv,47.0512,
conv,13.9905,
conv,32.0844,
compt,18.3713,
conv,19.749,
compt,109.435,
conv,15.5507,
conv,15.091,
conv,16.367,
compt,16.8889,
conv,16.6888,
conv,24.6287,
conv,38.1411,
conv,24.7175,
conv,10.3514,
conv,14.9557,
conv,22.0956,
conv,38.6483,
conv,53.3741,
conv,59.5253,
conv,72.3357,
conv,33.2209,
conv,30.5668,
conv,24.8973,
conv,28.3901,
compt,17.2658,
conv,57.3689,
conv,20.2907,
conv,24.898,
conv,24.6129,
conv,48.3703,
conv,15.6064,
conv,20.6795,
compt,13.2791,
conv,31.0976,
conv,43.3541,
conv,17.9167,
conv,30.9495,
conv,22.709,
conv,15.9792,
compt,31.9733,
conv,34.1783,
conv,28.0932,
conv,16.2716,
conv,41.2391,
conv,11.7798,
conv,18.7511,
conv,26.1576,
conv,30.0582,
conv,65.7227,
conv,52.4698,
conv,47.6661,
conv,10.5421,
conv,44.3204,
conv,33.8418,
conv,27.4966,
conv,14.0453,
conv,13.929,
conv,12.4009,
conv,40.0966,
compt,16.4244,
conv,10.4766,
conv,13.7056,
conv,23.5569,
compt,71.6413,
conv,34.2192,
conv,36.4684,
conv,84.0721,
conv,46.0829,
conv,10.142,
conv,25.7411,
compt,15.017,
conv,12.3904,
conv,22.1753,
conv,73.8131,
conv,31.0142,
conv,24.7906,
conv,30.7592,
conv,16.9992,
conv,34.0463,
conv,32.2481,
conv,34.9314,
conv,13.6408,
