process,distance,
compt,37.7065,
compt,12.5143,
compt,27.9507,
compt,23.5984,
compt,14.9694,
compt,15.488,
compt,13.856,
compt,21.183,
compt,20.7468,
compt,13.3084,
compt,19.4837,
compt,25.8921,
compt,14.8595,
compt,26.2137,
compt,11.5191,
compt,24.9446,
compt,17.9509,
compt,31.2366,
compt,16.8019,
compt,10.3759,
compt,19.8581,
compt,14.3847,
compt,22.0521,
compt,26.9783,
compt,23.6335,
compt,14.4904,
compt,40.9519,
compt,55.7246,
compt,25.1521,
compt,23.3354,
compt,17.0275,
compt,33.6798,
compt,29.6279,
compt,39.1011,
compt,29.764,
compt,28.7908,
compt,33.3018,
compt,24.7983,
compt,20.006,
compt,11.3268,
compt,39.2902,
compt,17.9938,
compt,13.8747,
compt,12.2763,
compt,26.8033,
compt,32.6315,
compt,38.982,
compt,25.3312,
compt,16.5258,
compt,35.6752,
compt,13.6077,
compt,41.9147,
compt,11.2383,
compt,26.0721,
compt,11.8598,
compt,15.066,
compt,29.8966,
compt,35.9056,
compt,11.541,
compt,38.6912,
compt,61.9976,
compt,32.5093,
compt,26.2474,
compt,34.9574,
compt,14.9937,
compt,10.9782,
compt,20.1338,
compt,34.6946,
compt,41.2574,
compt,14.0538,
compt,40.3812,
compt,30.2342,
compt,13.6991,
compt,11.6336,
compt,20.5737,
compt,23.9882,
compt,33.697,
compt,17.6751,
compt,15.5489,
compt,13.607,
compt,11.1916,
compt,21.3335,
compt,13.6479,
compt,20.4478,
compt,23.2561,
compt,10.8493,
compt,10.1357,
compt,29.9467,
compt,12.1096,
compt,19.5415,
compt,18.8293,
compt,17.8924,
compt,10.7097,
compt,18.9625,
compt,51.2884,
compt,13.951,
compt,18.9478,
compt,28.3529,
compt,26.4666,
compt,65.5375,
compt,14.1646,
compt,10.8416,
compt,26.6622,
compt,13.1442,
compt,13.3975,
compt,27.5306,
compt,33.5471,
compt,37.4018,
compt,14.8069,
compt,14.2021,
compt,37.245,
compt,41.9003,
compt,11.7228,
compt,13.2712,
compt,56.2515,
compt,18.792,
compt,16.5434,
compt,22.8472,
compt,22.0427,
compt,17.2631,
compt,13.6502,
compt,33.4171,
compt,30.1598,
compt,12.9986,
compt,10.1157,
compt,17.2225,
compt,16.2578,
compt,12.5683,
compt,23.6933,
compt,20.9697,
compt,10.5384,
compt,20.6318,
compt,18.1364,
compt,15.2053,
compt,20.9163,
compt,36.3898,
compt,21.8832,
compt,38.2387,
compt,19.5042,
compt,14.7099,
compt,16.6817,
compt,37.5547,
compt,28.4397,
compt,24.3087,
compt,23.9205,
compt,18.6358,
compt,10.7027,
compt,11.8436,
compt,13.7644,
compt,60.0091,
compt,10.594,
compt,13.984,
compt,24.5786,
compt,20.383,
compt,16.8057,
compt,26.8219,
compt,10.6029,
compt,25.983,
compt,11.2425,
compt,14.0767,
compt,27.3894,
compt,45.0394,
compt,17.3358,
compt,25.8635,
compt,33.723,
compt,46.4852,
compt,33.9354,
compt,43.192,
compt,11.8762,
compt,12.7702,
compt,10.0291,
compt,10.9319,
compt,20.9318,
compt,10.044,
compt,23.383,
compt,22.3871,
compt,21.8388,
compt,37.698,
compt,30.3316,
compt,15.0764,
compt,35.7574,
compt,13.7681,
compt,27.3431,
compt,16.6832,
compt,20.785,
compt,16.9739,
compt,16.3999,
compt,23.2236,
compt,13.6432,
compt,15.7017,
compt,13.0781,
compt,16.1669,
compt,17.0701,
compt,12.4145,
compt,41.0752,
compt,24.143,
compt,12.4538,
compt,23.3977,
compt,20.7964,
compt,27.6331,
compt,36.6221,
compt,16.1817,
compt,24.8874,
compt,10.2716,
compt,10.4083,
compt,11.585,
compt,38.3237,
compt,14.9302,
compt,10.3102,
compt,46.3561,
compt,13.376,
compt,17.3671,
compt,17.0023,
compt,10.9723,
compt,42.1796,
compt,15.6986,
compt,19.9831,
compt,23.0737,
compt,10.9199,
compt,18.5047,
compt,35.7077,
compt,24.6451,
compt,10.2249,
compt,28.7969,
compt,17.5136,
compt,73.07,
compt,24.7813,
compt,10.9217,
compt,15.4369,
compt,14.7563,
compt,24.4094,
compt,17.2928,
compt,37.0196,
compt,10.884,
compt,64.0306,
compt,48.5222,
compt,19.8967,
compt,10.532,
compt,22.5754,
compt,17.3899,
compt,10.713,
compt,13.4224,
compt,13.3167,
compt,17.6067,
compt,16.1748,
compt,13.2968,
compt,12.1762,
compt,38.3643,
compt,31.1591,
compt,24.7708,
compt,13.8129,
compt,10.2832,
compt,27.5346,
compt,32.1887,
compt,13.1825,
Rayl,14.1172,
compt,10.9062,
compt,14.2992,
compt,12.2131,
compt,16.0499,
compt,25.289,
compt,23.8107,
compt,14.8292,
compt,20.0395,
compt,15.0832,
compt,16.1209,
compt,15.7331,
compt,36.758,
compt,12.7294,
compt,12.0725,
compt,33.5801,
compt,15.9481,
compt,23.9098,
compt,11.0587,
compt,24.7357,
compt,30.4712,
compt,24.8186,
compt,46.8576,
compt,25.0193,
compt,11.501,
compt,11.1331,
compt,22.528,
compt,13.7936,
compt,17.0609,
compt,10.9015,
compt,10.942,
compt,17.5926,
compt,11.4106,
compt,19.0757,
compt,30.6025,
compt,42.8541,
compt,21.7658,
compt,25.3673,
compt,13.0367,
compt,58.8871,
compt,18.4763,
compt,24.0903,
compt,20.5059,
compt,38.1501,
compt,37.97,
compt,14.0963,
compt,40.114,
compt,11.6359,
compt,14.6912,
compt,15.7107,
compt,11.6385,
compt,11.3922,
compt,31.1786,
compt,46.5484,
compt,45.5112,
compt,51.5195,
compt,13.8392,
compt,17.0674,
compt,19.8791,
compt,15.6554,
compt,10.5705,
compt,13.6326,
compt,13.3542,
compt,20.8478,
compt,16.0129,
compt,10.1184,
compt,12.0226,
compt,10.2777,
compt,32.4503,
compt,10.8724,
compt,12.385,
compt,21.7797,
compt,21.3943,
compt,14.0792,
compt,13.7343,
compt,15.5869,
compt,13.8426,
compt,15.0342,
compt,12.3447,
compt,17.1161,
compt,24.54,
compt,21.7659,
compt,21.6228,
compt,10.4691,
compt,11.8555,
compt,23.2798,
compt,17.0236,
compt,10.5894,
compt,29.6536,
compt,24.1784,
compt,17.5032,
compt,43.7667,
compt,13.2084,
compt,64.1982,
compt,29.8391,
compt,15.9796,
compt,11.6717,
compt,24.7483,
compt,32.3802,
compt,12.9609,
compt,17.1415,
compt,10.8608,
compt,49.1291,
compt,18.0956,
compt,17.732,
compt,12.3868,
compt,26.3873,
compt,30.7928,
compt,20.551,
compt,12.4504,
compt,45.018,
compt,10.7103,
compt,14.1118,
compt,25.8172,
compt,49.7901,
compt,26.6626,
compt,77.3228,
compt,42.3427,
compt,22.0057,
compt,13.6335,
compt,11.5472,
compt,19.0041,
compt,33.7028,
compt,14.983,
compt,16.9483,
compt,10.8842,
compt,12.2043,
compt,11.3844,
compt,19.701,
compt,11.751,
compt,32.3791,
compt,19.0056,
compt,16.64,
compt,10.2362,
compt,18.1505,
compt,15.0155,
compt,21.0201,
compt,13.7544,
compt,34.6009,
compt,20.4039,
compt,21.4087,
compt,58.179,
compt,22.3262,
compt,28.9634,
compt,36.6395,
compt,17.9435,
compt,10.5574,
compt,25.0028,
compt,14.4331,
compt,21.6291,
compt,17.8568,
compt,13.8167,
compt,16.9474,
compt,44.9482,
compt,24.8585,
compt,16.7297,
Rayl,15.7641,
compt,17.578,
compt,11.0483,
compt,12.9699,
compt,10.9123,
compt,27.355,
compt,21.6459,
compt,18.6592,
compt,18.6226,
compt,25.9328,
compt,25.8011,
compt,12.2227,
compt,26.5536,
compt,14.8379,
compt,12.7365,
compt,23.7343,
compt,14.677,
compt,12.0268,
compt,18.7975,
compt,25.4794,
compt,33.9817,
compt,10.652,
compt,11.4352,
compt,15.5251,
compt,20.8103,
compt,17.5681,
compt,28.69,
compt,22.7448,
compt,16.7411,
compt,31.4908,
compt,10.6115,
compt,11.672,
compt,18.6214,
compt,16.9078,
compt,27.9474,
compt,14.9479,
compt,25.4078,
compt,10.0197,
compt,25.3148,
compt,27.1427,
compt,12.4311,
compt,10.6185,
compt,22.794,
compt,15.889,
compt,19.3954,
compt,19.9552,
compt,37.4112,
compt,41.0071,
compt,24.6896,
compt,31.996,
compt,30.9273,
compt,12.1363,
compt,11.584,
compt,20.2324,
compt,14.647,
compt,17.1144,
compt,33.4768,
compt,12.2443,
compt,10.0404,
compt,17.3038,
compt,23.4386,
compt,15.5355,
compt,46.4544,
compt,28.7752,
compt,11.9109,
compt,34.5318,
compt,30.5029,
compt,19.944,
compt,29.4611,
