process,distance,
compt,10.1294,
compt,10.072,
conv,53.6561,
conv,32.8249,
conv,11.4909,
compt,31.1312,
compt,50.9685,
conv,88.9626,
conv,15.0517,
conv,21.5225,
compt,11.8075,
compt,32.4055,
compt,21.1805,
compt,28.1147,
compt,24.1299,
compt,16.9323,
compt,10.3721,
compt,10.7919,
compt,82.5133,
compt,38.5708,
compt,16.1919,
conv,12.4026,
compt,17.514,
compt,15.8232,
compt,17.3386,
compt,33.3608,
compt,28.5791,
compt,38.9951,
compt,17.4891,
compt,49.6973,
conv,55.6641,
compt,25.3326,
compt,32.6309,
conv,93.7162,
compt,76.8958,
compt,26.7989,
compt,72.9821,
compt,46.5823,
compt,11.26,
compt,29.8716,
compt,68.8438,
compt,34.572,
compt,31.0161,
conv,14.8961,
compt,19.7496,
compt,100.427,
compt,30.1098,
compt,25.1187,
compt,17.3527,
compt,75.5823,
compt,11.4837,
conv,51.9711,
compt,31.972,
compt,21.6454,
compt,34.2102,
compt,16.5628,
compt,41.3814,
compt,59.0776,
compt,34.0104,
compt,12.7151,
compt,15.7242,
compt,46.9019,
compt,29.1781,
compt,26.351,
compt,55.9142,
compt,28.6338,
compt,25.1629,
compt,24.2813,
compt,30.821,
compt,14.9054,
compt,54.3451,
compt,18.9098,
conv,16.0492,
compt,51.3341,
compt,14.9614,
conv,29.004,
compt,25.1658,
compt,26.5308,
compt,20.8738,
conv,13.6909,
conv,41.7532,
compt,26.7412,
conv,12.0658,
compt,71.0125,
compt,26.2387,
compt,57.0742,
compt,11.6012,
compt,13.6276,
compt,74.7206,
conv,33.7653,
compt,21.8481,
compt,20.6955,
conv,25.6411,
compt,11.5428,
compt,66.3198,
compt,31.8307,
compt,12.5422,
compt,11.5195,
compt,13.3611,
compt,24.9729,
conv,44.4816,
compt,16.8588,
compt,42.2279,
conv,27.0122,
compt,25.9854,
compt,47.2655,
compt,78.2221,
compt,16.3629,
compt,13.5392,
compt,27.9995,
conv,14.2007,
conv,22.4184,
compt,42.9057,
compt,52.7256,
compt,33.2852,
compt,28.9386,
compt,12.9283,
compt,24.4573,
compt,21.3872,
conv,25.1164,
compt,10.809,
compt,27.5267,
compt,37.168,
conv,22.1295,
conv,39.6574,
compt,53.2665,
compt,17.5729,
compt,35.6407,
compt,13.6599,
compt,29.3383,
compt,16.4963,
conv,13.1586,
compt,22.9515,
compt,21.5886,
compt,11.4694,
compt,80.6128,
conv,26.8177,
conv,13.127,
compt,19.5977,
conv,45.0282,
compt,39.1821,
compt,16.4664,
compt,22.0484,
conv,16.2122,
conv,13.8679,
compt,61.0358,
compt,11.1678,
compt,13.2444,
compt,13.6132,
compt,23.0014,
compt,15.096,
compt,17.9758,
compt,26.0107,
compt,23.2114,
compt,21.6332,
compt,14.9126,
compt,16.3238,
compt,23.4117,
conv,20.1893,
compt,29.5593,
compt,23.7549,
compt,32.8693,
compt,13.193,
compt,15.477,
compt,31.9606,
compt,10.9695,
compt,10.2431,
compt,26.0425,
compt,37.8132,
compt,20.192,
compt,11.957,
compt,30.3146,
compt,23.1057,
compt,60.7617,
compt,37.0966,
compt,17.3765,
compt,18.0555,
compt,22.2192,
conv,61.8388,
compt,21.5163,
compt,15.838,
compt,16.197,
compt,41.9145,
compt,19.1264,
compt,41.5311,
compt,22.0045,
compt,34.4157,
compt,18.1169,
conv,25.5227,
compt,13.2962,
compt,48.4445,
compt,28.6367,
conv,15.5474,
compt,38.3352,
conv,75.8499,
compt,32.3067,
compt,18.2306,
conv,54.5837,
conv,31.6418,
compt,22.6567,
conv,18.3986,
conv,48.7037,
conv,43.0936,
conv,14.6039,
conv,42.9979,
conv,26.3147,
compt,18.9714,
compt,52.6853,
compt,49.8013,
compt,65.2532,
compt,10.7936,
conv,22.0503,
compt,27.8725,
compt,31.6038,
conv,16.2733,
compt,30.5663,
compt,37.9756,
compt,25.6011,
compt,11.0765,
compt,44.7417,
compt,16.0778,
conv,45.317,
compt,65.6162,
conv,27.6299,
compt,26.5297,
compt,10.7567,
compt,11.0299,
compt,30.9009,
compt,16.6351,
compt,23.8319,
conv,33.178,
compt,13.086,
compt,31.1893,
conv,35.7183,
conv,44.4784,
compt,63.2439,
compt,64.3809,
conv,39.5854,
compt,11.216,
conv,20.6425,
compt,14.6613,
compt,19.6468,
conv,40.3482,
compt,10.9161,
compt,32.2633,
conv,14.5725,
compt,10.3144,
compt,34.0261,
compt,56.5491,
compt,16.7639,
compt,15.4455,
compt,51.3397,
compt,63.5771,
compt,33.1053,
conv,21.4559,
compt,43.3563,
compt,17.7351,
conv,69.2704,
conv,51.4228,
conv,15.3999,
compt,31.5178,
conv,36.9211,
compt,19.1535,
conv,102.637,
compt,27.9224,
compt,20.8663,
compt,41.2104,
compt,15.0649,
compt,14.4524,
compt,13.0465,
compt,15.9236,
compt,10.7917,
compt,11.0958,
compt,10.6369,
compt,29.3626,
compt,23.6735,
compt,18.4583,
conv,26.3924,
compt,25.6226,
conv,44.4944,
compt,11.004,
conv,27.868,
conv,33.0995,
compt,62.0046,
conv,16.44,
conv,13.9611,
compt,13.0301,
compt,12.2478,
compt,11.31,
compt,70.0289,
compt,29.7215,
conv,82.6839,
compt,14.1664,
compt,28.0254,
compt,22.1128,
compt,11.9918,
compt,79.1348,
conv,49.4919,
compt,10.8672,
conv,39.1274,
compt,56.1809,
compt,41.1419,
compt,28.1058,
compt,32.9745,
compt,23.5083,
compt,12.0588,
compt,63.1613,
compt,30.0042,
compt,28.0489,
compt,27.43,
compt,108.804,
compt,11.7027,
compt,31.5489,
compt,44.2514,
compt,20.4506,
compt,24.3171,
conv,48.4529,
compt,44.2136,
compt,83.7885,
conv,23.7337,
conv,12.2318,
conv,11.642,
compt,11.3979,
compt,83.9474,
compt,11.2503,
compt,18.8021,
conv,25.4785,
compt,25.1344,
compt,16.9699,
compt,44.4987,
compt,19.6019,
compt,17.706,
compt,44.3841,
compt,11.1979,
compt,35.8573,
conv,24.9668,
compt,81.8794,
compt,40.2197,
conv,18.2388,
conv,20.67,
conv,18.2332,
compt,20.1477,
compt,45.4051,
conv,12.6013,
compt,64.7527,
compt,13.8937,
compt,11.886,
compt,72.4008,
conv,18.2338,
compt,20.9813,
compt,18.6695,
compt,48.6802,
conv,66.891,
conv,15.7234,
compt,32.635,
compt,20.8517,
compt,59.8558,
conv,36.4244,
conv,22.6858,
compt,30.2024,
compt,23.4237,
compt,27.6531,
conv,34.1917,
conv,48.8993,
compt,48.4629,
compt,19.9053,
compt,14.758,
compt,38.9792,
compt,28.7711,
compt,13.999,
compt,25.8894,
conv,27.8275,
compt,10.4506,
conv,32.7128,
compt,42.8175,
compt,32.0825,
compt,104.299,
compt,20.1249,
compt,18.9375,
conv,15.2488,
compt,17.9968,
compt,10.0986,
compt,31.92,
conv,27.6096,
conv,23.3894,
conv,11.5581,
compt,29.2705,
compt,10.4953,
compt,33.8082,
compt,11.158,
compt,13.7006,
conv,13.2953,
conv,13.5601,
compt,28.6154,
compt,21.7718,
conv,43.5413,
conv,26.2494,
conv,16.3428,
compt,25.2644,
compt,38.6322,
compt,49.7518,
compt,12.4739,
compt,17.9683,
compt,49.4932,
compt,17.1125,
compt,15.2246,
compt,61.4893,
compt,40.5589,
conv,34.0418,
conv,26.1764,
conv,83.7245,
compt,39.9338,
compt,12.5843,
compt,68.5032,
compt,14.2959,
compt,10.336,
compt,14.8919,
conv,35.274,
conv,92.2072,
compt,19.5572,
compt,25.81,
conv,25.7739,
compt,69.5227,
compt,36.572,
compt,17.5273,
compt,41.6283,
compt,46.8633,
compt,45.5473,
compt,12.3663,
compt,19.2841,
conv,46.9339,
compt,33.2821,
compt,25.8255,
conv,105.71,
conv,12.7061,
conv,15.455,
compt,14.6401,
compt,12.4542,
compt,25.6547,
compt,25.8657,
compt,27.7842,
compt,52.2391,
compt,74.8096,
compt,77.9444,
compt,60.6743,
compt,22.1493,
compt,36.9898,
compt,26.2866,
compt,40.9376,
compt,30.3922,
compt,10.5993,
compt,54.0998,
compt,54.5812,
compt,15.6859,
compt,108.213,
compt,63.4074,
compt,13.0473,
compt,65.0928,
compt,13.4515,
compt,23.2275,
compt,14.4584,
compt,58.3669,
compt,25.8283,
conv,20.9802,
compt,27.6895,
conv,46.8641,
compt,23.8251,
conv,26.7949,
compt,17.5542,
compt,11.8663,
compt,25.8005,
conv,35.6092,
compt,88.8783,
compt,15.7732,
compt,20.2777,
compt,14.8858,
compt,31.0118,
compt,21.0737,
compt,11.4837,
compt,17.0537,
compt,49.1597,
conv,37.5048,
conv,57.0822,
conv,20.9577,
compt,19.0576,
compt,21.3167,
conv,27.3931,
compt,35.5368,
compt,33.0708,
compt,58.7694,
compt,31.9178,
conv,46.0447,
conv,17.7225,
compt,11.4112,
compt,52.3192,
compt,75.5593,
compt,20.4638,
conv,34.8338,
compt,15.1003,
compt,49.4856,
conv,20.6531,
conv,75.2689,
compt,19.2167,
compt,16.0368,
conv,11.9346,
conv,24.3919,
compt,34.9659,
compt,30.6789,
compt,10.87,
compt,23.2712,
compt,35.592,
compt,27.0164,
compt,12.3461,
compt,15.2163,
compt,12.0789,
conv,53.2341,
conv,47.4951,
conv,39.8753,
conv,14.6002,
compt,62.1825,
compt,21.7793,
compt,15.346,
conv,14.2863,
compt,28.1832,
compt,22.4943,
conv,80.7521,
compt,43.6253,
compt,35.4609,
compt,10.3978,
compt,34.9575,
compt,29.856,
compt,44.8323,
compt,24.1634,
compt,23.2549,
compt,53.888,
compt,21.847,
compt,12.9251,
compt,37.5961,
compt,21.7905,
conv,18.4745,
compt,16.9667,
compt,10.1225,
compt,23.1261,
conv,16.5594,
compt,24.3779,
compt,28.9383,
compt,53.4666,
compt,13.6187,
conv,17.9307,
compt,19.2613,
compt,17.8546,
compt,17.224,
compt,59.1233,
compt,32.6066,
compt,25.4286,
compt,24.2874,
compt,10.7351,
compt,26.6239,
conv,21.9119,
conv,19.0713,
conv,43.5253,
compt,11.3426,
compt,19.0283,
conv,13.066,
compt,47.6892,
compt,32.2095,
compt,16.2312,
compt,12.3125,
compt,44.4854,
conv,11.1267,
compt,36.4522,
compt,16.0541,
compt,21.4394,
compt,12.2226,
compt,99.6463,
conv,72.9135,
conv,36.2949,
conv,12.4043,
compt,12.8296,
compt,23.861,
compt,25.724,
compt,39.4651,
compt,18.2614,
compt,20.7989,
conv,39.4275,
compt,10.0496,
compt,26.2844,
conv,67.051,
compt,16.6161,
compt,21.116,
compt,37.9059,
compt,22.7867,
compt,40.1079,
compt,24.5547,
conv,10.4289,
compt,13.4939,
compt,13.0028,
compt,43.9977,
compt,10.7354,
compt,19.9917,
compt,76.4684,
compt,61.3156,
compt,21.3657,
compt,12.9596,
compt,38.6611,
compt,59.928,
conv,44.4017,
compt,61.9916,
compt,71.4892,
conv,22.2475,
compt,41.1631,
conv,48.3734,
compt,36.4227,
conv,12.6298,
compt,14.6654,
compt,16.3836,
conv,56.9052,
compt,44.8043,
compt,56.8732,
conv,19.2843,
compt,39.4113,
compt,11.1619,
compt,23.6977,
conv,19.5952,
conv,26.0506,
compt,68.3623,
compt,21.7772,
compt,37.6942,
conv,78.4082,
compt,11.3176,
compt,10.8915,
compt,60.6666,
compt,28.3217,
compt,15.2319,
conv,64.5547,
compt,73.8546,
compt,11.9475,
