process,distance,
compt,10.3544,
conv,109.005,
conv,58.9492,
conv,66.8775,
compt,66.0642,
compt,95.7181,
conv,48.486,
compt,24.8728,
compt,81.8811,
conv,51.7377,
conv,20.3906,
conv,16.367,
conv,53.7511,
conv,21.0882,
conv,26.9651,
conv,80.7274,
conv,19.3881,
conv,53.9028,
conv,34.0598,
conv,15.7008,
conv,40.4459,
compt,60.784,
compt,18.311,
conv,13.683,
conv,16.1719,
compt,25.3922,
compt,31.0803,
conv,33.1037,
conv,35.9046,
conv,13.266,
conv,82.2522,
conv,39.3305,
conv,70.1658,
conv,22.5745,
compt,33.5904,
conv,10.6344,
conv,25.5882,
compt,81.1604,
conv,37.9191,
conv,58.3118,
conv,26.0715,
compt,97.1799,
conv,34.7543,
conv,71.1821,
conv,17.5204,
conv,36.6413,
conv,11.2825,
conv,89.3455,
conv,32.7837,
conv,48.5635,
compt,41.3906,
conv,65.1648,
conv,60.3595,
conv,68.302,
conv,24.2526,
conv,20.3422,
conv,42.058,
compt,10.8631,
conv,41.6155,
conv,32.2398,
conv,12.3297,
conv,102.733,
conv,26.5792,
conv,13.5285,
conv,66.4966,
conv,10.1736,
compt,40.6332,
conv,38.2944,
compt,31.0314,
conv,31.1384,
compt,59.7915,
compt,69.603,
conv,104.267,
conv,24.8026,
conv,40.4624,
conv,20.4984,
compt,32.1794,
compt,24.2512,
conv,58.8254,
conv,56.9496,
compt,10.7598,
compt,56.2041,
compt,17.5836,
compt,46.2161,
conv,20.0086,
conv,14.0064,
conv,10.4237,
compt,11.3005,
conv,19.4447,
conv,79.8355,
compt,43.193,
compt,29.6352,
conv,23.3986,
conv,14.9834,
conv,79.489,
conv,11.9695,
compt,32.9758,
conv,20.9371,
conv,21.0441,
compt,51.3707,
compt,18.4296,
compt,13.2725,
compt,80.5022,
conv,25.0425,
conv,13.6827,
conv,96.9079,
compt,56.7127,
conv,13.1819,
conv,60.733,
conv,23.2271,
conv,38.488,
compt,31.9245,
conv,12.7143,
conv,37.5352,
compt,39.3254,
compt,59.5277,
conv,37.4422,
compt,26.4793,
compt,17.667,
compt,18.0068,
conv,89.8995,
conv,34.2806,
conv,15.4906,
conv,38.983,
compt,13.8161,
compt,41.2874,
conv,83.0904,
compt,30.7871,
conv,72.6602,
conv,11.7257,
conv,50.1034,
