process,distance,
compt,10.2103,
conv,68.6284,
compt,23.6563,
compt,69.3164,
conv,19.6913,
conv,28.7345,
compt,41.5987,
conv,15.5868,
compt,30.0224,
conv,14.0334,
compt,20.4614,
compt,17.3129,
compt,29.2915,
compt,19.2344,
conv,85.9533,
compt,19.7808,
conv,22.226,
conv,14.7806,
compt,16.5527,
conv,15.7933,
compt,11.7829,
compt,39.7254,
conv,13.9019,
compt,23.9415,
compt,48.915,
compt,22.8322,
compt,20.9363,
compt,20.1717,
conv,25.0972,
compt,23.8167,
conv,17.479,
conv,11.7603,
conv,60.5426,
conv,17.7286,
compt,47.652,
conv,16.0754,
compt,70.2714,
compt,20.7356,
conv,20.0645,
conv,28.9734,
conv,30.1764,
compt,30.7826,
compt,50.181,
compt,29.7965,
conv,49.527,
conv,16.6702,
compt,16.081,
compt,27.3283,
compt,28.3728,
compt,33.5501,
conv,12.8009,
compt,24.5733,
compt,34.564,
compt,58.2308,
conv,56.9956,
conv,104.857,
conv,20.6271,
conv,19.8977,
compt,14.2993,
compt,40.746,
compt,47.5581,
compt,69.6382,
conv,38.1117,
conv,59.2685,
conv,16.9656,
conv,50.216,
compt,14.5714,
compt,14.8223,
conv,23.9974,
conv,41.0034,
compt,31.3032,
compt,75.3001,
conv,39.8285,
conv,21.4852,
compt,24.0069,
compt,19.2603,
compt,46.977,
conv,62.5423,
conv,58.648,
conv,42.8554,
compt,38.0171,
conv,54.2702,
conv,36.3253,
conv,76.5351,
compt,19.8019,
compt,10.1524,
conv,18.4805,
compt,28.5876,
compt,22.1041,
conv,72.5237,
compt,12.8867,
conv,16.9123,
compt,53.362,
compt,57.4156,
compt,20.7365,
compt,24.6968,
conv,47.7677,
compt,19.8722,
conv,24.2478,
compt,17.1438,
conv,13.6714,
conv,16.6005,
compt,64.322,
conv,22.717,
conv,47.9859,
compt,16.9884,
conv,83.6006,
compt,30.9938,
compt,55.5429,
compt,34.3639,
conv,11.7827,
conv,12.4826,
compt,11.8497,
conv,15.5422,
compt,66.5195,
conv,10.0008,
compt,14.1558,
compt,33.598,
compt,17.5413,
compt,19.9857,
compt,28.8937,
compt,57.8782,
conv,20.2788,
compt,24.7801,
compt,52.4158,
conv,59.2276,
compt,28.4679,
compt,13.8198,
conv,33.2925,
compt,11.8762,
compt,31.88,
compt,10.0398,
compt,42.7415,
compt,17.7728,
compt,104.312,
conv,62.8687,
conv,15.2561,
compt,26.91,
conv,19.2835,
compt,14.7443,
compt,11.1316,
conv,34.9012,
compt,60.2668,
compt,32.4891,
compt,30.5973,
compt,17.8815,
conv,22.8968,
conv,62.4095,
compt,35.5922,
conv,24.9152,
compt,52.2729,
compt,77.3698,
conv,38.8601,
compt,11.1732,
compt,18.4838,
conv,31.2719,
compt,51.0331,
compt,44.3403,
compt,10.6321,
conv,64.3499,
conv,22.1204,
compt,11.6278,
conv,34.8531,
compt,50.6527,
conv,13.1532,
compt,28.913,
compt,13.4109,
conv,34.531,
compt,56.2349,
conv,17.1436,
compt,25.3928,
compt,18.6414,
conv,42.2424,
compt,34.1368,
compt,53.8684,
conv,12.1046,
conv,47.4061,
conv,14.8588,
compt,48.0792,
conv,75.2781,
conv,11.8671,
compt,21.1952,
compt,53.1661,
conv,24.3519,
compt,12.4963,
conv,68.9328,
conv,14.9249,
compt,15.5112,
conv,54.8401,
compt,54.0176,
conv,18.5779,
conv,28.4114,
conv,13.923,
conv,24.175,
compt,45.875,
conv,19.4215,
compt,73.2287,
conv,32.1662,
compt,71.3941,
compt,25.5954,
conv,20.4759,
conv,53.0022,
compt,57.4733,
conv,17.893,
conv,30.649,
compt,36.2534,
compt,15.8537,
compt,49.9286,
compt,11.0702,
compt,57.6371,
conv,46.3111,
compt,39.2314,
compt,64.4519,
conv,46.0455,
compt,18.6007,
compt,99.4922,
conv,38.9556,
conv,40.9122,
compt,13.7913,
compt,11.1437,
compt,56.9373,
conv,27.2216,
conv,15.7904,
conv,15.6944,
compt,30.757,
compt,20.9297,
compt,14.9076,
conv,14.9408,
conv,56.4427,
compt,15.1893,
conv,15.2691,
compt,67.8528,
compt,39.0874,
compt,31.6899,
compt,11.965,
conv,41.2351,
compt,39.8819,
conv,36.7537,
compt,16.3681,
conv,33.1479,
conv,75.4616,
compt,32.9422,
conv,32.7497,
conv,76.1641,
compt,63.1582,
conv,19.3882,
conv,73.9071,
compt,63.3933,
conv,46.1318,
compt,13.6479,
conv,57.9499,
conv,31.9187,
compt,39.2049,
compt,58.0825,
compt,45.2465,
compt,17.736,
compt,41.0545,
compt,24.9086,
conv,12.5961,
