eventID,tof,detector,numElasticSensitive,ExtScatter,CryoScatter,innerLayerScatter,
13927,47.1547,A4,3,0,0,0,
12089,42.7456,A4,2,0,0,1,
14335,44.1918,A2,1,0,0,0,
22584,46.8893,A3,1,0,0,0,
20116,49.0106,A2,1,4,0,0,
22786,45.9022,A2,1,0,0,0,
25998,45.4044,A1,1,1,0,0,
17859,43.7066,A1,1,0,0,1,
28717,49.6665,A4,1,1,0,1,
15039,49.7824,A0,1,1,0,0,
23299,45.5478,A2,1,0,0,0,
20614,44.5397,A2,1,1,0,0,
18205,44.2338,A0,1,1,0,0,
18331,44.9743,A3,1,0,0,0,
18543,44.3663,A2,1,0,0,0,
18687,45.4884,A3,2,0,0,1,
15778,49.1742,A1,1,0,0,0,
32079,44.5736,A0,1,0,0,0,
30047,47.2536,A0,1,1,0,0,
35103,46.0223,A1,1,0,0,0,
35383,45.7227,A0,1,0,0,0,
22104,45.7032,A1,1,0,0,0,
38032,44.9004,A1,1,0,0,0,
38134,43.3569,A0,1,1,0,0,
30804,46.8938,A1,2,0,0,0,
30918,45.6541,A0,1,3,0,0,
41190,43.9617,A3,1,0,0,1,
31093,42.3523,A1,1,1,0,0,
36142,46.7341,A0,1,1,0,0,
39175,45.0109,A3,1,1,0,0,
39306,46.6233,A2,1,1,0,0,
33903,46.1608,A0,1,1,0,0,
37154,43.9872,A1,1,0,0,0,
37215,44.8568,A3,1,1,0,1,
45504,43.6125,A1,1,0,0,0,
34180,46.5978,A0,1,0,0,0,
39741,43.4253,A1,1,1,0,0,
48168,47.1272,A2,1,0,1,0,
37549,48.0437,A1,1,0,0,0,
37605,47.3109,A2,1,0,0,0,
48229,45.5755,A0,1,0,0,0,
48666,45.7357,A0,1,0,0,0,
43225,46.4348,A0,1,1,0,0,
40709,48.5321,A0,2,0,0,0,
43685,44.6424,A0,1,0,0,0,
49576,49.4435,A3,1,1,0,0,
54664,43.2176,A2,1,0,0,0,
49737,49.3343,A0,1,0,0,0,
54786,45.8405,A1,1,0,0,0,
51877,43.5815,A0,1,0,0,0,
51899,45.2223,A0,2,0,0,0,
52091,44.1882,A0,1,1,0,0,
56005,44.6915,A0,1,1,0,0,
64245,43.0145,A3,1,2,0,0,
64265,47.785,A4,2,0,0,0,
61316,47.0678,A0,1,0,0,0,
69626,48.1489,A0,1,0,0,0,
58747,47.3218,A1,1,1,0,0,
69957,43.4619,A0,1,0,0,0,
67450,43.0559,A2,1,0,0,0,
67820,44.8453,A4,1,0,0,0,
62195,44.4394,A3,1,1,0,0,
68209,45.0666,A0,1,0,0,0,
71678,46.9472,A2,1,0,0,0,
76327,45.2171,A1,1,1,0,0,
71959,45.2426,A0,1,0,0,0,
72156,41.9266,A0,1,2,0,0,
82419,44.8399,A1,1,0,0,0,
77238,46.1542,A0,1,0,1,0,
74875,45.2428,A2,1,0,0,0,
80173,44.9332,A1,2,0,0,0,
75135,44.3454,A0,1,1,0,0,
80245,45.9849,A0,1,0,0,0,
75517,43.2437,A0,1,0,0,0,
78153,46.3703,A2,2,0,0,0,
80835,44.9866,A2,1,0,0,0,
81288,46.6047,A0,1,3,0,0,
81340,48.2663,A4,1,2,0,0,
81499,48.0321,A2,1,1,0,0,
91015,45.5873,A0,1,0,0,0,
92396,48.1034,A0,2,1,0,0,
81805,42.6238,A2,1,0,0,0,
87781,47.1018,A0,1,0,1,0,
88034,47.7378,A0,1,1,0,0,
88294,42.0607,A1,1,0,0,0,
98416,48.5295,A2,1,2,0,0,
98456,48.4214,A1,1,1,0,0,
95803,48.1032,A1,1,2,0,0,
101707,43.1089,A0,1,0,0,0,
95969,44.0419,A2,1,1,0,0,
107719,45.0841,A1,1,1,0,0,
98997,46.6626,A0,1,0,0,0,
93850,44.9772,A1,1,0,0,0,
96456,44.1969,A1,1,4,0,0,
102246,42.4259,A2,1,1,0,0,
102327,42.6377,A0,1,0,0,0,
99609,44.4526,A2,1,0,0,0,
96933,47.379,A4,1,1,0,0,
102872,43.8688,A0,1,0,0,0,
106115,45.5702,A0,1,0,0,0,
100266,45.4639,A0,1,0,0,0,
109005,45.996,A1,1,0,0,0,
109305,46.2863,A0,1,0,0,0,
106849,43.3621,A2,1,0,0,0,
103758,43.1639,A1,1,0,0,0,
117248,49.2525,A1,1,1,0,0,
117353,47.4236,A4,1,1,0,0,
123590,48.1903,A0,1,0,0,0,
110518,42.5022,A1,2,0,0,0,
112584,45.1341,A0,2,0,0,0,
115287,48.1576,A1,1,0,0,0,
126980,46.8943,A0,1,1,0,1,
121147,43.8739,A2,1,0,0,0,
124638,47.7624,A1,2,0,0,0,
127754,45.5527,A4,3,0,0,0,
119353,44.2083,A4,1,1,0,0,
119492,44.9665,A0,1,2,0,0,
119514,46.481,A2,1,0,0,0,
125445,47.5231,A2,1,0,0,0,
122532,44.9232,A0,1,0,0,0,
136172,43.9597,A3,1,0,0,0,
139391,45.5919,A0,1,0,0,0,
136897,44.5454,A0,1,0,0,0,
139489,46.2638,A0,1,0,0,0,
133961,44.8461,A2,1,1,0,0,
142752,48.8872,A3,1,2,0,0,
137149,46.9289,A2,1,0,0,0,
131659,46.9199,A0,1,0,0,0,
140000,44.9311,A3,1,0,0,0,
143131,46.9689,A0,3,2,0,0,
146093,45.655,A1,1,1,0,0,
132213,43.997,A0,2,0,0,0,
132299,44.318,A0,1,1,0,0,
140677,49.376,A1,1,1,0,0,
146655,45.5443,A0,1,0,0,0,
152782,47.2821,A0,1,0,1,0,
152816,47.9583,A0,1,1,0,0,
145356,44.4205,A0,1,0,0,0,
149847,44.8643,A3,1,0,0,0,
155587,44.4943,A0,1,0,0,0,
158341,47.2486,A2,1,0,1,0,
