eventID,neutronEscapeEnergy,
0,2.31305,
1,0.915671,
2,2.44479,
3,0.694705,
4,2.23668,
5,2.29255,
6,0.565916,
7,2.44499,
8,1.77038,
9,2.32042,
10,0.942976,
11,2.28597,
12,2.5,
13,0.696084,
14,1.01582,
15,0.767511,
16,2.33509,
17,0.446536,
18,0.878939,
19,2.19965,
20,2.34559,
21,2.06226,
22,0.818158,
23,2.5,
24,0.515787,
25,2.14089,
26,0.905148,
27,2.29915,
28,2.09316,
29,2.29071,
30,0.944257,
31,2.12805,
32,1.80877,
33,0.252444,
34,2.26639,
35,2.3857,
36,1.65483,
37,0.902225,
38,2.23585,
39,2.44334,
40,2.27424,
41,0.325747,
42,0.851275,
43,0.901647,
44,0.74122,
45,0.786542,
46,2.25766,
47,1.62259,
48,2.3489,
49,2.46418,
50,1.88634,
51,2.12649,
52,2.32843,
53,0.837437,
54,2.29407,
55,0.843026,
56,0.357373,
57,0.380995,
58,0.903384,
59,0.685929,
60,0.535337,
61,2.17059,
62,2.26234,
63,0.678874,
64,2.29194,
65,2.26748,
66,2.06541,
67,0.950058,
68,0.870686,
69,0.79221,
70,2.32551,
71,2.25932,
72,2.26358,
73,2.31496,
74,2.47763,
75,0.944192,
76,0.786637,
77,0.845412,
78,0.942539,
79,1.50866,
80,2.28418,
81,2.26469,
82,2.44102,
83,0.673899,
84,2.33946,
85,0.335403,
86,2.49162,
87,2.26502,
88,2.43985,
89,2.18546,
90,1.89839,
91,0.793086,
92,2.26963,
93,2.27951,
94,2.19618,
95,1.85763,
96,0.779559,
97,2.01572,
98,2.33971,
99,0.929378,
100,0.994112,
101,2.3594,
102,2.49191,
103,0.678299,
104,0.661679,
105,2.46154,
106,0.739327,
107,2.31351,
108,2.14791,
109,2.29677,
110,0.855658,
111,0.508063,
112,0.77776,
113,2.47033,
114,2.43012,
115,0.834767,
116,2.32699,
117,0.855009,
118,0.880219,
119,0.968492,
120,0.952102,
122,0.863518,
123,0.906422,
124,0.936815,
125,2.28721,
126,2.34587,
127,0.273366,
128,0.893899,
129,0.901938,
130,2.3902,
131,0.826183,
132,0.882589,
133,1.41105,
134,0.855836,
135,2.30496,
136,0.71149,
137,0.904932,
138,2.03426,
139,2.33126,
140,0.81594,
141,0.921918,
142,0.19832,
143,2.37021,
144,2.26179,
145,0.936326,
146,2.21092,
147,2.23924,
148,0.871288,
149,0.312956,
150,1.9705,
151,0.646257,
152,0.839659,
153,0.531818,
154,2.33095,
155,0.64235,
156,2.00736,
157,2.4306,
158,0.922655,
159,0.63706,
160,0.5849,
161,2.27616,
162,1.78166,
163,2.33186,
164,2.26786,
165,0.914505,
166,0.711329,
167,2.26214,
168,0.758051,
169,2.34547,
170,0.746161,
171,2.38387,
172,2.32078,
173,2.45579,
174,2.44297,
175,0.62198,
176,1.37623,
177,0.881963,
178,2.29045,
179,2.01821,
180,0.755274,
181,2.34488,
182,0.58018,
183,0.976214,
184,0.949863,
185,2.31844,
186,2.49203,
187,2.15985,
188,2.0514,
189,0.756574,
190,2.41406,
