eventID,neutronEscapeEnergy,nPrime,
317,0.579678,1,
318,2.42368,0,
319,0.791443,1,
320,2.18579,0,
321,0.548867,1,
322,0.840307,1,
323,2.11834,0,
324,0.378837,1,
325,0.249656,1,
326,0.930431,1,
327,1.75098,0,
328,0.941614,1,
329,2.30412,0,
330,0.584583,1,
331,0.737968,1,
332,2.15802,0,
333,0.459612,1,
334,0.782276,1,
335,0.604348,1,
336,1.82756,0,
337,0.248068,1,
338,0.847412,1,
339,0.669878,1,
340,1.00749,1,
341,0.682454,1,
342,0.712274,1,
343,0.670909,1,
344,0.338681,1,
345,1.98682,0,
346,0.556178,1,
347,0.416066,1,
348,2.22826,0,
349,2.31131,0,
350,1.99209,0,
351,2.06555,0,
352,0.680868,1,
353,0.692432,1,
354,0.0692867,1,
355,2.34003,0,
356,0.835346,1,
357,2.02097,0,
358,2.34083,0,
359,1.99352,0,
360,1.52862,0,
361,2.16303,0,
362,1.88048,0,
363,0.768036,1,
364,0.903416,1,
365,0.639902,1,
366,2.3421,0,
367,0.894096,1,
368,2.26281,0,
369,2.31458,0,
370,0.562897,1,
371,2.35791,0,
372,0.305357,1,
373,2.3401,0,
374,0.897484,1,
375,1.25408,0,
376,1.79961,0,
377,0.872863,1,
378,0.787486,1,
379,0.563311,1,
380,0.760321,1,
381,0.518237,1,
382,0.779328,1,
383,0.980963,1,
384,2.45268,0,
385,2.30798,0,
386,2.24585,0,
387,1.12567,0,
388,0.780322,1,
389,0.965308,0,
390,2.32047,0,
391,2.28393,0,
392,1.81417,0,
393,0.903201,1,
394,0.898036,1,
395,0.688969,1,
396,1.66057,0,
397,0.77076,1,
398,2.2492,0,
399,2.32849,0,
400,1.87322,0,
401,0.68781,1,
402,0.921216,1,
403,0.842063,1,
404,1.65498,0,
405,2.26673,0,
406,0.91005,1,
407,2.18345,0,
408,0.813021,1,
409,0.850835,1,
410,2.34697,0,
411,0.927967,1,
412,2.21791,0,
413,0.794745,1,
414,0.537513,1,
415,2.19736,0,
416,2.19855,0,
417,0.587769,1,
418,1.75084,0,
419,0.777316,1,
420,2.27233,0,
421,1.28069,0,
422,0.758914,1,
423,2.3258,0,
424,0.196315,1,
425,0.714621,1,
426,0.8328,1,
427,1.70138,0,
428,0.869002,1,
429,0.967131,1,
430,2.26453,0,
431,0.855847,1,
432,2.20135,0,
433,0.86892,1,
434,0.81295,1,
435,0.16254,1,
436,2.34709,0,
437,2.15467,0,
438,0.837076,1,
439,0.842338,1,
440,2.2024,0,
441,0.676342,1,
442,0.763977,1,
443,0.827825,1,
444,0.757978,1,
445,0.8388,1,
446,2.29878,0,
447,0.806069,1,
448,0.162664,1,
449,0.74416,1,
450,2.08899,0,
451,2.18232,0,
452,1.22131,0,
453,0.974473,1,
454,0.241509,1,
455,0.841376,1,
456,0.948554,1,
457,0.748312,1,
458,1.50215,0,
459,2.28046,0,
460,0.535792,1,
461,0.837794,1,
462,0.461487,1,
463,2.13362,0,
464,2.26466,0,
465,2.12502,0,
466,2.46424,0,
467,1.2923,0,
468,0.730272,1,
469,0.799535,1,
470,2.25958,0,
471,2.27021,0,
472,0.798797,1,
473,2.30027,0,
474,0.892838,1,
475,0.979643,1,
476,0.775405,1,
477,1.39096,0,
478,1.98144,0,
479,0.63691,1,
480,0.522887,1,
481,0.30989,1,
482,0.829373,1,
483,0.24827,1,
484,2.3245,0,
485,2.24126,0,
486,2.23229,0,
487,0.794477,1,
488,2.18014,0,
489,2.07281,0,
490,0.310501,1,
491,0.792176,1,
492,2.17022,0,
493,0.317125,1,
494,2.21565,0,
495,0.921988,1,
496,0.876307,1,
497,2.32501,0,
498,1.83748,0,
499,2.27125,0,
500,2.32722,0,
501,0.923502,1,
502,2.08087,0,
503,0.245516,1,
504,0.757294,1,
505,0.685566,1,
506,0.796185,1,
507,2.27887,0,
508,0.275159,1,
509,0.65004,1,
510,1.29491,0,
511,0.612723,1,
512,2.26169,0,
513,0.20782,1,
514,0.801779,1,
515,0.445628,1,
516,2.13859,0,
517,0.29063,1,
518,0.770035,1,
519,1.94984,0,
520,0.805875,1,
521,0.810323,1,
522,0.543788,1,
523,1.21563,0,
524,2.35839,0,
525,2.03289,0,
526,0.696524,1,
527,2.17384,0,
528,0.355226,1,
529,1.0025,1,
530,2.07934,0,
531,2.46776,0,
532,0.697509,1,
533,0.952752,1,
534,1.94652,0,
535,2.0153,0,
536,0.399584,1,
537,2.18724,0,
538,2.18484,0,
539,0.742309,1,
540,2.07608,0,
541,0.767368,1,
542,2.29386,0,
543,1.21623,0,
544,0.835551,1,
545,0.935828,1,
546,2.26646,0,
547,1.28594,0,
548,0.734589,1,
549,0.771182,1,
550,0.907195,1,
551,1.98936,0,
552,2.40862,0,
553,0.69096,1,
554,2.30501,0,
555,0.297445,1,
556,0.770549,1,
557,2.28081,0,
558,0.723694,1,
559,0.605349,1,
560,0.672579,1,
561,0.643752,1,
562,0.273912,1,
563,0.887339,1,
564,0.669336,1,
565,2.27676,0,
566,0.834616,1,
567,0.817915,1,
568,1.78801,0,
569,0.635298,1,
570,1.38746,0,
571,0.894382,1,
572,2.38136,0,
573,1.8536,0,
574,0.696637,1,
575,2.26702,0,
576,0.315424,1,
577,0.635214,1,
578,2.34211,0,
579,0.758413,1,
580,0.183521,1,
581,2.31728,0,
582,0.965803,1,
583,0.408429,1,
584,1.98134,0,
585,1.95999,0,
586,1.44379,0,
587,2.06664,0,
588,2.15015,0,
589,0.651606,1,
590,0.91994,1,
591,0.489264,1,
592,2.0645,0,
593,2.14304,0,
594,2.15058,0,
595,2.32167,0,
596,2.26623,0,
597,0.80779,1,
598,0.929522,1,
599,2.45439,0,
600,1.40902,0,
601,2.40894,0,
602,0.850944,1,
603,0.810627,1,
604,2.29875,0,
605,0.792376,1,
606,2.2433,0,
607,2.14221,0,
608,0.788384,1,
609,2.33098,0,
610,0.812618,1,
611,2.28006,0,
612,2.43823,0,
613,0.868461,1,
614,1.0158,0,
615,0.628844,1,
616,1.2602,0,
617,0.748398,1,
618,0.896393,1,
619,0.897845,1,
620,2.30187,0,
621,0.895,1,
622,0.833489,1,
623,0.31284,1,
624,2.46707,0,
625,2.30099,0,
626,1.27166,0,
627,0.652026,1,
628,0.00347414,1,
629,2.18709,0,
630,2.35257,0,
631,0.789039,1,
632,1.3445,0,
633,0.400823,1,
634,2.2503,0,
635,0.578668,1,
636,2.3854,0,
637,0.820676,1,
638,0.852605,1,
639,2.27308,0,
640,0.926966,1,
641,0.887459,1,
642,2.27791,0,
643,0.908469,1,
644,1.9744,0,
645,0.66746,1,
646,0.314775,1,
647,0.941626,1,
648,2.27209,0,
649,2.30231,0,
650,2.08744,0,
651,2.34396,0,
652,0.562876,1,
653,0.713576,1,
654,2.39414,0,
655,0.942342,1,
656,0.971963,1,
657,0.944358,1,
658,0.556575,1,
659,0.249502,1,
660,1.46593,0,
661,0.867751,1,
662,0.582281,1,
663,2.34351,0,
664,0.654627,1,
665,0.381439,1,
666,2.27174,0,
667,0.621357,1,
668,0.930115,1,
669,0.568353,1,
670,2.26156,0,
671,0.897922,1,
672,0.22704,1,
673,0.709728,1,
674,0.649009,1,
675,0.269368,1,
676,0.569032,1,
677,2.31328,0,
678,1.66444,0,
679,0.836501,1,
680,0.425232,1,
681,0.395729,1,
682,1.84672,0,
683,0.892095,1,
684,0.939299,1,
685,1.67638,0,
686,0.556717,1,
687,0.34669,1,
688,0.789544,1,
689,0.812839,1,
690,0.753374,1,
691,0.961847,1,
692,1.65996,0,
693,1.92414,0,
694,0.746715,1,
695,2.28576,0,
696,2.19017,0,
697,1.59692,0,
698,1.77622,0,
699,0.756649,1,
700,0.871557,1,
701,2.27569,0,
702,0.622523,1,
703,0.930636,1,
704,0.760194,1,
705,2.30429,0,
706,2.39362,0,
707,0.889967,1,
708,0.547431,1,
709,2.34312,0,
710,0.736475,1,
711,2.32001,0,
712,2.28633,0,
713,2.17753,0,
714,0.50303,1,
715,2.23807,0,
716,0.449422,1,
717,2.11946,0,
718,0.949861,1,
719,0.939665,1,
720,1.2921,0,
721,0.648452,1,
722,1.66738,0,
723,0.767942,1,
724,2.27397,0,
725,0.671944,1,
726,0.722098,1,
727,0.485836,1,
728,0.48717,1,
729,0.582073,1,
730,1.73299,0,
731,0.250884,1,
732,0.354402,1,
733,0.31299,1,
734,0.724204,1,
735,2.27599,0,
736,0.847631,1,
737,0.899792,1,
738,2.24092,0,
739,1.9457,0,
740,0.516883,1,
741,1.11708,0,
742,2.27488,0,
743,1.20966,0,
744,0.43849,1,
745,2.26457,0,
746,0.745561,1,
747,2.11721,0,
748,0.912832,1,
749,0.90214,1,
750,0.824908,1,
751,0.89515,1,
752,0.33673,1,
753,0.295832,1,
754,0.649917,1,
755,0,1,
756,0.69641,1,
757,2.2827,0,
758,0.931181,1,
759,0.369368,1,
760,1.49495,0,
761,1.98363,0,
762,2.18635,0,
763,0.799763,1,
764,0.960165,1,
765,0.685711,1,
766,0.959787,0,
767,0.323378,1,
768,0.808559,1,
769,0.162569,1,
770,0.711636,1,
771,2.23372,0,
772,0.95652,1,
773,0.248655,1,
774,2.27186,0,
775,1.90693,0,
776,2.31003,0,
777,1.58842,0,
778,2.2976,0,
779,0.833606,1,
780,2.26014,0,
781,2.38524,0,
782,2.26248,0,
783,0.235072,1,
784,2.26099,0,
785,2.23932,0,
786,0.888856,1,
787,0.483864,1,
788,2.19876,0,
789,0.958268,1,
790,1.5015,0,
791,0.477075,1,
792,0.905642,1,
793,0.799813,1,
794,2.34505,0,
795,2.30189,0,
796,0.547939,1,
797,0.724429,1,
798,0.660191,1,
799,0.381212,1,
800,0.824473,1,
801,0.0717431,1,
802,0.592562,1,
803,0.85758,1,
804,0.0975951,1,
805,2.17543,0,
806,0.385446,1,
807,0.77928,1,
808,0.668642,1,
809,2.26149,0,
810,0.895646,1,
811,0.232017,1,
812,2.3105,0,
813,0.804898,1,
814,0.935082,1,
815,2.24232,0,
816,0.274709,1,
817,0.325498,1,
818,2.25442,0,
819,2.20961,0,
820,0.90415,1,
821,0.240907,1,
822,0.284639,1,
823,1.95647,0,
824,0.603688,1,
825,2.32149,0,
826,0.853241,1,
827,0.540982,1,
828,0.848249,1,
829,0.865127,1,
830,0.936297,1,
831,0.792404,1,
832,0.879447,1,
833,0.78981,1,
834,2.17673,0,
835,0.958182,1,
836,0.798926,1,
837,0.790364,1,
838,0.0658524,1,
839,0.228687,1,
840,2.23671,0,
841,2.29249,0,
842,0.767469,1,
843,0.122278,1,
844,0.910408,1,
845,0.720983,1,
846,0.848477,1,
847,2.3344,0,
848,0.528393,1,
849,2.28132,0,
850,0.591061,1,
851,0.160388,1,
852,0.322673,1,
853,0.903072,1,
854,0.685677,1,
855,0.53238,1,
856,0.383889,1,
857,0.153034,1,
858,0.230987,1,
859,0.752258,1,
860,2.34346,0,
861,1.92096,0,
862,0.95403,1,
863,2.26472,0,
864,0.883911,1,
865,0.945799,1,
866,2.28882,0,
867,0.980368,1,
868,0.406918,1,
869,2.0382,0,
870,2.24974,0,
871,2.31157,0,
872,0.733964,1,
873,2.21722,0,
874,0.564364,1,
875,0.522869,1,
876,0.64683,0,
877,2.10077,0,
878,1.89676,0,
879,0.67347,1,
880,2.3259,0,
881,0.47645,1,
882,0.958939,1,
883,2.27847,0,
884,2.28464,0,
885,2.42692,0,
886,0.903419,1,
887,2.30872,0,
888,0.774942,1,
889,0.944509,1,
890,0.903082,1,
891,0.92342,1,
892,0.797279,1,
893,2.15645,0,
894,0.538232,1,
895,0.586203,1,
896,2.29861,0,
897,0.805073,1,
898,2.23726,0,
899,0.888848,1,
900,0.603011,1,
901,2.2401,0,
902,1.11892,0,
903,2.07997,0,
904,2.29587,0,
905,0.666767,1,
906,2.13512,0,
907,2.33358,0,
908,0.520992,1,
909,0.843942,1,
910,1.71912,0,
911,0,1,
912,0.521199,1,
913,2.32985,0,
914,0.81085,1,
915,0.79981,1,
916,2.23617,0,
917,1.26741,0,
918,0.882455,1,
919,0.853832,1,
920,0.718228,1,
921,0.94377,1,
