eventID,neutronEscapeEnergy,
0,2.31305,
1,0.915671,
2,2.09932,
3,2.28525,
4,2.12005,
5,0.595973,
6,0.349639,
7,2.22522,
8,2.1071,
9,0.747562,
10,0.891355,
11,2.2875,
12,0.981444,
13,0.536266,
14,2.26216,
15,2.32595,
16,2.27073,
17,2.33059,
18,1.43449,
19,0.825976,
20,2.30224,
21,2.41521,
22,2.26215,
23,1.60388,
24,0.681731,
25,0.845453,
26,1.23372,
27,0.833759,
28,0.560342,
29,0.531394,
30,2.11554,
31,0.338444,
32,2.08591,
33,0.591737,
34,0.857389,
35,0.676892,
36,0.880875,
37,0.896839,
38,0.438438,
39,0.435108,
40,2.32333,
41,0.806286,
42,0.482784,
43,0.417149,
44,0.404667,
45,2.30028,
46,0.923323,
47,2.34647,
48,0.967557,
49,0.791799,
50,0.70114,
51,2.26336,
52,0.798476,
53,0.714626,
54,0.917771,
55,0.898442,
56,0.808459,
57,2.28178,
58,2.26973,
59,2.23471,
60,0.916429,
61,0.984101,
62,0.208602,
63,0.641121,
64,0.497695,
65,0.752984,
66,2.35145,
67,2.28284,
68,0.798351,
69,2.19923,
70,1.81288,
71,1.63108,
72,0.903139,
73,0.919853,
74,0.817742,
75,2.33627,
76,0.250528,
77,0.808982,
78,0.626836,
79,1.78006,
80,1.79474,
81,0.727838,
82,0.923934,
83,0.809575,
84,2.3331,
85,1.65692,
86,0.973614,
87,0.15756,
88,0.624006,
89,2.2669,
90,2.28084,
91,0.909505,
92,1.84518,
93,2.24908,
94,2.26703,
95,0.886527,
96,0.853302,
97,2.30852,
98,0.745762,
99,0.242292,
100,0.769472,
101,1.89926,
102,2.29119,
103,2.46353,
104,1.41628,
105,0.589635,
106,2.16114,
107,2.28701,
108,0.483827,
109,2.26739,
110,2.19596,
111,2.46915,
112,2.3114,
113,0.980055,
114,2.33025,
115,2.32157,
116,1.65228,
117,2.37391,
118,1.818,
119,1.79043,
120,2.30302,
121,2.35275,
122,2.27244,
123,0.801105,
124,0.588132,
125,2.1714,
126,2.25635,
127,0.46221,
128,2.2009,
129,0.77071,
130,0.492497,
131,0.693914,
132,0.625958,
133,0.691629,
134,0.584701,
135,2.34319,
136,2.26737,
137,0.804598,
138,2.42859,
139,0.909992,
140,2.23739,
141,0.788972,
142,2.29552,
143,1.91945,
144,2.28497,
145,0.0689874,
146,2.24589,
147,2.12427,
148,0.850491,
149,0.801846,
150,0.678818,
151,0.636657,
152,2.25928,
153,1.87651,
154,0.811401,
155,2.20045,
156,0.784736,
157,0.862168,
158,0.87137,
159,0.280971,
160,0.396214,
161,0.390004,
162,0.780265,
163,1.77744,
164,0.65296,
165,0.496485,
166,0.456779,
167,2.17834,
168,0.558373,
169,0.813724,
170,0.386197,
171,0.929918,
172,0.80841,
173,0.95833,
174,2.32707,
175,1.34607,
176,0.657284,
177,0.578966,
178,2.30281,
179,2.28119,
180,2.24284,
181,1.81312,
182,0.798326,
183,2.21571,
184,1.21655,
185,0.869451,
186,0.422584,
187,0.843735,
188,2.31542,
189,2.25702,
